"X.chrom","start","end","name","n_frags","strand","n_weight","n_spanned","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category","flags","flag_counts","index","count"
"chr1",118429198,118461358,"unknown_circ_021148",2,"-",2,2,1,2,92,36,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__118429199__118461358",2
"chr6",56564450,56605149,"unknown_circ_003226",1,"-",1,1,1,1,6,134,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","6__56564451__56605149",1
"chrX",73067828,73067876,"unknown_circ_010993",1,"+",1,1,1,1,178,4,"unknown",1,0,2,1,"GTAG","N/A","SHORT,WARN_EXT_2MM+","N/A","0","X__73067829__73067876",1
"chr16",30750389,30750424,"unknown_circ_013005",1,"-",2,2,2,2,46,154,"unknown",2,0,0,1,"GTAG","N/A","SHORT","N/A","0","16__30750390__30750424",1
"chr14",76642965,76662315,"unknown_circ_000969",3,"+",4,4,4,4,102,102,"unknown",4,0,0,1,"GTAG","N/A","","N/A","0","14__76642966__76662315",3
"chr7",5636342,101273022,"unknown_circ_006368",1,"-",1,1,1,1,120,2,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","7__5636343__101273022",1
"chr12",27183666,27185614,"unknown_circ_008035",1,"+",1.5,2,2,1.5,114,18,"unknown",1.5,0,0,1,"GTAG","N/A","","N/A","0","12__27183667__27185614",1
"chr5",64630214,64747447,"unknown_circ_022768",1,"-",1,1,1,1,110,14,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","5__64630215__64747447",1
"chr16",72283061,72383105,"unknown_circ_013054",1,"-",1,1,1,1,46,46,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","16__72283062__72383105",1
"chr1",43869381,221319861,"unknown_circ_015263",1,"-",0.5,1,1,0.5,94,6,"unknown",0.5,0,0,1,"GTAG","N/A","HUGE","SUPPORT_INSIDE_SPLICE_JUNCTION","1","1__43869382__221319861",1
"chr5",114875361,114878598,"unknown_circ_006935",1,"-",1,1,1,1,110,22,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__114875362__114878598",1
"chr10",131665404,131676113,"unknown_circ_005373",1,"-",2,2,2,2,40,130,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","10__131665405__131676113",1
"chr1",44058529,44058637,"unknown_circ_020856",1,"-",1,1,1,1,66,44,"unknown",1,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","1__44058530__44058637",1
