"index","chr","start","end","count"
"17__169211__177370","17",169211,177370,24
"16__354304__364683","16",354304,364683,1
"11__407817__410027","11",407817,410027,1
"10__410314__468973","10",410314,468973,1
"6__553854__564929","6",553854,564929,5
"5__619105__620376","5",619105,620376,2
"5__619105__624694","5",619105,624694,5
"5__633884__635699","5",633884,635699,1
"7__794226__803611","7",794226,803611,1
"19__804532__806556","19",804532,806556,1
"7__780984__814799","7",780984,814799,2
"1__871152__877868","1",871152,877868,2
"1__877939__879188","1",877939,879188,2
"5__896780__914692","5",896780,914692,1
"1__981344__989931","1",981344,989931,12
"7__1026743__1027167","7",1026743,1027167,6
"19__1032391__1036561","19",1032391,1036561,31
"19__1090907__1093902","19",1090907,1093902,8
"19__1090907__1094077","19",1090907,1094077,1
"12__1136914__1137738","12",1136914,1137738,1
"10__1149542__1151207","10",1149542,1151207,1
"19__1147308__1154401","19",1147308,1154401,1
"11__1307232__1317024","11",1307232,1317024,1
"5__1321879__1339120","5",1321879,1339120,1
"5__1325866__1339120","5",1325866,1339120,1
"17__1382725__1387597","17",1382725,1387597,1
"1__1451392__1463242","1",1451392,1463242,1
"7__1518362__1519320","7",1518362,1519320,4
"7__1527396__1532742","7",1527396,1532742,6
"17__1540003__1540356","17",1540003,1540356,1
"17__1561820__1584348","17",1561820,1584348,3
"17__1584020__1584984","17",1584020,1584984,4
"17__1648469__1656084","17",1648469,1656084,6
"17__1690104__1690898","17",1690104,1690898,1
"4__1732614__1737561","4",1732614,1737561,12
"4__1732618__1737565","4",1732618,1737565,1
"1__1735858__1749314","1",1735858,1749314,1
"1__1737914__1770677","1",1737914,1770677,5
"17__1746097__1782355","17",1746097,1782355,1
"11__1780199__1782698","11",1780199,1782698,11
"17__1747872__1782993","17",1747872,1782993,8
"4__1806551__1808054","4",1806551,1808054,1
"9__2028987__2039900","9",2028987,2039900,1
"16__2106197__2108874","16",2106197,2108874,27
"16__2105403__2127727","16",2105403,2127727,5
"19__2127151__2137090","19",2127151,2137090,3
"19__2137010__2138713","19",2137010,2138713,1
"16__2147729__2147985","16",2147729,2147985,5
"19__2180712__2191239","19",2180712,2191239,1
"7__2404007__2409317","7",2404007,2409317,6
"17__2573457__2579900","17",2573457,2579900,1
"16__2616357__2633586","16",2616357,2633586,1
"4__2659530__2674099","4",2659530,2674099,1
"4__2664565__2674099","4",2664565,2674099,1
"Y__2829115__2829687","Y",2829115,2829687,2
"X__2867345__2873578","X",2867345,2873578,2
"18__2925222__2960847","18",2925222,2960847,1
"12__2973486__2975687","12",2973486,2975687,1
"12__3018695__3031568","12",3018695,3031568,9
"2__3196185__3218019","2",3196185,3218019,8
"9__3301546__3395596","9",3301546,3395596,2
"20__3527931__3529985","20",3527931,3529985,1
"19__3656403__3661999","19",3656403,3661999,1
"19__3660964__3661999","19",3660964,3661999,5
"19__3660964__3664912","19",3660964,3664912,2
"16__3706103__3707342","16",3706103,3707342,25
"16__3708038__3712133","16",3708038,3712133,1
"19__3751187__3751551","19",3751187,3751551,16
"11__3752621__3756554","11",3752621,3756554,5
"17__3769202__3783728","17",3769202,3783728,1
"17__3772781__3783728","17",3772781,3783728,9
"11__3765739__3789974","11",3765739,3789974,2
"20__3835205__3838456","20",3835205,3838456,9
"20__3841979__3843060","20",3841979,3843060,4
"16__3843387__3901010","16",3843387,3901010,1
"16__3860604__3901010","16",3860604,3901010,3
"17__3955265__3962584","17",3955265,3962584,1
"19__3979806__3983289","19",3979806,3983289,3
"17__3984670__3989949","17",3984670,3989949,6
"7__4088980__4091462","7",4088980,4091462,1
"16__4310456__4312702","16",4310456,4312702,3
"19__4405909__4409756","19",4405909,4409756,1
"17__4539054__4540553","17",4539054,4540553,4
"16__4700366__4707364","16",4700366,4707364,1
"16__4861171__4862249","16",4861171,4862249,13
"16__4861624__4882913","16",4861624,4882913,5
"20__4880201__4883204","20",4880201,4883204,2
