"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000220",6990,7073,1,"Un_gl000220__6990__7073",1
"chrUn_gl000222",11699,12288,25,"Un_gl000222__11699__12288",25
"chrUn_gl000222",11828,12288,89,"Un_gl000222__11828__12288",89
"chr8_gl000196_random",12892,15889,1,"8_gl000196_random__12892__15889",1
"chrUn_gl000222",11828,21600,1,"Un_gl000222__11828__21600",1
"chr8_gl000196_random",12892,22894,7,"8_gl000196_random__12892__22894",7
"chr8_gl000196_random",12892,27060,2,"8_gl000196_random__12892__27060",2
"chrUn_gl000241",27636,27803,1,"Un_gl000241__27636__27803",1
"chr1_gl000191_random",30764,30969,1,"1_gl000191_random__30764__30969",1
"chrUn_gl000225",1751,31223,1,"Un_gl000225__1751__31223",1
"chr1_gl000191_random",32908,33211,1,"1_gl000191_random__32908__33211",1
"chrUn_gl000225",14011,34926,1,"Un_gl000225__14011__34926",1
"chrUn_gl000211",17780,35708,3,"Un_gl000211__17780__35708",3
"chrUn_gl000222",11828,37351,1,"Un_gl000222__11828__37351",1
"chr1_gl000191_random",41406,41845,2,"1_gl000191_random__41406__41845",2
"chrUn_gl000225",7648,42059,1,"Un_gl000225__7648__42059",1
"chrUn_gl000225",16337,46172,1,"Un_gl000225__16337__46172",1
"chrUn_gl000211",46130,46221,1,"Un_gl000211__46130__46221",1
"chrUn_gl000225",6481,50917,1,"Un_gl000225__6481__50917",1
"chrUn_gl000225",8707,53145,1,"Un_gl000225__8707__53145",1
"chrUn_gl000222",34493,54197,1,"Un_gl000222__34493__54197",1
"chrUn_gl000225",6210,55918,4,"Un_gl000225__6210__55918",4
"chrUn_gl000225",51060,56265,1,"Un_gl000225__51060__56265",1
"chrUn_gl000225",34722,56394,3,"Un_gl000225__34722__56394",3
"chrUn_gl000223",57231,58124,3,"Un_gl000223__57231__58124",3
"chr4",59323,60046,5,"4__59323__60046",5
"chrUn_gl000225",45014,60303,1,"Un_gl000225__45014__60303",1
"chr4_gl000194_random",62697,62888,1,"4_gl000194_random__62697__62888",1
"chr4",59323,63689,1,"4__59323__63689",1
"chrUn_gl000223",48976,64979,2,"Un_gl000223__48976__64979",2
"chrUn_gl000225",67262,68765,2,"Un_gl000225__67262__68765",2
"chr17_gl000205_random",69882,70026,1,"17_gl000205_random__69882__70026",1
"chr7_gl000195_random",70492,74180,1,"7_gl000195_random__70492__74180",1
"chrUn_gl000225",76157,76539,1,"Un_gl000225__76157__76539",1
"chr12",82208,82317,1,"12__82208__82317",1
"chr7_gl000195_random",83789,84250,1,"7_gl000195_random__83789__84250",1
"chr12",88016,88232,2,"12__88016__88232",2
"chr12",88570,88771,1,"12__88570__88771",1
"chr9_gl000199_random",31375,93449,6,"9_gl000199_random__31375__93449",6
"chr16",93693,93849,1,"16__93693__93849",1
"chr16",88210,93975,5,"16__88210__93975",5
"chr11",94028,94167,1,"11__94028__94167",1
"chr17_gl000205_random",94889,94994,2,"17_gl000205_random__94889__94994",2
"chr12",95446,95548,1,"12__95446__95548",1
"chr3",95659,95855,1,"3__95659__95855",1
"chrUn_gl000225",66785,96110,3,"Un_gl000225__66785__96110",3
"chr17",88172,97076,1,"17__88172__97076",1
"chr17",100459,100606,1,"17__100459__100606",1
"chrUn_gl000225",94405,101600,1,"Un_gl000225__94405__101600",1
"chrUn_gl000225",63609,104244,1,"Un_gl000225__63609__104244",1
"chr18",107682,108906,1,"18__107682__108906",1
"chr16",109521,109729,1,"16__109521__109729",1
"chrUn_gl000220",117897,117964,14,"Un_gl000220__117897__117964",14
"chrUn_gl000220",117893,117983,1,"Un_gl000220__117893__117983",1
"chrUn_gl000220",117897,117983,2,"Un_gl000220__117897__117983",2
"chrUn_gl000220",117895,117986,3,"Un_gl000220__117895__117986",3
"chrUn_gl000220",117895,118093,9,"Un_gl000220__117895__118093",9
"chrUn_gl000220",117973,118093,2,"Un_gl000220__117973__118093",2
"chrUn_gl000220",117893,118097,5,"Un_gl000220__117893__118097",5
"chrUn_gl000220",117897,118097,2,"Un_gl000220__117897__118097",2
"chrUn_gl000220",117902,118097,1,"Un_gl000220__117902__118097",1
"chrUn_gl000220",117965,118097,5,"Un_gl000220__117965__118097",5
"chrUn_gl000220",117895,118103,2,"Un_gl000220__117895__118103",2
"chrUn_gl000220",117893,118115,2,"Un_gl000220__117893__118115",2
"chrUn_gl000220",117897,118126,2,"Un_gl000220__117897__118126",2
"chrUn_gl000220",117948,118126,5,"Un_gl000220__117948__118126",5
"chrUn_gl000220",117895,118333,3,"Un_gl000220__117895__118333",3
"chrUn_gl000220",117895,118336,3,"Un_gl000220__117895__118336",3
"chrUn_gl000220",117895,118367,1,"Un_gl000220__117895__118367",1
"chrUn_gl000220",118243,118371,1,"Un_gl000220__118243__118371",1
"chrUn_gl000220",117897,118410,1,"Un_gl000220__117897__118410",1
"chrUn_gl000220",118066,118410,1,"Un_gl000220__118066__118410",1
"chrUn_gl000220",118083,118410,1,"Un_gl000220__118083__118410",1
"chrUn_gl000220",118260,118410,2,"Un_gl000220__118260__118410",2
"chrY",119328,119428,1,"Y__119328__119428",1
"chrY",119402,119484,1,"Y__119402__119484",1
"chrUn_gl000225",67536,120656,6,"Un_gl000225__67536__120656",6
"chrUn_gl000220",120597,120712,1,"Un_gl000220__120597__120712",1
"chr16",121787,121869,1,"16__121787__121869",1
"chrUn_gl000220",122899,123042,1,"Un_gl000220__122899__123042",1
"chrUn_gl000220",121605,123082,2,"Un_gl000220__121605__123082",2
"chrUn_gl000220",122991,123082,1,"Un_gl000220__122991__123082",1
"chrUn_gl000225",97198,125168,1,"Un_gl000225__97198__125168",1
"chrUn_gl000225",99388,127108,1,"Un_gl000225__99388__127108",1
"chrUn_gl000225",85664,127597,1,"Un_gl000225__85664__127597",1
"chrUn_gl000225",86129,130582,1,"Un_gl000225__86129__130582",1
"chrUn_gl000225",67262,131733,2,"Un_gl000225__67262__131733",2
"chrUn_gl000225",83604,133773,1,"Un_gl000225__83604__133773",1
"chrUn_gl000220",135569,136023,1,"Un_gl000220__135569__136023",1
"chr16",138697,139900,1,"16__138697__139900",1
"chrUn_gl000225",94405,141637,1,"Un_gl000225__94405__141637",1
"chr16",138697,142723,1,"16__138697__142723",1
"chr17_ctg5_hap1",137894,143193,1,"17_ctg5_hap1__137894__143193",1
"chr16",138697,143323,1,"16__138697__143323",1
"chr16",142594,143323,4,"16__142594__143323",4
"chr5",139598,145035,4,"5__139598__145035",4
"chr7_gl000195_random",149089,150460,1,"7_gl000195_random__149089__150460",1
"chr16",148143,150507,10,"16__148143__150507",10
"chr7_gl000195_random",152744,152847,1,"7_gl000195_random__152744__152847",1
"chrUn_gl000220",157519,157771,1,"Un_gl000220__157519__157771",1
"chr4",158906,159102,1,"4__158906__159102",1
"chrY",150834,159885,5,"Y__150834__159885",5
"chrUn_gl000220",115772,159942,1,"Un_gl000220__115772__159942",1
"chr16",160523,162774,1,"16__160523__162774",1
"chr5",161898,163663,1,"5__161898__163663",1
"chrY",150834,166059,1,"Y__150834__166059",1
"chr18",163308,166819,5,"18__163308__166819",5
"chr17_ctg5_hap1",160640,168155,2,"17_ctg5_hap1__160640__168155",2
"chr17_ctg5_hap1",167529,168155,31,"17_ctg5_hap1__167529__168155",31
"chr17_ctg5_hap1",167529,170575,2,"17_ctg5_hap1__167529__170575",2
"chr9",162432,172172,1,"9__162432__172172",1
"chrUn_gl000223",157907,173142,1,"Un_gl000223__157907__173142",1
"chrUn_gl000223",173022,173464,3,"Un_gl000223__173022__173464",3
"chrY",174027,174547,5,"Y__174027__174547",5
"chr17",169211,177370,1,"17__169211__177370",1
"chr18",163308,180339,1,"18__163308__180339",1
"chr18",178933,180339,1,"18__178933__180339",1
"chr16",160514,180590,1,"16__160514__180590",1
"chr18",163308,182504,1,"18__163308__182504",1
"chr18",163308,192900,2,"18__163308__192900",2
"chr4",183415,195000,1,"4__183415__195000",1
"chr7",197313,197394,1,"7__197313__197394",1
"chr18",196637,199316,15,"18__196637__199316",15
"chr18",196637,203190,3,"18__196637__203190",3
"chr18",196637,204692,3,"18__196637__204692",3
"chrX",200834,205536,1,"X__200834__205536",1
"chr7",206497,206694,1,"7__206497__206694",1
"chr7",195554,208976,3,"7__195554__208976",3
"chrX",200834,209885,1,"X__200834__209885",1
"chrX",200834,216059,3,"X__200834__216059",3
"chrX",224027,224547,6,"X__224027__224547",6
"chr5",225330,225402,1,"5__225330__225402",1
"chr10",225934,226068,1,"10__225934__226068",1
"chr7",231051,231303,2,"7__231051__231303",2
"chr7",231267,231322,2,"7__231267__231322",2
"chr11",224078,233215,7,"11__224078__233215",7
"chr11",230452,233534,2,"11__230452__233534",2
"chr5",230991,236714,1,"5__230991__236714",1
"chr5",230991,240591,1,"5__230991__240591",1
"chr16",242926,249237,1,"16__242926__249237",1
"chr5",251107,251583,2,"5__251107__251583",2
"chr11",238998,251936,1,"11__238998__251936",1
"chrY",249513,252131,1,"Y__249513__252131",1
"chr2",247538,253115,1,"2__247538__253115",1
"chr18",247849,254355,1,"18__247849__254355",1
"chr10",225934,255988,7,"10__225934__255988",7
"chr16",249061,256146,2,"16__249061__256146",2
"chr11",256062,256169,1,"11__256062__256169",1
"chrY",256251,257510,1,"Y__256251__257510",1
"chr16",249061,258187,1,"16__249061__258187",1
"chrY",258090,258323,1,"Y__258090__258323",1
"chrY",256251,258428,5,"Y__256251__258428",5
"chr10",225934,267296,37,"10__225934__267296",37
"chr10",255829,267296,1,"10__255829__267296",1
"chr10",266577,267296,4,"10__266577__267296",4
"chr10",267135,267296,1,"10__267135__267296",1
"chr16",249061,270746,1,"16__249061__270746",1
"chr16",258077,270746,3,"16__258077__270746",3
"chrY",272140,272325,1,"Y__272140__272325",1
"chrY",272140,273067,33,"Y__272140__273067",33
"chr12",273443,273496,1,"12__273443__273496",1
"chr2",271866,277372,1,"2__271866__277372",1
"chr10",267135,282855,1,"10__267135__282855",1
