"index","chr","start","end","count"
"18__116842__117304","18",116842,117304,1
"18__116842__118504","18",116842,118504,1
"16__138697__143323","16",138697,143323,1
"16__148143__150507","16",148143,150507,2
"17__169211__177370","17",169211,177370,1
"18__163308__180339","18",163308,180339,1
"18__192842__199316","18",192842,199316,1
"18__196637__204692","18",196637,204692,1
"11__230452__233534","11",230452,233534,1
"10__225934__255988","10",225934,255988,2
"16__256003__258187","16",256003,258187,1
"10__225934__267296","10",225934,267296,3
"10__255829__267296","10",255829,267296,1
"10__225934__295028","10",225934,295028,2
"16__299548__310159","16",299548,310159,1
"19__311845__313643","19",311845,313643,1
"16__299548__313774","16",299548,313774,1
"16__313699__313774","16",313699,313774,1
"16__277241__334792","16",277241,334792,1
"18__346295__348163","18",346295,348163,1
"10__355971__395394","10",355971,395394,1
"10__387139__395394","10",387139,395394,1
"16__396148__397106","16",396148,397106,4
"10__412215__430086","10",412215,430086,1
"12__459787__461490","12",459787,461490,4
"12__459787__475270","12",459787,475270,2
"12__472129__475270","12",472129,475270,1
"12__459787__493319","12",459787,493319,1
"10__465005__518489","10",465005,518489,1
"12__520913__527802","12",520913,527802,1
"17__526773__530556","17",526773,530556,1
"10__486811__532470","10",486811,532470,3
"10__518379__532470","10",518379,532470,7
"11__533766__533944","11",533766,533944,1
"19__535837__535923","19",535837,535923,1
"12__520913__538031","12",520913,538031,1
"16__532525__539000","16",532525,539000,1
"16__532525__546859","16",532525,546859,1
"12__520913__547720","12",520913,547720,2
"12__537935__547720","12",537935,547720,1
"19__580646__580782","19",580646,580782,2
"11__601574__601701","11",601574,601701,1
"17__600658__613853","17",600658,613853,1
"19__617777__617849","19",617777,617849,1
"19__648372__650296","19",648372,650296,1
"19__648882__650296","19",648882,650296,1
"11__653962__654051","11",653962,654051,1
"18__669072__669173","18",669072,669173,1
"11__678694__681089","11",678694,681089,1
"17__686323__686567","17",686323,686567,1
"11__678694__688460","11",678694,688460,1
"11__678694__691598","11",678694,691598,1
"18__685921__694334","18",685921,694334,1
