"index","chr","start","end","count"
"18__163308__163453","18",163308,163453,1
"18__216486__224179","18",216486,224179,1
"10__225934__255988","10",225934,255988,1
"16__249061__258187","16",249061,258187,3
"19__287474__288171","19",287474,288171,1
"19__311845__313643","19",311845,313643,1
"10__372946__395394","10",372946,395394,1
"16__396148__397106","16",396148,397106,1
"10__459853__465139","10",459853,465139,1
"12__459787__465703","12",459787,465703,1
"11__500484__504996","11",500484,504996,1
"11__597395__598502","11",597395,598502,1
"11__678694__681089","11",678694,681089,1
"11__679688__681089","11",679688,681089,2
"11__686858__688460","11",686858,688460,1
"18__685921__697355","18",685921,697355,1
"16__718353__721203","16",718353,721203,1
"17__722679__729318","17",722679,729318,1
"1__871152__874792","1",871152,874792,4
"1__874420__874792","1",874420,874792,1
"10__875325__890995","10",875325,890995,1
"10__909683__910210","10",909683,910210,2
"10__888872__931700","10",888872,931700,1
"12__992561__992734","12",992561,992734,8
"11__992503__994245","11",992503,994245,2
"16__1004357__1004666","16",1004357,1004666,3
"11__985432__1009216","11",985432,1009216,1
"17__986760__1028702","17",986760,1028702,1
"10__1046617__1051847","10",1046617,1051847,1
"19__1105185__1106265","19",1105185,1106265,1
"10__1125951__1126046","10",1125951,1126046,1
"10__1125951__1132297","10",1125951,1132297,1
"12__1136914__1137738","12",1136914,1137738,2
"10__1130343__1142186","10",1130343,1142186,1
"10__1123847__1151207","10",1123847,1151207,1
"1__1192372__1203372","1",1192372,1203372,1
"12__1219358__1250953","12",1219358,1250953,1
"1__1273357__1277864","1",1273357,1277864,1
"11__1309854__1310006","11",1309854,1310006,1
"1__1389725__1417683","1",1389725,1417683,1
"1__1424584__1426051","1",1424584,1426051,1
"17__1437393__1444934","17",1437393,1444934,1
"17__1437393__1456443","17",1437393,1456443,2
"12__1480999__1553916","12",1480999,1553916,1
"16__1607936__1634421","16",1607936,1634421,1
"16__1636131__1637305","16",1636131,1637305,1
"16__1652371__1657298","16",1652371,1657298,1
"17__1690104__1690898","17",1690104,1690898,1
"17__1703151__1704318","17",1703151,1704318,3
"17__1747214__1747980","17",1747214,1747980,5
"17__1747214__1780608","17",1747214,1780608,1
"17__1778955__1783985","17",1778955,1783985,1
"16__1866894__1873038","16",1866894,1873038,2
"16__2106645__2108874","16",2106645,2108874,1
"16__2115520__2130378","16",2115520,2130378,2
"16__2126069__2130378","16",2126069,2130378,1
"19__1295544__2269743","19",1295544,2269743,1
"19__2271384__2271953","19",2271384,2271953,1
"19__2271781__2272819","19",2271781,2272819,1
"1__2317246__2317336","1",2317246,2317336,1
"1__2327223__2333781","1",2327223,2333781,1
"17__2367502__2381179","17",2367502,2381179,2
"18__2572976__2599170","18",2572976,2599170,1
"16__2607704__2616454","16",2607704,2616454,1
"16__2807782__2807946","16",2807782,2807946,1
"18__2890559__2892484","18",2890559,2892484,1
"19__2936522__2939405","19",2936522,2939405,1
"12__2983143__2983691","12",2983143,2983691,1
"11__2991033__2993473","11",2991033,2993473,1
"11__2972489__2997353","11",2972489,2997353,2
"11__2991033__2999572","11",2991033,2999572,1
"10__3200232__3202522","10",3200232,3202522,1
"19__3660964__3661999","19",3660964,3661999,8
"1__3656797__3662745","1",3656797,3662745,2
"16__3726037__3739138","16",3726037,3739138,1
"11__3752621__3752808","11",3752621,3752808,1
"11__3752621__3765879","11",3752621,3765879,3
"11__3784132__3794969","11",3784132,3794969,1
"16__3786037__3795355","16",3786037,3795355,1
"11__3794862__3797251","11",3794862,3797251,2
"16__3900298__3901010","16",3900298,3901010,5
"17__3969741__3976050","17",3969741,3976050,5
"19__3979806__3980977","19",3979806,3980977,1
"19__3981945__3982050","19",3981945,3982050,1
"16__4029117__4033441","16",4029117,4033441,2
"17__4120278__4139185","17",4120278,4139185,2
"17__4120278__4145743","17",4120278,4145743,1
"17__4186093__4200109","17",4186093,4200109,1
"17__4186093__4210418","17",4186093,4210418,1
"19__4405909__4409756","19",4405909,4409756,1
"19__4422563__4423871","19",4422563,4423871,1
"19__4430546__4432204","19",4430546,4432204,1
"17__4448321__4448470","17",4448321,4448470,1
"16__4457502__4458252","16",4457502,4458252,1
"19__4688769__4694835","19",4688769,4694835,1
"16__4701964__4707364","16",4701964,4707364,1
"16__4731551__4733933","16",4731551,4733933,1
"17__4781612__4789260","17",4781612,4789260,1
"12__4763458__4791466","12",4763458,4791466,1
"19__5039847__5041262","19",5039847,5041262,1
"19__5032877__5047680","19",5032877,5047680,1
"19__5047487__5082515","19",5047487,5082515,3
"19__5131087__5138081","19",5131087,5138081,1
"19__5082378__5150461","19",5082378,5150461,1
"17__5266207__5271763","17",5266207,5271763,1
"17__5336613__5341593","17",5336613,5341593,1
"17__5364259__5365866","17",5364259,5365866,5
"17__5353523__5367009","17",5353523,5367009,1
"19__5598804__5604947","19",5598804,5604947,1
"19__5604594__5604947","19",5604594,5604947,5
"19__5610006__5613538","19",5610006,5613538,1
"19__5641605__5641957","19",5641605,5641957,1
"19__5653126__5653275","19",5653126,5653275,1
"19__5653126__5654211","19",5653126,5654211,1
"19__5653126__5654467","19",5653126,5654467,1
"19__5713145__5714282","19",5713145,5714282,1
"10__5815805__5842668","10",5815805,5842668,1
"10__5827105__5842668","10",5827105,5842668,3
"10__5836848__5842668","10",5836848,5842668,3
"10__5838726__5842668","10",5838726,5842668,1
"10__5944983__5951257","10",5944983,5951257,1
"10__5944983__5953091","10",5944983,5953091,1
"1__5987709__6012896","1",5987709,6012896,1
"1__6007164__6038473","1",6007164,6038473,1
"1__5964677__6046387","1",5964677,6046387,1
"1__6021854__6046387","1",6021854,6046387,1
"1__6027359__6046387","1",6027359,6046387,1
"10__6143234__6148201","10",6143234,6148201,2
"19__6222132__6227113","19",6222132,6227113,1
"19__6230581__6270770","19",6230581,6270770,3
"17__6350783__6351078","17",6350783,6351078,1
"17__6563244__6564701","17",6563244,6564701,1
"1__6592028__6592820","1",6592028,6592820,1
"1__6655545__6659512","1",6655545,6659512,1
"1__6659107__6659512","1",6659107,6659512,2
"19__6742978__6743847","19",6742978,6743847,1
"12__6859014__6859471","12",6859014,6859471,2
"1__6880241__6885270","1",6880241,6885270,1
"18__7032983__7040235","18",7032983,7040235,1
"10__7285520__7327916","10",7285520,7327916,13
"10__7318854__7327916","10",7318854,7327916,3
"10__7325866__7327916","10",7325866,7327916,24
"12__7343822__7356147","12",7343822,7356147,1
"10__7409611__7412337","10",7409611,7412337,4
"10__7409611__7423911","10",7409611,7423911,5
"10__7816794__7822141","10",7816794,7822141,1
"1__7837220__7837378","1",7837220,7837378,2
"1__7837220__7838229","1",7837220,7838229,4
"10__7839010__7844388","10",7839010,7844388,2
"17__7849046__7849304","17",7849046,7849304,1
"17__8141349__8141947","17",8141349,8141947,1
"11__8457041__8486369","11",8457041,8486369,4
"19__8520289__8520458","19",8520289,8520458,1
"19__8536210__8539128","19",8536210,8539128,4
"1__8555123__8568734","1",8555123,8568734,1
"1__8568686__8617582","1",8568686,8617582,1
"1__8601273__8617582","1",8601273,8617582,5
"1__8525985__8674745","1",8525985,8674745,2
"1__8555123__8674745","1",8555123,8674745,3
"1__8617477__8674745","1",8617477,8674745,1
"1__8616534__8684439","1",8616534,8684439,1
"1__8568686__8716500","1",8568686,8716500,1
"1__8716032__8716500","1",8716032,8716500,10
"18__8718422__8720494","18",8718422,8720494,3
"16__8729025__8736422","16",8729025,8736422,1
"16__8729025__8738582","16",8729025,8738582,1
"11__8734098__8739439","11",8734098,8739439,1
"11__8772168__8832882","11",8772168,8832882,1
"12__8866407__8866637","12",8866407,8866637,2
"12__8866407__8906689","12",8866407,8906689,1
"16__9014216__9017270","16",9014216,9017270,1
"16__9014216__9024254","16",9014216,9024254,2
"18__9182380__9221997","18",9182380,9221997,1
"18__9195549__9221997","18",9195549,9221997,2
"18__9204474__9221997","18",9204474,9221997,1
"1__9991949__9994918","1",9991949,9994918,1
"11__10013962__10019926","11",10013962,10019926,1
"1__10132086__10161253","1",10132086,10161253,1
"1__10155519__10182134","1",10155519,10182134,1
"1__10195046__10197263","1",10195046,10197263,1
"1__10209242__10211619","1",10209242,10211619,1
"1__10209242__10221344","1",10209242,10221344,2
"19__10227760__10229847","19",10227760,10229847,1
"19__10264969__10267185","19",10264969,10267185,1
"19__10260129__10271094","19",10260129,10271094,1
"19__10262074__10271094","19",10262074,10271094,1
"19__10260129__10273424","19",10260129,10273424,1
"19__10284547__10288043","19",10284547,10288043,1
"1__10471475__10473308","1",10471475,10473308,1
"1__10527247__10529395","1",10527247,10529395,1
"11__10540581__10555752","11",10540581,10555752,1
"19__11015627__11019883","19",11015627,11019883,1
"19__11018715__11019883","19",11018715,11019883,2
"19__11024553__11027173","19",11024553,11027173,1
"16__11063018__11076848","16",11063018,11076848,2
"12__11199619__11199787","12",11199619,11199787,1
"19__11230768__11231198","19",11230768,11231198,1
"1__11307682__11308151","1",11307682,11308151,1
"11__11394062__11400811","11",11394062,11400811,2
"19__11606765__11606980","19",11606765,11606980,1
"19__11623871__11625036","19",11623871,11625036,2
"16__11815433__11830089","16",11815433,11830089,1
"16__11940358__11941663","16",11940358,11941663,1
"17__11958206__11984847","17",11958206,11984847,2
"16__11976872__11990639","16",11976872,11990639,1
"16__11984919__11990639","16",11984919,11990639,1
"16__11988811__11990639","16",11988811,11990639,3
"16__11990415__11990639","16",11990415,11990639,4
"16__11979038__11991892","16",11979038,11991892,1
"17__11998892__12016677","17",11998892,12016677,1
"1__12016974__12018704","1",12016974,12018704,1
"10__12041905__12056183","10",12041905,12056183,1
"1__12061458__12069783","1",12061458,12069783,2
"10__12123471__12126750","10",12123471,12126750,1
"10__12123471__12129728","10",12123471,12129728,1
"10__12123471__12131254","10",12123471,12131254,1
"10__12123471__12133683","10",12123471,12133683,2
"10__12130985__12133683","10",12130985,12133683,2
"10__12123471__12136270","10",12123471,12136270,5
"10__12123471__12139995","10",12123471,12139995,3
"10__12123471__12143180","10",12123471,12143180,3
"10__12154899__12159754","10",12154899,12159754,1
"10__12123471__12162266","10",12123471,12162266,5
"10__12136072__12162266","10",12136072,12162266,1
"10__12198906__12203120","10",12198906,12203120,1
"10__12272947__12279265","10",12272947,12279265,1
"12__12397196__12397589","12",12397196,12397589,3
"19__12787922__12788210","19",12787922,12788210,1
"19__12790271__12791139","19",12790271,12791139,3
"19__12825635__12826553","19",12825635,12826553,2
"18__12999420__13008630","18",12999420,13008630,1
"19__13039156__13039477","19",13039156,13039477,3
"19__13039156__13039661","19",13039156,13039661,4
"18__12999420__13042333","18",12999420,13042333,1
"18__13048858__13053089","18",13048858,13053089,2
"18__12999420__13113704","18",12999420,13113704,1
"19__13135835__13136366","19",13135835,13136366,1
"10__13214376__13214765","10",13214376,13214765,2
"10__13214376__13217681","10",13214376,13217681,1
"10__13214376__13225100","10",13214376,13225100,1
"10__13214625__13225100","10",13214625,13225100,1
