"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:871152|874792","chr1",871152,874792,1,"1_1_0",245,0.008,"exon","ENSG00000187634,","+","SRR1562287.6162860,","1__871152__874792",1
"chr1:957581|987195","chr1",957581,987195,1,"1_1_0",110,0.018,"exon","ENSG00000188157,","+","SRR1567915.5638517,","1__957581__987195",1
"chr1:1158624|1159348","chr1",1158624,1159348,45,"20_24_0",625,0.126,"exon","ENSG00000078808,","-","SRR1562287.4970649,SRR1562287.5587966,SRR1562287.7267708,SRR1562287.7527364,SRR1562287.7709666,SRR1562287.9734841,SRR1562287.11008561,SRR1562287.12603682,SRR1562287.13642197,SRR1562287.15670920,SRR1567913.776413,SRR1567913.3874639,SRR1567913.3897002,SRR1567913.5518522,SRR1567913.5711867,SRR1567913.6820338,SRR1567913.7556481,SRR1567914.3061754,SRR1567914.9085022,SRR1567914.12618927,SRR1567914.12666773,SRR1567914.12939852,SRR1567915.4634593,SRR1567915.8312050,SRR1562287.2601688,SRR1562287.3372359,SRR1562287.11652948,SRR1562287.11852611,SRR1562287.13521736,SRR1562287.14801050,SRR1562287.14955326,SRR1567913.431092,SRR1567913.2687074,SRR1567913.5026307,SRR1567913.8274899,SRR1567913.8411847,SRR1567914.1232306,SRR1567914.2895746,SRR1567914.3393059,SRR1567914.5216310,SRR1567914.6812899,SRR1567914.6973042,SRR1567914.8516216,SRR1567914.10139425,SRR1567915.11239361,","1__1158624__1159348",45
"chr1:1191425|1192413","chr1",1191425,1192413,2,"2_0_2",612,0.006,"exon","ENSG00000160087,","-","SRR1562287.12619806,SRR1567915.12567669,","1__1191425__1192413",2
"chr1:1191425|1203372","chr1",1191425,1203372,2,"2_1_0",447,0.009,"exon","ENSG00000160087,","-","SRR1567913.56748,SRR1567913.4095008,","1__1191425__1203372",2
"chr1:1192372|1192690","chr1",1192372,1192690,11,"9_7_0",471,0.045,"exon","ENSG00000160087,","-","SRR1562287.1089011,SRR1562287.14820519,SRR1567915.913509,SRR1567915.5832450,SRR1567915.8431773,SRR1567915.10723269,SRR1562287.7873966,SRR1562287.11367786,SRR1567914.6389830,SRR1567914.12132320,SRR1567914.12926811,","1__1192372__1192690",11
"chr1:1192372|1203372","chr1",1192372,1203372,6,"5_4_0",420,0.028,"exon","ENSG00000160087,","-","SRR1562287.10631213,SRR1562287.14494934,SRR1567915.7230480,SRR1562287.6422004,SRR1567913.11727015,SRR1567915.12099777,","1__1192372__1203372",6
"chr1:1250204|1250342","chr1",1250204,1250342,1,"0_1_1",505,0.004,"exon","ENSG00000127054,","-","SRR1562287.3573206,","1__1250204__1250342",1
"chr1:1309410|1309546","chr1",1309410,1309546,4,"3_3_0",2502,0.003,"exon","ENSG00000175756,","-","SRR1562287.3957641,SRR1567914.10071300,SRR1562287.8812644,SRR1567913.9278596,","1__1309410__1309546",4
"chr1:1322615|1326245","chr1",1322615,1326245,7,"7_3_0",469,0.029,"exon","ENSG00000221978,","-","SRR1562287.576725,SRR1562287.11490602,SRR1567913.2503392,SRR1562287.1754713,SRR1567913.4837925,SRR1567913.8106119,SRR1567913.11045065,","1__1322615__1326245",7
