"chr","start","end","count","index"
"chrM",654,875,1,"M__655__875"
"chrM",757,921,1,"M__758__921"
"chrM",779,921,1,"M__780__921"
"chrM",819,921,1,"M__820__921"
"chrM",750,937,1,"M__751__937"
"chrM",793,937,1,"M__794__937"
"chrM",798,937,1,"M__799__937"
"chrM",819,937,1,"M__820__937"
"chrM",648,961,1,"M__649__961"
"chrM",696,961,1,"M__697__961"
"chrM",738,961,1,"M__739__961"
"chrM",754,961,1,"M__755__961"
"chrM",767,961,1,"M__768__961"
"chrM",787,961,1,"M__788__961"
"chrM",804,961,2,"M__805__961"
"chrM",844,961,1,"M__845__961"
"chrM",810,974,1,"M__811__974"
"chrM",981,1101,2,"M__982__1101"
"chrM",1085,1174,2,"M__1086__1174"
"chrM",1085,1235,12,"M__1086__1235"
"chrM",1107,1235,4,"M__1108__1235"
"chrM",1125,1235,1,"M__1126__1235"
"chrM",1085,1243,6,"M__1086__1243"
"chrM",1090,1243,3,"M__1091__1243"
"chrM",1107,1243,1,"M__1108__1243"
"chrM",1081,1308,5,"M__1082__1308"
"chrM",1290,1420,1,"M__1291__1420"
"chrM",721,1490,3,"M__722__1490"
"chrM",953,1490,2,"M__954__1490"
"chrM",932,1560,1,"M__933__1560"
"chrM",1679,1834,348,"M__1680__1834"
"chrM",1691,1834,1,"M__1692__1834"
"chrM",1700,1847,10,"M__1701__1847"
"chrM",1691,1896,27,"M__1692__1896"
"chrM",1727,1896,11,"M__1728__1896"
"chrM",1673,1950,1,"M__1674__1950"
"chrM",1683,1950,1,"M__1684__1950"
"chrM",1711,1950,1,"M__1712__1950"
"chrM",1721,1950,1,"M__1722__1950"
"chrM",1749,1950,1,"M__1750__1950"
"chrM",1793,1950,1,"M__1794__1950"
"chrM",1832,1950,3,"M__1833__1950"
"chrM",1691,1952,1,"M__1692__1952"
"chrM",1839,1952,1,"M__1840__1952"
"chrM",1896,1983,3,"M__1897__1983"
"chrM",1727,1998,1,"M__1728__1998"
"chrM",1839,1998,1,"M__1840__1998"
"chrM",738,2080,6,"M__739__2080"
"chrM",1481,2080,1,"M__1482__2080"
"chrM",1870,2083,2,"M__1871__2083"
"chrM",1998,2138,37,"M__1999__2138"
"chrM",1983,2141,33,"M__1984__2141"
"chrM",1934,2150,1,"M__1935__2150"
"chrM",1793,2171,1,"M__1794__2171"
"chrM",1903,2177,2,"M__1904__2177"
"chrM",2063,2226,3,"M__2064__2226"
"chrM",2068,2226,2,"M__2069__2226"
"chrM",2063,2277,1,"M__2064__2277"
"chrM",2113,2277,1,"M__2114__2277"
"chrM",2219,2387,2,"M__2220__2387"
"chrM",2226,2387,2,"M__2227__2387"
"chrM",2254,2416,1,"M__2255__2416"
"chrM",2263,2420,1,"M__2264__2420"
