"sample","index","chr","start","end","count","cell"
"SRR567525","21__17763934__17979407","21",17763934,17979407,1,"HELA"
"SRR567525","X__19428042__19725102","X",19428042,19725102,1,"HELA"
"SRR567525","14__23532691__23532762","14",23532691,23532762,2,"HELA"
"SRR567525","7__30590252__30614497","7",30590252,30614497,1,"HELA"
"SRR567525","10__31784705__31803636","10",31784705,31803636,3,"HELA"
"SRR567525","9__33960824__33973235","9",33960824,33973235,1,"HELA"
"SRR567525","11__34104372__34104588","11",34104372,34104588,3,"HELA"
"SRR567525","17__37646836__37657629","17",37646836,37657629,2,"HELA"
"SRR567525","13__41556119__41556418","13",41556119,41556418,4,"HELA"
"SRR567525","6__44060855__44060952","6",44060855,44060952,2,"HELA"
"SRR567525","6__47501338__47512442","6",47501338,47512442,3,"HELA"
"SRR567525","6__56707853__56765419","6",56707853,56765419,2,"HELA"
"SRR567525","11__61068361__61076538","11",61068361,61076538,1,"HELA"
"SRR567525","X__76907604__76912143","X",76907604,76912143,2,"HELA"
"SRR567525","16__78142320__78143732","16",78142320,78143732,4,"HELA"
"SRR567525","16__80718435__80719026","16",80718435,80719026,3,"HELA"
"SRR567525","10__93740211__93788686","10",93740211,93788686,2,"HELA"
"SRR567525","8__128750538__128753210","8",128750538,128753210,1,"HELA"
"SRR567525","2__141356334__141359138","2",141356334,141359138,5,"HELA"
"SRR567525","8__144887885__144888260","8",144887885,144888260,2,"HELA"
"SRR567525","1__161176214__161176298","1",161176214,161176298,1,"HELA"
"SRR567526","1__19570108__19570509","1",19570108,19570509,1,"HELA"
"SRR567526","5__40764616__40777688","5",40764616,40777688,1,"HELA"
"SRR567526","X__53600710__53607908","X",53600710,53607908,2,"HELA"
"SRR567526","9__74484999__74489999","9",74484999,74489999,1,"HELA"
"SRR567526","11__111839317__111844784","11",111839317,111844784,3,"HELA"
"SRR567526","3__131100673__131100786","3",131100673,131100786,1,"HELA"
"SRR567526","1__150915372__150915529","1",150915372,150915529,1,"HELA"
"SRR567526","3__186504916__186505373","3",186504916,186505373,2,"HELA"
"SRR944646","Un_gl000220__118000__118097","Un_gl000220",118000,118097,1,"HELA"
"SRR944646","Un_gl000220__117997__118295","Un_gl000220",117997,118295,1,"HELA"
"SRR944646","Un_gl000220__118260__118321","Un_gl000220",118260,118321,10,"HELA"
"SRR944646","11__870121__893519","11",870121,893519,2,"HELA"
"SRR944646","5__1486234__1486388","5",1486234,1486388,1,"HELA"
"SRR944646","Y__2354744__2354957","Y",2354744,2354957,1,"HELA"
"SRR944646","16__2569789__2570160","16",2569789,2570160,1,"HELA"
"SRR944646","16__2815375__2815540","16",2815375,2815540,1,"HELA"
"SRR944646","7__6194378__6194490","7",6194378,6194490,1,"HELA"
"SRR944646","2__9484661__9499018","2",9484661,9499018,1,"HELA"
"SRR944646","19__10395551__10395867","19",10395551,10395867,1,"HELA"
"SRR944646","22__44891005__44891959","22",44891005,44891959,1,"HELA"
"SRR944646","1__47184253__47184542","1",47184253,47184542,1,"HELA"
"SRR944646","21__47811189__47822397","21",47811189,47822397,1,"HELA"
"SRR944646","19__50102601__50102756","19",50102601,50102756,1,"HELA"
"SRR944646","20__61341091__61341502","20",61341091,61341502,1,"HELA"
"SRR944646","16__87865528__87866102","16",87865528,87866102,1,"HELA"
"SRR944646","16__88453450__88454021","16",88453450,88454021,1,"HELA"
"SRR944646","9__131150100__131152623","9",131150100,131152623,1,"HELA"
"SRR944646","9__131938977__131939164","9",131938977,131939164,1,"HELA"
"SRR944646","9__139006968__139008180","9",139006968,139008180,1,"HELA"
"SRR944646","3__155547491__155547614","3",155547491,155547614,1,"HELA"
"SRR944647","19__18304718__18307177","19",18304718,18307177,1,"HELA"
"SRR944647","6__35394583__35394772","6",35394583,35394772,1,"HELA"
"SRR944647","16__74485901__74486225","16",74485901,74486225,1,"HELA"
"SRR944647","10__75531346__75531654","10",75531346,75531654,1,"HELA"
"SRR944647","2__96916779__96918641","2",96916779,96918641,1,"HELA"
"SRR944647","1__234742875__234743586","1",234742875,234743586,1,"HELA"
"SRR944648","4__7764442__7764638","4",7764442,7764638,1,"HELA"
"SRR944648","19__58968381__58968816","19",58968381,58968816,1,"HELA"
"SRR1198832","14__23769552__23769802","14",23769552,23769802,1,"HEK293T"
"SRR1198832","15__29992808__29993038","15",29992808,29993038,1,"HEK293T"
"SRR1198832","1__32381492__32385259","1",32381492,32385259,2,"HEK293T"
"SRR1198832","13__41894803__41910892","13",41894803,41910892,1,"HEK293T"
"SRR1198832","7__87183077__87196292","7",87183077,87196292,4,"HEK293T"
"SRR1198832","11__92495106__92495336","11",92495106,92495336,1,"HEK293T"
"SRR1198832","9__112856392__112856608","9",112856392,112856608,6,"HEK293T"
"SRR1198832","3__119242551__119242680","3",119242551,119242680,4,"HEK293T"
"SRR1198832","5__137320946__137324004","5",137320946,137324004,2,"HEK293T"
"SRR1198833","7__3479701__3480740","7",3479701,3480740,1,"HEK293T"
"SRR1198834","2__152331666__152331725","2",152331666,152331725,1,"HEK293T"
"SRR1198835","7__138831730__138833123","7",138831730,138833123,1,"HEK293T"
"SRR1198837","16__16180681__16184445","16",16180681,16184445,1,"HEK293T"
"SRR1198837","22__36690279__36690337","22",36690279,36690337,1,"HEK293T"
"SRR1198838","X__13763873__13764052","X",13763873,13764052,1,"HEK293T"
"SRR1198839","22__50857853__50860708","22",50857853,50860708,1,"HEK293T"
"SRR1198839","3__133293883__133305566","3",133293883,133305566,1,"HEK293T"
"SRR1910480","Un_gl000220__109186__110227","Un_gl000220",109186,110227,1,"HEK293"
"SRR1910480","Un_gl000220__110648__110724","Un_gl000220",110648,110724,1,"HEK293"
"SRR1910480","Un_gl000220__117902__117946","Un_gl000220",117902,117946,1,"HEK293"
"SRR1910480","Un_gl000220__109186__117977","Un_gl000220",109186,117977,1,"HEK293"
"SRR1910480","Un_gl000220__117882__117983","Un_gl000220",117882,117983,1,"HEK293"
"SRR1910480","Un_gl000220__117897__117983","Un_gl000220",117897,117983,4,"HEK293"
"SRR1910480","Un_gl000220__117902__117983","Un_gl000220",117902,117983,2,"HEK293"
"SRR1910480","Un_gl000220__118066__118321","Un_gl000220",118066,118321,6,"HEK293"
"SRR1910480","Un_gl000220__117908__118333","Un_gl000220",117908,118333,2,"HEK293"
"SRR1910480","Un_gl000220__118066__118351","Un_gl000220",118066,118351,1,"HEK293"
"SRR1910480","Un_gl000220__118066__118355","Un_gl000220",118066,118355,3,"HEK293"
"SRR1910480","Un_gl000220__118407__118497","Un_gl000220",118407,118497,3,"HEK293"
"SRR1910480","Un_gl000220__109186__153990","Un_gl000220",109186,153990,2,"HEK293"
"SRR1910480","Un_gl000220__110585__154700","Un_gl000220",110585,154700,1,"HEK293"
"SRR1910480","Un_gl000220__110648__154700","Un_gl000220",110648,154700,22,"HEK293"
"SRR1910480","Un_gl000220__117882__161544","Un_gl000220",117882,161544,1,"HEK293"
"SRR1910480","19__335028__335103","19",335028,335103,1,"HEK293"
"SRR1910480","16__570146__570219","16",570146,570219,1,"HEK293"
"SRR1910480","11__572059__572114","11",572059,572114,1,"HEK293"
"SRR1910480","16__587067__587144","16",587067,587144,2,"HEK293"
"SRR1910480","16__738685__738826","16",738685,738826,2,"HEK293"
"SRR1910480","19__906632__906739","19",906632,906739,2,"HEK293"
"SRR1910480","16__1551339__1551416","16",1551339,1551416,1,"HEK293"
"SRR1910480","16__1560165__1560280","16",1560165,1560280,2,"HEK293"
"SRR1910480","4__1730170__1730559","4",1730170,1730559,1,"HEK293"
"SRR1910480","19__1977094__1977277","19",1977094,1977277,3,"HEK293"
"SRR1910480","16__2015181__2015312","16",2015181,2015312,2,"HEK293"
"SRR1910480","19__2132522__2132584","19",2132522,2132584,1,"HEK293"
"SRR1910480","2__3413340__3413647","2",3413340,3413647,2,"HEK293"
"SRR1910480","10__5895558__5895710","10",5895558,5895710,1,"HEK293"
"SRR1910480","11__6617951__6618749","11",6617951,6618749,1,"HEK293"
"SRR1910480","1__6659642__6661284","1",6659642,6661284,1,"HEK293"
"SRR1910480","21__9827113__9827424","21",9827113,9827424,3,"HEK293"
"SRR1910480","20__13442158__13442447","20",13442158,13442447,2,"HEK293"
"SRR1910480","19__14580827__14580950","19",14580827,14580950,1,"HEK293"
"SRR1910480","17__15308780__15308843","17",15308780,15308843,1,"HEK293"
"SRR1910480","1__16260557__16261050","1",16260557,16261050,1,"HEK293"
"SRR1910480","11__17097336__17097416","11",17097336,17097416,4,"HEK293"
"SRR1910480","17__18888896__18889053","17",18888896,18889053,5,"HEK293"
"SRR1910480","19__19105503__19106041","19",19105503,19106041,1,"HEK293"
"SRR1910480","19__19245547__19245680","19",19245547,19245680,3,"HEK293"
"SRR1910480","2__20832173__20832287","2",20832173,20832287,2,"HEK293"
"SRR1910480","6__28239674__28239736","6",28239674,28239736,2,"HEK293"
"SRR1910480","1__28835172__28835274","1",28835172,28835274,1,"HEK293"
"SRR1910480","1__28906278__28906334","1",28906278,28906334,2,"HEK293"
"SRR1910480","16__30772667__30772772","16",30772667,30772772,1,"HEK293"
"SRR1910480","20__33364094__33364196","20",33364094,33364196,2,"HEK293"
"SRR1910480","9__35657818__35657905","9",35657818,35657905,5,"HEK293"
"SRR1910480","1__36032648__36032751","1",36032648,36032751,1,"HEK293"
"SRR1910480","2__36605500__36623930","2",36605500,36623930,1,"HEK293"
"SRR1910480","20__37078064__37078149","20",37078064,37078149,3,"HEK293"
"SRR1910480","8__37313166__37313355","8",37313166,37313355,1,"HEK293"
"SRR1910480","17__38195707__38195819","17",38195707,38195819,3,"HEK293"
"SRR1910480","15__42211490__42211563","15",42211490,42211563,2,"HEK293"
"SRR1910480","22__42332510__42332623","22",42332510,42332623,2,"HEK293"
"SRR1910480","17__42857244__42857360","17",42857244,42857360,1,"HEK293"
"SRR1910480","7__42971309__42971458","7",42971309,42971458,1,"HEK293"
"SRR1910480","5__43122141__43123412","5",43122141,43123412,1,"HEK293"
"SRR1910480","7__44252474__44252618","7",44252474,44252618,2,"HEK293"
"SRR1910480","21__44475549__44475631","21",44475549,44475631,1,"HEK293"
"SRR1910480","21__45238489__45238636","21",45238489,45238636,1,"HEK293"
"SRR1910480","3__45504669__45504948","3",45504669,45504948,1,"HEK293"
"SRR1910480","11__46098305__46113774","11",46098305,46113774,4,"HEK293"
"SRR1910480","11__47437580__47437797","11",47437580,47437797,1,"HEK293"
"SRR1910480","3__47455799__47456142","3",47455799,47456142,1,"HEK293"
"SRR1910480","21__47960258__47960345","21",47960258,47960345,1,"HEK293"
"SRR1910480","17__48429668__48429738","17",48429668,48429738,1,"HEK293"
"SRR1910480","3__49875960__49876743","3",49875960,49876743,1,"HEK293"
"SRR1910480","22__50631043__50631119","22",50631043,50631119,1,"HEK293"
"SRR1910480","13__51152074__51152137","13",51152074,51152137,2,"HEK293"
"SRR1910480","3__52565553__52566747","3",52565553,52566747,2,"HEK293"
"SRR1910480","20__60979247__60979449","20",60979247,60979449,3,"HEK293"
"SRR1910480","11__61081569__61081676","11",61081569,61081676,1,"HEK293"
"SRR1910480","20__61522709__61522872","20",61522709,61522872,1,"HEK293"
"SRR1910480","11__65190986__65191128","11",65190986,65191128,1,"HEK293"
"SRR1910480","2__65602159__65602489","2",65602159,65602489,1,"HEK293"
"SRR1910480","X__69639703__69639983","X",69639703,69639983,2,"HEK293"
"SRR1910480","6__71567664__71567725","6",71567664,71567725,2,"HEK293"
"SRR1910480","X__73043225__73043318","X",73043225,73043318,3,"HEK293"
"SRR1910480","X__73042127__73045867","X",73042127,73045867,1,"HEK293"
"SRR1910480","X__73063075__73068586","X",73063075,73068586,2,"HEK293"
"SRR1910480","16__73073236__73074021","16",73073236,73074021,1,"HEK293"
"SRR1910480","8__73677023__73677669","8",73677023,73677669,1,"HEK293"
"SRR1910480","11__73924639__73924824","11",73924639,73924824,3,"HEK293"
"SRR1910480","8__75229982__75230046","8",75229982,75230046,2,"HEK293"
"SRR1910480","12__77214838__77216311","12",77214838,77216311,3,"HEK293"
"SRR1910480","7__79768076__79768196","7",79768076,79768196,2,"HEK293"
"SRR1910480","17__80211525__80211598","17",80211525,80211598,1,"HEK293"
"SRR1910480","17__80212772__80212830","17",80212772,80212830,1,"HEK293"
"SRR1910480","17__80909853__80909925","17",80909853,80909925,2,"HEK293"
"SRR1910480","14__81939934__81940037","14",81939934,81940037,1,"HEK293"
"SRR1910480","1__86042391__86042903","1",86042391,86042903,3,"HEK293"
"SRR1910480","1__91852882__91852994","1",91852882,91852994,1,"HEK293"
"SRR1910480","1__91852939__91853061","1",91852939,91853061,3,"HEK293"
"SRR1910480","7__100278589__100278669","7",100278589,100278669,2,"HEK293"
"SRR1910480","X__100668192__100668310","X",100668192,100668310,1,"HEK293"
"SRR1910480","14__104165044__104165117","14",104165044,104165117,3,"HEK293"
"SRR1910480","14__105246516__105258971","14",105246516,105258971,1,"HEK293"
"SRR1910480","7__108244244__108244319","7",108244244,108244319,1,"HEK293"
"SRR1910480","13__108425547__108425628","13",108425547,108425628,1,"HEK293"
"SRR1910480","2__109751935__109752029","2",109751935,109752029,1,"HEK293"
"SRR1910480","4__109811819__109811877","4",109811819,109811877,1,"HEK293"
"SRR1910480","3__113233765__113233858","3",113233765,113233858,1,"HEK293"
"SRR1910480","11__116520282__116520373","11",116520282,116520373,1,"HEK293"
"SRR1910480","10__120789944__120790101","10",120789944,120790101,1,"HEK293"
"SRR1910480","9__127635973__127636395","9",127635973,127636395,2,"HEK293"
"SRR1910480","7__128843225__128846428","7",128843225,128846428,1,"HEK293"
"SRR1910480","12__133209381__133210402","12",133209381,133210402,1,"HEK293"
"SRR1910480","9__134053847__134053911","9",134053847,134053911,1,"HEK293"
"SRR1910480","6__136609442__136609715","6",136609442,136609715,2,"HEK293"
