"chr","start","end","count","index"
"chrM",611,779,1,"M__612__779"
"chrM",6434,6603,1,"M__6435__6603"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",9290,9470,1,"M__9291__9470"
"chrM",9424,9597,1,"M__9425__9597"
"chr4_ctg9_hap1",9755,9860,1,"4_ctg9_hap1__9756__9860"
"chrM",10545,10706,1,"M__10546__10706"
"chrM",11802,11951,1,"M__11803__11951"
"chrUn_gl000222",11698,12288,3,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,7,"Un_gl000222__11828__12288"
"chrM",13306,13436,1,"M__13307__13436"
"chrM",13384,13449,2,"M__13385__13449"
"chrM",13449,13584,1,"M__13450__13584"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13855,14125,1,"M__13856__14125"
"chrM",13999,14131,1,"M__14000__14131"
"chrM",14004,14277,1,"M__14005__14277"
"chrM",14055,14377,1,"M__14056__14377"
"chrM",14067,14413,1,"M__14068__14413"
"chrM",14329,14413,2,"M__14330__14413"
"chrM",14377,14529,1,"M__14378__14529"
"chrM",15335,15382,1,"M__15336__15382"
"chrUn_gl000222",19473,22447,1,"Un_gl000222__19474__22447"
"chr8_gl000196_random",12891,27060,1,"8_gl000196_random__12892__27060"
"chr17_gl000205_random",34444,34569,1,"17_gl000205_random__34445__34569"
"chr7_gl000195_random",44366,44485,2,"7_gl000195_random__44367__44485"
"chrUn_gl000223",47487,47571,1,"Un_gl000223__47488__47571"
"chr17_gl000205_random",36297,47904,1,"17_gl000205_random__36298__47904"
"chr1_gl000191_random",41682,48107,1,"1_gl000191_random__41683__48107"
"chrUn_gl000223",48495,48579,1,"Un_gl000223__48496__48579"
"chr1_gl000191_random",44808,48651,1,"1_gl000191_random__44809__48651"
"chr16",66579,66672,1,"16__66580__66672"
"chrUn_gl000223",42866,67204,1,"Un_gl000223__42867__67204"
"chr16",103938,105523,1,"16__103939__105523"
"chr16",142593,143323,1,"16__142594__143323"
"chr16",148142,150507,3,"16__148143__150507"
"chr7_gl000195_random",151954,156002,1,"7_gl000195_random__151955__156002"
"chrY",150833,159885,3,"Y__150834__159885"
"chrUn_gl000223",160378,160555,1,"Un_gl000223__160379__160555"
"chr8",163120,163710,1,"8__163121__163710"
"chrY",150833,166059,2,"Y__150834__166059"
"chr17_ctg5_hap1",167528,168155,3,"17_ctg5_hap1__167529__168155"
"chr16",162620,169254,1,"16__162621__169254"
"chr16",138696,170461,1,"16__138697__170461"
"chr17",169210,171206,1,"17__169211__171206"
"chr18",163307,180339,1,"18__163308__180339"
"chr18",163307,192900,2,"18__163308__192900"
"chr18",192841,199316,2,"18__192842__199316"
"chr18",196636,199316,3,"18__196637__199316"
"chr18",197615,203190,1,"18__197616__203190"
"chrX",207314,208321,1,"X__207315__208321"
"chrX",200833,216059,3,"X__200834__216059"
"chr5",223596,226162,1,"5__223597__226162"
"chr11",230451,234004,1,"11__230452__234004"
"chr5",225997,240591,1,"5__225998__240591"
"chr4",247348,248626,1,"4__247349__248626"
"chrY",249338,252666,1,"Y__249339__252666"
"chr5",251547,254621,1,"5__251548__254621"
"chr10",225933,255988,2,"10__225934__255988"
"chr16",256002,256577,1,"16__256003__256577"
"chr16",242925,258187,2,"16__242926__258187"
"chr16",256002,258187,1,"16__256003__258187"
"chrY",249338,258428,2,"Y__249339__258428"
"chrY",256250,258428,1,"Y__256251__258428"
"chr16",262935,263057,1,"16__262936__263057"
"chr10",225933,267296,6,"10__225934__267296"
"chr10",255828,267296,1,"10__255829__267296"
"chr10",266576,267296,1,"10__266577__267296"
"chr16",249060,270746,1,"16__249061__270746"
"chrY",249338,272325,1,"Y__249339__272325"
"chrY",272139,273067,2,"Y__272140__273067"
"chr11",291113,291245,1,"11__291114__291245"
"chr10",225933,293406,1,"10__225934__293406"
"chr10",225933,295028,2,"10__225934__295028"
"chr10",287960,295028,1,"10__287961__295028"
"chrX",299338,302666,1,"X__299339__302666"
"chrX",299338,308428,3,"X__299339__308428"
"chrX",306250,308428,1,"X__306251__308428"
"chr16",299547,310159,1,"16__299548__310159"
"chr16",299547,313774,1,"16__299548__313774"
"chr5",306756,314711,1,"5__306757__314711"
"chrX",299338,322325,6,"X__299339__322325"
