"index","count"
"1__10032076__10041228",3
"1__100335956__100343384",1
"1__100515465__100527505",1
"1__100515465__100544104",1
"1__100671786__100706440",1
"1__100905488__100928437",1
"1__101372408__101387397",3
"1__101379219__101387397",1
"1__10155519__10165802",1
"1__10161166__10190871",1
"1__10177517__10179671",1
"1__10177517__10195244",1
"1__10186852__10195244",1
"1__10316305__10342591",1
"1__10318551__10322028",1
"1__10327438__10328321",2
"1__10331560__10338186",1
"1__10380101__10384953",1
"1__104108057__104118162",2
"1__10500404__10502498",1
"1__108226110__108247683",1
"1__108690901__108703915",1
"1__109325044__109340859",1
"1__109428129__109446876",1
"1__109477247__109493060",1
"1__109547214__109554340",1
"1__109878862__109912211",1
"1__109952550__109957985",1
"1__110551656__110553979",1
"1__11130957__11137005",2
"1__11133991__11137005",1
"1__11133991__11137708",1
"1__11136899__11142935",1
"1__111690264__111702149",1
"1__111690264__111703918",1
"1__111690264__111717585",2
"1__11181303__11182183",2
"1__11184555__11193254",1
"1__111998708__112002258",1
"1__11272369__11276291",1
"1__113189832__113196283",1
"1__113196220__113202401",1
"1__113459800__113471974",1
"1__113633940__113638987",1
"1__113633940__113662145",1
"1__113655101__113657498",1
"1__114092137__114128218",1
"1__114184533__114201887",1
"1__114246703__114247419",1
"1__114267381__114269196",1
"1__114495388__114500913",1
"1__115130008__115138494",1
"1__115267842__115267954",1
"1__115267842__115280693",4
"1__115276353__115280693",1
"1__1158624__1159348",6
"1__11715385__11715756",1
"1__117944808__117948267",18
"1__117944808__117957453",31
"1__117944808__117963271",55
"1__117944808__117984947",25
"1__117944808__118009049",2
"1__118035769__118045592",2
"1__118430320__118441838",1
"1__118454616__118461358",2
"1__1192372__1192690",1
"1__1192372__1203372",3
"1__12042027__12061893",1
"1__12049222__12052747",1
"1__120508076__120508189",1
"1__12061458__12062160",2
"1__121115832__121116815",1
"1__12327902__12339707",1
"1__12335882__12338095",4
"1__12339556__12348370",1
"1__12351055__12364785",1
"1__12359259__12368698",2
"1__12378129__12382021",1
"1__12378129__12383837",1
"1__12433805__12520451",1
"1__1341189__1341266",1
"1__14042036__14075982",2
"1__14057495__14068652",8
"1__14057495__14075982",4
"1__14104913__14109326",3
"1__1412654__1426051",1
"1__1424584__1426051",1
"1__144148790__144621656",4
"1__144149727__144813844",6
"1__144598512__144607061",2
"1__144598512__144620094",2
"1__144618082__144621656",1
"1__144618082__144813844",5
"1__144909869__144923821",1
"1__144921835__144922638",1
"1__1451392__1451468",1
"1__1451392__1464711",1
"1__145295423__145299939",15
"1__145296357__145301822",1
"1__145298155__145303982",6
"1__145323654__145366999",33
"1__145328375__145366999",3
"1__145362097__145366230",13
"1__145608108__145609356",1
"1__1461841__1464711",1
"1__146399555__146411098",2
"1__146401671__146406601",4
"1__146403655__146408167",2
"1__146406390__146412208",8
"1__146724278__146731572",3
"1__146726525__146731572",1
"1__146739085__146757164",1
"1__146747017__146747921",1
"1__146747017__146757164",7
"1__146757975__146759412",1
"1__147076570__147078659",1
"1__148005403__148009516",1
"1__148005403__148015797",1
"1__148340238__148344742",3
"1__149931603__149936274",1
"1__150044233__150054967",1
"1__150198940__150201570",1
"1__150202906__150204264",1
"1__150416727__150437203",1
"1__150432536__150437203",1
"1__150464887__150470223",3
"1__150724257__150730456",1
"1__150799019__150807116",1
"1__150997087__150999803",1
"1__150997087__151001420",1
"1__151060666__151079698",1
"1__151139410__151139890",2
"1__151157982__151158426",1
"1__151199796__151205179",2
"1__151206673__151212515",1
"1__151234637__151236504",1
"1__151288049__151288985",4
"1__151611364__151611595",2
"1__151611364__151634746",1
"1__151611364__151641111",4
"1__151611364__151655921",1
"1__151630711__151630903",1
"1__151630711__151641111",1
"1__153598796__153604716",2
"1__153637696__153641033",2
"1__153734046__153737539",1
"1__153784207__153785928",1
"1__154142876__154145677",1
"1__154145384__154145677",1
"1__154145384__154148724",1
"1__154197560__154209087",1
"1__154199758__154218851",1
"1__154207067__154207767",1
"1__154207067__154218851",1
"1__154223517__154224129",2
"1__154238977__154241430",1
"1__155340295__155385714",1
"1__155408118__155408859",7
"1__155408118__155491409",1
"1__155490891__155491409",3
"1__155638418__155644887",1
"1__155644801__155649303",2
"1__155646339__155649303",1
"1__155679564__155695810",1
"1__155695173__155695810",2
"1__155724166__155733355",1
"1__155734791__155736500",2
"1__155737216__155743001",2
"1__155740858__155747611",1
"1__155742857__155747611",1
"1__155790397__155796819",2
"1__155823067__155823597",12
"1__155891166__155893478",1
"1__155896467__155896947",1
"1__155924693__155928187",1
"1__155931452__155932974",1
"1__156230242__156233361",1
"1__156286957__156287338",1
"1__156288659__156303434",1
"1__156294763__156304709",2
"1__156303338__156304709",3
"1__156713444__156715165",1
"1__15844605__15844890",1
"1__15860732__15871078",1
"1__15964802__15970145",1
"1__160206925__160231148",1
"1__160268892__160276283",1
"1__160293221__160302347",1
"1__16093871__16101291",1
"1__161071838__161072165",1
"1__161130410__161133409",7
"1__161293404__161298287",1
"1__16199311__16203173",13
"1__16199311__16237796",1
"1__16237596__16248844",1
"1__162546567__162551249",1
"1__163306541__163318870",1
"1__1647785__1653150",1
"1__1647785__1654270",2
"1__1653035__1654270",1
"1__165712404__165723511",1
"1__165859441__165860559",1
"1__16632298__16641930",1
"1__1666129__1671143",12
"1__167734820__167745403",1
"1__167921038__167944253",1
"1__167935867__167944253",1
"1__168007609__168014465",1
"1__168073715__168074132",1
"1__168073715__168083787",1
"1__16891302__16893846",3
"1__16905688__16910191",9
"1__16907240__16912193",49
"1__16907915__16913756",136
"1__169199956__169256646",1
"1__169267794__169293738",1
"1__1693391__1696885",1
"1__169446393__169446995",2
"1__16957385__16959841",2
"1__169767998__169792613",1
"1__169799400__169812910",1
"1__169941654__169961396",1
"1__170024446__170024577",1
"1__171492360__171502100",2
"1__171492360__171506612",1
"1__171504567__171506612",1
"1__171546573__171546776",1
"1__172011149__172017890",1
"1__172520652__172526934",1
"1__172520652__172548407",1
"1__172522400__172571927",1
"1__172547438__172560211",1
"1__1737914__1770677",1
"1__173939643__173953757",1
"1__174190110__174245073",1
"1__174241552__174340210",1
"1__174244971__174340210",1
"1__1747195__1749314",1
"1__1747195__1756938",2
"1__1747195__1770677",3
"1__1756836__1770677",2
