"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chrY",150833,159885,"circular_RNA/1",0,"+",150833,150833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",1,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrY:148351-150833|chrY:159885-165763","Y__150834__159885",1
"chrY",150833,166059,"circular_RNA/1",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",1,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",1
"chrY",249338,252666,"circular_RNA/1",0,"-",249338,249338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrY:245252-249338|chrY:252666-256250","Y__249339__252666",1
"chrY",249338,258428,"circular_RNA/2",0,"-",249338,249338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",2,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrY:245252-249338|chrY:258428-272139","Y__249339__258428",2
"chrY",249338,272325,"circular_RNA/1",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",1
"chrY",1506624,1507989,"circular_RNA/1",1,"-",1506624,1506624,"0,0,0",1,"1365","0",1,"ciRNA","ASMTL","NM_004192","3","chrY:1504651-1507989","Y__1506625__1507989",1
"chrY",2594300,2606297,"circular_RNA/1",0,"+",2594300,2594300,"0,0,0",2,"114,57","0,11940",1,"circRNA","CD99","NM_001122898","7,8","chrY:2591405-2594300|chrY:2606297-2608819","Y__2594301__2606297",1
"chrX",200833,209885,"circular_RNA/2",0,"+",200833,200833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",2,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrX:198351-200833|chrX:209885-215763","X__200834__209885",2
"chrX",200833,216059,"circular_RNA/1",0,"+",200833,200833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",1,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrX:198351-200833|chrX:216059-219259","X__200834__216059",1
"chrX",299338,308428,"circular_RNA/2",0,"-",299338,299338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",2,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrX:295252-299338|chrX:308428-322139","X__299339__308428",2
