"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chrY",150833,159885,"circular_RNA/2",0,"+",150833,150833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",2,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrY:148351-150833|chrY:159885-165763","Y__150834__159885",2
"chrY",150833,166059,"circular_RNA/1",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",1,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",1
"chrY",249338,252666,"circular_RNA/2",0,"-",249338,249338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",2,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrY:245252-249338|chrY:252666-256250","Y__249339__252666",2
"chrY",249338,258428,"circular_RNA/3",0,"-",249338,249338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",3,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrY:245252-249338|chrY:258428-272139","Y__249339__258428",3
"chrY",249338,272325,"circular_RNA/3",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",3,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",3
"chrY",256250,258428,"circular_RNA/2",0,"-",256250,256250,"0,0,0",5,"157,87,75,103,104","0,658,1185,1718,2074",2,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3","chrY:252666-256250|chrY:258428-272139","Y__256251__258428",2
"chrY",256250,272325,"circular_RNA/1",0,"-",256250,256250,"0,0,0",6,"157,87,75,103,104,186","0,658,1185,1718,2074,15889",1,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3,2","chrY:252666-256250|chrY:272325-297102","Y__256251__272325",1
"chrY",1506624,1507989,"circular_RNA/1",1,"-",1506624,1506624,"0,0,0",1,"1365","0",1,"ciRNA","ASMTL","NM_004192","3","chrY:1504651-1507989","Y__1506625__1507989",1
"chrY",2134780,2159644,"circular_RNA/4",0,"-",2134780,2134780,"0,0,0",2,"208,102","0,24762",4,"circRNA","DHRSX","NM_145177","5,4","chrY:2111271-2134780|chrY:2159644-2276785","Y__2134781__2159644",4
"chrY",2594300,2606297,"circular_RNA/1",0,"+",2594300,2594300,"0,0,0",2,"114,57","0,11940",1,"circRNA","CD99","NM_001122898","7,8","chrY:2591405-2594300|chrY:2606297-2608819","Y__2594301__2606297",1
"chrX",200833,209885,"circular_RNA/1",0,"+",200833,200833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",1,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrX:198351-200833|chrX:209885-215763","X__200834__209885",1
"chrX",299338,302131,"circular_RNA/2",0,"-",299338,299338,"0,0,0",4,"107,119,176,90","0,174,2161,2703",2,"circRNA","PPP2R3B","NM_013239","12,11,10,9","chrX:295252-299338|chrX:302131-302617","X__299339__302131",2
"chrX",306250,322325,"circular_RNA/2",0,"-",306250,306250,"0,0,0",6,"157,87,75,103,104,186","0,658,1185,1718,2074,15889",2,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3,2","chrX:302666-306250|chrX:322325-347102","X__306251__322325",2
"chrX",1551161,1558037,"circular_RNA/2",0,"-",1551161,1551161,"0,0,0",4,"109,62,65,48","0,2753,3425,6828",2,"circRNA","ASMTL","NM_004192","6,5,4,3","chrX:1547014-1551161|chrX:1558037-1561078","X__1551162__1558037",2
"chrX",1712336,1714425,"circular_RNA/1",0,"+",1712336,1712336,"0,0,0",2,"781,149","0,1940",1,"circRNA","AKAP17A","NM_005088","2,3","chrX:1710662-1712336|chrX:1714425-1718084","X__1712337__1714425",1
"chrX",2161063,2161271,"circular_RNA/1",0,"-",2161063,2161063,"0,0,0",1,"208","0",1,"circRNA","DHRSX","NM_145177","6","chrX:2139270-2161063|chrX:2161271-2184780","X__2161064__2161271",1
"chrX",2326785,2343345,"circular_RNA/2",0,"-",2326785,2326785,"0,0,0",2,"69,108","0,16452",2,"circRNA","DHRSX","NM_145177","3,2","chrX:2209644-2326785|chrX:2343345-2418857","X__2326786__2343345",2
"chrX",2644300,2656297,"circular_RNA/1",0,"+",2644300,2644300,"0,0,0",2,"114,57","0,11940",1,"circRNA","CD99","NM_001122898","7,8","chrX:2641405-2644300|chrX:2656297-2658819","X__2644301__2656297",1
"chrX",3530217,3544555,"circular_RNA/1",0,"-",3530217,3530217,"0,0,0",4,"149,78,58,96","0,3638,9082,14242",1,"circRNA","PRKX","NM_005044","8,7,6,5","chrX:3526986-3530217|chrX:3544555-3559892","X__3530218__3544555",1
"chrX",9905173,9905725,"circular_RNA/2",0,"+",9905173,9905173,"0,0,0",1,"552","0",2,"circRNA","SHROOM2","NM_001649","7","chrX:9900910-9905173|chrX:9905725-9907234","X__9905174__9905725",2
"chrX",10031484,10066619,"circular_RNA/2",0,"+",10031484,10031484,"0,0,0",7,"110,204,77,80,130,150,74","0,3842,15354,16280,27326,30687,35061",2,"circRNA","WWC3","NM_015691","2,3,4,5,6,7,8","chrX:9983898-10031484|chrX:10066619-10077817","X__10031485__10066619",2
"chrX",10162950,10166101,"circular_RNA/1",0,"+",10162950,10162950,"0,0,0",2,"188,123","0,3028",1,"circRNA","CLCN4","NM_001256944","3,4","chrX:10126591-10162950|chrX:10166101-10174397","X__10162951__10166101",1
"chrX",10437736,10463731,"circular_RNA/1",0,"-",10437736,10437736,"0,0,0",4,"144,128,149,108","0,4926,12783,25887",1,"circRNA","MID1","NM_001193277","7,6,5,4","chrX:10427847-10437736|chrX:10463731-10491131","X__10437737__10463731",1
"chrX",10437736,10491227,"circular_RNA/1",0,"-",10437736,10437736,"0,0,0",5,"144,128,149,108,96","0,4926,12783,25887,53395",1,"circRNA","MID1","NM_001193277","7,6,5,4,3","chrX:10427847-10437736|chrX:10491227-10534927","X__10437737__10491227",1
"chrX",10437736,10535643,"circular_RNA/2",0,"-",10437736,10437736,"0,0,0",6,"144,128,149,108,96,716","0,4926,12783,25887,53395,97191",2,"circRNA","MID1","NM_001193277","7,6,5,4,3,2","chrX:10427847-10437736|chrX:10535643-10544823","X__10437737__10535643",2
"chrX",10450519,10535643,"circular_RNA/2",0,"-",10450519,10450519,"0,0,0",4,"149,108,96,716","0,13104,40612,84408",2,"circRNA","MID1","NM_001193277","5,4,3,2","chrX:10442790-10450519|chrX:10535643-10544823","X__10450520__10535643",2
"chrX",10463623,10535643,"circular_RNA/1",0,"-",10463623,10463623,"0,0,0",3,"108,96,716","0,27508,71304",1,"circRNA","MID1","NM_001193277","4,3,2","chrX:10450668-10463623|chrX:10535643-10544823","X__10463624__10535643",1
"chrX",10491131,10535643,"circular_RNA/20",0,"-",10491131,10491131,"0,0,0",2,"96,716","0,43796",20,"circRNA","MID1","NM_001193277","3,2","chrX:10463731-10491131|chrX:10535643-10544823","X__10491132__10535643",20
"chrX",10534927,10535643,"circular_RNA/34",0,"-",10534927,10534927,"0,0,0",1,"716","0",34,"circRNA","MID1","NM_001193277","2","chrX:10491227-10534927|chrX:10535643-10544823","X__10534928__10535643",34
"chrX",10535041,10535643,"circular_RNA/2",0,"-",10535041,10535041,"0,0,0",1,"602","0",2,"circRNA","MID1","NM_033289","2","chrX:10491227-10535041|chrX:10535643-10588329","X__10535042__10535643",2
"chrX",13753366,13764574,"circular_RNA/1",0,"+",13753366,13753366,"0,0,0",6,"99,201,69,31,105,137","0,1230,3598,3754,9167,11071",1,"circRNA","OFD1","NM_001330209","2,3,4,5,6,7","chrX:13753202-13753366|chrX:13764574-13764898","X__13753367__13764574",1
"chrX",13762533,13767652,"circular_RNA/1",0,"+",13762533,13762533,"0,0,0",4,"105,137,174,107","0,1904,2365,5012",1,"circRNA","OFD1","NM_001330209","6,7,8,9","chrX:13757151-13762533|chrX:13767652-13771486","X__13762534__13767652",1
"chrX",15863501,15870647,"circular_RNA/1",0,"-",15863501,15863501,"0,0,0",3,"138,109,179","0,524,6967",1,"circRNA","AP1S2","NM_001272071","4,3,2","chrX:15846323-15863501|chrX:15870647-15872810","X__15863502__15870647",1
"chrX",16685636,16709743,"circular_RNA/1",0,"-",16685636,16685636,"0,0,0",7,"44,63,95,89,133,152,81","0,148,3066,10848,15580,21936,24026",1,"circRNA","CTPS2","NM_001144002","13,12,11,10,9,8,7","chrX:16657366-16685636|chrX:16709743-16711263","X__16685637__16709743",1
"chrX",16701216,16716459,"circular_RNA/2",0,"-",16701216,16701216,"0,0,0",6,"133,152,81,84,117,101","0,6356,8446,10047,10277,15142",2,"circRNA","CTPS2","NM_001144002","9,8,7,6,5,4","chrX:16696573-16701216|chrX:16716459-16717045","X__16701217__16716459",2
"chrX",16836696,16838378,"circular_RNA/4",0,"+",16836696,16836696,"0,0,0",2,"304,92","0,1590",4,"circRNA","TXLNG","NM_018360","2,3","chrX:16804712-16836696|chrX:16838378-16846216","X__16836697__16838378",4
"chrX",16836696,16850865,"circular_RNA/1",0,"+",16836696,16836696,"0,0,0",5,"304,92,171,195,120","0,1590,9520,11002,14049",1,"circRNA","TXLNG","NM_018360","2,3,4,5,6","chrX:16804712-16836696|chrX:16850865-16852405","X__16836697__16850865",1
"chrX",16867366,16871965,"circular_RNA/1",0,"-",16867366,16867366,"0,0,0",5,"58,77,78,127,161","0,2802,3307,3505,4438",1,"circRNA","RBBP7","NM_001198719","10,9,8,7,6","chrX:16864061-16867366|chrX:16871965-16875716","X__16867367__16871965",1
"chrX",16867366,16881223,"circular_RNA/2",0,"-",16867366,16867366,"0,0,0",8,"58,77,78,127,161,116,174,146","0,2802,3307,3505,4438,8350,9432,13711",2,"circRNA","RBBP7","NM_001198719","10,9,8,7,6,5,4,3","chrX:16864061-16867366|chrX:16881223-16887198","X__16867367__16881223",2
"chrX",16870168,16871965,"circular_RNA/2",0,"-",16870168,16870168,"0,0,0",4,"77,78,127,161","0,505,703,1636",2,"circRNA","RBBP7","NM_001198719","9,8,7,6","chrX:16867424-16870168|chrX:16871965-16875716","X__16870169__16871965",2
