"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000220",1651,1738,2,"Un_gl000220__1651__1738",2
"chr9",10297,10338,1,"9__10297__10338",1
"chrUn_gl000222",11699,12288,1,"Un_gl000222__11699__12288",1
"chrUn_gl000222",11828,12288,1,"Un_gl000222__11828__12288",1
"chr8_gl000196_random",12892,22894,5,"8_gl000196_random__12892__22894",5
"chr8_gl000196_random",15785,22894,1,"8_gl000196_random__15785__22894",1
"chrUn_gl000242",12781,34218,1,"Un_gl000242__12781__34218",1
"chr2",40622,40693,1,"2__40622__40693",1
"chr1_gl000191_random",41406,41845,1,"1_gl000191_random__41406__41845",1
"chrUn_gl000212",40750,43780,1,"Un_gl000212__40750__43780",1
"chr7_gl000195_random",44223,44369,1,"7_gl000195_random__44223__44369",1
"chr1_gl000191_random",41683,48651,1,"1_gl000191_random__41683__48651",1
"chr5",56732,56808,1,"5__56732__56808",1
"chr4_gl000194_random",80406,80464,1,"4_gl000194_random__80406__80464",1
"chrUn_gl000220",118410,118543,1,"Un_gl000220__118410__118543",1
"chrUn_gl000220",118695,118765,2,"Un_gl000220__118695__118765",2
"chr17_ctg5_hap1",167529,168155,2,"17_ctg5_hap1__167529__168155",2
"chr18",163308,182504,1,"18__163308__182504",1
"chr4",193560,193627,1,"4__193560__193627",1
"chr4",194870,205674,1,"4__194870__205674",1
"chrX",200834,209885,1,"X__200834__209885",1
"chr11",224078,233215,1,"11__224078__233215",1
"chr4",247349,248626,2,"4__247349__248626",2
"chr10",225934,255988,3,"10__225934__255988",3
"chr16",249061,258187,1,"16__249061__258187",1
"chrY",256251,258428,2,"Y__256251__258428",2
"chr16",258077,258663,1,"16__258077__258663",1
"chr5",266903,267054,1,"5__266903__267054",1
"chr10",225934,267296,4,"10__225934__267296",4
"chrY",272140,273067,2,"Y__272140__273067",2
"chr10",225934,295028,2,"10__225934__295028",2
"chr19",307800,307863,2,"19__307800__307863",2
"chr5",264438,314711,1,"5__264438__314711",1
"chr9",311954,317128,1,"9__311954__317128",1
"chrX",306251,322325,2,"X__306251__322325",2
"chrX",322140,323067,1,"X__322140__323067",1
"chr19",325635,327989,1,"19__325635__327989",1
"chr19",326507,327989,1,"19__326507__327989",1
"chr19",325635,336173,1,"19__325635__336173",1
"chr18",346884,346973,1,"18__346884__346973",1
"chr16",347056,348251,1,"16__347056__348251",1
"chr16",354304,364683,2,"16__354304__364683",2
"chr6_cox_hap2",393847,395466,1,"6_cox_hap2__393847__395466",1
"chr16",354304,397106,2,"16__354304__397106",2
"chr20",398170,398574,1,"20__398170__398574",1
"chr12",417088,417171,1,"12__417088__417171",1
"chr16",418328,418560,1,"16__418328__418560",1
"chr10",412215,430086,1,"10__412215__430086",1
