"index","chr","start","end","count"
"18__116842__118504","18",116842,118504,2
"16__162621__162774","16",162621,162774,5
"17__169211__171206","17",169211,171206,11
"17__169211__177370","17",169211,177370,154
"17__131559__183725","17",131559,183725,4
"19__325635__325704","19",325635,325704,7
"11__403078__404135","11",403078,404135,2
"12__404739__417171","12",404739,417171,1
"16__424005__424151","16",424005,424151,18
"19__418923__440932","19",418923,440932,2
"16__449379__449739","16",449379,449739,404
"10__410314__468973","10",410314,468973,1
"19__579500__582582","19",579500,582582,1
"18__670692__671451","18",670692,671451,12
"18__697240__706578","18",697240,706578,4
"16__701644__707221","16",701644,707221,1
"16__702467__708344","16",702467,708344,4
"16__718353__718569","16",718353,718569,1
"11__710422__720746","11",710422,720746,4
"16__721860__722002","16",721860,722002,10
"16__727459__727559","16",727459,727559,3
"17__722679__729318","17",722679,729318,1
"16__699763__730684","16",699763,730684,1
"18__756557__756835","18",756557,756835,9
"16__777965__778029","16",777965,778029,2
"19__804829__804939","19",804829,804939,6
"19__804532__806556","19",804532,806556,1
"19__804829__808452","19",804829,808452,1
"11__836251__836843","11",836251,836843,17
"1__865535__866469","1",865535,866469,51
"1__871152__871276","1",871152,871276,5
"1__871152__874509","1",871152,874509,6
"1__871152__877868","1",871152,877868,7
"19__879937__881714","19",879937,881714,1
"11__834530__884169","11",834530,884169,1
"1__871152__911649","1",871152,911649,1
"1__865535__916037","1",865535,916037,3
"1__871152__916037","1",871152,916037,1
"19__932418__968503","19",932418,968503,17
"12__939169__971436","12",939169,971436,29
"1__887380__982115","1",887380,982115,1
"1__986833__987195","1",986833,987195,1
"1__981344__989931","1",981344,989931,41
"12__987378__990955","12",987378,990955,2
"19__1011366__1011498","19",1011366,1011498,1
"1__981344__1027554","1",981344,1027554,1
"19__1032391__1036687","19",1032391,1036687,45
"19__1011740__1061887","19",1011740,1061887,3
"1__986833__1072490","1",986833,1072490,1
"19__1089471__1089961","19",1089471,1089961,171
"19__1041830__1091906","19",1041830,1091906,2
"19__1090907__1091906","19",1090907,1091906,57
"19__1090907__1094077","19",1090907,1094077,4
"10__1125951__1126416","10",1125951,1126416,4
"12__1136914__1137738","12",1136914,1137738,83
"10__1089939__1142186","10",1089939,1142186,2
"10__1123847__1142186","10",1123847,1142186,3
"10__1130343__1142186","10",1130343,1142186,1
"10__1139392__1142186","10",1139392,1142186,45
"10__1118056__1151207","10",1118056,1151207,3
"10__1130343__1151207","10",1130343,1151207,5
"10__1142110__1151207","10",1142110,1151207,4
"10__1149542__1151207","10",1149542,1151207,124
"19__1147308__1154401","19",1147308,1154401,12
"10__1170158__1170964","10",1170158,1170964,106
"1__1192372__1192690","1",1192372,1192690,8
"1__1141765__1203372","1",1141765,1203372,1
"1__1152288__1203372","1",1152288,1203372,1
"1__1192372__1203372","1",1192372,1203372,2
"1__1198726__1203372","1",1198726,1203372,15
"19__1254901__1255060","19",1254901,1255060,2
"1__1198726__1269844","1",1198726,1269844,1
"19__1271328__1271466","19",1271328,1271466,10
"1__1235211__1289889","1",1235211,1289889,2
"11__1307232__1317024","11",1307232,1317024,4
"11__1309854__1317024","11",1309854,1317024,1
"17__1380799__1382999","17",1380799,1382999,15
"17__1382725__1382999","17",1382725,1382999,4
"17__1339914__1387597","17",1339914,1387597,1
"19__1399127__1399194","19",1399127,1399194,23
"19__1356323__1407801","19",1356323,1407801,1
"16__1402103__1412321","16",1402103,1412321,1
"17__1380799__1417273","17",1380799,1417273,1
"19__1399127__1438427","19",1399127,1438427,1
"17__1424873__1461853","17",1424873,1461853,1
"17__1479891__1481617","17",1479891,1481617,5
"17__1540003__1540356","17",1540003,1540356,16
"17__1558644__1576491","17",1558644,1576491,1
"17__1580859__1580988","17",1580859,1580988,3
"17__1561820__1584348","17",1561820,1584348,2
"17__1584020__1584984","17",1584020,1584984,28
"19__1621837__1632404","19",1621837,1632404,3
"1__1572259__1635379","1",1572259,1635379,2
"17__1648469__1656084","17",1648469,1656084,16
"17__1690104__1690898","17",1690104,1690898,7
"1__1721834__1722035","1",1721834,1722035,29
"1__1721834__1724750","1",1721834,1724750,39
"1__1735858__1737977","1",1735858,1737977,2
"1__1737914__1749314","1",1737914,1749314,3
"1__1735858__1756938","1",1735858,1756938,1
"1__1737914__1770677","1",1737914,1770677,24
"11__1773982__1775368","11",1773982,1775368,3
"11__1773982__1776258","11",1773982,1776258,1
"11__1773982__1780869","11",1773982,1780869,7
"17__1746097__1782355","17",1746097,1782355,1
"11__1780199__1782698","11",1780199,1782698,575
