"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",8937,12288,6,"Un_gl000222__8937__12288",6
"chrUn_gl000222",11699,12288,35,"Un_gl000222__11699__12288",35
"chrUn_gl000222",11828,12288,9,"Un_gl000222__11828__12288",9
"chrUn_gl000242",12781,14376,1,"Un_gl000242__12781__14376",1
"chrUn_gl000222",11828,14982,1,"Un_gl000222__11828__14982",1
"chr16",88210,93975,1,"16__88210__93975",1
"chr4",183415,195619,3,"4__183415__195619",3
"chr4",194870,205674,1,"4__194870__205674",1
"chrX",224027,224547,4,"X__224027__224547",4
"chr20",303022,303209,3,"20__303022__303209",3
"chr19",311845,313643,18,"19__311845__313643",18
"chr19",308577,327256,1,"19__308577__327256",1
"chr19",325635,327989,2,"19__325635__327989",2
"chr18",331668,333143,2,"18__331668__333143",2
"chr19",325635,336173,5,"19__325635__336173",5
"chr19",334400,336173,1,"19__334400__336173",1
"chr18",346295,348163,1,"18__346295__348163",1
"chr18",346295,357522,3,"18__346295__357522",3
"chr10",371334,373116,2,"10__371334__373116",2
"chr10",355971,375541,1,"10__355971__375541",1
"chr19",418923,425231,1,"19__418923__425231",1
"chr19",430684,440932,3,"19__430684__440932",3
"chr16",441767,442121,1,"16__441767__442121",1
"chr5",453485,454166,1,"5__453485__454166",1
"chr18",480722,481695,3,"18__480722__481695",3
"chr10",559381,566295,2,"10__559381__566295",2
"chr8",640898,642612,6,"8__640898__642612",6
"chr19",651611,652884,4,"19__651611__652884",4
"chr5",647920,655699,2,"5__647920__655699",2
"chr8",640898,666007,6,"8__640898__666007",6
"chr1",741179,745550,12,"1__741179__745550",12
"chr16",792250,792543,20,"16__792250__792543",20
"chr10",860682,863829,2,"10__860682__863829",2
"chr10",875325,890995,1,"10__875325__890995",1
"chr10",882343,890995,7,"10__882343__890995",7
"chr19",900061,902130,1,"19__900061__902130",1
"chr17",902019,902824,2,"17__902019__902824",2
"chr19",906566,906769,2,"19__906566__906769",2
"chr10",909683,931700,14,"10__909683__931700",14
"chr10",909683,936769,1,"10__909683__936769",1
"chr19",964248,966868,1,"19__964248__966868",1
"chr19",960092,968503,3,"19__960092__968503",3
"chr19",966572,968503,2,"19__966572__968503",2
"chr6_mcf_hap5",1013005,1014036,1,"6_mcf_hap5__1013005__1014036",1
"chr1",1180678,1183221,4,"1__1180678__1183221",4
"chr6_dbb_hap3",1190123,1191285,4,"6_dbb_hap3__1190123__1191285",4
"chr6_dbb_hap3",1190123,1194568,2,"6_dbb_hap3__1190123__1194568",2
"chr19",1216267,1219412,1,"19__1216267__1219412",1
"chr19",1218416,1219412,2,"19__1218416__1219412",2
"chr19",1218416,1223171,3,"19__1218416__1223171",3
"chr19",1218416,1226662,1,"19__1218416__1226662",1
"chr19",1233425,1236120,3,"19__1233425__1236120",3
"chr4",1259128,1259695,1,"4__1259128__1259695",1
"chr4",1263189,1264083,1,"4__1263189__1264083",1
"chr6",1306160,1309888,2,"6__1306160__1309888",2
"chrY",1447215,1447705,4,"Y__1447215__1447705",4
"chr5",1470941,1495029,1,"5__1470941__1495029",1
"chr5",1488506,1495029,1,"5__1488506__1495029",1
"chrX",1496934,1497705,1,"X__1496934__1497705",1
"chrX",1497215,1497705,3,"X__1497215__1497705",3
"chr5",1488506,1501718,1,"5__1488506__1501718",1
"chr5",1494815,1501718,3,"5__1494815__1501718",3
"chr6_qbl_hap6",1495050,1503001,1,"6_qbl_hap6__1495050__1503001",1
"chr6_dbb_hap3",1495813,1503764,3,"6_dbb_hap3__1495813__1503764",3
"chr16",1555411,1557717,8,"16__1555411__1557717",8
"chr17",1561547,1562057,2,"17__1561547__1562057",2
"chr17",1581812,1584348,3,"17__1581812__1584348",3
"chr17",1581812,1585587,3,"17__1581812__1585587",3
"chr16",1652371,1657298,3,"16__1652371__1657298",3
"chr17",1746097,1747980,10,"17__1746097__1747980",10
"chr17",1746097,1748408,2,"17__1746097__1748408",2
"chr17",1746097,1756483,32,"17__1746097__1756483",32
"chr17",1746097,1775820,2,"17__1746097__1775820",2
"chr17",1746097,1780608,6,"17__1746097__1780608",6
"chr17",1775728,1780608,2,"17__1775728__1780608",2
"chr17",1746097,1783985,2,"17__1746097__1783985",2
"chr17",1778955,1787238,7,"17__1778955__1787238",7
"chr17",1782287,1787238,1,"17__1782287__1787238",1
"chr5",1814453,1816168,5,"5__1814453__1816168",5
"chr16",1844923,1845772,1,"16__1844923__1845772",1
"chr11",1972129,1974085,1,"11__1972129__1974085",1
"chr1",1986880,1988012,1,"1__1986880__1988012",1
"chr1",1986880,1991030,2,"1__1986880__1991030",2
"chr8",1998869,2007366,9,"8__1998869__2007366",9
"chr8",2000276,2007366,3,"8__2000276__2007366",3
"chr4",2050935,2053550,4,"4__2050935__2053550",4
"chrY",2079531,2089270,3,"Y__2079531__2089270",3
"chr20",2097312,2098061,3,"20__2097312__2098061",3
"chrX",2120973,2126212,3,"X__2120973__2126212",3
"chrX",2129531,2139270,4,"X__2129531__2139270",4
"chrX",2129531,2161271,5,"X__2129531__2161271",5
"chrX",2158595,2161271,1,"X__2158595__2161271",1
"chr17",2185941,2187029,5,"17__2185941__2187029",5
"chr19",2170459,2191239,4,"19__2170459__2191239",4
"chr19",2180712,2194548,1,"19__2180712__2194548",1
"chr19",2189731,2194576,6,"19__2189731__2194576",6
"chr19",2189731,2199938,2,"19__2189731__2199938",2
"chr17",2185941,2201349,1,"17__2185941__2201349",1
"chr16",2204856,2205338,3,"16__2204856__2205338",3
"chrX",2161064,2209644,2,"X__2161064__2209644",2
"chrX",2184781,2209644,6,"X__2184781__2209644",6
"chr17",2233809,2235653,2,"17__2233809__2235653",2
"chr1",2234417,2236024,34,"1__2234417__2236024",34
"chr7",2239897,2240192,4,"7__2239897__2240192",4
"chr7",2239904,2240192,2,"7__2239904__2240192",2
"chr19",2243381,2247661,3,"19__2243381__2247661",3
"chrX",2263112,2263956,1,"X__2263112__2263956",1
"chr19",2271384,2273159,7,"19__2271384__2273159",7
"chr17",2297337,2298748,11,"17__2297337__2298748",11
"chr7",2309194,2311606,2,"7__2309194__2311606",2
"chr7",2296509,2317940,1,"7__2296509__2317940",1
"chr7",2297370,2317940,1,"7__2297370__2317940",1
"chr7",2302865,2317940,1,"7__2302865__2317940",1
"chr7",2309194,2317940,1,"7__2309194__2317940",1
"chr7",2311485,2317940,1,"7__2311485__2317940",1
"chr19",2428996,2429407,1,"19__2428996__2429407",1
"chr19",2438161,2438529,9,"19__2438161__2438529",9
"chr7",2477439,2478965,3,"7__2477439__2478965",3
"chr7",2477439,2483381,14,"7__2477439__2483381",14
"chr7",2482185,2483381,2,"7__2482185__2483381",2
"chr18",2585112,2590161,1,"18__2585112__2590161",1
"chr4",2597811,2598056,2,"4__2597811__2598056",2
"chr16",2683740,2692490,29,"16__2683740__2692490",29
"chr9",2652944,2720532,3,"9__2652944__2720532",3
"chr16",2741300,2757450,1,"16__2741300__2757450",1
"chr19",2761458,2763755,3,"19__2761458__2763755",3
"chr19",2762504,2769089,5,"19__2762504__2769089",5
"chr19",2765184,2769089,2,"19__2765184__2769089",2
"chr6",2884197,2885074,2,"6__2884197__2885074",2
"chr18",2884962,2892484,1,"18__2884962__2892484",1
"chr19",2936522,2939405,6,"19__2936522__2939405",6
"chr18",2951053,3003446,1,"18__2951053__3003446",1
"chr9",2984382,3014177,3,"9__2984382__3014177",3
"chr4",3088666,3101121,7,"4__3088666__3101121",7
"chr4",3088666,3105610,2,"4__3088666__3105610",2
"chr4",3088666,3107163,1,"4__3088666__3107163",1
"chr4",3088666,3109150,70,"4__3088666__3109150",70
"chr4",3101001,3109150,6,"4__3101001__3109150",6
"chr4",3104317,3109150,1,"4__3104317__3109150",1
"chr4",3088666,3117990,1,"4__3088666__3117990",1
"chr4",3122955,3127356,1,"4__3122955__3127356",1
"chr4",3088666,3129331,2,"4__3088666__3129331",2
"chr4",3132032,3138053,10,"4__3132032__3138053",10
"chr16",3150953,3151350,1,"16__3150953__3151350",1
"chr4",3156020,3158926,2,"4__3156020__3158926",2
"chr4",3184081,3190820,3,"4__3184081__3190820",3
"chr4",3188324,3190820,46,"4__3188324__3190820",46
"chr4",3188324,3201666,10,"4__3188324__3201666",10
"chr4",3201459,3205875,1,"4__3201459__3205875",1
"chr4",3254934,3255209,1,"4__3254934__3255209",1
"chr7",3400232,3479888,2,"7__3400232__3479888",2
"chr7",3458195,3479888,1,"7__3458195__3479888",1
"chr7",3473809,3479888,1,"7__3473809__3479888",1
"chr7",3472675,3479900,1,"7__3472675__3479900",1
"chr11",3455289,3490638,2,"11__3455289__3490638",2
"chr17",3524282,3524706,1,"17__3524282__3524706",1
"chrX",3544460,3560012,5,"X__3544460__3560012",5
"chrX",3559893,3592807,1,"X__3559893__3592807",1
"chr3",3637082,3638314,1,"3__3637082__3638314",1
"chr7",3658712,3681737,67,"7__3658712__3681737",67
"chr7",3658745,3681737,3,"7__3658745__3681737",3
"chr7",3678636,3681737,2,"7__3678636__3681737",2
"chr7",3678636,3694072,2,"7__3678636__3694072",2
"chr1",3697715,3698165,6,"1__3697715__3698165",6
"chr1",3698076,3700675,2,"1__3698076__3700675",2
"chr1",3698076,3701767,1,"1__3698076__3701767",1
"chr16",3704962,3706754,1,"16__3704962__3706754",1
"chr16",3704962,3708065,7,"16__3704962__3708065",7
"chrX",3736698,3740621,1,"X__3736698__3740621",1
"chr20",3764813,3765320,3,"20__3764813__3765320",3
"chr3",3482592,3822863,2,"3__3482592__3822863",2
"chr3",3424162,3830758,2,"3__3424162__3830758",2
"chr3",3659757,3830758,5,"3__3659757__3830758",5
"chr7",3783174,3861215,1,"7__3783174__3861215",1
"chr3",3864418,3869193,4,"3__3864418__3869193",4
"chr7",3861082,3872943,1,"7__3861082__3872943",1
"chr19",3982805,3983289,3,"19__3982805__3983289",3
"chr7",3678658,3991552,2,"7__3678658__3991552",2
"chr7",3990555,3991552,1,"7__3990555__3991552",1
"chr19",4012921,4013347,1,"19__4012921__4013347",1
"chr19",4024034,4024656,3,"19__4024034__4024656",3
"chr19",4028144,4029034,1,"19__4028144__4029034",1
"chr16",4029117,4033441,11,"16__4029117__4033441",11
"chr16",4029117,4039097,2,"16__4029117__4039097",2
"chr16",4038995,4043511,4,"16__4038995__4043511",4
"chr16",4038995,4057559,2,"16__4038995__4057559",2
"chr4",4088385,4089120,15,"4__4088385__4089120",15
"chr19",4110507,4117627,7,"19__4110507__4117627",7
"chr17",4186093,4200104,3,"17__4186093__4200104",3
"chr17",4192525,4200104,1,"17__4192525__4200104",1
"chr17",4186093,4200109,53,"17__4186093__4200109",53
"chr17",4192525,4200109,8,"17__4192525__4200109",8
"chr17",4186093,4210418,29,"17__4186093__4210418",29
"chr16",4310091,4310596,2,"16__4310091__4310596",2
"chr16",4311780,4312702,19,"16__4311780__4312702",19
"chr16",4382216,4383520,17,"16__4382216__4383520",17
"chr16",4382216,4385394,1,"16__4382216__4385394",1
"chr19",4405909,4409756,21,"19__4405909__4409756",21
"chr19",4408900,4409756,4,"19__4408900__4409756",4
"chr19",4430546,4432204,4,"19__4430546__4432204",4
"chr19",4433067,4433536,13,"19__4433067__4433536",13
"chr4",4458918,4473433,3,"4__4458918__4473433",3
"chr9",4503740,4544707,2,"9__4503740__4544707",2
"chr19",4682708,4685783,1,"19__4682708__4685783",1
"chr19",4688769,4690969,1,"19__4688769__4690969",1
"chr19",4702039,4705982,1,"19__4702039__4705982",1
"chr4",4650704,4711326,4,"4__4650704__4711326",4
"chr4",4762273,4766180,8,"4__4762273__4766180",8
"chr9",4823531,4827033,2,"9__4823531__4827033",2
"chr9",4823548,4827033,20,"9__4823548__4827033",20
"chr9",4823531,4833228,1,"9__4823531__4833228",1
"chr9",4823548,4833228,28,"9__4823548__4833228",28
"chr3",4867430,4930938,3,"3__4867430__4930938",3
"chr5",5292680,5317317,1,"5__5292680__5317317",1
"chr7",5352134,5353494,1,"7__5352134__5353494",1
"chr7",5354615,5360821,1,"7__5354615__5360821",1
"chr7",5359949,5364879,1,"7__5359949__5364879",1
