"index","chr","start","end","count"
"12__78786__78939","12",78786,78939,6
"16__162621__162774","16",162621,162774,1
"9__162432__172172","9",162432,172172,1
"17__169211__177370","17",169211,177370,133
"18__196637__199316","18",196637,199316,1
"19__325635__325704","19",325635,325704,3
"16__339440__343718","16",339440,343718,2
"16__339440__364683","16",339440,364683,1
"16__354304__364683","16",354304,364683,4
"20__398170__398574","20",398170,398574,1
"11__403078__404135","11",403078,404135,3
"11__407817__410027","11",407817,410027,2
"16__424005__424151","16",424005,424151,2
"19__418923__440932","19",418923,440932,2
"16__449379__449739","16",449379,449739,3
"10__410314__468973","10",410314,468973,1
"10__486811__486936","10",486811,486936,9
"16__532525__546859","16",532525,546859,2
"6__553854__564929","6",553854,564929,22
"19__579500__582582","19",579500,582582,1
"16__583946__586142","16",583946,586142,4
"5__619105__620376","5",619105,620376,25
"5__619105__624694","5",619105,624694,77
"5__633884__635699","5",633884,635699,10
"5__633884__644540","5",633884,644540,3
"18__670692__671451","18",670692,671451,4
"16__702467__708344","16",702467,708344,4
"11__710422__720746","11",710422,720746,1
"16__721860__722002","16",721860,722002,2
"7__794226__803611","7",794226,803611,3
"19__804829__808452","19",804829,808452,1
"7__794226__810255","7",794226,810255,7
"7__810108__814799","7",810108,814799,4
"11__836251__836843","11",836251,836843,3
"1__865535__866469","1",865535,866469,4
"1__871152__874840","1",871152,874840,1
"1__871152__877868","1",871152,877868,5
"5__896780__896909","5",896780,896909,9
"5__896780__907308","5",896780,907308,1
"7__912107__912199","7",912107,912199,14
"12__939169__971436","12",939169,971436,4
"1__981344__989931","1",981344,989931,22
"12__987381__990955","12",987381,990955,1
"19__1011366__1011498","19",1011366,1011498,4
"7__1024802__1024959","7",1024802,1024959,25
"7__1026743__1027167","7",1026743,1027167,2
"19__1031070__1032695","19",1031070,1032695,1
"19__1032391__1036561","19",1032391,1036561,8
"5__1063959__1064090","5",1063959,1064090,1
"5__1078816__1085588","5",1078816,1085588,1
"19__1089471__1089961","19",1089471,1089961,17
"4__1079684__1090627","4",1079684,1090627,4
"19__1090907__1091906","19",1090907,1091906,2
"19__1090907__1093902","19",1090907,1093902,4
"19__1090907__1094077","19",1090907,1094077,1
"5__1078816__1094363","5",1078816,1094363,2
"19__1119010__1119620","19",1119010,1119620,9
"12__1136914__1137738","12",1136914,1137738,21
"10__1118056__1142186","10",1118056,1142186,2
"10__1123847__1142186","10",1123847,1142186,2
"10__1139392__1142186","10",1139392,1142186,11
"10__1142110__1142186","10",1142110,1142186,1
"10__1118056__1151207","10",1118056,1151207,4
"10__1125951__1151207","10",1125951,1151207,1
"10__1130343__1151207","10",1130343,1151207,1
"10__1149542__1151207","10",1149542,1151207,85
"10__1151066__1151207","10",1151066,1151207,1
"19__1147308__1154401","19",1147308,1154401,4
"1__1158624__1164326","1",1158624,1164326,1
"10__1170158__1170964","10",1170158,1170964,33
"1__1192372__1203372","1",1192372,1203372,4
"1__1198726__1203372","1",1198726,1203372,3
"1__1229782__1233313","1",1229782,1233313,1
"19__1271328__1271466","19",1271328,1271466,9
"11__1307232__1317024","11",1307232,1317024,3
"11__1309854__1317024","11",1309854,1317024,1
"5__1320731__1320846","5",1320731,1320846,1
"5__1320731__1339120","5",1320731,1339120,3
"5__1321879__1339120","5",1321879,1339120,6
"5__1322992__1339120","5",1322992,1339120,2
"5__1325866__1339120","5",1325866,1339120,1
"17__1380799__1382999","17",1380799,1382999,11
"17__1382725__1382999","17",1382725,1382999,9
"17__1382725__1387597","17",1382725,1387597,2
"19__1399127__1399194","19",1399127,1399194,248
"17__1437393__1461853","17",1437393,1461853,2
"1__1451392__1463242","1",1451392,1463242,2
"17__1479891__1481617","17",1479891,1481617,25
"7__1518362__1519320","7",1518362,1519320,135
"7__1527396__1532742","7",1527396,1532742,21
"7__1520471__1535189","7",1520471,1535189,6
"17__1540003__1540356","17",1540003,1540356,24
"17__1558644__1576491","17",1558644,1576491,1
"17__1580859__1580988","17",1580859,1580988,3
"17__1561820__1584348","17",1561820,1584348,4
"17__1584020__1584984","17",1584020,1584984,4
"19__1621837__1632404","19",1621837,1632404,3
"17__1648469__1656084","17",1648469,1656084,46
"17__1690104__1690898","17",1690104,1690898,1
"4__1696501__1698078","4",1696501,1698078,62
"4__1696501__1705427","4",1696501,1705427,1
"1__1721834__1722035","1",1721834,1722035,2
"1__1721834__1724750","1",1721834,1724750,7
"4__1732614__1732689","4",1732614,1732689,143
"4__1732614__1737561","4",1732614,1737561,19
"4__1737000__1737561","4",1737000,1737561,3
"17__1746097__1747980","17",1746097,1747980,1
"1__1735858__1756938","1",1735858,1756938,1
"1__1737914__1770677","1",1737914,1770677,10
"17__1746097__1782355","17",1746097,1782355,8
"11__1780199__1782698","11",1780199,1782698,213
"17__1747872__1782993","17",1747872,1782993,17
"17__1747872__1795234","17",1747872,1795234,1
"4__1795560__1801539","4",1795560,1801539,1
"4__1801474__1804791","4",1801474,1804791,9
"4__1806551__1808054","4",1806551,1808054,1
"16__1872301__1873038","16",1872301,1873038,1
"12__1889617__1893239","12",1889617,1893239,6
"4__1902353__1902978","4",1902353,1902978,4
"4__1902353__1906105","4",1902353,1906105,1
"12__1919444__1920889","12",1919444,1920889,7
"19__1979751__1980016","19",1979751,1980016,2
"9__2028987__2039900","9",2028987,2039900,5
"17__2075952__2076153","17",2075952,2076153,1
"17__2075952__2091809","17",2075952,2091809,1
"17__2089957__2091809","17",2089957,2091809,1
"20__2083414__2098061","20",2083414,2098061,1
"16__2106197__2108874","16",2106197,2108874,31
"6__2116005__2117790","6",2116005,2117790,1
"16__2105403__2127727","16",2105403,2127727,4
"19__2127151__2137090","19",2127151,2137090,15
"19__2129089__2137806","19",2129089,2137806,3
"19__2137010__2138713","19",2137010,2138713,40
"1__2234724__2236024","1",2234724,2236024,1
"7__2252847__2259091","7",2252847,2259091,1
"16__2283883__2284782","16",2283883,2284782,1
"16__2312279__2313288","16",2312279,2313288,2
"16__2312279__2314332","16",2312279,2314332,1
"1__2339891__2340297","1",2339891,2340297,3
"16__2367284__2367765","16",2367284,2367765,1
"7__2404007__2409317","7",2404007,2409317,16
"19__2477027__2477249","19",2477027,2477249,1
"19__2477027__2478257","19",2477027,2478257,1
"16__2489354__2493801","16",2489354,2493801,1
"16__2481131__2498979","16",2481131,2498979,1
"16__2570770__2571124","16",2570770,2571124,1
"17__2573457__2579900","17",2573457,2579900,15
"16__2616357__2633586","16",2616357,2633586,1
"4__2659530__2674099","4",2659530,2674099,1
"4__2664565__2674099","4",2664565,2674099,1
"16__2666601__2683837","16",2666601,2683837,1
"6__2779497__2779726","6",2779497,2779726,9
"6__2779497__2783795","6",2779497,2783795,57
"Y__2829115__2829687","Y",2829115,2829687,8
"16__2867802__2868970","16",2867802,2868970,5
"X__2867345__2873578","X",2867345,2873578,2
"X__2871184__2876476","X",2871184,2876476,1
"4__2895740__2896458","4",2895740,2896458,3
"12__2931960__2932077","12",2931960,2932077,2
"18__2925222__2960847","18",2925222,2960847,11
"12__2973486__2975687","12",2973486,2975687,9
"12__2975559__2975687","12",2975559,2975687,2
"11__2997254__3000467","11",2997254,3000467,6
"6__3010259__3017219","6",3010259,3017219,4
"12__3018695__3031568","12",3018695,3031568,101
"16__3076064__3076289","16",3076064,3076289,5
"12__3120170__3131183","12",3120170,3131183,2
"10__3143557__3151672","10",3143557,3151672,1
"19__3193282__3201624","19",3193282,3201624,1
"4__3142237__3201666","4",3142237,3201666,2
"19__3196181__3207249","19",3196181,3207249,1
"10__3208421__3208572","10",3208421,3208572,1
"4__3117031__3209084","4",3117031,3209084,2
"2__3196185__3218019","2",3196185,3218019,62
"20__3262287__3268436","20",3262287,3268436,20
"20__3274785__3278822","20",3274785,3278822,2
"9__3301546__3395596","9",3301546,3395596,2
"9__3330259__3395596","9",3330259,3395596,1
"9__3346667__3395596","9",3346667,3395596,1
"6__3410422__3416089","6",3410422,3416089,4
