"chr","start","end","count","index"
"chrM",1085,1235,4,"M__1086__1235"
"chrM",1679,1766,7,"M__1680__1766"
"chrM",1691,1766,6,"M__1692__1766"
"chrM",1679,1834,48,"M__1680__1834"
"chrM",1691,1896,18,"M__1692__1896"
"chrM",1727,1896,3,"M__1728__1896"
"chrM",1847,1924,1,"M__1848__1924"
"chrM",1983,2141,1,"M__1984__2141"
"chrM",2094,2277,1,"M__2095__2277"
"chrM",2217,2277,4,"M__2218__2277"
"chrM",1998,2285,1,"M__1999__2285"
"chrM",2217,2285,18,"M__2218__2285"
"chrM",2226,2285,160,"M__2227__2285"
"chrM",2226,2296,8,"M__2227__2296"
"chrM",2226,2330,1,"M__2227__2330"
"chrM",2226,2360,2,"M__2227__2360"
"chrM",2273,2416,1,"M__2274__2416"
"chrM",2211,2422,10,"M__2212__2422"
"chrM",1799,2455,1,"M__1800__2455"
"chrM",2351,2455,5,"M__2352__2455"
"chrM",2223,2475,1,"M__2224__2475"
"chrM",2415,2495,2,"M__2416__2495"
"chrM",2415,2515,1,"M__2416__2515"
"chrM",2626,2685,1,"M__2627__2685"
"chrM",2226,2763,2,"M__2227__2763"
"chrM",1691,2795,1,"M__1692__2795"
"chrM",1727,2795,1,"M__1728__2795"
"chrM",2763,2930,1,"M__2764__2930"
"chrM",2823,2987,98,"M__2824__2987"
"chrM",2778,3055,2,"M__2779__3055"
"chrM",3598,3648,1,"M__3599__3648"
"chrM",3598,3655,1,"M__3599__3655"
"chrM",3598,3678,8,"M__3599__3678"
"chrM",5369,5463,1,"M__5370__5463"
"chrM",6042,6104,1,"M__6043__6104"
"chrM",7127,7229,1,"M__7128__7229"
"chrM",8398,8468,9,"M__8399__8468"
"chrM",8398,8472,1,"M__8399__8472"
"chrM",8398,8625,1,"M__8399__8625"
"chrM",8472,8625,1,"M__8473__8625"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",2223,8818,1,"M__2224__8818"
"chrM",8921,8998,25,"M__8922__8998"
"chrM",8927,9031,7,"M__8928__9031"
"chrM",8927,9089,2,"M__8928__9089"
"chrM",9093,9190,5,"M__9094__9190"
"chrM",9204,9282,1,"M__9205__9282"
"chrM",9212,9290,2,"M__9213__9290"
"chrM",9417,9540,1,"M__9418__9540"
"chrM",9572,9641,41,"M__9573__9641"
"chrM",10091,10165,1,"M__10092__10165"
"chr9",10296,10338,2,"9__10297__10338"
"chrM",10948,11045,1,"M__10949__11045"
"chrM",10969,11045,2,"M__10970__11045"
"chrUn_gl000222",11698,12288,1,"Un_gl000222__11699__12288"
"chrM",13301,13453,1,"M__13302__13453"
"chrM",13418,13499,2,"M__13419__13499"
"chrM",13693,13798,1,"M__13694__13798"
"chrM",13846,13999,2,"M__13847__13999"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13935,14067,1,"M__13936__14067"
"chrM",13999,14125,1,"M__14000__14125"
"chrM",14073,14150,1,"M__14074__14150"
"chrM",14329,14413,1,"M__14330__14413"
"chrM",14377,14443,2,"M__14378__14443"
"chrM",15527,15641,1,"M__15528__15641"
"chrM",16056,16151,1,"M__16057__16151"
"chrUn_gl000225",11868,16442,1,"Un_gl000225__11869__16442"
"chrUn_gl000242",10468,34218,2,"Un_gl000242__10469__34218"
"chr17_gl000206_random",39609,39700,1,"17_gl000206_random__39610__39700"
"chrUn_gl000212",40732,43763,1,"Un_gl000212__40733__43763"
"chrUn_gl000212",40749,43780,2,"Un_gl000212__40750__43780"
"chr1_gl000191_random",41405,44948,1,"1_gl000191_random__41406__44948"
"chrUn_gl000212",47750,51333,1,"Un_gl000212__47751__51333"
"chrUn_gl000214",51171,52945,1,"Un_gl000214__51172__52945"
"chr17_gl000205_random",47824,53086,1,"17_gl000205_random__47825__53086"
"chrUn_gl000225",75330,119224,1,"Un_gl000225__75331__119224"
"chrUn_gl000225",67535,120656,1,"Un_gl000225__67536__120656"
"chrUn_gl000225",74584,127857,2,"Un_gl000225__74585__127857"
"chrUn_gl000225",86128,130582,1,"Un_gl000225__86129__130582"
"chrUn_gl000220",126115,130586,1,"Un_gl000220__126116__130586"
"chr16",131882,131939,1,"16__131883__131939"
"chrUn_gl000225",120250,139438,1,"Un_gl000225__120251__139438"
"chrUn_gl000220",139782,140628,2,"Un_gl000220__139783__140628"
"chr7_gl000195_random",150404,156002,1,"7_gl000195_random__150405__156002"
"chrUn_gl000216",143625,168420,1,"Un_gl000216__143626__168420"
"chr16",160522,169254,1,"16__160523__169254"
"chr9",162431,172172,3,"9__162432__172172"
"chr17",172663,174352,1,"17__172664__174352"
"chr17",131558,177370,1,"17__131559__177370"
"chr17",169210,177370,1,"17__169211__177370"
"chr18",163307,180339,1,"18__163308__180339"
"chr16",167299,180590,2,"16__167300__180590"
"chr18",196636,199316,3,"18__196637__199316"
"chr18",178932,204692,2,"18__178933__204692"
"chr18",196636,204692,8,"18__196637__204692"
"chr10",225933,226068,2,"10__225934__226068"
"chr5",220354,228448,1,"5__220355__228448"
"chr11",216669,233244,1,"11__216670__233244"
"chr5",223596,233760,1,"5__223597__233760"
"chr5",224474,233760,1,"5__224475__233760"
"chr5",230990,233760,1,"5__230991__233760"
"chr10",225933,255988,1,"10__225934__255988"
"chr5",254537,256570,1,"5__254538__256570"
"chr16",249060,258187,4,"16__249061__258187"
"chrY",249338,258428,1,"Y__249339__258428"
"chr10",225933,267296,1,"10__225934__267296"
"chrY",256250,272325,2,"Y__256251__272325"
"chrY",272139,272325,1,"Y__272140__272325"
"chrY",272139,273067,1,"Y__272140__273067"
"chr10",225933,282855,1,"10__225934__282855"
"chr9",271626,289581,1,"9__271627__289581"
"chr9",280790,289581,1,"9__280791__289581"
"chr10",225933,295028,3,"10__225934__295028"
"chr16",304379,304680,2,"16__304380__304680"
"chr11",308198,308386,1,"11__308199__308386"
"chr5",263815,311517,1,"5__263816__311517"
"chr19",311844,313643,2,"19__311845__313643"
"chr5",311407,314711,1,"5__311408__314711"
"chrX",299338,322325,1,"X__299339__322325"
"chrX",306250,322325,2,"X__306251__322325"
"chrX",299338,323067,1,"X__299339__323067"
"chrX",322139,323067,1,"X__322140__323067"
"chr19",325634,327989,2,"19__325635__327989"
"chr9",325670,340321,1,"9__325671__340321"
"chr9",336581,340321,1,"9__336582__340321"
"chr16",347055,348251,1,"16__347056__348251"
"chr5",311407,354026,2,"5__311408__354026"
"chr5",353844,361037,1,"5__353845__361037"
"chr16",354303,364683,9,"16__354304__364683"
"chr16",359972,364683,1,"16__359973__364683"
"chr5",353844,368059,1,"5__353845__368059"
"chr5",311407,376831,3,"5__311408__376831"
"chr5",353844,376831,5,"5__353845__376831"
"chr8",381340,385707,1,"8__381341__385707"
"chr16",364542,397106,1,"16__364543__397106"
"chr16",396147,397106,4,"16__396148__397106"
"chr10",410313,410961,1,"10__410314__410961"
"chr5",413548,413604,1,"5__413549__413604"
"chr12",394611,417171,1,"12__394612__417171"
"chr16",418327,418560,2,"16__418328__418560"
"chr5",353844,428121,2,"5__353845__428121"
"chr20",422231,428718,2,"20__422232__428718"
"chr10",412214,430086,1,"10__412215__430086"
"chr4",429558,431300,1,"4__429559__431300"
"chr12",394611,431733,1,"12__394612__431733"
"chr5",420290,432639,1,"5__420291__432639"
"chr4",436290,436374,1,"4__436291__436374"
"chr12",459786,465703,2,"12__459787__465703"
"chr10",454865,468973,1,"10__454866__468973"
"chr11",460186,479152,1,"11__460187__479152"
"chr20",476362,489304,1,"20__476363__489304"
"chr17",489509,505136,1,"17__489510__505136"
"chr12",514676,527802,2,"12__514677__527802"
"chr12",518533,527802,1,"12__518534__527802"
"chr10",518378,532470,6,"10__518379__532470"
"chr16",532524,539000,1,"16__532525__539000"
"chr12",514676,547720,1,"12__514677__547720"
"chr6",555226,556564,1,"6__555227__556564"
"chr7",540752,558705,2,"7__540753__558705"
"chr17",556530,559193,2,"17__556531__559193"
"chr16",553003,560800,4,"16__553004__560800"
"chr6",553853,562845,1,"6__553854__562845"
"chr6",532468,564929,1,"6__532469__564929"
"chr17",556530,565135,1,"17__556531__565135"
"chr1",569475,569579,1,"1__569476__569579"
"chr5",619104,620376,50,"5__619105__620376"
"chr5",614584,624694,1,"5__614585__624694"
"chr5",619104,624694,14,"5__619105__624694"
"chr5",614584,634062,1,"5__614585__634062"
"chr6",610097,637861,2,"6__610098__637861"
"chr6",629834,637861,29,"6__629835__637861"
"chr5",619104,637933,1,"5__619105__637933"
"chr5",619104,648031,1,"5__619105__648031"
"chr5",619104,653306,2,"5__619105__653306"
"chr5",614584,655699,1,"5__614585__655699"
"chr5",619104,655699,3,"5__619105__655699"
"chr5",624585,655699,1,"5__624586__655699"
"chr5",647919,655699,3,"5__647920__655699"
"chr5",661515,661585,1,"5__661516__661585"
"chr5",663530,665440,1,"5__663531__665440"
"chr18",670691,671451,2,"18__670692__671451"
"chr11",678693,681089,1,"11__678694__681089"
"chr17",673108,681901,1,"17__673109__681901"
"chr18",685920,691276,2,"18__685921__691276"
"chr18",685920,697355,1,"18__685921__697355"
"chr18",683245,706578,1,"18__683246__706578"
"chr16",709085,712331,1,"16__709086__712331"
"chr9",710803,713464,2,"9__710804__713464"
"chr7",716865,720363,3,"7__716866__720363"
"chr17_ctg5_hap1",693693,724155,3,"17_ctg5_hap1__693694__724155"
"chr17_ctg5_hap1",723024,724155,2,"17_ctg5_hap1__723025__724155"
"chr12",723844,724226,1,"12__723845__724226"
"chr11",726446,726706,1,"11__726447__726706"
"chr19",727007,727694,1,"19__727008__727694"
"chr17",722678,729318,1,"17__722679__729318"
"chr16",731298,732682,1,"16__731299__732682"
"chr4",724418,738476,1,"4__724419__738476"
"chr4",737261,738476,1,"4__737262__738476"
"chr1",741178,745550,1,"1__741179__745550"
"chr9",734747,746202,1,"9__734748__746202"
"chr7",716865,751164,21,"7__716866__751164"
