"chr","start","end","count","index"
"chrM",2763,3100,1,"M__2764__3100"
"chrM",8927,9089,3,"M__8928__9089"
"chr1_gl000192_random",3224,11380,1,"1_gl000192_random__3225__11380"
"chrUn_gl000222",8936,12288,6,"Un_gl000222__8937__12288"
"chrUn_gl000222",11698,12288,35,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,9,"Un_gl000222__11828__12288"
"chrM",12375,12573,2,"M__12376__12573"
"chrUn_gl000242",12780,14376,1,"Un_gl000242__12781__14376"
"chrM",14055,14377,1,"M__14056__14377"
"chrUn_gl000222",11827,14982,1,"Un_gl000222__11828__14982"
"chr1",17232,17742,1,"1__17233__17742"
"chrUn_gl000222",11698,42574,1,"Un_gl000222__11699__42574"
"chr16",88209,93975,1,"16__88210__93975"
"chr16",138696,139900,2,"16__138697__139900"
"chr16",138696,143323,1,"16__138697__143323"
"chr16",142593,143323,4,"16__142594__143323"
"chr16",148142,150507,23,"16__148143__150507"
"chrUn_gl000220",109118,153654,1,"Un_gl000220__109119__153654"
"chrY",150833,155536,3,"Y__150834__155536"
"chrY",150833,157459,2,"Y__150834__157459"
"chrUn_gl000220",113346,157504,1,"Un_gl000220__113347__157504"
"chrY",150833,158321,2,"Y__150834__158321"
"chrUn_gl000220",114308,158380,1,"Un_gl000220__114309__158380"
"chrY",150833,158431,4,"Y__150834__158431"
"chrY",150833,159885,7,"Y__150834__159885"
"chrUn_gl000223",157906,160555,3,"Un_gl000223__157907__160555"
"chr8",163120,163710,3,"8__163121__163710"
"chr9",146101,164037,1,"9__146102__164037"
"chrY",150833,165806,1,"Y__150834__165806"
"chrY",150833,166059,31,"Y__150834__166059"
"chrY",150833,166089,1,"Y__150834__166089"
"chr17_ctg5_hap1",167528,168155,13,"17_ctg5_hap1__167529__168155"
"chr9",123216,172172,1,"9__123217__172172"
"chr9",134978,172172,1,"9__134979__172172"
"chr9",162431,172172,4,"9__162432__172172"
"chr17",131558,177370,3,"17__131559__177370"
"chr18",163307,180339,9,"18__163308__180339"
"chr18",163307,192900,2,"18__163308__192900"
"chr4",183414,195619,3,"4__183415__195619"
"chr18",196704,198132,2,"18__196705__198132"
"chr18",196636,198215,2,"18__196637__198215"
"chr18",192841,199316,2,"18__192842__199316"
"chr18",196636,199316,19,"18__196637__199316"
"chr18",196636,203190,5,"18__196637__203190"
"chr18",178932,204692,1,"18__178933__204692"
"chr18",196636,204692,8,"18__196637__204692"
"chr4",194869,205674,1,"4__194870__205674"
"chrX",200833,209885,1,"X__200834__209885"
"chrX",200833,216059,16,"X__200834__216059"
"chrX",224026,224547,4,"X__224027__224547"
"chr5",223596,226162,3,"5__223597__226162"
"chr5",223596,228448,1,"5__223597__228448"
"chr5",228299,231115,1,"5__228300__231115"
"chr11",224077,233215,9,"11__224078__233215"
"chr2",229965,234272,1,"2__229966__234272"
"chr5",230990,236714,4,"5__230991__236714"
"chr10",225933,243945,2,"10__225934__243945"
"chr16",242925,249237,2,"16__242926__249237"
"chr18",246323,254355,1,"18__246324__254355"
"chr10",225933,255988,8,"10__225934__255988"
"chr5",235258,256570,2,"5__235259__256570"
"chr16",249060,258187,4,"16__249061__258187"
"chr10",225933,267296,18,"10__225934__267296"
"chr16",249060,270746,1,"16__249061__270746"
"chrY",249338,272325,8,"Y__249339__272325"
"chrY",256250,272325,6,"Y__256251__272325"
"chrY",272139,273067,5,"Y__272140__273067"
"chr9",271626,289581,4,"9__271627__289581"
"chr10",225933,295028,4,"10__225934__295028"
"chr6_ssto_hap7",294795,295260,1,"6_ssto_hap7__294796__295260"
"chr7",286380,297052,2,"7__286381__297052"
