"index","count"
"1__10032076__10041228",1
"1__100515465__100544104",1
"1__101379219__101387397",2
"1__10155519__10165802",1
"1__10500404__10502498",1
"1__108226110__108247683",1
"1__11130957__11137005",1
"1__11133991__11137005",2
"1__111690264__111703918",1
"1__111690264__111717585",1
"1__11181303__11182183",3
"1__113196220__113202401",2
"1__114495388__114500913",1
"1__1158624__1159348",1
"1__117944808__117948267",11
"1__117944808__117957453",21
"1__117944808__117963271",54
"1__117944808__117984947",18
"1__117944808__118009049",4
"1__1192372__1192690",2
"1__12061458__12062160",1
"1__12378129__12383837",1
"1__14042036__14075982",1
"1__14057495__14068652",6
"1__14104913__14109326",2
"1__1424584__1426051",1
"1__144148790__144621656",1
"1__144598512__144620094",2
"1__144618082__144621656",1
"1__144618082__144813844",1
"1__1451392__1451468",2
"1__145295423__145299939",7
"1__145296357__145301822",1
"1__145298155__145303982",3
"1__145323654__145366999",18
"1__145362097__145366230",1
"1__146399555__146411098",8
"1__146403655__146408167",5
"1__146747017__146757164",4
"1__146757975__146759412",1
"1__148340238__148344742",3
"1__149931603__149936274",1
"1__150198940__150201570",1
"1__151611364__151611595",4
"1__151611364__151634746",1
"1__151611364__151641111",3
"1__151630711__151630903",1
"1__151630711__151641111",1
"1__153637696__153641033",2
"1__153734046__153737539",1
"1__154223517__154224129",2
"1__155408118__155408859",8
"1__155644801__155649303",2
"1__155695173__155695810",7
"1__155742857__155747611",2
"1__155790397__155796819",1
"1__155823067__155823597",5
"1__155896467__155896947",1
"1__156294763__156304709",1
"1__156303338__156304709",6
"1__15860732__15871078",2
"1__15964802__15970145",2
"1__160293221__160302347",1
"1__161293404__161298287",1
"1__16199311__16203173",14
"1__16199311__16237796",2
"1__1666129__1671143",9
"1__168007609__168014465",1
"1__168073715__168083787",1
"1__16905688__16910191",1
"1__16907240__16912193",21
"1__16907915__16913756",55
"1__171492360__171502100",1
"1__172520652__172526934",1
"1__1747195__1756938",2
"1__1747195__1770677",2
"1__1756836__1770677",2
"1__17907048__17914974",2
"1__179363038__179401477",1
"1__179955304__179966310",1
"1__179955304__179975702",1
"1__180366651__180382606",1
"1__180953813__180962561",2
"1__186359843__186360923",4
"1__19503086__19505714",1
"1__19519927__19523759",3
"1__19670852__19684057",1
"1__196876446__196882052",1
"1__200729967__200730226",2
"1__201816407__201817722",1
"1__201832576__201840455",1
"1__202742246__202746222",2
"1__202878138__202880331",1
"1__203786054__203787817",2
"1__204082043__204083733",1
"1__204494612__204501374",1
"1__205585606__205593019",10
"1__205693054__205698749",2
"1__21071237__21107033",1
"1__211526581__211527809",3
"1__21167349__21191755",3
"1__211952260__211966532",2
"1__21220010__21231464",1
"1__21220010__21268823",2
"1__212218002__212220759",1
"1__21295967__21307720",2
"1__21295967__21329301",4
"1__21295967__21437876",3
"1__213037067__213046160",1
"1__213037067__213058738",1
"1__21306827__21307720",3
"1__21306827__21329301",1
"1__21329206__21437876",2
"1__21377359__21415706",7
"1__21377359__21437876",6
"1__21415631__21437876",14
"1__21599192__21616649",7
"1__22041882__22050588",1
"1__220752696__220752899",1
"1__223991876__223994649",1
"1__22404922__22413359",2
"1__225140372__225161855",3
"1__225451899__225477784",1
"1__225742608__225755116",2
"1__227203781__227223308",1
"1__227935393__227935934",1
"1__229599290__229601266",2
"1__229665946__229667478",1
"1__231090079__231097049",7
"1__231506308__231509845",1
"1__231672959__231678357",6
"1__231930988__231954263",1
"1__232596633__232619712",1
"1__233296029__233344435",1
"1__233313548__233344435",1
"1__233334685__233344435",1
"1__233482188__233498039",1
"1__23356962__23370979",1
"1__23356962__23377013",10
"1__23356962__23385660",1
"1__23376880__23385660",5
"1__234582549__234608557",1
"1__235383108__235394504",1
"1__235582788__235597595",2
"1__235600637__235605197",1
"1__235628953__235647831",1
"1__235628953__235658138",2
"1__235643370__235658138",2
"1__236966728__236969533",2
"1__236969444__236979843",4
"1__24112165__24112913",1
"1__243433407__243507633",1
"1__243468015__243542165",2
"1__243708812__243736350",1
"1__243708812__243859018",1
"1__243708812__244006584",1
"1__243736228__243859018",1
"1__243736228__244006584",1
"1__243776973__244006584",6
"1__243800913__244006584",1
"1__243858893__243859018",1
"1__243858893__244006584",4
"1__245165423__245180628",1
"1__247322308__247323115",1
"1__24766662__24771734",1
"1__24840804__24841057",1
"1__25666965__25669564",1
"1__26584088__26586293",8
"1__26772807__26774151",2
"1__27056142__27059283",1
"1__27269151__27269556",7
"1__28907072__28907741",1
"1__28931884__28948677",2
"1__29028950__29037154",1
"1__29068915__29070498",6
"1__29319842__29344954",1
"1__29481208__29481422",7
"1__31413998__31414970",1
"1__31447498__31454252",1
"1__31452909__31454252",1
"1__31465237__31468067",6
"1__31465237__31479949",2
"1__31740718__31764853",1
"1__31810022__31811895",1
"1__31810022__31821821",3
"1__32381496__32385259",4
"1__32560385__32566163",1
"1__32653555__32655850",2
"1__33407853__33415375",1
"1__33409620__33411229",2
"1__33413823__33415375",2
"1__35824526__35827390",7
"1__35870624__35871069",1
"1__35870624__35873760",2
"1__35936464__35944813",2
"1__40872408__40875507",1
"1__41536267__41541123",3
"1__41578955__41608784",1
"1__42730786__42744343",3
"1__42730786__42776781",1
"1__44750507__44804994",1
"1__44773982__44785416",1
"1__44773982__44804994",6
"1__44877653__44878394",6
"1__45223228__45223812",2
"1__45223228__45226374",1
"1__45524281__45553909",1
"1__45553553__45553909",2
"1__46032241__46032692",1
"1__46066057__46068037",1
"1__46079768__46082065",1
"1__46105882__46108171",3
"1__46521467__46546422",2
"1__47745913__47748131",2
"1__47753223__47770668",1
"1__47767233__47776034",1
"1__51001041__51061888",1
"1__51032749__51050483",1
"1__51032749__51061888",3
"1__51253672__51267349",6
"1__51868107__51874004",3
"1__51926763__51930998",2
"1__52293468__52299842",1
"1__54266366__54293846",1
"1__58971732__59000003",1
"1__58971732__59002413",2
"1__59139245__59150923",1
"1__59805630__59812070",1
"1__59805630__59844509",1
"1__63269390__63282479",1
"1__64474977__64516388",1
"1__65278421__65280523",1
"1__65830318__65831879",2
"1__6727769__6741097",2
"1__67356837__67371058",3
"1__67423742__67428843",6
"1__6880241__6885270",4
"1__70758071__70771973",1
"1__70758071__70781249",6
"1__76198329__76216231",1
"1__77620134__77635080",2
"1__78097535__78099090",1
"1__78248923__78309092",1
"1__78267016__78280916",1
"1__78324623__78332076",1
"1__7837220__7838229",10
"1__78420940__78422385",2
"1__82302570__82402521",1
"1__84644860__84650865",2
"1__85121515__85136991",1
"1__85331068__85331821",4
"1__8555123__8601377",2
"1__8555123__8674745",2
"1__85816098__85824530",1
"1__8601273__8617582",6
"1__8601273__8674745",5
"1__8616534__8617582",3
"1__8616534__8674745",1
"1__8716032__8716500",5
"1__87538617__87558352",3
"1__891303__892653",1
"1__89206671__89251896",2
"1__89236035__89237562",2
"1__89236035__89251896",2
"1__92786156__92789932",1
"1__92798948__92846430",1
"1__93648917__93659301",1
"1__93790192__93791452",1
"1__94953098__94956803",1
"1__9991949__9994918",5
"10__102683732__102685776",4
"10__103427643__103433430",1
"10__103552596__103570071",1
"10__103783234__103799882",1
"10__103916776__103917971",1
"10__104352339__104359301",2
"10__1044943__1046808",2
"10__1044943__1053068",1
"10__104851321__104855737",1
"10__105073943__105086389",2
"10__105197772__105198565",16
"10__105199503__105200607",2
"10__105767935__105778666",1
"10__1118056__1126416",2
"10__1118056__1132297",3
"10__1125951__1126416",4
"10__112723883__112745523",1
"10__1130343__1142186",5
"10__1130343__1151207",1
"10__1149539__1151207",1
"10__116719485__116734144",1
"10__116730127__116734144",1
"10__116879949__117154262",1
"10__12039671__12056183",2
"10__12123471__12126750",2
"10__12123471__12133683",3
"10__12123471__12143180",3
"10__12123471__12150014",1
"10__12123471__12155063",2
"10__12123471__12162266",8
"10__12136072__12162266",1
"10__12160748__12160917",1
"10__12257739__12280484",3
"10__122618155__122630858",1
"10__123298106__123325218",2
