"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11828,12288,1,"Un_gl000222__11828__12288",1
"chr8_gl000196_random",12892,22894,1,"8_gl000196_random__12892__22894",1
"chr7_gl000195_random",44223,44369,1,"7_gl000195_random__44223__44369",1
"chrUn_gl000220",117908,118034,1,"Un_gl000220__117908__118034",1
"chr16",167300,180590,1,"16__167300__180590",1
"chrX",200834,209885,2,"X__200834__209885",2
"chr16",239228,243014,1,"16__239228__243014",1
"chr2",247538,253115,1,"2__247538__253115",1
"chr10",225934,255988,2,"10__225934__255988",2
"chr16",249061,258187,1,"16__249061__258187",1
"chr16",249061,258663,1,"16__249061__258663",1
"chr10",225934,267296,5,"10__225934__267296",5
"chr10",225934,295028,1,"10__225934__295028",1
"chr5",264438,314711,1,"5__264438__314711",1
"chr9",311954,317128,1,"9__311954__317128",1
"chrX",306251,322325,3,"X__306251__322325",3
"chr19",325635,327989,1,"19__325635__327989",1
"chr19",326507,327989,1,"19__326507__327989",1
"chr16",354304,364683,3,"16__354304__364683",3
"chr6_cox_hap2",393847,395466,1,"6_cox_hap2__393847__395466",1
"chr16",418328,418560,1,"16__418328__418560",1
"chr10",412215,430086,1,"10__412215__430086",1
"chr5",422844,434269,1,"5__422844__434269",1
"chr12",438001,443588,1,"12__438001__443588",1
"chr12",459787,463400,1,"12__459787__463400",1
"chr12",459787,465703,1,"12__459787__465703",1
"chr4",499507,502759,1,"4__499507__502759",1
"chr19",513590,513781,1,"19__513590__513781",1
"chr17",526773,530556,1,"17__526773__530556",1
"chr10",518379,532470,2,"10__518379__532470",2
"chr10",530721,532470,2,"10__530721__532470",2
"chr16",532525,539000,1,"16__532525__539000",1
"chr12",537935,547720,1,"12__537935__547720",1
"chr16",583946,586142,1,"16__583946__586142",1
"chr8",585668,590834,1,"8__585668__590834",1
"chr11",581492,592674,1,"11__581492__592674",1
"chr9",593609,594080,3,"9__593609__594080",3
"chr11",587259,597570,1,"11__587259__597570",1
"chr17",556531,602620,1,"17__556531__602620",1
