"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,3,"Un_gl000222__11699__12288",3
"chrUn_gl000222",11828,12288,7,"Un_gl000222__11828__12288",7
"chr8_gl000196_random",12892,27060,1,"8_gl000196_random__12892__27060",1
"chr17_gl000205_random",34445,34569,1,"17_gl000205_random__34445__34569",1
"chr1_gl000191_random",41683,48107,1,"1_gl000191_random__41683__48107",1
"chr1_gl000191_random",44809,48651,1,"1_gl000191_random__44809__48651",1
"chrUn_gl000223",42867,67204,1,"Un_gl000223__42867__67204",1
"chr16",103939,105523,1,"16__103939__105523",1
"chr16",142594,143323,1,"16__142594__143323",1
"chr16",148143,150507,3,"16__148143__150507",3
"chrY",150834,159885,1,"Y__150834__159885",1
"chrUn_gl000223",160379,160555,1,"Un_gl000223__160379__160555",1
"chr17_ctg5_hap1",167529,168155,3,"17_ctg5_hap1__167529__168155",3
"chr18",163308,180339,1,"18__163308__180339",1
"chr18",163308,192900,1,"18__163308__192900",1
"chr18",192842,199316,1,"18__192842__199316",1
"chr18",196637,199316,2,"18__196637__199316",2
"chrX",207315,208321,1,"X__207315__208321",1
"chrX",200834,216059,1,"X__200834__216059",1
"chr11",230452,234004,1,"11__230452__234004",1
"chr5",225998,240591,1,"5__225998__240591",1
"chr4",247349,248626,1,"4__247349__248626",1
"chr10",225934,255988,1,"10__225934__255988",1
"chr16",242926,258187,1,"16__242926__258187",1
"chrY",256251,258428,1,"Y__256251__258428",1
"chr16",262936,263057,1,"16__262936__263057",1
"chr10",225934,267296,6,"10__225934__267296",6
"chr10",266577,267296,1,"10__266577__267296",1
"chrY",272140,273067,2,"Y__272140__273067",2
"chr10",225934,293406,1,"10__225934__293406",1
"chr10",225934,295028,1,"10__225934__295028",1
"chr16",299548,310159,1,"16__299548__310159",1
"chr16",299548,313774,1,"16__299548__313774",1
"chr5",306757,314711,1,"5__306757__314711",1
"chrX",322140,323067,3,"X__322140__323067",3
"chr18",346295,357522,1,"18__346295__357522",1
"chr16",354304,364683,2,"16__354304__364683",2
"chr5",353845,376831,1,"5__353845__376831",1
"chr16",354304,397106,2,"16__354304__397106",2
"chr16",396148,397106,1,"16__396148__397106",1
"chr20",398170,398574,1,"20__398170__398574",1
"chr16",417535,417673,1,"16__417535__417673",1
"chr16",418328,418560,1,"16__418328__418560",1
"chr19",438718,440932,1,"19__438718__440932",1
"chr12",459787,459918,1,"12__459787__459918",1
"chr12",459787,461490,1,"12__459787__461490",1
"chr12",459787,465703,1,"12__459787__465703",1
"chr18",346295,471198,1,"18__346295__471198",1
"chr12",401925,475270,1,"12__401925__475270",1
"chr12",459787,475270,2,"12__459787__475270",2
"chr5",478464,478967,1,"5__478464__478967",1
"chr12",493197,495140,1,"12__493197__495140",1
"chr4",499507,502759,1,"4__499507__502759",1
"chr12",514677,527802,1,"12__514677__527802",1
"chr10",518379,532470,4,"10__518379__532470",4
"chr10",530721,532470,1,"10__530721__532470",1
"chr17",534790,536081,1,"17__534790__536081",1
"chr16",532525,546859,1,"16__532525__546859",1
"chr12",537935,547720,1,"12__537935__547720",1
"chr6",562784,576882,1,"6__562784__576882",1
"chr8",588541,588891,1,"8__588541__588891",1
"chr6",532469,610178,1,"6__532469__610178",1
"chr5",619105,620376,12,"5__619105__620376",12
"chr8",622834,623002,1,"8__622834__623002",1
"chr8",618598,624047,1,"8__618598__624047",1
"chr5",619105,624694,2,"5__619105__624694",2
"chr5",620251,640621,1,"5__620251__640621",1
"chr8",640898,642612,1,"8__640898__642612",1
"chr8",640970,642612,1,"8__640970__642612",1
"chr7",618893,647089,1,"7__618893__647089",1
"chr5",619105,648031,1,"5__619105__648031",1
"chr4",652292,652732,1,"4__652292__652732",1
"chr5",619105,653306,2,"5__619105__653306",2
"chr5",619105,655699,1,"5__619105__655699",1
"chr17",673109,681901,1,"17__673109__681901",1
"chr17",691205,695473,1,"17__691205__695473",1
"chr17_ctg5_hap1",693694,705913,1,"17_ctg5_hap1__693694__705913",1
"chr16",709086,712331,1,"16__709086__712331",1
"chr9",676890,713464,1,"9__676890__713464",1
"chr16",722084,722384,1,"16__722084__722384",1
"chr17_ctg5_hap1",693694,724155,2,"17_ctg5_hap1__693694__724155",2
"chr17_ctg5_hap1",705812,724155,1,"17_ctg5_hap1__705812__724155",1
"chr19",726138,736078,1,"19__726138__736078",1
"chr9",738285,744589,1,"9__738285__744589",1
"chr1",741179,745550,7,"1__741179__745550",7
"chr7",716866,751164,3,"7__716866__751164",3
"chr11",783530,784121,1,"11__783530__784121",1
"chr16",792250,792543,1,"16__792250__792543",1
"chr7",810108,814799,1,"7__810108__814799",1
"chr4",849972,850109,1,"4__849972__850109",1
"chr5",886707,889881,1,"5__886707__889881",1
"chr10",875325,890995,2,"10__875325__890995",2
"chr10",882343,890995,3,"10__882343__890995",3
"chr10",888872,890995,1,"10__888872__890995",1
"chr19",879937,891149,1,"19__879937__891149",1
"chr7",892470,892589,1,"7__892470__892589",1
"chr7",872142,897594,1,"7__872142__897594",1
"chr4",898425,907456,1,"4__898425__907456",1
"chr4",905461,907456,1,"4__905461__907456",1
"chr10",909683,910210,4,"10__909683__910210",4
"chr16",931480,931589,1,"16__931480__931589",1
"chr10",909683,931700,3,"10__909683__931700",3
"chr10",930387,936769,1,"10__930387__936769",1
"chr10",930387,949456,1,"10__930387__949456",1
"chr19",966572,968503,1,"19__966572__968503",1
"chr1",957581,987195,1,"1__957581__987195",1
"chr11",992503,994245,1,"11__992503__994245",1
"chr17",953290,1003975,2,"17__953290__1003975",2
