"index","count"
"1__117944808__117948267",2
"1__117944808__117957453",3
"1__117944808__117963271",2
"1__145355187__145359187",5
"1__151611364__151611595",2
"1__151611364__151641111",2
"1__167921038__167944253",2
"1__167935867__167944253",2
"1__220777409__220792097",2
"1__247320302__247323115",2
"1__35846860__35854683",2
"1__35846860__35855699",2
"1__41536267__41541123",2
"1__47745913__47748131",4
"1__52959283__52975384",2
"1__59787208__59812070",2
"1__63944435__63974241",4
"1__8601273__8674745",2
"10__105197772__105198565",2
"10__32197100__32199491",2
"10__35790429__35805551",2
"10__69792535__69833443",2
"10__7285520__7327916",2
"10__73956569__73963282",2
"11__120276827__120278532",2
"11__120276827__120280159",2
"11__128963516__129034322",3
"11__128993341__129034322",5
"11__130130751__130131824",4
"11__32948703__32956981",2
"11__33307959__33309057",2
"11__62564655__62564858",2
"11__66407171__66407594",2
"11__70200407__70202360",2
"11__77330651__77340944",2
"11__85718585__85742653",5
"11__85722073__85742653",2
"11__86267595__86270865",2
"12__111990084__111993723",2
"12__116668338__116675510",2
"12__19615444__19626289",2
"12__40422103__40442012",2
"12__42604157__42604482",2
"14__21971316__21972024",2
"14__32559708__32586493",4
"14__99924616__99932150",2
"15__101775287__101775782",2
"15__59204762__59209198",3
"15__85223944__85234875",2
"16__11976872__11991892",2
"16__11988811__11990642",6
"16__11988811__11991892",3
"16__2683740__2692490",2
"16__85667520__85667738",3
"17__40989666__40991397",2
"17__46189393__46190763",3
"17__7402358__7402810",2
"17__79813018__79813462",2
"17__80521230__80526077",4
"18__196637__204692",2
"18__9583115__9595151",2
"19__10279006__10288043",2
"19__39408364__39409453",2
"2__15691617__15698758",2
"2__168994598__169038600",2
"2__174987908__175006728",2
"2__176835492__176860374",2
"2__177161588__177193640",2
"2__32142995__32168452",2
"2__55209651__55214834",2
"2__61749746__61761038",2
"2__73828322__73899622",2
"2__85097349__85097909",3
"20__30954187__30956926",4
"20__61485368__61491660",2
"20__62407031__62422143",2
"21__35475134__35497780",2
"22__28290543__28310335",2
"3__133907681__133914026",2
"3__135979321__135980907",2
"3__149563798__149639014",8
"3__157839892__157841780",4
"3__196118684__196129890",2
"3__196812451__196846401",2
"3__4452549__4461830",2
"3__47476498__47484581",2
"3__56626998__56628056",2
"3__71064700__71102924",2
"4__108603171__108622441",2
"4__128995615__128999117",2
"4__186168448__186188309",2
"4__52729603__52744020",2
"5__10213603__10224173",3
"5__138699448__138700432",2
"5__167915607__167921655",3
"5__170610199__170632616",2
"5__36953720__36976504",2
"5__38523521__38530768",4
"5__43161351__43162033",3
"5__619105__624694",2
"5__6604251__6605521",2
"5__76745585__76759051",2
"5__77711344__77717784",2
"6__165895803__165957056",2
"6__35586873__35610620",2
"7__101801840__101821937",2
"7__111127294__111161505",2
"7__131058469__131084192",2
"7__131113792__131130662",2
"7__140402666__140404763",2
"7__158552177__158591763",2
"7__158566032__158591763",2
"7__17908030__17915413",2
"7__24663285__24681487",2
"7__47546505__47568745",2
"7__65592691__65599361",2
"7__65915058__66041916",2
"7__80418622__80440017",2
"7__8043538__8099878",2
"7__91752434__91761186",2
"9__114195513__114206774",2
"9__126519982__126531842",2
"9__126519982__126641300",4
"9__128057737__128061385",2
"9__130931331__130943078",2
"9__131456235__131456321",2
"9__138773479__138774924",2
"9__33953283__33963789",2
"9__79829245__79842401",2
"9__86292642__86293514",2
"9__88307604__88327481",2
"M__13419__13499",2
"X__130883334__130928494",2
"X__24828015__24861794",2
"X__37245852__37285253",2
"X__40585998__40588597",2
