"","x"
"1","1__169847775__169858031"
"2","1__169796192__169796340"
"3","1__24786971__24790610"
"4","1__23381562__23384058"
"5","1__23356962__23385660"
"6","1__23376880__23385660"
"7","1__23381562__23399896"
"8","1__113140593__113159517"
"9","1__1635478__1635585"
"10","1__115277063__115277144"
"11","1__11090233__11106790"
"12","1__28056743__28086138"
"13","1__41536267__41541123"
"14","1__41578955__41582682"
"15","1__41578955__41608784"
"16","1__94360170__94363454"
"17","1__32622947__32623962"
"18","1__32627548__32628914"
"19","1__244574589__244581054"
"20","1__19644094__19644335"
"21","1__12378129__12382803"
"22","1__241767562__241767881"
"23","1__10412689__10435431"
"24","1__179306972__179310445"
"25","1__179310163__179310445"
"26","1__179311249__179312770"
"27","1__179314082__179318077"
"28","1__179316735__179318077"
"29","1__179317979__179318077"
"30","1__203676137__203677232"
"31","1__203672780__203689868"
"32","1__203676990__203690538"
"33","1__203676137__203696699"
"34","1__29586382__29586556"
"35","1__29637968__29639218"
"36","1__16263658__16264501"
"37","1__212515530__212521839"
"38","1__44132123__44154766"
"39","1__41189361__41189464"
"40","1__197091518__197094085"
"41","1__197091518__197101482"
"42","1__93159359__93170301"
"43","1__93167698__93202184"
"44","1__93201955__93202184"
"45","1__2100957__2105455"
"46","1__8922946__8927309"
"47","1__8926338__8927309"
"48","1__8928047__8932045"
"49","1__8925344__8934976"
"50","1__17907048__17907127"
"51","1__17907048__17914140"
"52","1__17907048__17934472"
"53","1__17907048__17949670"
"54","1__17907048__17961511"
"55","1__17934297__17975170"
"56","1__21137231__21139732"
"57","1__21180053__21191205"
"58","1__21205816__21212864"
"59","1__21220010__21268823"
"60","1__21306827__21307720"
"61","1__21276496__21329301"
"62","1__21220010__21377487"
"63","1__21329206__21377487"
"64","1__21276496__21437876"
"65","1__21306827__21437876"
"66","1__21377359__21437876"
"67","1__21415631__21437876"
"68","1__178359235__178359341"
"69","1__178252699__178414797"
"70","1__178252699__178423783"
"71","1__208218412__208218555"
"72","1__78183552__78191447"
"73","1__78187516__78211284"
"74","1__78211106__78211284"
"75","1__1721834__1724750"
"76","1__1735858__1737977"
