"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,1,"Un_gl000222__11699__12288",1
"chrUn_gl000220",121605,124995,1,"Un_gl000220__121605__124995",1
"chr7_gl000195_random",150405,156002,1,"7_gl000195_random__150405__156002",1
"chr19",430684,440932,1,"19__430684__440932",1
"chr18",631231,641962,1,"18__631231__641962",1
"chr1",741179,745550,1,"1__741179__745550",1
"chr10",860577,861010,1,"10__860577__861010",1
"chr10",853789,871810,1,"10__853789__871810",1
"chr10",875325,890995,1,"10__875325__890995",1
"chr10",875621,890995,1,"10__875621__890995",1
"chr10",909683,910210,3,"10__909683__910210",3
"chr10",888872,931700,1,"10__888872__931700",1
"chr1",957581,989931,1,"1__957581__989931",1
"chrX",1497215,1497705,1,"X__1497215__1497705",1
"chr17",1746097,1747980,3,"17__1746097__1747980",3
"chr8",1998869,2000431,1,"8__1998869__2000431",1
"chr8",1998869,2007366,2,"8__1998869__2007366",2
"chr20",2097312,2098061,3,"20__2097312__2098061",3
"chrX",2129531,2139270,1,"X__2129531__2139270",1
"chr1",2234417,2236024,1,"1__2234417__2236024",1
"chr7",2477439,2483381,1,"7__2477439__2483381",1
"chr4",2597811,2598056,1,"4__2597811__2598056",1
"chr18",2572976,2599170,1,"18__2572976__2599170",1
"chr18",2666156,2674144,1,"18__2666156__2674144",1
"chr16",2683740,2692490,1,"16__2683740__2692490",1
"chr18",2890559,2892484,1,"18__2890559__2892484",1
"chr19",2936522,2939405,1,"19__2936522__2939405",1
"chr18",2951053,2960847,1,"18__2951053__2960847",1
"chr4",3088666,3109150,15,"4__3088666__3109150",15
"chr4",3088670,3109150,1,"4__3088670__3109150",1
"chr4",3101001,3109150,1,"4__3101001__3109150",1
"chr4",3182242,3190820,1,"4__3182242__3190820",1
"chr4",3188324,3190820,3,"4__3188324__3190820",3
"chr4",3188324,3201666,1,"4__3188324__3201666",1
"chr4",3201459,3205875,1,"4__3201459__3205875",1
"chr7",3465471,3479900,1,"7__3465471__3479900",1
"chrX",3544460,3560012,1,"X__3544460__3560012",1
"chrX",3573190,3588446,1,"X__3573190__3588446",1
"chr7",3658712,3681737,9,"7__3658712__3681737",9
"chr1",3697202,3701767,1,"1__3697202__3701767",1
"chr16",3704962,3708065,1,"16__3704962__3708065",1
"chr20",3813706,3824016,1,"20__3813706__3824016",1
"chr3",3900756,3918519,1,"3__3900756__3918519",1
"chr7",3998563,4002483,1,"7__3998563__4002483",1
"chr7",3998563,4014177,1,"7__3998563__4014177",1
"chr16",4163751,4165486,1,"16__4163751__4165486",1
"chr17",4186093,4200104,1,"17__4186093__4200104",1
"chr17",4186093,4200109,2,"17__4186093__4200109",2
"chr17",4186093,4210418,5,"17__4186093__4210418",5
"chr16",4311780,4312702,1,"16__4311780__4312702",1
"chr16",4310456,4322694,1,"16__4310456__4322694",1
"chr3",4344839,4346286,1,"3__4344839__4346286",1
"chr19",4405909,4409756,2,"19__4405909__4409756",2
"chr19",4408900,4410520,1,"19__4408900__4410520",1
"chr19",4780466,4781550,1,"19__4780466__4781550",1
"chr9",4823548,4827033,2,"9__4823548__4827033",2
"chr9",4823548,4833228,1,"9__4823548__4833228",1
"chr17",5341443,5341593,1,"17__5341443__5341593",1
"chr19",5587712,5595508,1,"19__5587712__5595508",1
"chr19",5598804,5604947,1,"19__5598804__5604947",1
"chr19",5604594,5604947,21,"19__5604594__5604947",21
"chr9",5968019,5988545,2,"9__5968019__5988545",2
"chr7",6054777,6057676,1,"7__6054777__6057676",1
"chr7",6057445,6057676,1,"7__6057445__6057676",1
"chr19",6230581,6270770,3,"19__6230581__6270770",3
"chr7",6295697,6304983,1,"7__6295697__6304983",1
"chr19",6378663,6378909,1,"19__6378663__6378909",1
"chr19",6494571,6494756,1,"19__6494571__6494756",1
"chr7",6554006,6561588,1,"7__6554006__6561588",1
"chr11",6982860,7018251,1,"11__6982860__7018251",1
"chrX",7701033,7787343,1,"X__7701033__7787343",1
"chr1",7837220,7838229,3,"1__7837220__7838229",3
"chr6",7861684,7862731,2,"6__7861684__7862731",2
"chr7",7916912,7923977,1,"7__7916912__7923977",1
"chr8",8011709,8012052,1,"8__8011709__8012052",1
"chr1",8056381,8060788,1,"1__8056381__8060788",1
"chr7",8043538,8099878,1,"7__8043538__8099878",1
"chr7",8095066,8110761,1,"7__8095066__8110761",1
"chr19",8402679,8404051,1,"19__8402679__8404051",1
"chr12",8407112,8407736,1,"12__8407112__8407736",1
"chr11",8534233,8534426,1,"11__8534233__8534426",1
"chrX",8565075,8591711,1,"X__8565075__8591711",1
"chr1",8850147,8852647,1,"1__8850147__8852647",1
"chr8",8865480,8877974,1,"8__8865480__8877974",1
"chr20",8942843,8948002,2,"20__8942843__8948002",2
"chr3",8932073,8955404,1,"3__8932073__8955404",1
"chr3",8953996,8983488,2,"3__8953996__8983488",2
"chr3",8977555,8983488,6,"3__8977555__8983488",6
"chr11",9430033,9435958,1,"11__9430033__9435958",1
"chr11",9447693,9449902,1,"11__9447693__9449902",1
"chr11",9451221,9452550,3,"11__9451221__9452550",3
"chr11",9451221,9455393,1,"11__9451221__9455393",1
"chr2",9724595,9724854,1,"2__9724595__9724854",1
"chr3",9804598,9804897,1,"3__9804598__9804897",1
"chrX",9859017,9866330,1,"X__9859017__9866330",1
"chrX",9862398,9866330,2,"X__9862398__9866330",2
"chr1",10032076,10041228,2,"1__10032076__10041228",2
"chr4",10099335,10105610,2,"4__10099335__10105610",2
"chr3",10158324,10161454,1,"3__10158324__10161454",1
"chr3",10219522,10268117,1,"3__10219522__10268117",1
"chr20",10536879,10541468,1,"20__10536879__10541468",1
"chr17",10581587,10596278,1,"17__10581587__10596278",1
"chr6",10697554,10702872,1,"6__10697554__10702872",1
"chr6",10702602,10702872,3,"6__10702602__10702872",3
"chr6",10702602,10705077,1,"6__10702602__10705077",1
"chr12",10673241,10710282,1,"12__10673241__10710282",1
"chr3",10906379,10906806,1,"3__10906379__10906806",1
"chr3",10953775,10960138,1,"3__10953775__10960138",1
"chr12",11273609,11276786,1,"12__11273609__11276786",1
"chr11",11348633,11362551,2,"11__11348633__11362551",2
"chr11",11394062,11400811,1,"11__11394062__11400811",1
"chr11",11470291,11556458,1,"11__11470291__11556458",1
"chr11",11547908,11556458,1,"11__11547908__11556458",1
"chr19",11606765,11609154,1,"19__11606765__11609154",1
"chr19",11759173,11762868,1,"19__11759173__11762868",1
"chr16",11989983,11998517,1,"16__11989983__11998517",1
"chr10",12123471,12126750,1,"10__12123471__12126750",1
"chr10",12123471,12129728,1,"10__12123471__12129728",1
"chr10",12123471,12131254,1,"10__12123471__12131254",1
"chr10",12123471,12133683,4,"10__12123471__12133683",4
"chr10",12126539,12133683,1,"10__12126539__12133683",1
"chr10",12130985,12133683,2,"10__12130985__12133683",2
"chr10",12123471,12136270,8,"10__12123471__12136270",8
"chr10",12123471,12139995,2,"10__12123471__12139995",2
"chr10",12123471,12143180,1,"10__12123471__12143180",1
"chr10",12123471,12155063,1,"10__12123471__12155063",1
"chr10",12123471,12159754,1,"10__12123471__12159754",1
"chr10",12154899,12159754,1,"10__12154899__12159754",1
"chr10",12123471,12162266,7,"10__12123471__12162266",7
"chr10",12129534,12162266,1,"10__12129534__12162266",1
"chr10",12136072,12162266,4,"10__12136072__12162266",4
"chr10",12272947,12280484,2,"10__12272947__12280484",2
"chr10",12288148,12292426,1,"10__12288148__12292426",1
"chr10",12291580,12292468,1,"10__12291580__12292468",1
"chr8",12368631,12369441,1,"8__12368631__12369441",1
"chr18",12340200,12371690,1,"18__12340200__12371690",1
"chr18",12366964,12371690,1,"18__12366964__12371690",1
"chr19",12628559,12639510,1,"19__12628559__12639510",1
"chr4",13338517,13343936,1,"4__13338517__13343936",1
"chrX",13684436,13686502,2,"X__13684436__13686502",2
"chr11",13725705,13725893,1,"11__13725705__13725893",1
"chr12",13906251,13906849,1,"12__13906251__13906849",1
"chr9",14243314,14268809,1,"9__14243314__14268809",1
"chr5",14601074,14602441,1,"5__14601074__14602441",1
"chr9",14639894,14662324,1,"9__14639894__14662324",1
"chr9",14639894,14680160,2,"9__14639894__14680160",2
"chr5",14673751,14681716,4,"5__14673751__14681716",4
"chr5",14673751,14693203,3,"5__14673751__14693203",3
"chr5",14709047,14713160,1,"5__14709047__14713160",1
"chr5",14741936,14758707,2,"5__14741936__14758707",2
"chr10",14909082,14912666,1,"10__14909082__14912666",1
"chr10",15254471,15256600,2,"10__15254471__15256600",2
"chr3",15258932,15262488,1,"3__15258932__15262488",1
"chr3",15282960,15287178,2,"3__15282960__15287178",2
"chr3",15281980,15292530,1,"3__15281980__15292530",1
"chr10",15317854,15326104,1,"10__15317854__15326104",1
"chrX",15677139,15691590,1,"X__15677139__15691590",1
"chrX",15808461,15838439,1,"X__15808461__15838439",1
"chr3",15981017,15988362,2,"3__15981017__15988362",2
"chr1",16044388,16047883,1,"1__16044388__16047883",1
"chr5",16463676,16465207,1,"5__16463676__16465207",1
"chr19",16790795,16791392,1,"19__16790795__16791392",1
"chr19",16790795,16793319,7,"19__16790795__16793319",7
"chrX",16836697,16838378,2,"X__16836697__16838378",2
"chr5",16916164,16917151,1,"5__16916164__16917151",1
"chr8",16935292,16977910,1,"8__16935292__16977910",1
"chr9",17426888,17427247,1,"9__17426888__17427247",1
"chr17",18110129,18111689,2,"17__18110129__18111689",2
"chr6",18160114,18166609,2,"6__18160114__18166609",2
"chr19",18258253,18258434,1,"19__18258253__18258434",1
"chr3",18351731,18354990,1,"3__18351731__18354990",1
"chr18",18534744,18535206,1,"18__18534744__18535206",1
"chr17",18574180,18575615,3,"17__18574180__18575615",3
"chr18",18597459,18597673,1,"18__18597459__18597673",1
"chr18",18600112,18603641,1,"18__18600112__18603641",1
"chr18",18600112,18624147,1,"18__18600112__18624147",1
"chr18",18608737,18624147,1,"18__18608737__18624147",1
"chr18",18619433,18650574,1,"18__18619433__18650574",1
"chr22",18642939,18650803,1,"22__18642939__18650803",1
"chr8",18725184,18730243,4,"8__18725184__18730243",4
"chr10",18874878,18905222,1,"10__18874878__18905222",1
"chr10",18885137,18905222,1,"10__18885137__18905222",1
"chr10",18898774,18905222,1,"10__18898774__18905222",1
"chr10",18874878,18931484,1,"10__18874878__18931484",1
"chr19",19163670,19163929,1,"19__19163670__19163929",1
"chr18",19202686,19209150,1,"18__19202686__19209150",1
"chr20",19266222,19496208,1,"20__19266222__19496208",1
"chr1",19519927,19523759,1,"1__19519927__19523759",1
"chrX",19672300,19673017,1,"X__19672300__19673017",1
"chr16",19714192,19722762,2,"16__19714192__19722762",2
"chr16",19717914,19722762,7,"16__19717914__19722762",7
"chr12",19802632,19826140,1,"12__19802632__19826140",1
"chr1",20216878,20234153,1,"1__20216878__20234153",1
"chr12",20251686,20280587,1,"12__20251686__20280587",1
"chr17",20330104,20332250,1,"17__20330104__20332250",1
"chr13",20315705,20333558,2,"13__20315705__20333558",2
"chr13",20325411,20333558,1,"13__20325411__20333558",1
"chr13",20304379,20356931,4,"13__20304379__20356931",4
"chr13",20439611,20530751,2,"13__20439611__20530751",2
"chr22",21288067,21288532,31,"22__21288067__21288532",31
"chr1",21298431,21298859,1,"1__21298431__21298859",1
"chr16",21327205,21328447,1,"16__21327205__21328447",1
"chr16",21396878,21397253,1,"16__21396878__21397253",1
"chr9",21417905,21420691,1,"9__21417905__21420691",1
"chr20",21492812,21494752,1,"20__21492812__21494752",1
"chr13",21716715,21716943,1,"13__21716715__21716943",1
"chr14",21825356,21827768,1,"14__21825356__21827768",1
"chr14",21825356,21829372,1,"14__21825356__21829372",1
"chr8",21835281,21837714,2,"8__21835281__21837714",2
"chr8",21847861,21851962,1,"8__21847861__21851962",1
"chr18",21912906,21957499,1,"18__21912906__21957499",1
"chr7",22259485,22306631,1,"7__22259485__22306631",1
"chr7",22306583,22357656,3,"7__22306583__22357656",3
"chr7",22330794,22357656,5,"7__22330794__22357656",5
"chr16",22360600,22361170,2,"16__22360600__22361170",2
"chr10",22896856,22898646,3,"10__22896856__22898646",3
"chr16",23113640,23119504,1,"16__23113640__23119504",1
"chr16",23113640,23120102,1,"16__23113640__23120102",1
"chr3",23299412,23312715,1,"3__23299412__23312715",1
"chr15",23329958,23331101,1,"15__23329958__23331101",1
"chr8",23336717,23340753,1,"8__23336717__23340753",1
"chr15",23333849,23350054,1,"15__23333849__23350054",1
"chr7",23390924,23401216,1,"7__23390924__23401216",1
"chr7",23400205,23401216,1,"7__23400205__23401216",1
"chr7",23400205,23401360,1,"7__23400205__23401360",1
"chr22",23437434,23438605,1,"22__23437434__23438605",1
"chr16",23453798,23457282,1,"16__23453798__23457282",1
"chr16",23614908,23649450,1,"16__23614908__23649450",1
"chrX",24080533,24086225,1,"X__24080533__24086225",1
"chr3",24215275,24231144,1,"3__24215275__24231144",1
"chr1",24303807,24304763,1,"1__24303807__24304763",1
"chr22",24313475,24313882,1,"22__24313475__24313882",1
"chr13",24380089,24384063,1,"13__24380089__24384063",1
"chr20",24523656,24524213,1,"20__24523656__24524213",1
"chr2",24777258,24778924,1,"2__24777258__24778924",1
"chrX",24828015,24861794,1,"X__24828015__24861794",1
"chr22",25427901,25428663,1,"22__25427901__25428663",1
"chr22",25423912,25437492,1,"22__25423912__25437492",1
