"index","chr","start","end","count"
"1__4569060__154186422","1",4569060,154186422,1
"12__133384477__133390005","12",133384477,133390005,1
"14__56343170__102496275","14",56343170,102496275,9
"8__74585342__74601048","8",74585342,74601048,4
"3__50145503__50145737","3",50145503,50145737,1
"17__32933012__58556632","17",32933012,58556632,1
"12__49072819__49073616","12",49072819,49073616,1
"10__103769131__103773781","10",103769131,103773781,1
"19__57334121__57335882","19",57334121,57335882,30
"14__76642966__76662315","14",76642966,76662315,243
"1__12632756__12639440","1",12632756,12639440,10
"4__148968043__148968202","4",148968043,148968202,2
"19__18543783__18544023","19",18543783,18544023,293
"3__197592294__197593090","3",197592294,197593090,21
"3__182804481__182810333","3",182804481,182810333,1
"2__106739426__106746234","2",106739426,106746234,36
"6__52131409__52141996","6",52131409,52141996,3
"1__6021854__6029319","1",6021854,6029319,18
"12__65516871__120934356","12",65516871,120934356,1
"17__48733193__48736729","17",48733193,48736729,9
"8__95556055__95556170","8",95556055,95556170,1
"5__36166621__36168549","5",36166621,36168549,2
"10__114724315__114799885","10",114724315,114799885,13
"1__31465237__31479949","1",31465237,31479949,5
"3__12421203__12422990","3",12421203,12422990,9
"12__26568236__26596583","12",26568236,26596583,1
"9__123280705__123301442","9",123280705,123301442,6
"16__67913753__67913874","16",67913753,67913874,1
"15__43023409__43028276","15",43023409,43028276,5
"9__33953283__33956144","9",33953283,33956144,6
"11__102056749__102076805","11",102056749,102076805,4
"10__95107374__95109726","10",95107374,95109726,227
"10__75805859__131964943","10",75805859,131964943,1
"1__151234637__151238915","1",151234637,151238915,8
"1__92226700__215775296","1",92226700,215775296,14
"11__403078__404135","11",403078,404135,14
"X__10031485__10035530","X",10031485,10035530,6
"13__114149817__114175048","13",114149817,114175048,3
"20__31606443__31606628","20",31606443,31606628,6
"10__101563776__101572901","10",101563776,101572901,1
"8__11143410__25101273","8",11143410,25101273,1
"17__74093877__74094099","17",74093877,74094099,5
"10__45484722__45484823","10",45484722,45484823,12
"16__68300496__68321774","16",68300496,68321774,1
"5__145634506__145634655","5",145634506,145634655,4
"8__21958105__21958483","8",21958105,21958483,2
"15__50884108__50885946","15",50884108,50885946,48
"11__8728632__8734282","11",8728632,8734282,187
"2__239184384__239186596","2",239184384,239186596,3
"6__131912453__131924344","6",131912453,131924344,11
"1__167343345__167343533","1",167343345,167343533,24
"3__142232343__142232480","3",142232343,142232480,1
"5__72351892__72364606","5",72351892,72364606,5
"16__68265081__68267785","16",68265081,68267785,7
"11__62400037__62407203","11",62400037,62407203,5
"9__36375931__36376124","9",36375931,36376124,2
"X__80090676__128581271","X",80090676,128581271,11
"2__32323865__32370076","2",32323865,32370076,76
"18__2925222__2960847","18",2925222,2960847,13
"3__127842427__181353960","3",127842427,181353960,23
"8__97307326__97321850","8",97307326,97321850,18
"8__38803642__38814904","8",38803642,38814904,1
"10__7318854__7409851","10",7318854,7409851,11
"2__96860696__96861287","2",96860696,96861287,441
"14__76349028__76368567","14",76349028,76368567,3
"19__52715939__52719916","19",52715939,52719916,7
"17__25877594__25904665","17",25877594,25904665,30
"19__1089471__1089961","19",1089471,1089961,169
"7__29132239__29135833","7",29132239,29135833,4
"X__118544153__118544325","X",118544153,118544325,4
"2__148730308__148733544","2",148730308,148733544,4
"18__21644104__21649235","18",21644104,21649235,1
"4__2895740__2896458","4",2895740,2896458,22
"1__104902389__153517994","1",104902389,153517994,18
"2__122215263__122218769","2",122215263,122218769,6
"X__153281483__153281548","X",153281483,153281548,18
"19__45206619__45211459","19",45206619,45211459,2
"13__33101545__33111164","13",33101545,33111164,4
"15__91181678__91184431","15",91181678,91184431,5
"X__53574634__53615494","X",53574634,53615494,1
"20__16575544__47683047","20",16575544,47683047,2
"1__21329206__21415706","1",21329206,21415706,28
"17__26901970__26902562","17",26901970,26902562,223
"3__9495423__9506356","3",9495423,9506356,19
"14__53113093__74715837","14",53113093,74715837,1
"8__48730011__48777324","8",48730011,48777324,3
"3__130148487__158380473","3",130148487,158380473,1
"7__30640675__80797267","7",30640675,80797267,2
"5__64747302__64769779","5",64747302,64769779,15
"19__325635__325704","19",325635,325704,15
"X__107838739__107846291","X",107838739,107846291,1
"8__19433512__22476008","8",19433512,22476008,4
"7__73922405__73927301","7",73922405,73927301,23
"4__128564676__128609022","4",128564676,128609022,3
"1__161088576__161090022","1",161088576,161090022,1
"2__112596015__112622528","2",112596015,112622528,1
"5__37298970__37318187","5",37298970,37318187,1
"20__44596133__44597001","20",44596133,44597001,6
"13__28748409__28835595","13",28748409,28835595,42
"13__47297356__47303119","13",47297356,47303119,11
"7__138768526__138774505","7",138768526,138774505,16
"2__72958136__72960247","2",72958136,72960247,8
"1__61872234__61892228","1",61872234,61892228,1
"15__80412670__80415142","15",80412670,80415142,1
"1__197091518__197101482","1",197091518,197101482,20
"3__183882584__183882719","3",183882584,183882719,961
"3__120357302__120357428","3",120357302,120357428,8
"9__33996221__34017187","9",33996221,34017187,29
"1__21562386__165619195","1",21562386,165619195,1
"17__58144795__58151247","17",58144795,58151247,1
"12__51089050__51090958","12",51089050,51090958,1
"12__111902466__111947423","12",111902466,111947423,70
"16__21968738__21983443","16",21968738,21983443,7
"16__58594116__58608664","16",58594116,58608664,627
"7__98550790__98560050","7",98550790,98560050,2
"11__68562272__68564401","11",68562272,68564401,21
"17__73552127__73555491","17",73552127,73555491,52
"20__60886218__60886592","20",60886218,60886592,3
"9__33932560__33941860","9",33932560,33941860,1
"2__42483641__42531691","2",42483641,42531691,148
"15__59510090__59517022","15",59510090,59517022,110
"11__82989769__82991303","11",82989769,82991303,5
"4__76722232__142634025","4",76722232,142634025,1
"16__31510623__31510846","16",31510623,31510846,1
"8__24140082__41364640","8",24140082,41364640,1
"19__10766563__46025839","19",10766563,46025839,1
"5__94025178__94027961","5",94025178,94027961,30
"1__42730786__42744343","1",42730786,42744343,4
"17__80861281__80865697","17",80861281,80865697,8
"10__73579471__73585650","10",73579471,73585650,6
"1__35879573__35881315","1",35879573,35881315,1
