"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:861302|874792","chr1",861302,874792,3,"3_2_0",40,0.13,"exon","ENSG00000187634,","+","SRR1636986.235439,SRR1636986.7266908,SRR1636985.5328126,","1__861302__874792",3
"chr1:871152|874792","chr1",871152,874792,5,"1_5_0",46,0.179,"exon","ENSG00000187634,","+","SRR1636986.15883871,SRR1636986.21692217,SRR1636986.22639714,SRR1636985.7551060,SRR1636986.7299601,","1__871152__874792",5
"chr1:891303|892405","chr1",891303,892405,1,"1_1_0",17,0.105,"exon","ENSG00000188976,","-","SRR1636986.7502092,","1__891303__892405",1
"chr1:891303|892653","chr1",891303,892653,3,"2_2_0",11,0.353,"exon","ENSG00000188976,","-","SRR1636986.4031670,SRR1636986.8153630,SRR1636986.4031670,","1__891303__892653",3
"chr1:897009|899910","chr1",897009,899910,1,"1_1_0",15,0.118,"exon","ENSG00000187961,","+","SRR1636985.6495893,","1__897009__899910",1
"chr1:943574|944750","chr1",943574,944750,1,"1_1_0",6,0.25,"intergenic_region","n/a","+","SRR1636986.2987802,","1__943574__944750",1
"chr1:1191425|1198766","chr1",1191425,1198766,2,"2_1_1",31,0.114,"exon","ENSG00000160087,","-","SRR1636986.9814048,SRR1636986.9894386,","1__1191425__1198766",2
"chr1:1191425|1203372","chr1",1191425,1203372,1,"1_1_0",22,0.083,"exon","ENSG00000160087,","-","SRR1636985.7940257,","1__1191425__1203372",1
"chr1:1191425|1208385","chr1",1191425,1208385,1,"1_1_0",11,0.154,"exon","ENSG00000160087,","-","SRR1636986.21108326,","1__1191425__1208385",1
"chr1:1192372|1192690","chr1",1192372,1192690,5,"4_4_0",43,0.189,"exon","ENSG00000160087,","-","SRR1636985.2780235,SRR1636986.19645585,SRR1636986.4157522,SRR1636986.14100435,SRR1636986.14337545,","1__1192372__1192690",5
"chr1:1192372|1203372","chr1",1192372,1203372,8,"5_5_0",28,0.364,"exon","ENSG00000160087,","-","SRR1636986.6376616,SRR1636986.9583118,SRR1636986.2916704,SRR1636986.8205994,SRR1636986.9583118,SRR1636986.1234104,SRR1636986.18976581,SRR1636986.14598378,","1__1192372__1203372",8
"chr1:1197550|1198766","chr1",1197550,1198766,2,"2_0_1",24,0.143,"exon","ENSG00000160087,","-","SRR1636986.7450147,SRR1636985.10436798,","1__1197550__1198766",2
"chr1:1250204|1256473","chr1",1250204,1256473,1,"1_1_0",46,0.042,"exon","ENSG00000127054,","-","SRR1636986.18861160,","1__1250204__1256473",1
"chr1:1273357|1277185","chr1",1273357,1277185,2,"2_1_0",129,0.03,"exon","ENSG00000107404,","-","SRR1636986.9819951,SRR1636986.1822810,","1__1273357__1277185",2
"chr1:1273902|1275883","chr1",1273902,1275883,1,"1_1_0",113,0.017,"exon","ENSG00000107404,","-","SRR1636985.6415569,","1__1273902__1275883",1
"chr1:1322615|1326245","chr1",1322615,1326245,26,"15_11_2",8,0.867,"exon","ENSG00000221978,","-","SRR1636985.11847344,SRR1636986.933968,SRR1636986.6992424,SRR1636986.8037760,SRR1636986.14142609,SRR1636986.17251801,SRR1636986.19289472,SRR1636986.19593830,SRR1636986.933968,SRR1636986.5708368,SRR1636986.13322830,SRR1636986.14721994,SRR1636986.18732856,SRR1636986.19250971,SRR1636985.12417873,SRR1636986.1609657,SRR1636986.2320204,SRR1636986.3123920,SRR1636986.9393251,SRR1636986.9586734,SRR1636985.11045619,SRR1636985.12275280,SRR1636986.665254,SRR1636986.1590945,SRR1636986.9586734,SRR1636986.19855016,","1__1322615__1326245",26
"chr1:1322615|1334051","chr1",1322615,1334051,2,"2_1_0",11,0.267,"exon","ENSG00000221978,","-","SRR1636986.20019223,SRR1636986.639838,","1__1322615__1334051",2
"chr1:1417518|1454370","chr1",1417518,1454370,2,"2_2_0",9,0.308,"intergenic_region","n/a","+","SRR1636986.1095260,SRR1636986.9733304,","1__1417518__1454370",2
"chr1:1417925|1455686","chr1",1417925,1455686,1,"1_1_0",22,0.083,"intergenic_region","n/a","+","SRR1636985.3812608,","1__1417925__1455686",1
"chr1:1421490|1424654","chr1",1421490,1424654,1,"1_1_0",21,0.087,"exon","ENSG00000160072,","+","SRR1636985.11906460,","1__1421490__1424654",1
"chr1:1424584|1464711","chr1",1424584,1464711,2,"1_1_1",18,0.182,"intergenic_region","n/a","+","SRR1636986.13894896,SRR1636985.11643095,","1__1424584__1464711",2
"chr1:1430865|1464711","chr1",1430865,1464711,2,"2_2_0",6,0.4,"intergenic_region","n/a","+","SRR1636986.13280209,SRR1636986.13548066,","1__1430865__1464711",2
"chr1:1586823|1650894","chr1",1586823,1650894,10,"5_7_1",2,0.909,"intergenic_region","n/a","-","SRR1636985.3965212,SRR1636986.3633316,SRR1636986.11820500,SRR1636986.18407179,SRR1636986.3633316,SRR1636986.18196832,SRR1636986.18407179,SRR1636986.6708274,SRR1636985.5675396,SRR1636986.4439792,","1__1586823__1650894",10
"chr1:1599766|1608285","chr1",1599766,1608285,1,"1_1_0",2,0.5,"exon","ENSG00000189339,","-","SRR1636985.4081460,","1__1599766__1608285",1
"chr1:1599766|1671143","chr1",1599766,1671143,3,"1_3_0",0,1,"intergenic_region","n/a","-","SRR1636985.1387418,SRR1636986.5387487,SRR1636986.15368027,","1__1599766__1671143",3
"chr1:1601103|1666274","chr1",1601103,1666274,5,"5_5_0",1,0.909,"intergenic_region","n/a","-","SRR1636985.4081460,SRR1636985.5951009,SRR1636986.19218829,SRR1636986.9318406,SRR1636986.20328832,","1__1601103__1666274",5
"chr1:1647590|1647917","chr1",1647590,1647917,3,"1_3_0",9,0.4,"intron","ENSG00000008128,ENSG00000268575,","-","SRR1636986.6156818,SRR1636986.22553665,SRR1636985.3714893,","1__1647590__1647917",3
"chr1:1693016|1693474","chr1",1693016,1693474,1,"1_1_0",22,0.083,"intron","ENSG00000008130,","-","SRR1636986.13524353,","1__1693016__1693474",1
"chr1:1693330|1696885","chr1",1693330,1696885,3,"1_2_0",8,0.429,"exon","ENSG00000008130,","-","SRR1636986.566627,SRR1636986.15694249,SRR1636985.3842437,","1__1693330__1696885",3
"chr1:1693391|1696885","chr1",1693391,1696885,2,"2_1_0",22,0.154,"exon","ENSG00000008130,","-","SRR1636986.10823341,SRR1636985.2686481,","1__1693391__1696885",2
"chr1:1724684|1756921","chr1",1724684,1756921,1,"1_1_0",212,0.009,"exon","ENSG00000078369,","-","SRR1636986.419648,","1__1724684__1756921",1
"chr1:1735858|1737977","chr1",1735858,1737977,7,"3_1_3",154,0.083,"exon","ENSG00000078369,","-","SRR1636986.12023733,SRR1636985.12722309,SRR1636986.12023733,SRR1636985.9334791,SRR1636986.11290448,SRR1636986.21130946,SRR1636986.21130946,","1__1735858__1737977",7
"chr1:1735858|1749314","chr1",1735858,1749314,2,"2_0_1",148,0.026,"exon","ENSG00000078369,","-","SRR1636985.317676,SRR1636986.7515375,","1__1735858__1749314",2
"chr1:1735858|1756938","chr1",1735858,1756938,3,"3_2_0",135,0.043,"exon","ENSG00000078369,","-","SRR1636985.11245380,SRR1636986.4379400,SRR1636986.16350127,","1__1735858__1756938",3
"chr1:1735858|1770677","chr1",1735858,1770677,5,"4_0_4",74,0.119,"exon","ENSG00000078369,","-","SRR1636986.14937862,SRR1636985.1726957,SRR1636985.8465596,SRR1636986.15740036,SRR1636986.20567872,","1__1735858__1770677",5
"chr1:1737914|1749314","chr1",1737914,1749314,2,"1_1_1",172,0.023,"exon","ENSG00000078369,","-","SRR1636985.5509243,SRR1636985.7239366,","1__1737914__1749314",2
"chr1:1737914|1770677","chr1",1737914,1770677,3,"1_0_3",98,0.058,"exon","ENSG00000078369,","-","SRR1636986.10360532,SRR1636985.11678465,SRR1636986.19059444,","1__1737914__1770677",3
"chr1:1747195|1756938","chr1",1747195,1756938,12,"10_4_0",167,0.126,"exon","ENSG00000078369,","-","SRR1636986.6760957,SRR1636986.8141626,SRR1636986.8141626,SRR1636986.12672099,SRR1636985.5713471,SRR1636986.10145147,SRR1636986.15176251,SRR1636986.18393145,SRR1636985.5713471,SRR1636986.259156,SRR1636986.10184601,SRR1636986.17488432,","1__1747195__1756938",12
"chr1:1747195|1770677","chr1",1747195,1770677,15,"9_4_7",106,0.221,"exon","ENSG00000078369,","-","SRR1636985.220083,SRR1636985.3202663,SRR1636985.8347262,SRR1636985.8581271,SRR1636986.5698977,SRR1636986.21509906,SRR1636985.2371065,SRR1636985.8678149,SRR1636985.10727144,SRR1636986.7476575,SRR1636986.9574707,SRR1636986.19059517,SRR1636985.1490691,SRR1636986.5682379,SRR1636986.9574707,","1__1747195__1770677",15
"chr1:1756836|1770677","chr1",1756836,1770677,2,"2_1_0",109,0.035,"exon","ENSG00000078369,","-","SRR1636986.14429803,SRR1636985.10873486,","1__1756836__1770677",2
"chr1:1770629|1771121","chr1",1770629,1771121,2,"0_1_1",35,0.103,"exon","ENSG00000078369,","-","SRR1636986.10984431,SRR1636986.10984431,","1__1770629__1771121",2
"chr1:1986880|1991030","chr1",1986880,1991030,1,"1_0_1",7,0.222,"exon","ENSG00000067606,","+","SRR1636986.13092989,","1__1986880__1991030",1
"chr1:2075649|2080363","chr1",2075649,2080363,1,"1_0_1",15,0.118,"exon","ENSG00000067606,","+","SRR1636986.11288312,","1__2075649__2080363",1
"chr1:2082229|2088755","chr1",2082229,2088755,1,"1_1_0",13,0.133,"intron","ENSG00000067606,","+","SRR1636986.19691304,","1__2082229__2088755",1
"chr1:2103494|2105455","chr1",2103494,2105455,1,"1_1_0",15,0.118,"exon","ENSG00000067606,","+","SRR1636986.11218133,","1__2103494__2105455",1
"chr1:2140772|2141658","chr1",2140772,2141658,4,"1_2_2",11,0.421,"intron","ENSG00000162585,","-","SRR1636986.14159822,SRR1636986.20244445,SRR1636986.14159822,SRR1636986.20876660,","1__2140772__2141658",4
"chr1:2234417|2236024","chr1",2234417,2236024,8,"4_5_0",15,0.516,"exon","ENSG00000157933,","+","SRR1636985.7373982,SRR1636986.661168,SRR1636986.13204724,SRR1636985.1587851,SRR1636986.10333686,SRR1636986.8369124,SRR1636985.12363121,SRR1636986.13578156,","1__2234417__2236024",8
"chr1:2324709|2332374","chr1",2324709,2332374,1,"1_1_0",12,0.143,"intron","ENSG00000157916,","+","SRR1636986.17688002,","1__2324709__2332374",1
"chr1:2324709|2334520","chr1",2324709,2334520,3,"1_1_2",18,0.25,"intron","ENSG00000157916,","+","SRR1636985.10430531,SRR1636986.8076895,SRR1636986.9510553,","1__2324709__2334520",3
"chr1:2327223|2328659","chr1",2327223,2328659,1,"1_1_0",11,0.154,"exon","ENSG00000157916,","+","SRR1636986.3256294,","1__2327223__2328659",1
"chr1:2327223|2332374","chr1",2327223,2332374,2,"2_2_0",13,0.235,"exon","ENSG00000157916,","+","SRR1636986.13003283,SRR1636986.14786046,","1__2327223__2332374",2
"chr1:2327223|2335028","chr1",2327223,2335028,2,"2_2_0",4,0.5,"exon","ENSG00000157916,","+","SRR1636985.7411983,SRR1636985.5449237,","1__2327223__2335028",2
"chr1:3379630|3380236","chr1",3379630,3380236,1,"1_1_0",19,0.095,"exon","ENSG00000130762,","+","SRR1636985.5124830,","1__3379630__3380236",1
"chr1:3417197|3418485","chr1",3417197,3418485,1,"1_1_0",11,0.154,"exon","ENSG00000162591,","-","SRR1636985.8382756,","1__3417197__3418485",1
"chr1:3421772|3426556","chr1",3421772,3426556,1,"1_1_0",12,0.143,"exon","ENSG00000162591,","-","SRR1636986.8742840,","1__3421772__3426556",1
"chr1:3425122|3425809","chr1",3425122,3425809,1,"1_1_0",13,0.133,"exon","ENSG00000162591,","-","SRR1636986.6912099,","1__3425122__3425809",1
"chr1:3697202|3701767","chr1",3697202,3701767,4,"3_4_0",10,0.444,"exon","ENSG00000130764,","-","SRR1636985.9897025,SRR1636985.12630846,SRR1636985.6957088,SRR1636986.22945438,","1__3697202__3701767",4
"chr1:3698076|3701083","chr1",3698076,3701083,1,"1_0_1",18,0.1,"intron","ENSG00000130764,","-","SRR1636986.4686416,","1__3698076__3701083",1
"chr1:3698076|3701767","chr1",3698076,3701767,2,"2_2_0",16,0.2,"exon","ENSG00000130764,","-","SRR1636985.1373430,SRR1636986.3443746,","1__3698076__3701767",2
"chr1:3761471|3764177","chr1",3761471,3764177,1,"1_1_0",3,0.4,"exon","ENSG00000116198,","-","SRR1636986.4204476,","1__3761471__3764177",1
"chr1:3784538|3800364","chr1",3784538,3800364,2,"1_1_0",6,0.4,"exon","ENSG00000169598,","+","SRR1636986.23289365,SRR1636986.23289365,","1__3784538__3800364",2
"chr1:3806528|3809560","chr1",3806528,3809560,1,"1_1_0",6,0.25,"exon","ENSG00000198912,","-","SRR1636985.2488525,","1__3806528__3809560",1
"chr1:5933312|5940299","chr1",5933312,5940299,1,"1_1_0",2,0.5,"exon","ENSG00000131697,","-","SRR1636986.5369326,","1__5933312__5940299",1
"chr1:5933312|6046946","chr1",5933312,6046946,1,"1_1_0",2,0.5,"intron","ENSG00000131697,","-","SRR1636985.12277217,","1__5933312__6046946",1
"chr1:5947346|5951088","chr1",5947346,5951088,1,"1_1_0",8,0.2,"exon","ENSG00000131697,","-","SRR1636986.21932650,","1__5947346__5951088",1
"chr1:5964677|6008311","chr1",5964677,6008311,1,"1_1_0",30,0.062,"exon","ENSG00000131697,","-","SRR1636986.14303015,","1__5964677__6008311",1
"chr1:5964677|6014007","chr1",5964677,6014007,1,"1_1_0",10,0.167,"intron","ENSG00000131697,","-","SRR1636986.21050158,","1__5964677__6014007",1
"chr1:5964677|6046387","chr1",5964677,6046387,2,"1_2_0",9,0.308,"exon","ENSG00000131697,","-","SRR1636986.6700002,SRR1636986.6743609,","1__5964677__6046387",2
"chr1:5964705|6046292","chr1",5964705,6046292,1,"1_1_0",44,0.043,"exon","ENSG00000131697,","-","SRR1636985.3197792,","1__5964705__6046292",1
"chr1:5987709|5993389","chr1",5987709,5993389,2,"2_1_0",19,0.174,"exon","ENSG00000131697,","-","SRR1636986.16158675,SRR1636985.3779317,","1__5987709__5993389",2
"chr1:5987709|6012896","chr1",5987709,6012896,5,"2_3_0",41,0.196,"exon","ENSG00000131697,","-","SRR1636986.16900458,SRR1636986.2328374,SRR1636986.1571443,SRR1636986.14037208,SRR1636986.17917950,","1__5987709__6012896",5
"chr1:5987709|6022009","chr1",5987709,6022009,2,"1_2_0",46,0.08,"exon","ENSG00000131697,","-","SRR1636986.5798312,SRR1636985.2954591,","1__5987709__6022009",2
"chr1:5987709|6038473","chr1",5987709,6038473,1,"1_1_0",23,0.08,"exon","ENSG00000131697,","-","SRR1636986.3602618,","1__5987709__6038473",1
"chr1:5987709|6046292","chr1",5987709,6046292,3,"2_1_1",35,0.146,"exon","ENSG00000131697,","-","SRR1636985.6949062,SRR1636986.10154212,SRR1636986.21495893,","1__5987709__6046292",3
"chr1:6007164|6012896","chr1",6007164,6012896,4,"3_2_0",48,0.143,"exon","ENSG00000131697,","-","SRR1636986.19076367,SRR1636985.10879827,SRR1636986.8821640,SRR1636986.10200849,","1__6007164__6012896",4
"chr1:6007164|6022009","chr1",6007164,6022009,8,"6_5_0",53,0.232,"exon","ENSG00000131697,","-","SRR1636985.11632792,SRR1636986.6142506,SRR1636986.16997947,SRR1636986.21394009,SRR1636985.6292031,SRR1636985.10740890,SRR1636986.9835276,SRR1636986.18279329,","1__6007164__6022009",8
"chr1:6007164|6046387","chr1",6007164,6046387,4,"4_3_0",17,0.32,"exon","ENSG00000131697,","-","SRR1636986.7063915,SRR1636986.21418342,SRR1636986.20554108,SRR1636986.13767670,","1__6007164__6046387",4
"chr1:6012760|6029319","chr1",6012760,6029319,1,"1_1_0",35,0.054,"exon","ENSG00000131697,","-","SRR1636985.7017776,","1__6012760__6029319",1
"chr1:6012760|6046387","chr1",6012760,6046387,3,"3_3_0",19,0.24,"exon","ENSG00000131697,","-","SRR1636985.2901888,SRR1636986.248374,SRR1636986.4754155,","1__6012760__6046387",3
"chr1:6021854|6046292","chr1",6021854,6046292,2,"2_2_0",56,0.067,"exon","ENSG00000131697,","-","SRR1636986.11251012,SRR1636985.12182592,","1__6021854__6046292",2
"chr1:6021854|6046387","chr1",6021854,6046387,7,"6_6_0",31,0.311,"exon","ENSG00000131697,","-","SRR1636985.12394334,SRR1636986.3588005,SRR1636986.14138142,SRR1636985.3067625,SRR1636986.15610069,SRR1636985.7712993,SRR1636986.4930260,","1__6021854__6046387",7
"chr1:6038330|6046387","chr1",6038330,6046387,1,"1_1_0",21,0.087,"exon","ENSG00000131697,","-","SRR1636985.3237499,","1__6038330__6046387",1
"chr1:6252990|6257816","chr1",6252990,6257816,7,"2_6_0",367,0.037,"exon","ENSG00000116251,","-","SRR1636986.20115757,SRR1636986.2420104,SRR1636986.371909,SRR1636986.15502402,SRR1636986.371909,SRR1636986.14921603,SRR1636986.17494847,","1__6252990__6257816",7
"chr1:6291962|6293703","chr1",6291962,6293703,9,"6_7_0",27,0.4,"exon","ENSG00000116237,","-","SRR1636985.10536676,SRR1636986.493064,SRR1636986.10904951,SRR1636986.1466607,SRR1636986.4911758,SRR1636986.7997504,SRR1636986.21827392,SRR1636986.23093725,SRR1636985.2097979,","1__6291962__6293703",9
"chr1:6341162|6355040","chr1",6341162,6355040,3,"3_3_0",6,0.5,"exon","ENSG00000097021,","-","SRR1636985.9472952,SRR1636985.11639641,SRR1636986.20646431,","1__6341162__6355040",3
"chr1:6393537|6399649","chr1",6393537,6399649,1,"1_1_0",9,0.182,"exon","ENSG00000097021,","-","SRR1636985.4077277,","1__6393537__6399649",1
"chr1:6592028|6592820","chr1",6592028,6592820,2,"1_1_0",14,0.222,"exon","ENSG00000162408,","-","SRR1636986.2184228,SRR1636986.7595557,","1__6592028__6592820",2
