"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,4,"Un_gl000222__11699__12288",4
"chrUn_gl000222",11828,12288,5,"Un_gl000222__11828__12288",5
"chr4_ctg9_hap1",14159,18555,1,"4_ctg9_hap1__14159__18555",1
"chr8_gl000196_random",12892,22894,1,"8_gl000196_random__12892__22894",1
"chr8_gl000196_random",12892,27060,1,"8_gl000196_random__12892__27060",1
"chr12",78395,78939,1,"12__78395__78939",1
"chr18",116842,117304,1,"18__116842__117304",1
"chr9_gl000199_random",57237,137015,1,"9_gl000199_random__57237__137015",1
"chrY",150834,166059,1,"Y__150834__166059",1
"chr18",163308,166819,1,"18__163308__166819",1
"chr17_ctg5_hap1",167529,168155,5,"17_ctg5_hap1__167529__168155",5
"chr18",163308,180339,2,"18__163308__180339",2
"chr10",225934,226068,1,"10__225934__226068",1
"chr5",223597,228448,1,"5__223597__228448",1
"chr5",225998,228448,1,"5__225998__228448",1
"chr5",223597,233760,1,"5__223597__233760",1
"chr5",251107,251583,1,"5__251107__251583",1
"chr10",225934,255988,1,"10__225934__255988",1
"chr5",254508,256570,1,"5__254508__256570",1
"chr16",239228,258187,1,"16__239228__258187",1
"chr16",249061,258187,1,"16__249061__258187",1
"chr18",225337,264092,1,"18__225337__264092",1
"chr10",225934,267296,2,"10__225934__267296",2
"chrY",272140,273067,1,"Y__272140__273067",1
"chr19",311845,313643,2,"19__311845__313643",2
"chrX",322140,323067,6,"X__322140__323067",6
"chr16",339440,343718,1,"16__339440__343718",1
"chr16",354304,364683,2,"16__354304__364683",2
"chr16",396148,397106,2,"16__396148__397106",2
"chr19",430684,440932,1,"19__430684__440932",1
"chr12",459787,465699,1,"12__459787__465699",1
"chr12",459787,465703,2,"12__459787__465703",2
"chr12",459787,472263,1,"12__459787__472263",1
"chr4",499507,502759,1,"4__499507__502759",1
"chr11",500484,504996,1,"11__500484__504996",1
"chr12",514677,527802,1,"12__514677__527802",1
"chr10",530721,532470,1,"10__530721__532470",1
"chr12",539830,547720,1,"12__539830__547720",1
"chr6",532469,576882,1,"6__532469__576882",1
"chr6",572520,576882,1,"6__572520__576882",1
"chr17",600658,602620,1,"17__600658__602620",1
"chr5",619105,620376,3,"5__619105__620376",3
"chr8",623509,623700,1,"8__623509__623700",1
"chr8",618598,624047,5,"8__618598__624047",5
"chr6",617711,637861,1,"6__617711__637861",1
"chr6",629835,637861,5,"6__629835__637861",5
"chr8",640970,642612,2,"8__640970__642612",2
"chr7",618893,647089,2,"7__618893__647089",2
"chr5",619105,653306,1,"5__619105__653306",1
"chr6",629835,657250,1,"6__629835__657250",1
"chr8",642478,666007,2,"8__642478__666007",2
"chr11",679688,681089,1,"11__679688__681089",1
"chr17",673109,681984,1,"17__673109__681984",1
"chr18",685921,697355,1,"18__685921__697355",1
"chr17_ctg5_hap1",693694,705913,1,"17_ctg5_hap1__693694__705913",1
"chr9",710804,713464,2,"9__710804__713464",2
"chr17_ctg5_hap1",693694,724155,1,"17_ctg5_hap1__693694__724155",1
"chr19",726138,731245,1,"19__726138__731245",1
"chr19",726138,736078,1,"19__726138__736078",1
"chr4",724419,738476,1,"4__724419__738476",1
"chr1",741179,745550,4,"1__741179__745550",4
"chr7",716866,751164,6,"7__716866__751164",6
"chr18",736808,756835,1,"18__736808__756835",1
"chr18",756557,756835,1,"18__756557__756835",1
"chr7",810108,814799,1,"7__810108__814799",1
"chr1",852798,852997,2,"1__852798__852997",2
