"chr","start","end","count","index"
"chrM",611,779,1,"M__612__779"
"chrM",1679,1834,1,"M__1680__1834"
"chrM",1716,1920,1,"M__1717__1920"
"chrM",2217,2285,1,"M__2218__2285"
"chrM",2226,2387,1,"M__2227__2387"
"chrM",2377,2685,1,"M__2378__2685"
"chrM",2626,2795,1,"M__2627__2795"
"chrM",2763,3104,1,"M__2764__3104"
"chrM",3421,3534,1,"M__3422__3534"
"chrM",3501,3630,1,"M__3502__3630"
"chrM",3598,3678,1,"M__3599__3678"
"chrM",3630,3820,1,"M__3631__3820"
"chrM",4074,4168,1,"M__4075__4168"
"chrM",2219,5349,1,"M__2220__5349"
"chrM",6357,6507,1,"M__6358__6507"
"chrUn_gl000212",2761,6516,1,"Un_gl000212__2762__6516"
"chrM",6357,6603,1,"M__6358__6603"
"chrM",2377,8625,1,"M__2378__8625"
"chrM",1679,8680,1,"M__1680__8680"
"chrM",8685,8776,3,"M__8686__8776"
"chrM",8921,8998,1,"M__8922__8998"
"chrM",9223,9641,1,"M__9224__9641"
"chrM",7738,10308,1,"M__7739__10308"
"chr9",10296,10338,4,"9__10297__10338"
"chrM",10843,10904,1,"M__10844__10904"
"chrM",11753,11849,1,"M__11754__11849"
"chrM",3598,12104,1,"M__3599__12104"
"chrUn_gl000222",11827,12288,1,"Un_gl000222__11828__12288"
"chrM",10850,12465,1,"M__10851__12465"
"chrM",12558,12745,2,"M__12559__12745"
"chrM",2261,12891,1,"M__2262__12891"
"chrM",13301,13384,1,"M__13302__13384"
"chrM",13306,13436,2,"M__13307__13436"
"chrM",13352,13436,1,"M__13353__13436"
"chrM",13297,13449,1,"M__13298__13449"
"chrM",13436,13571,1,"M__13437__13571"
"chrM",13499,13634,1,"M__13500__13634"
"chrM",2226,13792,1,"M__2227__13792"
"chrM",13640,13792,1,"M__13641__13792"
"chrM",13792,13855,1,"M__13793__13855"
"chrM",13846,13990,2,"M__13847__13990"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13855,13999,1,"M__13856__13999"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13999,14125,2,"M__14000__14125"
"chrM",14044,14125,1,"M__14045__14125"
"chrM",13449,14150,1,"M__13450__14150"
"chrM",14004,14150,1,"M__14005__14150"
"chrM",14024,14150,1,"M__14025__14150"
"chrM",8625,14377,1,"M__8626__14377"
"chrM",14055,14377,7,"M__14056__14377"
"chrM",14314,14377,1,"M__14315__14377"
"chrM",14341,14413,1,"M__14342__14413"
"chrM",14359,14434,1,"M__14360__14434"
"chrM",14368,14434,2,"M__14369__14434"
"chrM",14377,14443,1,"M__14378__14443"
"chrM",14338,14493,1,"M__14339__14493"
"chrM",14338,14529,1,"M__14339__14529"
"chrM",14963,15050,1,"M__14964__15050"
"chrM",14150,15476,1,"M__14151__15476"
"chrM",3534,15626,2,"M__3535__15626"
"chrM",8481,16151,1,"M__8482__16151"
"chrM",16072,16151,1,"M__16073__16151"
"chr4_gl000194_random",21107,21254,1,"4_gl000194_random__21108__21254"
"chr8_gl000196_random",12891,22894,1,"8_gl000196_random__12892__22894"
"chrUn_gl000222",34488,37351,1,"Un_gl000222__34489__37351"
"chrUn_gl000225",14827,49280,1,"Un_gl000225__14828__49280"
"chr16",66624,66708,1,"16__66625__66708"
"chr19",66810,66915,1,"19__66811__66915"
"chr4_gl000194_random",76622,77015,1,"4_gl000194_random__76623__77015"
"chrUn_gl000225",50371,107708,1,"Un_gl000225__50372__107708"
"chrUn_gl000220",115724,115835,1,"Un_gl000220__115725__115835"
"chrUn_gl000220",117896,118126,1,"Un_gl000220__117897__118126"
