"index","chr","start","end","count"
"12__78786__88392","12",78786,88392,1
"16__62294__112050","16",62294,112050,1
"16__142594__143323","16",142594,143323,1
"17__169211__171206","17",169211,171206,1
"18__196637__199316","18",196637,199316,2
"18__196637__203190","18",196637,203190,2
"11__244161__250865","11",244161,250865,1
"16__249061__258187","16",249061,258187,1
"10__225934__267296","10",225934,267296,4
"11__202924__293502","11",202924,293502,1
"10__225934__295028","10",225934,295028,1
"19__311845__313643","19",311845,313643,2
"10__372946__375541","10",372946,375541,1
"10__372946__387269","10",372946,387269,2
"10__355971__395394","10",355971,395394,1
"16__396148__397106","16",396148,397106,15
"11__399967__400451","11",399967,400451,1
"16__396148__422283","16",396148,422283,1
"12__459787__461490","12",459787,461490,1
"10__445049__461828","10",445049,461828,1
"12__404739__463400","12",404739,463400,1
"12__438001__465703","12",438001,465703,1
"10__459853__468973","10",459853,468973,1
"11__488199__488647","11",488199,488647,1
"16__511404__521389","16",511404,521389,2
"17__526773__530556","17",526773,530556,2
"16__511404__532736","16",511404,532736,1
"16__511404__539000","16",511404,539000,1
"16__521295__539000","16",521295,539000,1
"16__532525__539000","16",532525,539000,2
"11__596923__598502","11",596923,598502,1
"16__667208__668260","16",667208,668260,1
"18__670692__671451","18",670692,671451,1
"11__674536__688460","11",674536,688460,2
"11__678694__688460","11",678694,688460,1
"11__674536__691598","11",674536,691598,2
"18__693882__694334","18",693882,694334,2
"18__694248__697355","18",694248,697355,1
"16__700539__701103","16",700539,701103,1
"18__697240__706578","18",697240,706578,1
"16__709245__712331","16",709245,712331,1
"16__722084__722384","16",722084,722384,1
"17__722679__729318","17",722679,729318,3
"19__681333__731245","19",681333,731245,1
"16__735257__737739","16",735257,737739,1
"19__756890__760039","19",756890,760039,1
"1__861302__874509","1",861302,874509,2
"1__861302__874792","1",861302,874792,3
"1__871152__874792","1",871152,874792,6
"11__883148__893519","11",883148,893519,1
"10__882343__909823","10",882343,909823,1
"10__888872__910210","10",888872,910210,1
"10__909683__910210","10",909683,910210,2
"10__882343__931700","10",882343,931700,1
