"index","count"
"1__10032076__10041228",4
"1__100464817__100480976",1
"1__100515465__100527505",1
"1__100515465__100535241",1
"1__100568511__100576039",1
"1__100572468__100588040",1
"1__100588766__100591498",1
"1__100736113__100750878",1
"1__100889778__100908552",2
"1__10155519__10165802",3
"1__10218414__10228328",1
"1__10292308__10322028",1
"1__10327438__10328321",1
"1__10331560__10336457",1
"1__10335486__10342591",2
"1__10380101__10384953",1
"1__104078748__104080106",1
"1__104108057__104118162",6
"1__10463128__10473308",1
"1__108686165__108728576",1
"1__108690901__108703915",2
"1__108697605__108728576",3
"1__108700084__108703915",1
"1__108724563__108728576",2
"1__109200073__109202584",2
"1__109294879__109302707",1
"1__109294879__109325328",1
"1__109336204__109342927",1
"1__109427897__109446876",1
"1__109439486__109457030",1
"1__109553538__109560223",1
"1__109773500__109774408",1
"1__109884636__109888503",1
"1__109952550__109953735",1
"1__110125059__110129504",1
"1__11076901__11078930",1
"1__111690264__111690675",1
"1__113098490__113159517",1
"1__113119608__113126748",1
"1__113134147__113159517",1
"1__113143416__113153625",1
"1__113192040__113209767",1
"1__113633940__113637377",1
"1__113633940__113653184",1
"1__113633940__113662145",1
"1__113635828__113653184",2
"1__114280732__114281421",3
"1__114942079__114968345",1
"1__115005726__115007010",4
"1__115256421__115258798",1
"1__115262200__115280693",1
"1__115267842__115280693",1
"1__115277063__115282511",1
"1__116926636__116941411",2
"1__117944808__117948267",46
"1__117944808__117957453",39
"1__117944808__117963271",143
"1__117944808__117984947",60
"1__117944808__118009049",2
"1__117944808__118045592",1
"1__118003111__118009049",1
"1__118003111__118045592",1
"1__1191425__1198766",1
"1__1191425__1203372",3
"1__1192372__1192690",1
"1__12008033__12010577",1
"1__12317992__12383837",1
"1__12335882__12338095",2
"1__12359259__12368698",1
"1__12389886__12393423",1
"1__1248889__1250818",1
"1__144013901__144053668",3
"1__144148790__144621656",13
"1__144595835__144598780",1
"1__144598512__144620094",2
"1__144617150__144621656",1
"1__144618082__144813844",7
"1__144892501__144923821",1
"1__144909869__144912294",1
"1__145295423__145299939",15
"1__145296357__145299939",1
"1__145296357__145301822",2
"1__145298155__145303982",20
"1__145323654__145366999",11
"1__145328375__145366999",1
"1__145578637__145584836",1
"1__145646115__145650540",1
"1__145646115__145663367",3
"1__145646115__145684678",1
"1__145646115__145687091",1
"1__145650483__145682094",1
"1__145684585__145687091",1
"1__146399555__146411098",2
"1__146401671__146406601",1
"1__146403655__146408167",4
"1__146406390__146412208",1
"1__146724278__146731572",1
"1__146757975__146759412",1
"1__149632456__149640911",1
"1__150300016__150300925",1
"1__150318884__150321694",2
"1__150418702__150430046",1
"1__150795670__150799093",1
"1__150900180__150913904",1
"1__150933039__150934634",1
"1__150997087__150998149",1
"1__151060666__151070478",1
"1__151060666__151079698",1
"1__151150477__151156969",1
"1__151156793__151158426",2
"1__151196721__151199876",1
"1__151196724__151199876",1
"1__151196724__151205179",1
"1__151204724__151214745",1
"1__151206673__151206972",1
"1__151234637__151236504",1
"1__151288049__151288985",1
"1__151400299__151403317",1
"1__151611364__151611595",3
"1__151611364__151630903",1
"1__151611364__151641111",3
"1__151611364__151655921",1
"1__151630711__151641111",2
"1__151860749__151861849",1
"1__153610771__153614905",2
"1__153637696__153641033",1
"1__153723571__153730239",3
"1__153735204__153737539",1
"1__153784207__153785928",1
"1__153800489__153800824",1
"1__154142876__154145677",1
"1__154145384__154145677",4
"1__154184796__154186422",1
"1__154197560__154201201",1
"1__154197560__154209087",1
"1__154197560__154223794",1
"1__154197560__154234173",2
"1__154213989__154218851",2
"1__154231453__154232505",1
"1__154233368__154239044",2
"1__155209407__155209868",1
"1__155235651__155236686",8
"1__155313105__155317695",1
"1__155316174__155317695",1
"1__155322497__155385714",1
"1__155330092__155340774",1
"1__155348072__155385714",3
"1__155348072__155408859",1
"1__155365250__155385714",2
"1__155408118__155408859",2
"1__155582840__155583024",1
"1__155582840__155583557",1
"1__155644801__155649303",3
"1__155646339__155649303",1
"1__155678824__155686919",1
"1__155679564__155695810",1
"1__155686797__155695810",1
"1__155695173__155695810",5
"1__155737216__155741008",1
"1__155737216__155743001",1
"1__155740858__155743001",2
"1__155774740__155784240",1
"1__155783425__155784240",1
"1__155790397__155796819",1
"1__155823067__155823597",12
"1__155891166__155891709",2
"1__155891166__155895634",2
"1__155896467__155896947",1
"1__156202111__156206274",1
"1__156303338__156304709",12
"1__156444900__156446994",1
"1__156520053__156520143",1
"1__15860732__15863309",2
"1__1586823__1588948",1
"1__15964802__15978390",2
"1__15976215__15978390",1
"1__1599766__1601590",1
"1__160206925__160231148",1
"1__160261802__160263253",1
"1__160293221__160302347",3
"1__161130410__161133409",2
"1__161293404__161298287",1
"1__161293404__161310445",1
"1__161748034__161753886",1
"1__161771842__161833102",1
"1__161816239__161833102",1
"1__161821512__161833102",1
"1__161967615__161989972",1
"1__162257134__162270496",2
"1__16235816__16242774",1
"1__162546567__162558623",1
"1__16263658__16264501",1
"1__163298636__163318870",1
"1__16464348__16464925",2
"1__1650767__1654270",1
"1__165712404__165723511",2
"1__165859441__165860559",1
"1__16632298__16641930",1
"1__167365523__167368602",1
"1__167734820__167742605",1
"1__167921038__167944253",5
"1__167935867__167944253",17
"1__167956733__167974031",1
"1__168007609__168037701",4
"1__168153140__168154116",1
"1__16891302__16893846",1
"1__16905688__16910191",11
"1__16907240__16912193",16
"1__16907915__16913756",48
"1__169199956__169256646",1
"1__169199956__169293738",1
"1__1693391__1696885",3
"1__171491316__171492661",1
"1__171493960__171496983",3
"1__171537386__171540560",2
"1__171537386__171544267",3
"1__171548493__171556890",1
"1__172520652__172526934",2
"1__172520652__172548407",1
"1__172525009__172526934",2
"1__172525009__172560211",1
"1__17349103__17350569",1
"1__1735858__1749314",1
"1__173702852__173735428",1
"1__173807328__173810111",1
"1__173835666__173835934",4
"1__174188263__174200493",1
"1__174200283__174274265",1
"1__174241552__174340210",1
"1__174244971__174274265",1
"1__1747195__1756938",2
"1__1747195__1770677",1
"1__176012322__176118210",3
"1__176050288__176085817",1
"1__176050288__176104222",2
"1__176050288__176105683",4
"1__176104146__176133027",1
"1__176104146__176145143",1
"1__176118142__176153828",1
"1__176132005__176133027",1
"1__176132005__176145143",1
"1__176668236__176769268",2
"1__178252699__178269253",1
"1__178252699__178359341",1
"1__178745817__178754742",1
"1__178846633__178848127",1
"1__179012850__179023773",1
"1__17907048__17914974",1
"1__179087722__179091002",3
"1__179089325__179091002",1
"1__179095512__179100616",1
"1__179100446__179102509",5
"1__179306972__179310445",1
"1__179306972__179312078",2
"1__179311249__179312770",2
"1__179311249__179318077",1
"1__179819980__179834989",1
"1__179972309__180006224",1
"1__180000455__180017840",1
"1__180031355__180034407",2
"1__180031355__180044356",1
"1__180053153__180056852",1
"1__180366651__180382606",6
"1__180366651__180399397",4
"1__180366651__180464660",1
"1__180382501__180399397",1
"1__180461404__180464660",1
"1__180793889__180794480",2
"1__180953813__180962561",16
"1__182825667__182829319",3
"1__182841472__182849743",1
"1__182853748__182853948",1
"1__183083666__183087281",1
"1__185060711__185062408",3
"1__185113038__185121067",1
"1__185269131__185274775",1
"1__186072604__186092352",2
"1__186359843__186360923",2
"1__186862143__186880521",4
"1__192989437__192993076",1
"1__192989437__192998787",1
"1__192990227__192998787",2
"1__192992974__192998787",1
"1__192997215__193020947",1
"1__193038164__193053828",1
"1__193104521__193121574",1
"1__193172925__193181607",1
"1__193181195__193219001",1
"1__193202123__193205486",3
"1__19510305__19514034",1
"1__19513034__19514034",2
"1__19523635__19528309",1
"1__197086919__197104372",1
"1__197091045__197097795",1
"1__197564338__197586889",1
"1__197576203__197627499",1
"1__197611841__197621445",1
"1__197611841__197627499",4
"1__197611841__197643299",1
"1__197611841__197684204",1
"1__197621365__197643299",1
"1__197641167__197643299",1
"1__197684161__197704926",1
"1__198201683__198222310",5
"1__198201683__198233365",1
"1__198222170__198233365",1
"1__198247091__198266370",2
"1__200534197__200567549",2
"1__200549382__200567549",1
"1__200550329__200562897",1
"1__200558345__200561368",1
"1__200583446__200584737",2
"1__200583446__200587966",1
"1__200617567__200635879",2
"1__200628155__200635879",1
"1__200729967__200784772",2
"1__200821669__200826552",1
"1__20097035__20113610",1
"1__201681945__201687883",1
"1__201786216__201786413",2
"1__201823723__201828122",1
"1__202385915__202398057",1
"1__202719787__202733273",1
"1__202729543__202742416",1
"1__202864650__202866088",1
"1__203772085__203802981",2
"1__203786054__203787817",3
"1__203786054__203809502",2
"1__204082043__204083733",1
"1__204082043__204086835",2
"1__204234070__204243937",1
"1__204437998__204439014",1
"1__204506558__204512072",1
"1__205585606__205593019",15
"1__205689629__205698749",1
"1__205693054__205696933",2
"1__205693054__205698749",6
"1__206557369__206567030",1
"1__207930359__207933069",1
"1__207930359__207940540",4
"1__207930359__207943707",4
"1__207989274__207990759",1
"1__21024872__21031392",1
"1__21071237__21076375",1
"1__21071237__21107033",5
"1__21083659__21106404",2
"1__21083659__21107033",1
"1__21091870__21107033",1
"1__21094077__21106404",2
"1__21097423__21107033",1
"1__211526581__211527809",1
"1__21167349__21231464",1
"1__21177751__21191755",1
"1__21177751__21212864",1
"1__211952260__211966532",4
"1__21205816__21231464",1
"1__21212694__21212864",1
"1__212218002__212220759",1
"1__21231376__21268823",3
"1__21267984__21276601",1
"1__21295967__21306941",1
"1__21295967__21307720",4
"1__21295967__21329301",2
"1__21295967__21377487",2
"1__213037067__213046160",2
"1__213037067__213058738",4
"1__213037067__213062599",2
"1__21306827__21307720",1
"1__213139064__213139687",2
"1__21324094__21377487",1
"1__213251038__213290752",3
"1__213251038__213303232",1
"1__213290659__213303232",1
