"chr","start","end","count","index"
"chrM",1235,1451,1,"M__1236__1451"
"chrM",2211,2422,1,"M__2212__2422"
"chrM",2763,3100,1,"M__2764__3100"
"chrM",3501,4383,4,"M__3502__4383"
"chrM",5369,5463,2,"M__5370__5463"
"chrM",5425,5593,1,"M__5426__5593"
"chrM",8927,9089,3,"M__8928__9089"
"chrUn_gl000222",8936,12288,6,"Un_gl000222__8937__12288"
"chrUn_gl000222",11698,12288,48,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,39,"Un_gl000222__11828__12288"
"chrM",12363,12562,1,"M__12364__12562"
"chrM",12360,12564,9,"M__12361__12564"
"chrM",12375,12564,1,"M__12376__12564"
"chrM",12375,12573,7,"M__12376__12573"
"chrM",13640,13846,2,"M__13641__13846"
"chrM",13678,13846,1,"M__13679__13846"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13855,14217,2,"M__13856__14217"
"chrUn_gl000242",12780,14376,1,"Un_gl000242__12781__14376"
"chrM",14055,14377,1,"M__14056__14377"
"chrM",14150,14529,1,"M__14151__14529"
"chrUn_gl000222",11827,14982,1,"Un_gl000222__11828__14982"
"chr9",17343,17855,1,"9__17344__17855"
"chr8_gl000196_random",12891,22894,2,"8_gl000196_random__12892__22894"
"chr8_gl000196_random",12891,27060,6,"8_gl000196_random__12892__27060"
"chrUn_gl000211",33214,35708,1,"Un_gl000211__33215__35708"
"chr7_gl000195_random",48443,50132,1,"7_gl000195_random__48444__50132"
"chr7_gl000195_random",48954,50132,2,"7_gl000195_random__48955__50132"
"chr7_gl000195_random",48954,56569,3,"7_gl000195_random__48955__56569"
"chrUn_gl000219",76031,78952,2,"Un_gl000219__76032__78952"
"chr16",88209,93975,1,"16__88210__93975"
"chr17_ctg5_hap1",96120,98585,1,"17_ctg5_hap1__96121__98585"
"chr18",116841,117304,1,"18__116842__117304"
"chrUn_gl000220",117894,118336,2,"Un_gl000220__117895__118336"
"chrUn_gl000220",117896,118410,8,"Un_gl000220__117897__118410"
"chrUn_gl000220",121094,123082,6,"Un_gl000220__121095__123082"
"chr16",138696,139900,2,"16__138697__139900"
"chr16",138696,143323,3,"16__138697__143323"
"chr16",142593,143323,4,"16__142594__143323"
"chr16",148142,150507,41,"16__148143__150507"
"chr7_gl000195_random",142142,152034,1,"7_gl000195_random__142143__152034"
"chrY",150833,157459,2,"Y__150834__157459"
"chrY",150833,158321,2,"Y__150834__158321"
"chrY",150833,159885,2,"Y__150834__159885"
"chrUn_gl000223",157906,160555,3,"Un_gl000223__157907__160555"
"chr8",163120,163710,6,"8__163121__163710"
"chr9",146101,164037,2,"9__146102__164037"
"chrY",150833,166059,58,"Y__150834__166059"
"chrY",150833,166089,1,"Y__150834__166089"
"chr17_ctg5_hap1",167528,168155,32,"17_ctg5_hap1__167529__168155"
"chr17",131558,171206,2,"17__131559__171206"
"chr9",123216,172172,1,"9__123217__172172"
"chr9",162431,172172,8,"9__162432__172172"
"chr16",162620,175072,1,"16__162621__175072"
"chr17",131558,177370,3,"17__131559__177370"
"chr18",163307,180339,16,"18__163308__180339"
"chr16",162620,180590,1,"16__162621__180590"
