"index","chr","start","end","count"
"16__148143__150507","16",148143,150507,2
"11__224078__233215","11",224078,233215,1
"16__249061__249237","16",249061,249237,1
"10__225934__255988","10",225934,255988,2
"16__249061__258187","16",249061,258187,3
"10__225934__267296","10",225934,267296,11
"10__225934__295028","10",225934,295028,1
"19__326507__327989","19",326507,327989,1
"16__396148__397106","16",396148,397106,1
"12__459787__461490","12",459787,461490,3
"12__416112__475270","12",416112,475270,2
"10__454866__486936","10",454866,486936,1
"17__489510__505136","17",489510,505136,1
"10__459853__518489","10",459853,518489,1
"17__526773__530556","17",526773,530556,2
"10__518379__532470","10",518379,532470,3
"19__460529__537147","19",460529,537147,1
"16__532525__539000","16",532525,539000,2
"12__514677__547720","12",514677,547720,1
"12__520913__547720","12",520913,547720,1
"12__537935__547720","12",537935,547720,3
"11__596923__598502","11",596923,598502,1
"19__581315__621846","19",581315,621846,1
"19__648882__650296","19",648882,650296,1
"16__667208__668260","16",667208,668260,1
"11__679688__681089","11",679688,681089,1
"18__691068__691276","18",691068,691276,1
"11__684898__691598","11",684898,691598,1
"18__683246__694334","18",683246,694334,1
"18__683246__706578","18",683246,706578,2
"18__697240__706578","18",697240,706578,1
"16__706732__706871","16",706732,706871,1
"16__679239__730684","16",679239,730684,1
"19__727008__736078","19",727008,736078,2
"16__735257__782746","16",735257,782746,1
"11__801002__802090","11",801002,802090,2
"1__865535__866469","1",865535,866469,1
"16__919883__929737","16",919883,929737,1
"10__852854__931700","10",852854,931700,1
"10__882343__931700","10",882343,931700,1
"10__888872__931700","10",888872,931700,1
"10__909683__931700","10",909683,931700,3
"10__930387__931700","10",930387,931700,2
"10__931581__931700","10",931581,931700,1
"12__936208__936428","12",936208,936428,1
"12__939169__971436","12",939169,971436,1
"12__977032__980514","12",977032,980514,1
"19__985865__985975","19",985865,985975,1
"11__977095__988689","11",977095,988689,1
"11__988552__994245","11",988552,994245,1
"17__953290__1003975","17",953290,1003975,1
"17__986760__1003975","17",986760,1003975,1
"16__929570__1004666","16",929570,1004666,2
"16__960931__1004666","16",960931,1004666,1
"16__983991__1004666","16",983991,1004666,2
"16__1004357__1004666","16",1004357,1004666,9
"19__1051941__1052125","19",1051941,1052125,1
"10__1044943__1053068","10",1044943,1053068,1
"10__1051758__1053068","10",1051758,1053068,2
"19__1090907__1091906","19",1090907,1091906,5
"10__1118056__1126416","10",1118056,1126416,4
"10__1125951__1126416","10",1125951,1126416,2
"10__1118056__1132297","10",1118056,1132297,5
"10__1130343__1132297","10",1130343,1132297,1
"12__1136914__1137738","12",1136914,1137738,13
"10__1118056__1142186","10",1118056,1142186,4
"10__1130343__1142186","10",1130343,1142186,7
"10__1118056__1151207","10",1118056,1151207,2
"10__1130343__1151207","10",1130343,1151207,8
"10__1149542__1151207","10",1149542,1151207,3
"19__1095258__1154401","19",1095258,1154401,1
"19__1147308__1154401","19",1147308,1154401,3
"1__1158104__1159348","1",1158104,1159348,1
"10__1170158__1170964","10",1170158,1170964,1
"10__1130343__1178237","10",1130343,1178237,1
"1__1192372__1192690","1",1192372,1192690,5
"12__1192330__1192746","12",1192330,1192746,1
"1__1191425__1203372","1",1191425,1203372,3
"1__1203242__1203372","1",1203242,1203372,1
"19__1222984__1223171","19",1222984,1223171,1
"12__1136914__1225199","12",1136914,1225199,1
"1__1167629__1247748","1",1167629,1247748,1
"12__1136914__1250953","12",1136914,1250953,1
"17__1264386__1273035","17",1264386,1273035,1
"1__1247398__1277536","1",1247398,1277536,1
"11__1307232__1311639","11",1307232,1311639,1
"10__1279636__1313264","10",1279636,1313264,1
"11__1307232__1317024","11",1307232,1317024,4
"1__1321091__1326245","1",1321091,1326245,1
"17__1339914__1340449","17",1339914,1340449,2
"12__1289706__1346070","12",1289706,1346070,1
"19__1356323__1373159","19",1356323,1373159,1
"1__1390840__1420551","1",1390840,1420551,1
"17__1437393__1442246","17",1437393,1442246,1
"17__1437393__1444934","17",1437393,1444934,1
"16__1447179__1453345","16",1447179,1453345,2
"17__1437393__1456443","17",1437393,1456443,1
"11__1464336__1464633","11",1464336,1464633,1
"11__1457270__1467137","11",1457270,1467137,2
"19__1456305__1496180","19",1456305,1496180,1
"12__1480999__1553916","12",1480999,1553916,3
"16__1555411__1557717","16",1555411,1557717,1
"1__1601103__1601578","1",1601103,1601578,1
"17__1561547__1613662","17",1561547,1613662,1
"17__1564905__1619927","17",1564905,1619927,1
"19__1620967__1621190","19",1620967,1621190,3
"1__1569827__1632926","1",1569827,1632926,1
"19__1646354__1650286","19",1646354,1650286,3
"1__1586823__1650894","1",1586823,1650894,3
"1__1590375__1654270","1",1590375,1654270,1
"16__1607936__1657298","16",1607936,1657298,1
"16__1652371__1660854","16",1652371,1660854,1
"17__1703151__1704318","17",1703151,1704318,1
"17__1746097__1747980","17",1746097,1747980,5
"17__1746097__1756483","17",1746097,1756483,4
"17__1747214__1756483","17",1747214,1756483,3
"1__1737914__1756938","1",1737914,1756938,1
"1__1747195__1756938","1",1747195,1756938,7
"1__1756836__1756938","1",1756836,1756938,2
"1__1747195__1770677","1",1747195,1770677,7
"1__1756836__1770677","1",1756836,1770677,5
"17__1782287__1787238","17",1782287,1787238,1
"12__1863424__1863680","12",1863424,1863680,3
"16__1827947__1878908","16",1827947,1878908,1
"12__1887020__1893239","12",1887020,1893239,2
"17__1972072__1985250","17",1972072,1985250,1
"16__2000845__2004149","16",2000845,2004149,1
"16__1961465__2011976","16",1961465,2011976,1
"19__1990716__2042521","19",1990716,2042521,1
"17__2075952__2076153","17",2075952,2076153,2
"16__2093568__2096367","16",2093568,2096367,2
"16__2120457__2124390","16",2120457,2124390,1
"16__2125800__2130378","16",2125800,2130378,2
"19__2137010__2138713","19",2137010,2138713,1
"17__2185941__2187029","17",2185941,2187029,1
"19__2180712__2194576","19",2180712,2194576,1
"19__2189731__2194576","19",2189731,2194576,1
"16__2205024__2205106","16",2205024,2205106,1
"1__2235279__2235541","1",2235279,2235541,1
"1__2234417__2236024","1",2234417,2236024,1
"16__2312279__2313288","16",2312279,2313288,1
"1__2316417__2321435","1",2316417,2321435,1
"19__2337442__2345328","19",2337442,2345328,3
"1__2441301__2445905","1",2441301,2445905,1
"16__2489354__2493801","16",2489354,2493801,2
"16__2607704__2612228","16",2607704,2612228,1
"16__2616357__2634065","16",2616357,2634065,1
"18__2738395__2739518","18",2738395,2739518,1
"16__2663961__2752479","16",2663961,2752479,2
"19__2761458__2763755","19",2761458,2763755,1
"19__2765184__2769089","19",2765184,2769089,1
"18__2732263__2796519","18",2732263,2796519,1
"16__2663961__2810500","16",2663961,2810500,1
"16__2807473__2820466","16",2807473,2820466,1
"18__2890559__2892484","18",2890559,2892484,4
"12__2973486__2973918","12",2973486,2973918,2
"12__2973486__2975687","12",2973486,2975687,1
"11__2992678__2992764","11",2992678,2992764,1
"11__2997254__2999572","11",2997254,2999572,3
"11__2997254__3000467","11",2997254,3000467,2
"12__3120170__3131183","12",3120170,3131183,2
"10__3160974__3162236","10",3160974,3162236,5
"10__3154414__3178997","10",3154414,3178997,1
"10__3190179__3191945","10",3190179,3191945,1
"19__3148589__3193426","19",3148589,3193426,1
"19__3196181__3206188","19",3196181,3206188,1
"19__3193282__3207467","19",3193282,3207467,1
"16__3361753__3368576","16",3361753,3368576,1
"19__3381710__3435205","19",3381710,3435205,2
"19__3496539__3496884","19",3496539,3496884,2
"17__3489062__3539616","17",3489062,3539616,1
"19__3550982__3551192","19",3550982,3551192,1
"1__3549962__3555386","1",3549962,3555386,2
"19__3623686__3624160","19",3623686,3624160,1
"19__3660964__3661999","19",3660964,3661999,24
"1__3656797__3662745","1",3656797,3662745,2
"19__3660964__3667351","19",3660964,3667351,2
"11__3712577__3714605","11",3712577,3714605,1
"11__3704430__3716836","11",3704430,3716836,1
"17__3717616__3719564","17",3717616,3719564,2
"16__3724340__3729791","16",3724340,3729791,1
"16__3725325__3740986","16",3725325,3740986,2
"16__3726037__3740986","16",3726037,3740986,1
"16__3727499__3740986","16",3727499,3740986,1
"19__3743937__3746874","19",3743937,3746874,1
"11__3752621__3752808","11",3752621,3752808,5
"1__3761471__3761915","1",3761471,3761915,5
"11__3752621__3774638","11",3752621,3774638,4
"11__3756421__3774638","11",3756421,3774638,1
"11__3789811__3789974","11",3789811,3789974,4
