"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:861302|871276","chr1",861302,871276,1,"1_1_0",54,0.036,"exon","ENSG00000187634,","+","SRR1637089.19653291,","1__861302__871276",1
"chr1:865535|874840","chr1",865535,874840,2,"2_1_0",80,0.048,"exon","ENSG00000187634,","+","SRR1637089.25256557,SRR1637089.4151043,","1__865535__874840",2
"chr1:871152|874792","chr1",871152,874792,4,"2_4_0",178,0.043,"exon","ENSG00000187634,","+","SRR1637090.20951420,SRR1637090.29995242,SRR1637089.3785700,SRR1637089.39022752,","1__871152__874792",4
"chr1:891303|892653","chr1",891303,892653,3,"2_2_0",17,0.261,"exon","ENSG00000188976,","-","SRR1637089.17005775,SRR1637089.36600473,SRR1637089.44545964,","1__891303__892653",3
"chr1:1025733|1041429","chr1",1025733,1041429,1,"1_1_0",11,0.154,"exon","ENSG00000131591,","-","SRR1637089.12752527,","1__1025733__1041429",1
"chr1:1191425|1198766","chr1",1191425,1198766,1,"1_0_1",894,0.002,"exon","ENSG00000160087,","-","SRR1637089.29282073,","1__1191425__1198766",1
"chr1:1191425|1203372","chr1",1191425,1203372,10,"6_5_2",813,0.024,"exon","ENSG00000160087,","-","SRR1637089.2545496,SRR1637089.8062391,SRR1637089.23872433,SRR1637089.24052928,SRR1637090.15544181,SRR1637090.32821952,SRR1637089.31825512,SRR1637090.28786914,SRR1637090.31762637,SRR1637090.33750599,","1__1191425__1203372",10
"chr1:1192372|1203372","chr1",1192372,1203372,2,"2_2_0",251,0.016,"exon","ENSG00000160087,","-","SRR1637089.14794503,SRR1637089.37873235,","1__1192372__1203372",2
"chr1:1248889|1250818","chr1",1248889,1250818,1,"1_0_1",230,0.009,"exon","ENSG00000127054,","-","SRR1637089.42090315,","1__1248889__1250818",1
"chr1:1322615|1326245","chr1",1322615,1326245,8,"5_5_0",133,0.107,"exon","ENSG00000221978,","-","SRR1637089.473152,SRR1637089.7331372,SRR1637089.44393098,SRR1637089.1720228,SRR1637089.8009460,SRR1637089.14006944,SRR1637089.17496026,SRR1637089.26081084,","1__1322615__1326245",8
"chr1:1417518|1454370","chr1",1417518,1454370,5,"3_3_0",17,0.37,"intergenic_region","n/a","+","SRR1637089.8280257,SRR1637089.10819440,SRR1637089.13127718,SRR1637089.15094768,SRR1637089.34421559,","1__1417518__1454370",5
"chr1:1417925|1455686","chr1",1417925,1455686,2,"2_2_0",57,0.066,"intergenic_region","n/a","+","SRR1637089.1002779,SRR1637089.31539934,","1__1417925__1455686",2
"chr1:1430865|1464711","chr1",1430865,1464711,5,"4_4_0",27,0.27,"intergenic_region","n/a","+","SRR1637089.9547611,SRR1637089.13809773,SRR1637089.25466468,SRR1637089.35644136,SRR1637089.38281653,","1__1430865__1464711",5
"chr1:1584361|1647917","chr1",1584361,1647917,1,"1_1_0",16,0.111,"intergenic_region","n/a","-","SRR1637089.37060369,","1__1584361__1647917",1
"chr1:1586823|1650894","chr1",1586823,1650894,8,"5_5_0",9,0.64,"intergenic_region","n/a","-","SRR1637089.23687861,SRR1637089.30308153,SRR1637089.31855901,SRR1637090.1865631,SRR1637090.7008803,SRR1637090.10893317,SRR1637090.32192947,SRR1637090.33897698,","1__1586823__1650894",8
"chr1:1601103|1666274","chr1",1601103,1666274,4,"3_4_0",0,1,"intergenic_region","n/a","-","SRR1637089.18775226,SRR1637089.22968315,SRR1637089.40474245,SRR1637089.42937879,","1__1601103__1666274",4
"chr1:1653035|1654270","chr1",1653035,1654270,1,"1_1_0",10,0.167,"exon","ENSG00000268575,ENSG00000008128,","-","SRR1637089.26213981,","1__1653035__1654270",1
"chr1:1693330|1696885","chr1",1693330,1696885,4,"1_3_0",19,0.296,"exon","ENSG00000008130,","-","SRR1637089.35202881,SRR1637089.6969799,SRR1637089.9514920,SRR1637089.24052019,","1__1693330__1696885",4
"chr1:1720492|1756921","chr1",1720492,1756921,2,"2_1_0",379,0.01,"exon","ENSG00000078369,","-","SRR1637090.9943965,SRR1637090.33548179,","1__1720492__1756921",2
"chr1:1735858|1749314","chr1",1735858,1749314,2,"2_0_2",478,0.008,"exon","ENSG00000078369,","-","SRR1637089.26836733,SRR1637090.7177276,","1__1735858__1749314",2
"chr1:1747195|1756938","chr1",1747195,1756938,4,"4_4_0",495,0.016,"exon","ENSG00000078369,","-","SRR1637089.27195827,SRR1637089.33227214,SRR1637089.38374485,SRR1637089.40877907,","1__1747195__1756938",4
"chr1:1747195|1770677","chr1",1747195,1770677,10,"6_2_4",334,0.056,"exon","ENSG00000078369,","-","SRR1637089.1765480,SRR1637089.3498610,SRR1637089.30234824,SRR1637089.33620116,SRR1637089.9899106,SRR1637089.13690655,SRR1637089.17638441,SRR1637090.4183716,SRR1637090.14014992,SRR1637090.31974553,","1__1747195__1770677",10
"chr1:1756836|1770677","chr1",1756836,1770677,2,"2_1_0",436,0.009,"exon","ENSG00000078369,","-","SRR1637089.40192883,SRR1637089.33193125,","1__1756836__1770677",2
"chr1:1811226|1890648","chr1",1811226,1890648,1,"1_1_0",16,0.111,"intergenic_region","n/a","-","SRR1637089.26105920,","1__1811226__1890648",1
"chr1:1986880|1991030","chr1",1986880,1991030,1,"1_1_0",18,0.1,"exon","ENSG00000067606,","+","SRR1637089.43278469,","1__1986880__1991030",1
"chr1:2066701|2087531","chr1",2066701,2087531,1,"1_1_0",45,0.043,"exon","ENSG00000067606,","+","SRR1637089.27571597,","1__2066701__2087531",1
"chr1:2137579|2141658","chr1",2137579,2141658,1,"0_1_1",6,0.25,"intron","ENSG00000162585,","-","SRR1637089.43274312,","1__2137579__2141658",1
"chr1:2234417|2236024","chr1",2234417,2236024,3,"2_2_0",31,0.162,"exon","ENSG00000157933,","+","SRR1637089.4024223,SRR1637090.7391875,SRR1637090.19699586,","1__2234417__2236024",3
"chr1:2234417|2238395","chr1",2234417,2238395,9,"5_5_0",40,0.31,"exon","ENSG00000157933,","+","SRR1637089.21026234,SRR1637089.23306198,SRR1637090.1308447,SRR1637090.23802348,SRR1637090.27167686,SRR1637090.32038135,SRR1637090.32163555,SRR1637090.33227034,SRR1637090.34553172,","1__2234417__2238395",9
"chr1:2324709|2335028","chr1",2324709,2335028,1,"1_1_0",149,0.013,"intron","ENSG00000157916,","+","SRR1637089.13531749,","1__2324709__2335028",1
"chr1:2327223|2332374","chr1",2327223,2332374,1,"0_1_1",277,0.007,"exon","ENSG00000157916,","+","SRR1637089.11849644,","1__2327223__2332374",1
"chr1:2327223|2335028","chr1",2327223,2335028,1,"1_1_0",193,0.01,"exon","ENSG00000157916,","+","SRR1637089.16278273,","1__2327223__2335028",1
"chr1:2336479|2336661","chr1",2336479,2336661,2,"1_1_0",153,0.025,"exon","ENSG00000157916,ENSG00000157911,","-","SRR1637089.7395950,SRR1637089.29695896,","1__2336479__2336661",2
"chr1:3418360|3427466","chr1",3418360,3427466,1,"1_1_0",11,0.154,"exon","ENSG00000162591,","-","SRR1637089.21574345,","1__3418360__3427466",1
"chr1:3425122|3425809","chr1",3425122,3425809,1,"1_1_0",10,0.167,"exon","ENSG00000162591,","-","SRR1637089.13611884,","1__3425122__3425809",1
"chr1:3638585|3644781","chr1",3638585,3644781,1,"1_1_0",14,0.125,"exon","ENSG00000078900,","+","SRR1637089.27780653,","1__3638585__3644781",1
"chr1:3697202|3701767","chr1",3697202,3701767,1,"1_1_0",54,0.036,"exon","ENSG00000130764,","-","SRR1637089.736295,","1__3697202__3701767",1
"chr1:3698076|3700702","chr1",3698076,3700702,1,"1_1_0",62,0.031,"exon","ENSG00000130764,","-","SRR1637089.31351968,","1__3698076__3700702",1
"chr1:5947440|6051031","chr1",5947440,6051031,1,"1_1_0",3,0.4,"intron","ENSG00000131697,","-","SRR1637089.9833771,","1__5947440__6051031",1
"chr1:5987709|5993389","chr1",5987709,5993389,1,"1_1_0",17,0.105,"exon","ENSG00000131697,","-","SRR1637089.2117056,","1__5987709__5993389",1
"chr1:5987709|6012896","chr1",5987709,6012896,1,"1_1_0",18,0.1,"exon","ENSG00000131697,","-","SRR1637089.4241550,","1__5987709__6012896",1
"chr1:6007164|6012896","chr1",6007164,6012896,3,"2_2_0",13,0.316,"exon","ENSG00000131697,","-","SRR1637089.30957794,SRR1637089.31953762,SRR1637089.40106083,","1__6007164__6012896",3
"chr1:6021854|6029319","chr1",6021854,6029319,2,"2_1_0",22,0.154,"exon","ENSG00000131697,","-","SRR1637089.7696501,SRR1637089.37710585,","1__6021854__6029319",2
"chr1:6021854|6046387","chr1",6021854,6046387,6,"2_5_0",12,0.5,"exon","ENSG00000131697,","-","SRR1637089.23051044,SRR1637090.3774830,SRR1637089.38667947,SRR1637089.43776515,SRR1637090.2413708,SRR1637090.31440029,","1__6021854__6046387",6
"chr1:6027359|6029319","chr1",6027359,6029319,1,"0_1_1",67,0.029,"exon","ENSG00000131697,","-","SRR1637090.28998304,","1__6027359__6029319",1
"chr1:6252990|6257780","chr1",6252990,6257780,1,"1_1_0",1856,0.001,"exon","ENSG00000116251,","-","SRR1637090.8106127,","1__6252990__6257780",1
"chr1:6291962|6292179","chr1",6291962,6292179,2,"1_2_0",449,0.009,"exon","ENSG00000116237,","-","SRR1637089.11994665,SRR1637089.95942,","1__6291962__6292179",2
"chr1:6659107|6659512","chr1",6659107,6659512,1,"1_1_0",49,0.039,"exon","ENSG00000162413,","-","SRR1637089.42586965,","1__6659107__6659512",1
"chr1:6679863|6680397","chr1",6679863,6680397,1,"1_1_0",17,0.105,"exon","ENSG00000116273,","+","SRR1637089.988203,","1__6679863__6680397",1
