"index","chr","start","end","count"
"16__560660__572481","16",560660,572481,2
"16__667208__668260","16",667208,668260,3
"16__721860__722002","16",721860,722002,2
"7__912107__912199","7",912107,912199,4
"12__1003728__1003801","12",1003728,1003801,5
"7__1026743__1027167","7",1026743,1027167,5
"19__1090907__1091906","19",1090907,1091906,5
"1__1192372__1203372","1",1192372,1203372,3
"5__1322992__1339120","5",1322992,1339120,2
"11__1780199__1782698","11",1780199,1782698,10
"16__2012498__2012657","16",2012498,2012657,6
"7__2020088__2054277","7",2020088,2054277,2
"19__2127151__2137090","19",2127151,2137090,3
"19__2130407__2137090","19",2130407,2137090,2
"19__2137010__2138713","19",2137010,2138713,4
"16__2155323__2156305","16",2155323,2156305,2
"17__2573457__2579900","17",2573457,2579900,8
"6__2779497__2783795","6",2779497,2783795,5
"Y__2829115__2829687","Y",2829115,2829687,2
"4__3107084__3190820","4",3107084,3190820,2
"4__3205734__3224214","4",3205734,3224214,3
"20__3259558__3262412","20",3259558,3262412,10
"11__3697739__3704671","11",3697739,3704671,5
"16__3708038__3721792","16",3708038,3721792,8
"16__3725325__3739138","16",3725325,3739138,10
"19__3751187__3751551","19",3751187,3751551,2
"1__3761471__3761915","1",3761471,3761915,11
"1__3753059__3764177","1",3753059,3764177,2
"16__4311780__4312702","16",4311780,4312702,3
"16__4382216__4383520","16",4382216,4383520,4
"3__4458812__4461830","3",4458812,4461830,4
"16__4511695__4511960","16",4511695,4511960,2
"3__4741497__4810448","3",4741497,4810448,2
"1__5987709__5993389","1",5987709,5993389,2
"1__6007164__6012896","1",6007164,6012896,4
"1__6021854__6038473","1",6021854,6038473,2
"19__6270590__6270770","19",6270590,6270770,7
"11__6631693__6632099","11",6631693,6632099,10
"12__6646086__6647162","12",6646086,6647162,2
"19__6710998__6712417","19",6710998,6712417,2
"19__6741021__6741136","19",6741021,6741136,2
"5__6748577__6750616","5",6748577,6750616,4
"12__7090756__7092700","12",7090756,7092700,3
"10__7838084__7844817","10",7838084,7844817,10
"17__8157484__8157619","17",8157484,8157619,2
"19__8486673__8486900","19",8486673,8486900,6
"19__8973549__8987334","19",8973549,8987334,4
"12__9253740__9264807","12",9253740,9264807,8
"1__9931245__9938047","1",9931245,9938047,4
"11__9983504__10064528","11",9983504,10064528,4
"1__10523488__10529395","1",10523488,10529395,2
"17__10583649__10599148","17",10583649,10599148,3
"19__10930656__10934575","19",10930656,10934575,2
"19__11221328__11222315","19",11221328,11222315,2
"19__11230768__11238761","19",11230768,11238761,6
"19__11548697__11556288","19",11548697,11556288,2
"10__11532831__11567467","10",11532831,11567467,2
"10__11560534__11569566","10",11560534,11569566,4
"1__12016974__12018000","1",12016974,12018000,5
"1__12049222__12052747","1",12049222,12052747,2
"10__12039671__12056183","10",12039671,12056183,2
"19__12825635__12825753","19",12825635,12825753,2
"19__13035453__13039271","19",13035453,13039271,2
"19__13039156__13041563","19",13039156,13041563,7
"5__14358287__14378236","5",14358287,14378236,2
"19__14557238__14580626","19",14557238,14580626,8
"3__15269346__15272042","3",15269346,15272042,2
"1__15382587__15386798","1",15382587,15386798,6
"2__15534351__15613471","2",15534351,15613471,2
"2__15601325__15644337","2",15601325,15644337,2
"2__15679347__15679480","2",15679347,15679480,5
"12__15793637__15823857","12",15793637,15823857,2
"1__15833394__15833570","1",15833394,15833570,4
"17__15965419__16055312","17",15965419,16055312,3
"16__16180681__16184445","16",16180681,16184445,5
"1__16464770__16464925","1",16464770,16464925,4
"7__16720926__16729531","7",16720926,16729531,3
"5__16681980__16762746","5",16681980,16762746,4
"1__17349103__17349225","1",17349103,17349225,4
"8__17827086__17830196","8",17827086,17830196,3
"7__17873675__17915413","7",17873675,17915413,2
"7__17929986__17937069","7",17929986,17937069,4
"6__18256592__18258636","6",18256592,18258636,18
"11__18415936__18421095","11",18415936,18421095,4
"17__18420499__18422988","17",18420499,18422988,4
