"chr","start","end","count","index"
"chrM",611,779,1,"M__612__779"
"chrM",1679,1834,1,"M__1680__1834"
"chrM",1998,2138,1,"M__1999__2138"
"chrM",1983,2141,1,"M__1984__2141"
"chrM",2377,2685,1,"M__2378__2685"
"chrM",2626,2795,2,"M__2627__2795"
"chrM",3630,3820,1,"M__3631__3820"
"chrM",4074,4168,1,"M__4075__4168"
"chrM",3534,4677,1,"M__3535__4677"
"chrM",2219,5349,1,"M__2220__5349"
"chrM",6357,6507,1,"M__6358__6507"
"chrM",6357,6603,1,"M__6358__6603"
"chr17_gl000206_random",5197,7258,1,"17_gl000206_random__5198__7258"
"chrM",7830,7868,1,"M__7831__7868"
"chrM",1679,8680,1,"M__1680__8680"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",8776,9082,1,"M__8777__9082"
"chrM",3598,12104,1,"M__3599__12104"
"chrUn_gl000222",11827,12288,1,"Un_gl000222__11828__12288"
"chrM",10850,12465,1,"M__10851__12465"
"chrM",12558,12745,1,"M__12559__12745"
"chrM",13301,13384,1,"M__13302__13384"
"chrM",13306,13436,1,"M__13307__13436"
"chrM",13436,13571,1,"M__13437__13571"
"chrM",13499,13634,3,"M__13500__13634"
"chrM",8819,13640,1,"M__8820__13640"
"chrM",13265,13640,1,"M__13266__13640"
"chrM",2226,13792,1,"M__2227__13792"
"chrM",13640,13792,1,"M__13641__13792"
"chrM",13846,13999,2,"M__13847__13999"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13792,14024,1,"M__13793__14024"
"chrM",13999,14125,2,"M__14000__14125"
"chrM",14004,14150,1,"M__14005__14150"
"chrM",13978,14277,2,"M__13979__14277"
"chrM",8625,14377,1,"M__8626__14377"
"chrM",14055,14377,4,"M__14056__14377"
"chrM",13384,14413,1,"M__13385__14413"
"chrM",14338,14529,1,"M__14339__14529"
"chrM",13487,15460,1,"M__13488__15460"
"chrM",14563,15491,1,"M__14564__15491"
"chrM",3534,15626,1,"M__3535__15626"
"chrM",8481,16151,1,"M__8482__16151"
"chrUn_gl000222",34488,37351,1,"Un_gl000222__34489__37351"
"chrUn_gl000222",34492,37351,2,"Un_gl000222__34493__37351"
"chrUn_gl000214",51171,52945,1,"Un_gl000214__51172__52945"
"chrUn_gl000220",117896,118126,1,"Un_gl000220__117897__118126"
"chrUn_gl000220",117947,118291,1,"Un_gl000220__117948__118291"
"chrUn_gl000220",118053,118355,1,"Un_gl000220__118054__118355"
"chrUn_gl000220",117907,118382,1,"Un_gl000220__117908__118382"
"chrUn_gl000220",117896,118410,1,"Un_gl000220__117897__118410"
"chrUn_gl000220",121094,123082,1,"Un_gl000220__121095__123082"
"chrUn_gl000220",121604,123082,21,"Un_gl000220__121605__123082"
"chr16",142593,143323,1,"16__142594__143323"
"chr7",145293,148714,1,"7__145294__148714"
"chrY",157314,158321,1,"Y__157315__158321"
"chrUn_gl000220",114247,158374,1,"Un_gl000220__114248__158374"
"chrUn_gl000220",114931,159414,1,"Un_gl000220__114932__159414"
"chrUn_gl000220",114768,159497,1,"Un_gl000220__114769__159497"
"chr18",162982,166819,1,"18__162983__166819"
"chr18",163307,167794,1,"18__163308__167794"
"chr17_ctg5_hap1",167528,168155,3,"17_ctg5_hap1__167529__168155"
"chr17",169210,171206,1,"17__169211__171206"
"chr18",163307,180339,1,"18__163308__180339"
"chr18",196636,199316,2,"18__196637__199316"
"chr18",196636,202945,1,"18__196637__202945"
"chr18",196636,203190,1,"18__196637__203190"
"chr18",196636,204692,4,"18__196637__204692"
"chr18",199192,204692,1,"18__199193__204692"
