"index","chr","start","end","count"
"3__4418014__4494733","3",4418014,4494733,12
"3__4452549__4461830","3",4452549,4461830,15
"3__4490950__4494733","3",4490950,4494733,300
"3__4669447__4687412","3",4669447,4687412,40
"3__4685820__4715071","3",4685820,4715071,10
"3__4714820__4715071","3",4714820,4715071,94
"3__4715886__4817126","3",4715886,4817126,16
"3__4741497__4777038","3",4741497,4777038,12
"3__4774772__4777038","3",4774772,4777038,15
"3__5249778__5249948","3",5249778,5249948,13
"3__8932073__8955404","3",8932073,8955404,2254
"3__9470507__9476566","3",9470507,9476566,62
"3__9495423__9506356","3",9495423,9506356,200
"3__9724862__9726354","3",9724862,9726354,338
"3__9792629__9796569","3",9792629,9796569,35
"3__10070309__10078023","3",10070309,10078023,19
"3__10077971__10081529","3",10077971,10081529,21
"3__10276143__10280723","3",10276143,10280723,65
"3__11389351__11402258","3",11389351,11402258,547
"3__11399892__11404402","3",11399892,11404402,1
"3__11399892__11468400","3",11399892,11468400,74
"3__12421203__12422990","3",12421203,12422990,44
"3__12531283__12545283","3",12531283,12545283,10
"3__12538017__12545283","3",12538017,12545283,106
"3__12558110__12560696","3",12558110,12560696,86
"3__12976948__12983365","3",12976948,12983365,2
"3__13371960__13413532","3",13371960,13413532,446
"3__13378287__13379417","3",13378287,13379417,221
"3__13384675__13427907","3",13384675,13427907,4
"3__13393379__13413532","3",13393379,13413532,19
"3__13542213__13544480","3",13542213,13544480,145
"3__14485132__14489324","3",14485132,14489324,122
"3__14508024__14523349","3",14508024,14523349,14
"3__15045383__15057761","3",15045383,15057761,7
"3__15055096__15071959","3",15055096,15071959,11
"3__15055096__15074007","3",15055096,15074007,2769
"3__15057659__15070226","3",15057659,15070226,7
"3__15073886__15076316","3",15073886,15076316,42
"3__15253611__15262488","3",15253611,15262488,38
"3__15300338__15345738","3",15300338,15345738,59
"3__15471420__15478082","3",15471420,15478082,5
"3__17333387__17448018","3",17333387,17448018,1148
"3__25662173__25665237","3",25662173,25665237,6998
"3__30686239__30715738","3",30686239,30715738,6
"3__30713130__30715738","3",30713130,30715738,15
"3__31617888__31621588","3",31617888,31621588,18
"3__31617888__31665353","3",31617888,31665353,178
"3__31617888__31670903","3",31617888,31670903,500
"3__31621301__31621588","3",31621301,31621588,11
"3__31621301__31641951","3",31621301,31641951,81
"3__31710134__31712475","3",31710134,31712475,30
"3__31710134__31744000","3",31710134,31744000,2
"3__33055548__33110462","3",33055548,33110462,15
"3__33087612__33110462","3",33087612,33110462,408
"3__33093250__33110462","3",33093250,33110462,15
"3__33106955__33114205","3",33106955,33114205,4
"3__33543144__33552256","3",33543144,33552256,15
"3__33558473__33633988","3",33558473,33633988,5
"3__33602300__33633988","3",33602300,33633988,11
"3__33623313__33633988","3",33623313,33633988,153
"3__33623313__33645701","3",33623313,33645701,1828
"3__33644444__33668572","3",33644444,33668572,4
"3__33644444__33729860","3",33644444,33729860,3
"3__33853564__33855120","3",33853564,33855120,7
"3__37162983__37163182","3",37162983,37163182,55
"3__37162983__37190529","3",37162983,37190529,4
"3__37512498__37523098","3",37512498,37523098,69
"3__38401830__38415993","3",38401830,38415993,1120
"3__38401830__38417723","3",38401830,38417723,10
"3__38401830__38438650","3",38401830,38438650,86
