"index","chr","start","end","count"
"Y__2829115__2829687","Y",2829115,2829687,10
"Y__14821321__14821476","Y",14821321,14821476,3
"Y__14832522__14848183","Y",14832522,14848183,5
"X__2867345__2873578","X",2867345,2873578,2
"X__2871184__2873578","X",2871184,2873578,1
"X__9727372__9728866","X",9727372,9728866,2
"X__10031485__10035530","X",10031485,10035530,5
"X__16870872__16870998","X",16870872,16870998,2
"X__17086525__17121902","X",17086525,17121902,1
"X__17151947__17157084","X",17151947,17157084,1
"X__17705862__17710588","X",17705862,17710588,2
"X__18917291__18918817","X",18917291,18918817,2
"X__18917291__18923977","X",18917291,18923977,16
"X__18917291__18926174","X",18917291,18926174,47
"X__18917291__18943895","X",18917291,18943895,3
"X__18917291__18972530","X",18917291,18972530,1
"X__18942174__18942643","X",18942174,18942643,5
"X__23739998__23740870","X",23739998,23740870,2
"X__24078205__24080691","X",24078205,24080691,4
"X__24190832__24197887","X",24190832,24197887,1
"X__24751872__24767109","X",24751872,24767109,14
"X__24763535__24948666","X",24763535,24948666,1
"X__24828015__24844718","X",24828015,24844718,1
"X__24839569__24861794","X",24839569,24861794,1
"X__24839569__24906239","X",24839569,24906239,4
"X__24839569__24948666","X",24839569,24948666,9
"X__24859769__24948666","X",24859769,24948666,7
"X__30870895__30889918","X",30870895,30889918,8
"X__40996057__41012334","X",40996057,41012334,3
"X__41007622__41027471","X",41007622,41027471,6
"X__41012201__41047370","X",41012201,41047370,6
"X__41025125__41043928","X",41025125,41043928,11
"X__41416285__41448845","X",41416285,41448845,3
"X__44870206__44879975","X",44870206,44879975,1
"X__44870206__44896934","X",44870206,44896934,1
"X__44870206__44936071","X",44870206,44936071,1
"X__44919267__44920664","X",44919267,44920664,20
"X__44935942__44936071","X",44935942,44936071,27
"X__46844285__46845193","X",46844285,46845193,2
"X__46844285__46857679","X",46844285,46857679,3
"X__46844285__46893190","X",46844285,46893190,1
"X__46884126__46914030","X",46884126,46914030,1
"X__47028714__47032596","X",47028714,47032596,113
"X__47061555__47069086","X",47061555,47069086,20
"X__47084017__47084142","X",47084017,47084142,3
"X__47100676__47100849","X",47100676,47100849,730
"X__47422308__47424538","X",47422308,47424538,1
"X__47442807__47444414","X",47442807,47444414,12
"X__47705504__47755339","X",47705504,47755339,3
"X__48317922__48320183","X",48317922,48320183,2
"X__48318118__48325464","X",48318118,48325464,16
"X__48320619__48321365","X",48320619,48321365,10
"X__48460172__48460594","X",48460172,48460594,8
"X__48666440__48666733","X",48666440,48666733,92
"X__48666665__48666733","X",48666665,48666733,15
"X__48751183__48754141","X",48751183,48754141,1
"X__48780414__48780572","X",48780414,48780572,3
"X__48832430__48846415","X",48832430,48846415,2
"X__48895535__48895639","X",48895535,48895639,1
"X__49029476__49030772","X",49029476,49030772,1
"X__53409153__53426652","X",53409153,53426652,26
"X__53410018__53441819","X",53410018,53441819,7
"X__53431944__53432888","X",53431944,53432888,8
"X__53565298__53592200","X",53565298,53592200,1
"X__53565298__53642796","X",53565298,53642796,1
"X__53573665__53579402","X",53573665,53579402,11
"X__53573665__53630462","X",53573665,53630462,1
"X__53574634__53585770","X",53574634,53585770,2
"X__53581594__53588885","X",53581594,53588885,161
"X__53596576__53627269","X",53596576,53627269,10
"X__53607791__53607986","X",53607791,53607986,117
"X__53617364__53642796","X",53617364,53642796,29
"X__53672263__53681075","X",53672263,53681075,2
"X__54117745__54159296","X",54117745,54159296,1
"X__54160206__54163023","X",54160206,54163023,1
"X__54491884__54492285","X",54491884,54492285,1
"X__64732462__64749758","X",64732462,64749758,18
"X__64743440__64751318","X",64743440,64751318,1
"X__64743440__64752510","X",64743440,64752510,1
"X__67738612__67741339","X",67738612,67741339,24
"X__69510288__69624672","X",69510288,69624672,5
"X__69561649__69573657","X",69561649,69573657,165
"X__70601593__70614095","X",70601593,70614095,5
"X__70775804__70777522","X",70775804,70777522,1
"X__71681854__71684581","X",71681854,71684581,10
"X__71681854__71715118","X",71681854,71715118,20
"X__72797243__72804408","X",72797243,72804408,2
"X__76972608__76972720","X",76972608,76972720,32
"X__77270159__77275895","X",77270159,77275895,137
"X__79962926__79975155","X",79962926,79975155,7
"X__79973072__79985519","X",79973072,79985519,5
"X__80047353__80049271","X",80047353,80049271,15
"X__80064512__80064803","X",80064512,80064803,1
"X__85233771__85282561","X",85233771,85282561,4
"X__100087723__100088461","X",100087723,100088461,119
"X__100273960__100274392","X",100273960,100274392,76
"X__100273960__100297301","X",100273960,100297301,1
"X__100275476__100276304","X",100275476,100276304,5
"X__100275476__100277051","X",100275476,100277051,8
"X__106410879__106418423","X",106410879,106418423,7
"X__107840228__107911734","X",107840228,107911734,2
"X__108902583__108939425","X",108902583,108939425,4
"X__108917631__108921644","X",108917631,108921644,4
"X__108924495__108926895","X",108924495,108926895,6
"X__109310575__109352374","X",109310575,109352374,5
"X__117883621__117900939","X",117883621,117900939,49
"X__118544153__118544325","X",118544153,118544325,1
"X__128624037__128645960","X",128624037,128645960,7
"X__128944881__128945485","X",128944881,128945485,1
"X__129203275__129206392","X",129203275,129206392,7
"X__131516206__131518726","X",131516206,131518726,1
"X__131516206__131526362","X",131516206,131526362,18
"X__131518691__131540420","X",131518691,131540420,30
"X__131524875__131526362","X",131524875,131526362,3
"X__131526171__131526362","X",131526171,131526362,30
"X__132826397__132888203","X",132826397,132888203,1
"X__132887509__132888203","X",132887509,132888203,32
"X__133087077__133087238","X",133087077,133087238,4
"X__135092601__135106642","X",135092601,135106642,9
"X__138884395__138884498","X",138884395,138884498,2
"X__138884395__138908982","X",138884395,138908982,3
"X__149963679__149984551","X",149963679,149984551,1
"X__149983335__149984551","X",149983335,149984551,204
"X__151130895__151131115","X",151130895,151131115,4
"X__152913373__152916781","X",152913373,152916781,4
"X__153281483__153282095","X",153281483,153282095,68
"X__153281483__153282518","X",153281483,153282518,221
"X__153580549__153582851","X",153580549,153582851,1
"X__153581140__153581292","X",153581140,153581292,1
"X__153581140__153593087","X",153581140,153593087,2
"X__153581140__153593325","X",153581140,153593325,1
"X__153582283__153582851","X",153582283,153582851,4
"X__153582519__153593325","X",153582519,153593325,1
"X__153585619__153595218","X",153585619,153595218,1
"X__153587852__153588955","X",153587852,153588955,6
"X__153627828__153628967","X",153627828,153628967,6
"X__153662554__153664862","X",153662554,153664862,6
"X__153674160__153678083","X",153674160,153678083,2
"X__153760403__153760677","X",153760403,153760677,20
"X__153760403__153762375","X",153760403,153762375,10
"X__153761157__153762711","X",153761157,153762711,33
"X__154743647__154743926","X",154743647,154743926,2
"13__20534098__20641530","13",20534098,20641530,16
"13__20625573__20641530","13",20625573,20641530,1
"13__20632715__20641530","13",20632715,20641530,12
"13__21305980__21306260","13",21305980,21306260,2
"13__21417909__21418025","13",21417909,21418025,2
"13__21436856__21442840","13",21436856,21442840,211
"13__24233189__24234629","13",24233189,24234629,1
"13__25030479__25052414","13",25030479,25052414,3
"13__26911704__26928017","13",26911704,26928017,2
"13__26974590__26975761","13",26974590,26975761,12
"13__27664219__27690733","13",27664219,27690733,1
"13__28748409__28752072","13",28748409,28752072,1
"13__28748409__28830676","13",28748409,28830676,6
"13__28748409__28835595","13",28748409,28835595,29
"13__28771322__28794515","13",28771322,28794515,3
"13__28830429__28835595","13",28830429,28835595,8
"13__28830429__28855516","13",28830429,28855516,1
"13__28834584__28835595","13",28834584,28835595,16
"13__28840852__28841013","13",28840852,28841013,78
"13__28840852__28846208","13",28840852,28846208,5
"13__28840852__28862259","13",28840852,28862259,1
"13__31195901__31227442","13",31195901,31227442,5
"13__33091994__33101669","13",33091994,33101669,5
"13__33101545__33111164","13",33101545,33111164,1
"13__33261271__33271039","13",33261271,33271039,6
"13__33306238__33309467","13",33306238,33309467,1
"13__33306238__33315286","13",33306238,33315286,4
"13__33306238__33316865","13",33306238,33316865,2
"13__35615070__35619538","13",35615070,35619538,454
"13__37427556__37427812","13",37427556,37427812,158
"13__37539712__37546173","13",37539712,37546173,4
