"sample","index","chr","start","end","count","cell"
"SRR567525","X__76907604__76912143","X",76907604,76912143,2,"HELA"
"SRR567525","13__41556119__41556418","13",41556119,41556418,4,"HELA"
"SRR567525","11__34104372__34104588","11",34104372,34104588,3,"HELA"
"SRR567525","10__31784705__31803636","10",31784705,31803636,3,"HELA"
"SRR567525","16__78142320__78143732","16",78142320,78143732,4,"HELA"
"SRR567525","16__80718435__80719026","16",80718435,80719026,3,"HELA"
"SRR567525","19__13843100__13862402","19",13843100,13862402,4,"HELA"
"SRR567525","21__17763934__17979407","21",17763934,17979407,1,"HELA"
"SRR567525","6__47501338__47512442","6",47501338,47512442,3,"HELA"
"SRR567525","9__33960824__33973235","9",33960824,33973235,1,"HELA"
"SRR567526","5__40764616__40777688","5",40764616,40777688,1,"HELA"
"SRR567526","3__186504916__186505373","3",186504916,186505373,2,"HELA"
"SRR567526","1__19570108__19570509","1",19570108,19570509,1,"HELA"
"SRR567526","9__74484999__74489999","9",74484999,74489999,1,"HELA"
"SRR944646","11__870121__893519","11",870121,893519,2,"HELA"
"SRR944646","2__9484661__9499018","2",9484661,9499018,1,"HELA"
"SRR1198832","13__41894803__41910892","13",41894803,41910892,1,"HEK293T"
"SRR1198832","20__54963151__54963211","20",54963151,54963211,2,"HEK293T"
"SRR1198832","7__87183077__87196292","7",87183077,87196292,4,"HEK293T"
"SRR1198832","5__137320946__137324004","5",137320946,137324004,2,"HEK293T"
"SRR1198832","2__15732074__15732734","2",15732074,15732734,1,"HEK293T"
"SRR1198833","20__54963151__54963211","20",54963151,54963211,2,"HEK293T"
"SRR1198833","1__28800066__28807116","1",28800066,28807116,1,"HEK293T"
"SRR1198835","7__138831730__138833123","7",138831730,138833123,1,"HEK293T"
"SRR1198836","13__35615070__35806756","13",35615070,35806756,1,"HEK293T"
"SRR1198837","16__16180681__16184445","16",16180681,16184445,1,"HEK293T"
"SRR1198839","3__133293883__133305566","3",133293883,133305566,1,"HEK293T"
"SRR1910480","X__118921316__118921447","X",118921316,118921447,20,"HEK293"
"SRR1910480","12__49061240__49061376","12",49061240,49061376,1,"HEK293"
"SRR1910480","11__811681__811814","11",811681,811814,7,"HEK293"
"SRR1910480","11__8705774__8705903","11",8705774,8705903,3,"HEK293"
"SRR1910480","11__46098305__46113774","11",46098305,46113774,4,"HEK293"
"SRR1910480","10__99504673__99505059","10",99504673,99505059,1,"HEK293"
"SRR1910480","17__7478031__7478165","17",7478031,7478165,2,"HEK293"
"SRR1910480","16__2012974__2013107","16",2012974,2013107,1,"HEK293"
"SRR1910480","16__2809174__2809331","16",2809174,2809331,1,"HEK293"
"SRR1910480","16__30569199__30569307","16",30569199,30569307,1,"HEK293"
"SRR1910480","14__59798639__59798920","14",59798639,59798920,2,"HEK293"
"SRR1910480","19__3982505__3982570","19",3982505,3982570,1,"HEK293"
"SRR1910480","19__12918321__12918392","19",12918321,12918392,1,"HEK293"
"SRR1910480","19__42365295__42365374","19",42365295,42365374,1,"HEK293"
"SRR1910480","20__37055949__37056086","20",37055949,37056086,1,"HEK293"
"SRR1910480","20__37058310__37058447","20",37058310,37058447,7,"HEK293"
"SRR1910480","20__37062505__37062642","20",37062505,37062642,3,"HEK293"
"SRR1910480","20__37076726__37076861","20",37076726,37076861,3,"HEK293"
"SRR1910480","7__74994913__74995093","7",74994913,74995093,1,"HEK293"
"SRR1910480","7__128843225__128846428","7",128843225,128846428,1,"HEK293"
"SRR1910480","7__139818913__139820329","7",139818913,139820329,1,"HEK293"
