"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chr6_apd_hap1",894611,895331,"circular_RNA/1",0,"-",894611,894611,"0,0,0",2,"171,135","0,585",1,"circRNA","GABBR1","NM_021903","3,2","chr6_apd_hap1:893512-894611|chr6_apd_hap1:895331-898797","6_apd_hap1__894612__895331",1
"chrY",150833,159885,"circular_RNA/2",0,"+",150833,150833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",2,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrY:148351-150833|chrY:159885-165763","Y__150834__159885",2
"chrY",150833,166059,"circular_RNA/2",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",2,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",2
"chrY",249338,252666,"circular_RNA/1",0,"-",249338,249338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrY:245252-249338|chrY:252666-256250","Y__249339__252666",1
"chrY",249338,272325,"circular_RNA/1",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",1
"chrY",59230781,59252550,"circular_RNA/1",0,"+",59230781,59230781,"0,0,0",3,"138,91,68","0,2385,21701",1,"circRNA","VAMP7","NM_001145149","3,4,5","chrY:59222216-59230781|chrY:59252550-59272370","Y__59230782__59252550",1
"chrX",299338,308428,"circular_RNA/1",0,"-",299338,299338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrX:295252-299338|chrX:308428-322139","X__299339__308428",1
"chrX",299338,322325,"circular_RNA/1",0,"-",299338,299338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrX:295252-299338|chrX:322325-347102","X__299339__322325",1
"chrX",2632462,2644414,"circular_RNA/1",0,"+",2632462,2632462,"0,0,0",7,"33,48,45,69,48,51,114","0,3183,5239,5934,8205,8892,11838",1,"circRNA","CD99","NM_001321367","2,3,4,5,6,7,8","chrX:2609468-2632462|chrX:2644414-2651397","X__2632463__2644414",1
"chrX",3530217,3573453,"circular_RNA/1",0,"-",3530217,3530217,"0,0,0",6,"149,78,58,96,120,264","0,3638,9082,14242,29675,42972",1,"circRNA","PRKX","NM_005044","8,7,6,5,4,3","chrX:3526986-3530217|chrX:3573453-3592638","X__3530218__3573453",1
"chrX",8565074,8591711,"circular_RNA/1",0,"-",8565074,8565074,"0,0,0",2,"223,63","0,26574",1,"circRNA","ANOS1","NM_000216","4,3","chrX:8556019-8565074|chrX:8591711-8667738","X__8565075__8591711",1
"chrX",9652082,9665469,"circular_RNA/2",0,"+",9652082,9652082,"0,0,0",7,"146,259,133,142,64,98,61","0,3974,7536,8070,9106,9279,13326",2,"circRNA","TBL1X","NM_001139466","6,7,8,9,10,11,12","chrX:9622362-9652082|chrX:9665469-9673032","X__9652083__9665469",2
"chrX",9859016,9866330,"circular_RNA/1",0,"+",9859016,9859016,"0,0,0",3,"132,2341,101","0,3381,7213",1,"circRNA","SHROOM2","NM_001649","3,4,5","chrX:9841843-9859016|chrX:9866330-9900214","X__9859017__9866330",1
"chrX",9862397,9866330,"circular_RNA/2",0,"+",9862397,9862397,"0,0,0",2,"2341,101","0,3832",2,"circRNA","SHROOM2","NM_001649","4,5","chrX:9859148-9862397|chrX:9866330-9900214","X__9862398__9866330",2
"chrX",10031484,10066619,"circular_RNA/2",0,"+",10031484,10031484,"0,0,0",7,"110,204,77,80,130,150,74","0,3842,15354,16280,27326,30687,35061",2,"circRNA","WWC3","NM_015691","2,3,4,5,6,7,8","chrX:9983898-10031484|chrX:10066619-10077817","X__10031485__10066619",2
"chrX",10046838,10066619,"circular_RNA/1",0,"+",10046838,10046838,"0,0,0",5,"77,80,130,150,74","0,926,11972,15333,19707",1,"circRNA","WWC3","NM_015691","4,5,6,7,8","chrX:10035530-10046838|chrX:10066619-10077817","X__10046839__10066619",1
"chrX",10534927,10535643,"circular_RNA/2",0,"-",10534927,10534927,"0,0,0",1,"716","0",2,"circRNA","MID1","NM_001193277","2","chrX:10491227-10534927|chrX:10535643-10544823","X__10534928__10535643",2
"chrX",11777911,11779056,"circular_RNA/2",0,"+",11777911,11777911,"0,0,0",3,"83,96,101","0,610,1044",2,"circRNA","MSL3","NM_078628","2,3,4","chrX:11776484-11777911|chrX:11779056-11779618","X__11777912__11779056",2
"chrX",12817325,12838922,"circular_RNA/2",0,"+",12817325,12817325,"0,0,0",5,"193,99,125,174,160","0,10027,10815,20300,21437",2,"circRNA","PRPS2","NM_001039091","2,3,4,5,6","chrX:12809738-12817325|chrX:12838922-12840822","X__12817326__12838922",2
"chrX",13767545,13773361,"circular_RNA/1",0,"+",13767545,13767545,"0,0,0",3,"107,74,92","0,3941,5724",1,"circRNA","OFD1","NM_001330209","9,10,11","chrX:13765072-13767545|chrX:13773361-13774696","X__13767546__13773361",1
"chrX",14868626,14877456,"circular_RNA/3",0,"-",14868626,14868626,"0,0,0",4,"170,129,93,153","0,2534,7357,8677",3,"circRNA","FANCB","NM_001018113","7,6,5,4","chrX:14863408-14868626|chrX:14877456-14882681","X__14868627__14877456",3
"chrX",16688702,16721064,"circular_RNA/1",0,"-",16688702,16688702,"0,0,0",10,"95,89,133,152,81,84,117,101,171,205","0,7782,12514,18870,20960,22561,22791,27656,28343,32157",1,"circRNA","CTPS2","NM_001144002","11,10,9,8,7,6,5,4,3,2","chrX:16685847-16688702|chrX:16721064-16729635","X__16688703__16721064",1
"chrX",16711263,16721064,"circular_RNA/1",0,"-",16711263,16711263,"0,0,0",5,"84,117,101,171,205","0,230,5095,5782,9596",1,"circRNA","CTPS2","NM_001144002","6,5,4,3,2","chrX:16709743-16711263|chrX:16721064-16729635","X__16711264__16721064",1
"chrX",16773067,16775432,"circular_RNA/1",0,"+",16773067,16773067,"0,0,0",3,"149,59,148","0,1718,2217",1,"circRNA","SYAP1","NM_032796","6,7,8","chrX:16761963-16773067|chrX:16775432-16778354","X__16773068__16775432",1
"chrX",16836696,16838378,"circular_RNA/2",0,"+",16836696,16836696,"0,0,0",2,"304,92","0,1590",2,"circRNA","TXLNG","NM_018360","2,3","chrX:16804712-16836696|chrX:16838378-16846216","X__16836697__16838378",2
"chrX",16836696,16847893,"circular_RNA/1",0,"+",16836696,16836696,"0,0,0",4,"304,92,171,195","0,1590,9520,11002",1,"circRNA","TXLNG","NM_018360","2,3,4,5","chrX:16804712-16836696|chrX:16847893-16850745","X__16836697__16847893",1
