"sample","index","chr","start","end","count","cell"
"ERR196173","12__389223__464415","12",389223,464415,1,"HELA"
"ERR196173","17__655573__707046","17",655573,707046,1,"HELA"
"ERR196173","16__679239__733909","16",679239,733909,1,"HELA"
"ERR196173","1__1275116__1326245","1",1275116,1326245,1,"HELA"
"ERR196173","17__2319348__2381179","17",2319348,2381179,2,"HELA"
"ERR196173","19__3490819__3526181","19",3490819,3526181,1,"HELA"
"ERR196173","19__4428661__4457791","19",4428661,4457791,1,"HELA"
"ERR196173","18__6912059__6958661","18",6912059,6958661,2,"HELA"
"ERR196173","18__6912059__6982589","18",6912059,6982589,1,"HELA"
"ERR196173","18__6912059__6999996","18",6912059,6999996,1,"HELA"
"ERR196173","18__6955352__6999996","18",6955352,6999996,1,"HELA"
"ERR196173","19__10200574__10251004","19",10200574,10251004,1,"HELA"
"ERR196173","1__11082181__11134383","1",11082181,11134383,1,"HELA"
"ERR196173","19__12775606__12825983","19",12775606,12825983,1,"HELA"
"ERR196173","18__13008455__13056697","18",13008455,13056697,1,"HELA"
"ERR196173","19__13015306__13085567","19",13015306,13085567,1,"HELA"
"ERR196173","19__13205449__13256209","19",13205449,13256209,1,"HELA"
"ERR196173","11__17108124__17151014","11",17108124,17151014,1,"HELA"
"ERR196173","13__21361620__21396017","13",21361620,21396017,1,"HELA"
"ERR196173","17__26518047__26523404","17",26518047,26523404,1,"HELA"
"ERR196173","18__29433812__29496409","18",29433812,29496409,1,"HELA"
"ERR196173","16__30008129__30047851","16",30008129,30047851,1,"HELA"
"ERR196173","17__34799540__34859040","17",34799540,34859040,1,"HELA"
"ERR196173","17__35548061__35609962","17",35548061,35609962,1,"HELA"
"ERR196173","17__38567361__38568070","17",38567361,38568070,2,"HELA"
"ERR196173","18__45359466__45394828","18",45359466,45394828,1,"HELA"
"ERR196173","14__45667847__45716580","14",45667847,45716580,1,"HELA"
"ERR196173","16__46693589__46714765","16",46693589,46714765,1,"HELA"
"ERR196173","11__47442182__47490443","11",47442182,47490443,1,"HELA"
"ERR196173","14__50091892__50140934","14",50091892,50140934,1,"HELA"
"ERR196173","15__50929619__51024881","15",50929619,51024881,1,"HELA"
"ERR196173","12__51373566__51399219","12",51373566,51399219,1,"HELA"
"ERR196173","12__56630366__56680429","12",56630366,56680429,1,"HELA"
"ERR196173","11__57118236__57185360","11",57118236,57185360,1,"HELA"
"ERR196173","16__58585493__58619410","16",58585493,58619410,1,"HELA"
"ERR196173","15__59415716__59480415","15",59415716,59480415,1,"HELA"
"ERR196173","11__61511004__61574196","11",61511004,61574196,1,"HELA"
"ERR196173","17__62479036__62496444","17",62479036,62496444,1,"HELA"
"ERR196173","14__64898250__64991669","14",64898250,64991669,1,"HELA"
"ERR196173","11__65270108__65273939","11",65270108,65273939,2,"HELA"
"ERR196173","11__65270108__65320727","11",65270108,65320727,3,"HELA"
"ERR196173","1__65298906__65344831","1",65298906,65344831,1,"HELA"
"ERR196173","16__69334735__69385712","16",69334735,69385712,1,"HELA"
"ERR196173","10__75135189__75184949","10",75135189,75184949,1,"HELA"
"ERR196173","17__78168990__78227308","17",78168990,78227308,1,"HELA"
"ERR196173","17__80011744__80047602","17",80011744,80047602,1,"HELA"
"ERR196173","16__81698959__81700879","16",81698959,81700879,1,"HELA"
"ERR196173","15__89848836__89941718","15",89848836,89941718,1,"HELA"
"ERR196173","15__90976951__91025513","15",90976951,91025513,1,"HELA"
"ERR196173","10__94211441__94264654","10",94211441,94264654,1,"HELA"
"ERR196173","13__96453836__96536934","13",96453836,96536934,1,"HELA"
"ERR196173","1__110125059__110138454","1",110125059,110138454,4,"HELA"
"ERR196173","1__115222880__115275437","1",115222880,115275437,1,"HELA"
"ERR196173","11__134019041__134072800","11",134019041,134072800,1,"HELA"
"ERR196173","10__135102344__135113617","10",135102344,135113617,1,"HELA"
"ERR196173","1__149856010__149905591","1",149856010,149905591,1,"HELA"
"ERR196173","1__155867599__155904188","1",155867599,155904188,1,"HELA"
"ERR196173","1__161411323__161510104","1",161411323,161510104,1,"HELA"
"ERR196173","1__173900352__173947758","1",173900352,173947758,1,"HELA"
"ERR196173","1__186307165__186324900","1",186307165,186324900,1,"HELA"
"ERR196180","12__427272__463400","12",427272,463400,1,"HELA"
"ERR196180","12__547501__551806","12",547501,551806,1,"HELA"
"ERR196180","19__579500__652884","19",579500,652884,1,"HELA"
"ERR196180","18__677345__686008","18",677345,686008,1,"HELA"
"ERR196180","16__722703__817470","16",722703,817470,1,"HELA"
"ERR196180","10__852854__909823","10",852854,909823,1,"HELA"
"ERR196180","1__1296622__1337636","1",1296622,1337636,1,"HELA"
"ERR196180","16__1451569__1501717","16",1451569,1501717,1,"HELA"
"ERR196180","16__1478413__1501717","16",1478413,1501717,1,"HELA"
"ERR196180","17__1537152__1564700","17",1537152,1564700,1,"HELA"
"ERR196180","1__1588825__1639038","1",1588825,1639038,1,"HELA"
"ERR196180","17__2075952__2090125","17",2075952,2090125,1,"HELA"
"ERR196180","19__2078139__2123405","19",2078139,2123405,1,"HELA"
"ERR196180","17__2202200__2239024","17",2202200,2239024,1,"HELA"
"ERR196180","17__2235463__2270699","17",2235463,2270699,2,"HELA"
"ERR196180","16__2647652__2688726","16",2647652,2688726,1,"HELA"
"ERR196180","18__2847028__2931441","18",2847028,2931441,1,"HELA"
"ERR196180","17__3435951__3481057","17",3435951,3481057,1,"HELA"
"ERR196180","11__3696240__3744685","11",3696240,3744685,1,"HELA"
"ERR196180","19__3924581__3977608","19",3924581,3977608,1,"HELA"
"ERR196180","17__4045836__4084667","17",4045836,4084667,1,"HELA"
"ERR196180","17__4060160__4109781","17",4060160,4109781,1,"HELA"
"ERR196180","11__6588125__6636793","11",6588125,6636793,1,"HELA"
"ERR196180","12__6626531__6677088","12",6626531,6677088,1,"HELA"
"ERR196180","12__6631994__6677088","12",6631994,6677088,1,"HELA"
"ERR196180","12__6623431__6682435","12",6623431,6682435,1,"HELA"
"ERR196180","12__6637339__6687303","12",6637339,6687303,1,"HELA"
"ERR196180","12__6637339__6692279","12",6637339,6692279,1,"HELA"
"ERR196180","12__6634749__6697588","12",6634749,6697588,1,"HELA"
"ERR196180","12__6630152__6703816","12",6630152,6703816,1,"HELA"
"ERR196180","12__6637845__6705303","12",6637845,6705303,1,"HELA"
"ERR196180","18__6912059__6959491","18",6912059,6959491,1,"HELA"
"ERR196180","18__6950781__6975035","18",6950781,6975035,1,"HELA"
"ERR196180","18__6919495__6976079","18",6919495,6976079,1,"HELA"
"ERR196180","18__6929738__6982589","18",6929738,6982589,2,"HELA"
"ERR196180","18__6955352__6982589","18",6955352,6982589,1,"HELA"
"ERR196180","18__6919495__6999996","18",6919495,6999996,1,"HELA"
"ERR196180","18__6943179__6999996","18",6943179,6999996,1,"HELA"
"ERR196180","18__6950781__6999996","18",6950781,6999996,1,"HELA"
"ERR196180","18__6955352__6999996","18",6955352,6999996,2,"HELA"
"ERR196180","18__6956635__6999996","18",6956635,6999996,2,"HELA"
"ERR196180","18__6999444__7046366","18",6999444,7046366,1,"HELA"
"ERR196180","12__7050537__7079443","12",7050537,7079443,1,"HELA"
"ERR196180","19__7963546__8032674","19",7963546,8032674,1,"HELA"
"ERR196180","12__8023437__8077107","12",8023437,8077107,1,"HELA"
"ERR196180","17__8090493__8141947","17",8090493,8141947,1,"HELA"
"ERR196180","17__8135044__8198170","17",8135044,8198170,1,"HELA"
"ERR196180","11__8633584__8664673","11",8633584,8664673,2,"HELA"
"ERR196180","11__9115910__9187514","11",9115910,9187514,1,"HELA"
"ERR196180","12__9574414__9586011","12",9574414,9586011,1,"HELA"
"ERR196180","11__9761728__9774507","11",9761728,9774507,1,"HELA"
"ERR196180","19__10176255__10226261","19",10176255,10226261,1,"HELA"
"ERR196180","19__10163205__10229632","19",10163205,10229632,2,"HELA"
"ERR196180","19__10202746__10251865","19",10202746,10251865,1,"HELA"
"ERR196180","19__10244022__10270739","19",10244022,10270739,1,"HELA"
"ERR196180","18__10748469__10801426","18",10748469,10801426,1,"HELA"
"ERR196180","18__10759703__10801426","18",10759703,10801426,1,"HELA"
"ERR196180","18__10750089__10807272","18",10750089,10807272,1,"HELA"
"ERR196180","11__10785190__10828432","11",10785190,10828432,1,"HELA"
"ERR196180","1__11106948__11188609","1",11106948,11188609,1,"HELA"
"ERR196180","16__11928055__11991738","16",11928055,11991738,1,"HELA"
"ERR196180","19__12762967__12812486","19",12762967,12812486,2,"HELA"
"ERR196180","19__12763177__12812486","19",12763177,12812486,2,"HELA"
"ERR196180","19__12776166__12826352","19",12776166,12826352,1,"HELA"
"ERR196180","10__14944405__14977563","10",14944405,14977563,1,"HELA"
"ERR196180","19__15483662__15538344","19",15483662,15538344,1,"HELA"
"ERR196180","16__15917112__15967484","16",15917112,15967484,1,"HELA"
"ERR196180","17__18111533__18152197","17",18111533,18152197,1,"HELA"
"ERR196180","17__18180989__18251754","17",18180989,18251754,1,"HELA"
"ERR196180","11__18270150__18308257","11",18270150,18308257,1,"HELA"
"ERR196180","19__19049778__19101958","19",19049778,19101958,1,"HELA"
"ERR196180","19__19258507__19312850","19",19258507,19312850,1,"HELA"
"ERR196180","1__19431079__19484491","1",19431079,19484491,1,"HELA"
"ERR196180","1__19505545__19568967","1",19505545,19568967,1,"HELA"
"ERR196180","1__19547258__19568967","1",19547258,19568967,1,"HELA"
"ERR196180","14__20767457__20811570","14",20767457,20811570,1,"HELA"
"ERR196180","14__21819631__21868490","14",21819631,21868490,1,"HELA"
"ERR196180","1__22030755__22079612","1",22030755,22079612,1,"HELA"
"ERR196180","15__23259256__23312308","15",23259256,23312308,1,"HELA"
"ERR196180","14__23311619__23375577","14",23311619,23375577,1,"HELA"
"ERR196180","14__23469166__23521818","14",23469166,23521818,1,"HELA"
"ERR196180","17__26880406__26905546","17",26880406,26905546,1,"HELA"
"ERR196180","17__26961535__26962627","17",26961535,26962627,1,"HELA"
"ERR196180","17__27185392__27277289","17",27185392,27277289,1,"HELA"
"ERR196180","1__28282195__28339805","1",28282195,28339805,1,"HELA"
"ERR196180","15__28389819__28424369","15",28389819,28424369,1,"HELA"
"ERR196180","15__28419541__28460948","15",28419541,28460948,1,"HELA"
"ERR196180","16__28735643__28834879","16",28735643,28834879,1,"HELA"
"ERR196180","1__28862774__28905057","1",28862774,28905057,1,"HELA"
"ERR196180","10__28899628__28912041","10",28899628,28912041,1,"HELA"
"ERR196180","16__28844760__28943933","16",28844760,28943933,1,"HELA"
"ERR196180","10__28899628__28970474","10",28899628,28970474,1,"HELA"
"ERR196180","16__29496440__29565809","16",29496440,29565809,1,"HELA"
"ERR196180","12__30834593__30843511","12",30834593,30843511,1,"HELA"
"ERR196180","1__31732415__31762266","1",31732415,31762266,1,"HELA"
"ERR196180","13__33247353__33316865","13",33247353,33316865,1,"HELA"
"ERR196180","17__34853450__34888511","17",34853450,34888511,1,"HELA"
"ERR196180","1__35857813__35908629","1",35857813,35908629,1,"HELA"
"ERR196180","1__35899091__35940507","1",35899091,35940507,1,"HELA"
"ERR196180","19__36122233__36135773","19",36122233,36135773,1,"HELA"
