"sample","index","chr","start","end","count","cell"
"ERR514997","16__354304__364683","16",354304,364683,1,"HELA"
"ERR514997","16__8862050__8862830","16",8862050,8862830,3,"HELA"
"ERR514997","19__8994142__9005731","19",8994142,9005731,3,"HELA"
"ERR514997","19__9007487__9009712","19",9007487,9009712,1,"HELA"
"ERR514997","19__10274002__10288043","19",10274002,10288043,5,"HELA"
"ERR514997","3__13670664__13671445","3",13670664,13671445,4,"HELA"
"ERR514997","19__18252692__18258434","19",18252692,18258434,3,"HELA"
"ERR514997","18__19112434__19112621","18",19112434,19112621,5,"HELA"
"ERR514997","19__19451655__19452216","19",19451655,19452216,3,"HELA"
"ERR514997","17__20107646__20109225","17",20107646,20109225,3,"HELA"
"ERR514997","1__22169263__22179325","1",22169263,22179325,1,"HELA"
"ERR514997","7__23650790__23651172","7",23650790,23651172,1,"HELA"
"ERR514997","12__28458582__28460682","12",28458582,28460682,2,"HELA"
"ERR514997","18__29453393__29489723","18",29453393,29489723,3,"HELA"
"ERR514997","8__30565589__30569605","8",30565589,30569605,4,"HELA"
"ERR514997","8__30941215__30942762","8",30941215,30942762,1,"HELA"
"ERR514997","12__31648744__31652605","12",31648744,31652605,1,"HELA"
"ERR514997","19__41112310__41117300","19",41112310,41117300,4,"HELA"
"ERR514997","6__42571326__42574389","6",42571326,42574389,4,"HELA"
"ERR514997","21__45165960__45168961","21",45165960,45168961,8,"HELA"
"ERR514997","6__45290616__45333038","6",45290616,45333038,5,"HELA"
"ERR514997","17__48271491__48272189","17",48271491,48272189,1,"HELA"
"ERR514997","12__51402259__51404549","12",51402259,51404549,1,"HELA"
"ERR514997","10__51761756__51764480","10",51761756,51764480,1,"HELA"
"ERR514997","11__62638217__62639141","11",62638217,62639141,10,"HELA"
"ERR514997","1__62908830__62911100","1",62908830,62911100,1,"HELA"
"ERR514997","15__63824846__63855207","15",63824846,63855207,12,"HELA"
"ERR514997","11__65960957__65984246","11",65960957,65984246,7,"HELA"
"ERR514997","14__67812485__67814170","14",67812485,67814170,3,"HELA"
"ERR514997","12__69644909__69656342","12",69644909,69656342,3,"HELA"
"ERR514997","10__69748420__69773943","10",69748420,69773943,3,"HELA"
"ERR514997","16__70044654__70052000","16",70044654,70052000,3,"HELA"
"ERR514997","16__70497072__70497677","16",70497072,70497677,7,"HELA"
"ERR514997","12__70671912__70704797","12",70671912,70704797,5,"HELA"
"ERR514997","15__73995113__73996338","15",73995113,73996338,1,"HELA"
"ERR514997","X__74332721__74334669","X",74332721,74334669,2,"HELA"
"ERR514997","8__74717886__74722864","8",74717886,74722864,2,"HELA"
"ERR514997","4__75316097__75484724","4",75316097,75484724,1,"HELA"
"ERR514997","11__76670023__76709865","11",76670023,76709865,1,"HELA"
"ERR514997","4__83978411__83978561","4",83978411,83978561,3,"HELA"
"ERR514997","16__85701746__85704704","16",85701746,85704704,1,"HELA"
"ERR514997","16__88052034__88071617","16",88052034,88071617,2,"HELA"
"ERR514997","16__89371614__89371752","16",89371614,89371752,1,"HELA"
"ERR514997","2__96565573__96570700","2",96565573,96570700,5,"HELA"
"ERR514997","2__97845598__97858623","2",97845598,97858623,3,"HELA"
"ERR514997","2__97862330__97866262","2",97862330,97866262,2,"HELA"
"ERR514997","2__97808500__97867967","2",97808500,97867967,4,"HELA"
"ERR514997","2__97866071__97869833","2",97866071,97869833,6,"HELA"
"ERR514997","2__98154631__98175457","2",98154631,98175457,7,"HELA"
"ERR514997","2__98173400__98175457","2",98173400,98175457,3,"HELA"
"ERR514997","10__105106995__105107207","10",105106995,105107207,6,"HELA"
"ERR514997","X__107821182__107821613","X",107821182,107821613,4,"HELA"
