"index","chr","start","end","count"
"17__169211__177370","17",169211,177370,24
"16__339440__364683","16",339440,364683,2
"11__403078__404135","11",403078,404135,3
"5__453485__459574","5",453485,459574,1
"10__410314__468973","10",410314,468973,1
"16__532525__546859","16",532525,546859,2
"6__553854__564929","6",553854,564929,3
"19__579500__582582","19",579500,582582,1
"5__619105__620376","5",619105,620376,7
"5__619105__624694","5",619105,624694,15
"5__633884__635699","5",633884,635699,1
"18__683246__706578","18",683246,706578,1
"7__794226__803611","7",794226,803611,1
"7__794226__810255","7",794226,810255,2
"7__780984__814799","7",780984,814799,2
"7__810108__814799","7",810108,814799,1
"19__932418__968503","19",932418,968503,5
"19__964833__968503","19",964833,968503,1
"1__957581__970704","1",957581,970704,1
"1__981344__989931","1",981344,989931,12
"17__953290__1003975","17",953290,1003975,1
"7__1026743__1027167","7",1026743,1027167,11
"19__1032391__1036561","19",1032391,1036561,20
"19__1090907__1093902","19",1090907,1093902,16
"19__1090907__1094077","19",1090907,1094077,1
"12__1136914__1137738","12",1136914,1137738,6
"10__1118056__1142186","10",1118056,1142186,1
"10__1118056__1151207","10",1118056,1151207,1
"10__1149542__1151207","10",1149542,1151207,11
"19__1147308__1154401","19",1147308,1154401,2
"1__1229782__1233313","1",1229782,1233313,1
"11__1307232__1317024","11",1307232,1317024,2
"11__1309854__1317024","11",1309854,1317024,1
"5__1320731__1339120","5",1320731,1339120,1
"5__1321879__1339120","5",1321879,1339120,2
"5__1325866__1339120","5",1325866,1339120,1
"17__1380799__1382999","17",1380799,1382999,1
"17__1382725__1387597","17",1382725,1387597,1
"16__1503835__1506207","16",1503835,1506207,1
"7__1518362__1519320","7",1518362,1519320,40
"7__1527396__1532742","7",1527396,1532742,2
"7__1520471__1535189","7",1520471,1535189,1
"17__1561820__1584348","17",1561820,1584348,3
"17__1584020__1584984","17",1584020,1584984,4
"17__1648469__1656084","17",1648469,1656084,9
"17__1690104__1690898","17",1690104,1690898,1
"4__1732614__1737561","4",1732614,1737561,6
"4__1732618__1737565","4",1732618,1737565,1
"1__1737914__1770677","1",1737914,1770677,4
"17__1746097__1779087","17",1746097,1779087,2
"17__1746097__1782355","17",1746097,1782355,5
"11__1780199__1782698","11",1780199,1782698,40
"17__1747872__1782993","17",1747872,1782993,8
"17__1746097__1798389","17",1746097,1798389,1
"4__1801474__1804791","4",1801474,1804791,1
"4__1902353__1902978","4",1902353,1902978,1
"9__2028987__2039900","9",2028987,2039900,2
"16__2106197__2108874","16",2106197,2108874,13
"16__2105403__2127727","16",2105403,2127727,7
"19__2127151__2137090","19",2127151,2137090,2
"19__2130407__2137090","19",2130407,2137090,1
"19__2129089__2137806","19",2129089,2137806,1
"19__2193688__2214595","19",2193688,2214595,1
"19__2213538__2214595","19",2213538,2214595,1
"1__2234724__2236024","1",2234724,2236024,1
"7__2188787__2270359","7",2188787,2270359,3
"1__2339891__2340297","1",2339891,2340297,2
"7__2404007__2409317","7",2404007,2409317,3
"1__2441301__2452754","1",2441301,2452754,1
"17__2573457__2579900","17",2573457,2579900,6
"17__2597774__2598820","17",2597774,2598820,5
"16__2616357__2633586","16",2616357,2633586,1
"16__2666601__2683837","16",2666601,2683837,2
"6__2779497__2783795","6",2779497,2783795,5
"Y__2829115__2829687","Y",2829115,2829687,12
"16__2867802__2868970","16",2867802,2868970,1
"X__2867345__2873578","X",2867345,2873578,1
"18__2925222__2960847","18",2925222,2960847,1
"12__2973486__2975687","12",2973486,2975687,1
"6__3006702__3015877","6",3006702,3015877,1
"6__3010259__3017219","6",3010259,3017219,1
"10__3147585__3161061","10",3147585,3161061,1
"4__3142237__3201666","4",3142237,3201666,1
"4__3117031__3209084","4",3117031,3209084,1
"2__3196185__3218019","2",3196185,3218019,4
"20__3262287__3268436","20",3262287,3268436,1
"9__3301546__3395596","9",3301546,3395596,2
"20__3545995__3559419","20",3545995,3559419,3
"19__3623686__3624160","19",3623686,3624160,4
"19__3660964__3664912","19",3660964,3664912,6
"16__3706103__3707342","16",3706103,3707342,13
"16__3706103__3707817","16",3706103,3707817,4
"16__3724340__3726146","16",3724340,3726146,1
"16__3721723__3739138","16",3721723,3739138,1
"19__3751187__3751551","19",3751187,3751551,50
"11__3752621__3756554","11",3752621,3756554,2
"17__3772781__3783728","17",3772781,3783728,4
"17__3783640__3789024","17",3783640,3789024,2
"11__3765739__3789974","11",3765739,3789974,2
"11__3774546__3789974","11",3774546,3789974,2
"11__3784132__3797251","11",3784132,3797251,2
"16__3801727__3820987","16",3801727,3820987,1
"20__3835205__3838456","20",3835205,3838456,6
"20__3841979__3843060","20",3841979,3843060,4
"16__3843387__3901010","16",3843387,3901010,1
"16__3860604__3901010","16",3860604,3901010,1
"17__3984670__3989949","17",3984670,3989949,3
"17__3988964__3989949","17",3988964,3989949,1
"17__4072492__4145743","17",4072492,4145743,1
"17__4192525__4200109","17",4192525,4200109,1
"16__4310456__4312702","16",4310456,4312702,2
"19__4405909__4409756","19",4405909,4409756,1
"3__4458812__4461830","3",4458812,4461830,1
"17__4539054__4540553","17",4539054,4540553,15
"16__4861171__4862249","16",4861171,4862249,7
"16__4861624__4882913","16",4861624,4882913,1
"19__5032877__5041262","19",5032877,5041262,2
"19__5039847__5041262","19",5039847,5041262,1
"16__5077136__5078186","16",5077136,5078186,1
"20__5100224__5100560","20",5100224,5100560,2
"17__5302872__5317454","17",5302872,5317454,1
"17__5314023__5320002","17",5314023,5320002,1
"7__5327440__5331452","7",5327440,5331452,1
"7__5327437__5334565","7",5327437,5334565,1
"17__5364259__5367009","17",5364259,5367009,1
"6__5368783__5369415","6",5368783,5369415,1
"7__5567635__5569294","7",5567635,5569294,1
"19__5653126__5654467","19",5653126,5654467,1
"10__5827105__5842668","10",5827105,5842668,1
"10__5950888__5951257","10",5950888,5951257,2
"1__6007164__6012896","1",6007164,6012896,6
"1__6021854__6029319","1",6021854,6029319,1
"1__6021854__6038473","1",6021854,6038473,1
"7__6082564__6089676","7",6082564,6089676,28
"7__6178723__6185879","7",6178723,6185879,2
"18__6138193__6312055","18",6138193,6312055,4
"7__6465619__6476164","7",6465619,6476164,1
"9__6460573__6493932","9",6460573,6493932,2
"11__6541195__6550351","11",6541195,6550351,3
"1__6589054__6601987","1",6589054,6601987,7
"11__6625456__6629441","11",6625456,6629441,2
"12__6646086__6647162","12",6646086,6647162,1
"19__6696390__6702590","19",6696390,6702590,20
"19__6702138__6711207","19",6702138,6711207,2
"19__6710998__6712417","19",6710998,6712417,7
"19__6682153__6712634","19",6682153,6712634,1
"7__6736970__6744854","7",6736970,6744854,4
"5__6748577__6750616","5",6748577,6750616,10
"7__6852607__6862991","7",6852607,6862991,1
"18__7024379__7036087","18",7024379,7036087,1
"18__7015721__7042249","18",7015721,7042249,2
"12__7088633__7092700","12",7088633,7092700,6
"12__7090756__7092700","12",7090756,7092700,23
"19__7163043__7170762","19",7163043,7170762,1
"6__7176888__7211942","6",7176888,7211942,1
"17__7224431__7226185","17",7224431,7226185,3
"12__7343484__7360676","12",7343484,7360676,2
"17__7402358__7405048","17",7402358,7405048,2
"10__7318854__7409851","10",7318854,7409851,2
"10__7409611__7412337","10",7409611,7412337,1
"19__7589847__7591812","19",7589847,7591812,1
"19__7607447__7619609","19",7607447,7619609,5
"19__7670112__7676472","19",7670112,7676472,1
"19__7685732__7687547","19",7685732,7687547,7
"10__7839010__7844817","10",7839010,7844817,2
"4__7776466__7873807","4",7776466,7873807,1
"7__8062113__8099878","7",8062113,8099878,5
"17__8137773__8139660","17",8137773,8139660,1
"12__8192415__8192761","12",8192415,8192761,8
"4__8217838__8218894","4",8217838,8218894,2
"18__8296366__8380425","18",8296366,8380425,3
"1__8525985__8568734","1",8525985,8568734,1
"1__8425872__8601377","1",8425872,8601377,9
"1__8601273__8617582","1",8601273,8617582,1
"1__8555123__8684439","1",8555123,8684439,4
"11__8728632__8734282","11",8728632,8734282,7
"16__8729025__8738582","16",8729025,8738582,2
"16__8851614__8860127","16",8851614,8860127,18
"12__8902458__8906689","12",8902458,8906689,2
"2__8910800__8917022","2",8910800,8917022,1
"1__8922946__8925541","1",8922946,8925541,3
"1__8923294__8928116","1",8923294,8928116,1
"3__8932073__8955404","3",8932073,8955404,21
"19__8966650__8973616","19",8966650,8973616,6
"19__8973549__8987334","19",8973549,8987334,17
"19__8976581__8987334","19",8976581,8987334,5
"19__9003293__9027281","19",9003293,9027281,1
"19__9024134__9028396","19",9024134,9028396,21
"19__9024134__9038415","19",9024134,9038415,7
"18__9182380__9221997","18",9182380,9221997,2
"11__9215041__9229179","11",9215041,9229179,1
"12__9241796__9243078","12",9241796,9243078,1
"12__9246061__9262930","12",9246061,9262930,1
"12__9242498__9265132","12",9242498,9265132,2
