"index","count"
"1__100459093__100464971",1
"1__100524222__100527505",1
"1__100588766__100591498",1
"1__101458193__101479374",1
"1__10155519__10182134",1
"1__10207021__10221344",1
"1__10209242__10221344",1
"1__10331560__10335561",1
"1__10493899__10502498",1
"1__108690901__108703915",2
"1__109295685__109319045",1
"1__109427897__109446876",1
"1__109773500__109774408",1
"1__111690264__111703918",3
"1__113119608__113153625",1
"1__113196220__113202401",2
"1__113196220__113209767",1
"1__113459800__113460666",2
"1__114280732__114281421",1
"1__115005726__115007010",1
"1__115262200__115263338",2
"1__115262200__115280693",1
"1__1158624__1159348",9
"1__116202262__116206889",1
"1__117944808__117948267",3
"1__117944808__117957453",12
"1__117944808__117963271",19
"1__117944808__117984947",22
"1__1191425__1203372",1
"1__1192372__1192690",1
"1__12335882__12338095",1
"1__12378129__12382021",1
"1__1273357__1278138",1
"1__14057495__14068652",1
"1__14104913__14109326",1
"1__144148790__144621656",2
"1__144618082__144813844",1
"1__144909869__144923821",1
"1__1451392__1464711",1
"1__145295423__145299939",5
"1__145298155__145303982",3
"1__145323654__145366999",10
"1__145328375__145366999",3
"1__145362097__145366230",4
"1__145608108__145609356",1
"1__146399555__146411098",2
"1__146403655__146408167",1
"1__146406390__146412208",1
"1__146747017__146757164",1
"1__146757975__146759412",1
"1__148005403__148015797",1
"1__148340238__148343808",1
"1__148340238__148344742",2
"1__150413399__150418877",1
"1__150416727__150432793",4
"1__150464887__150469384",1
"1__150921598__150923957",1
"1__150990288__150998149",1
"1__150999709__151001420",2
"1__151060666__151079698",1
"1__151196721__151205179",2
"1__151199796__151209239",1
"1__151288049__151288985",1
"1__151413404__151414681",1
"1__151611364__151641111",1
"1__151611364__151655921",1
"1__151630711__151630903",1
"1__152305059__152313686",2
"1__15361245__15370655",1
"1__153635691__153636950",1
"1__154142876__154145677",1
"1__154197560__154224129",1
"1__154221715__154224129",1
"1__154223517__154224129",5
"1__155316174__155322649",1
"1__155340295__155340774",1
"1__155385535__155385714",1
"1__155385535__155408859",1
"1__155408118__155408859",6
"1__155447677__155491409",2
"1__155490891__155491409",1
"1__155644801__155649303",7
"1__155644801__155650247",1
"1__155646339__155649303",1
"1__155679564__155695810",1
"1__155695173__155695810",2
"1__155731981__155736500",1
"1__155734791__155736500",2
"1__155737216__155747611",1
"1__155740858__155743001",1
"1__155753777__155764942",1
"1__155764841__155791339",1
"1__155774740__155796819",1
"1__155823067__155823597",1
"1__155899087__155899631",1
"1__155984752__155988159",4
"1__156169626__156170263",1
"1__156290630__156304709",1
"1__156303338__156304709",5
"1__15862970__15863309",2
"1__1599766__1608285",1
"1__160201087__160210160",1
"1__160206925__160210160",2
"1__160281658__160282957",1
"1__160293221__160302347",3
"1__160318789__160320040",1
"1__16044388__16047883",1
"1__161130410__161133409",3
"1__161722158__161723051",1
"1__161816239__161833102",1
"1__16199311__16203173",4
"1__16235816__16237796",1
"1__16237596__16242774",1
"1__16263658__16264501",1
"1__165859441__165860559",2
