"index","count"
"1__100459093__100464971",1
"1__10493899__10502498",1
"1__109773500__109774408",4
"1__113196220__113202401",7
"1__113459800__113460666",3
"1__115005726__115007010",4
"1__116202262__116206889",3
"1__117944808__117948267",18
"1__117944808__117957453",22
"1__117944808__117963271",48
"1__117944808__117984947",7
"1__1191425__1203372",2
"1__1192372__1192690",12
"1__12335882__12338095",2
"1__1273357__1278138",3
"1__14057495__14068652",4
"1__145298155__145303982",2
"1__145323654__145366999",2
"1__145362097__145366230",6
"1__146406390__146412208",1
"1__146747017__146757164",11
"1__146757975__146759412",6
"1__148340238__148344742",2
"1__150464887__150469384",17
"1__150999709__151001420",3
"1__151060666__151079698",7
"1__151196721__151205179",5
"1__151288049__151288985",5
"1__151413404__151414681",4
"1__151611364__151655921",1
"1__152305059__152313686",6
"1__153635691__153636950",2
"1__154221715__154224129",1
"1__154223517__154224129",13
"1__155385535__155385714",3
"1__155385535__155408859",1
"1__155408118__155408859",65
"1__155490891__155491409",1
"1__155644801__155649303",12
"1__155646339__155649303",5
"1__155695173__155695810",8
"1__155734791__155736500",3
"1__155737216__155747611",1
"1__155740858__155743001",2
"1__155823067__155823597",8
"1__155899087__155899631",5
"1__155984752__155988159",6
"1__156303338__156304709",62
"1__1599766__1608285",3
"1__160201087__160210160",1
"1__160206925__160210160",2
"1__160281658__160282957",2
"1__160293221__160302347",3
"1__160318789__160320040",3
"1__16044388__16047883",11
"1__161816239__161833102",1
"1__16199311__16203173",26
"1__16237596__16242774",2
"1__165859441__165860559",5
"1__165859441__165865569",6
"1__16632298__16641930",5
"1__1666129__1671143",5
"1__167935867__167944253",6
"1__168073715__168074132",1
"1__16907915__16913756",6
"1__169199956__169256646",3
"1__169292355__169293738",2
"1__171537386__171544267",10
"1__1720492__1770677",3
"1__172520652__172526934",1
"1__172525009__172526934",2
"1__1735858__1756938",10
"1__1737914__1770677",3
"1__173807328__173810111",2
"1__176118142__176145143",6
"1__179089325__179091002",1
"1__180366651__180382606",6
"1__180772524__180780624",2
"1__180793889__180794480",9
"1__180953813__180962561",26
"1__183083666__183084772",8
"1__185056684__185062408",1
"1__185183639__185200840",7
"1__185269569__185274775",1
"1__197564338__197627499",3
"1__197611841__197684204",1
"1__197621365__197684204",4
"1__200729967__200784772",2
"1__201816407__201817722",3
"1__204082043__204083733",8
"1__205585606__205593019",21
"1__205693054__205698749",9
"1__206574780__206579933",1
"1__21083659__21107033",1
"1__211952260__211966532",14
"1__211956571__211966532",1
"1__212179981__212194554",6
"1__212218002__212220759",6
"1__21231376__21268823",1
"1__21295967__21307720",54
"1__21295967__21329301",24
"1__21295967__21377487",3
"1__213037067__213058738",4
"1__21306827__21377487",1
"1__21329206__21377487",2
"1__21329206__21415706",6
"1__21329206__21437876",28
"1__213302870__213349835",8
"1__21377359__21415706",75
"1__21377359__21437876",78
