"index","chr","start","end","count"
"18__116842__118504","18",116842,118504,1
"16__138697__143323","16",138697,143323,1
"16__148143__150507","16",148143,150507,2
"18__192842__199316","18",192842,199316,1
"10__225934__255988","10",225934,255988,2
"16__256003__258187","16",256003,258187,1
"10__225934__267296","10",225934,267296,3
"10__255829__267296","10",255829,267296,1
"10__225934__295028","10",225934,295028,2
"19__311845__313643","19",311845,313643,1
"16__299548__313774","16",299548,313774,1
"16__313699__313774","16",313699,313774,1
"16__396148__397106","16",396148,397106,3
"12__459787__461490","12",459787,461490,3
"12__459787__475270","12",459787,475270,1
"12__472129__475270","12",472129,475270,1
"12__520913__527802","12",520913,527802,1
"10__518379__532470","10",518379,532470,2
"11__533766__533944","11",533766,533944,1
"19__535837__535923","19",535837,535923,1
"16__532525__539000","16",532525,539000,1
"12__520913__547720","12",520913,547720,1
"12__537935__547720","12",537935,547720,1
"19__580646__580782","19",580646,580782,1
"17__600658__613853","17",600658,613853,1
"19__617777__617849","19",617777,617849,1
"19__648882__650296","19",648882,650296,1
"11__653962__654051","11",653962,654051,1
"11__678694__681089","11",678694,681089,1
"11__678694__691598","11",678694,691598,1
"18__685921__694334","18",685921,694334,1
"18__694248__694334","18",694248,694334,1
"16__709086__712331","16",709086,712331,1
"16__722084__722566","16",722084,722566,1
"17__722679__729318","17",722679,729318,2
"17__725597__729318","17",725597,729318,1
"19__726138__736078","19",726138,736078,1
"18__732834__756835","18",732834,756835,1
"11__758950__759057","11",758950,759057,1
"16__772084__772134","16",772084,772134,1
"19__804829__804939","19",804829,804939,1
"19__810543__810620","19",810543,810620,3
"11__811681__811814","11",811681,811814,12
"19__814692__814749","19",814692,814749,1
"11__836063__836153","11",836063,836153,1
"11__842414__842529","11",842414,842529,1
"1__871152__874792","1",871152,874792,1
"10__875325__890995","10",875325,890995,2
"10__882343__890995","10",882343,890995,3
"10__888872__890995","10",888872,890995,1
"19__879937__891149","19",879937,891149,1
"11__883148__893519","11",883148,893519,1
"17__902019__902824","17",902019,902824,1
"10__909683__910210","10",909683,910210,6
"10__909683__931700","10",909683,931700,5
"19__966572__968503","19",966572,968503,1
"11__992503__994245","11",992503,994245,2
"17__986760__1003975","17",986760,1003975,1
"12__1003728__1006847","12",1003728,1006847,1
"10__1046617__1046808","10",1046617,1046808,1
"10__1041869__1053068","10",1041869,1053068,1
"10__1044943__1053068","10",1044943,1053068,1
"10__1051758__1053068","10",1051758,1053068,1
"10__1055469__1056460","10",1055469,1056460,2
"10__1061693__1061836","10",1061693,1061836,1
"19__1089883__1089961","19",1089883,1089961,1
"10__1118056__1126416","10",1118056,1126416,3
"10__1118056__1132297","10",1118056,1132297,1
"12__1136914__1137738","12",1136914,1137738,7
"10__1118056__1142186","10",1118056,1142186,2
"10__1130343__1142186","10",1130343,1142186,3
"10__1118056__1151207","10",1118056,1151207,1
"10__1130343__1151207","10",1130343,1151207,3
"19__1147308__1154401","19",1147308,1154401,1
"10__1130343__1170292","10",1130343,1170292,1
"10__1130343__1170964","10",1130343,1170964,1
"1__1192372__1192690","1",1192372,1192690,2
"1__1191425__1203372","1",1191425,1203372,1
"1__1192372__1203372","1",1192372,1203372,2
"1__1230827__1230934","1",1230827,1230934,1
"1__1250204__1250342","1",1250204,1250342,1
"11__1307232__1311639","11",1307232,1311639,1
"11__1309854__1311639","11",1309854,1311639,1
"11__1307232__1317024","11",1307232,1317024,2
"17__1339914__1340449","17",1339914,1340449,1
"12__1136914__1346070","12",1136914,1346070,1
"16__1364021__1364097","16",1364021,1364097,2
"16__1364021__1364377","16",1364021,1364377,1
"19__1356323__1373159","19",1356323,1373159,1
"19__1218416__1407801","19",1218416,1407801,1
"17__1410274__1410383","17",1410274,1410383,1
"1__1391605__1421615","1",1391605,1421615,3
"19__1418203__1422395","19",1418203,1422395,1
"1__1397980__1425804","1",1397980,1425804,2
"19__1425877__1425959","19",1425877,1425959,1
"1__1424584__1426051","1",1424584,1426051,2
"17__1437393__1442246","17",1437393,1442246,1
"17__1437393__1451681","17",1437393,1451681,1
"16__1447179__1453345","16",1447179,1453345,1
"17__1442163__1456443","17",1442163,1456443,1
"17__1451590__1456443","17",1451590,1456443,1
"17__1559686__1560055","17",1559686,1560055,1
"16__1621408__1630851","16",1621408,1630851,1
"1__1571695__1634708","1",1571695,1634708,1
"1__1586823__1650894","1",1586823,1650894,13
"1__1590375__1654270","1",1590375,1654270,5
"16__1607936__1657298","16",1607936,1657298,1
"16__1675974__1682366","16",1675974,1682366,2
"1__1735858__1747301","1",1735858,1747301,1
"16__1735440__1747861","16",1735440,1747861,1
"17__1746097__1747980","17",1746097,1747980,4
"17__1747214__1756483","17",1747214,1756483,3
"1__1747195__1756938","1",1747195,1756938,6
"1__1747195__1770677","1",1747195,1770677,7
"1__1756836__1770677","1",1756836,1770677,1
"17__1746097__1780608","17",1746097,1780608,2
"12__1887020__1893239","12",1887020,1893239,2
"19__1979162__1979247","19",1979162,1979247,1
"16__2015185__2015311","16",2015185,2015311,1
"16__2100401__2105520","16",2100401,2105520,1
"16__2106197__2108874","16",2106197,2108874,1
"16__2120457__2124390","16",2120457,2124390,2
"16__2136194__2137942","16",2136194,2137942,1
"19__2137010__2138713","19",2137010,2138713,1
"17__2186919__2187029","17",2186919,2187029,1
"19__2180712__2194576","19",2180712,2194576,1
"16__2203147__2203223","16",2203147,2203223,1
"16__2220615__2220731","16",2220615,2220731,1
"16__2225302__2225418","16",2225302,2225418,1
"12__2224390__2229596","12",2224390,2229596,5
"19__2233997__2234239","19",2233997,2234239,1
"16__2296860__2296987","16",2296860,2296987,1
"16__2312279__2314761","16",2312279,2314761,1
"16__2378454__2379855","16",2378454,2379855,1
"19__2438161__2438529","19",2438161,2438529,1
"19__2438161__2444538","19",2438161,2444538,1
"19__2477027__2477249","19",2477027,2477249,1
"16__2498856__2499916","16",2498856,2499916,1
"16__2498856__2505565","16",2498856,2505565,1
"18__2552694__2555037","18",2552694,2555037,1
"16__2607704__2616454","16",2607704,2616454,1
"18__2718156__2718432","18",2718156,2718432,1
"19__2765184__2765283","19",2765184,2765283,1
"19__2762504__2769089","19",2762504,2769089,1
"18__2771531__2784619","18",2771531,2784619,1
"19__2805014__2805174","19",2805014,2805174,2
"19__2790419__2811732","19",2790419,2811732,1
"16__2821995__2822103","16",2821995,2822103,2
"16__2821995__2825557","16",2821995,2825557,1
"18__2890559__2892484","18",2890559,2892484,1
"12__2906304__2906448","12",2906304,2906448,1
"12__2907872__2907992","12",2907872,2907992,5
"12__2908254__2908410","12",2908254,2908410,1
"19__2851466__2915646","19",2851466,2915646,1
"12__2931960__2940026","12",2931960,2940026,1
"12__2929252__2950161","12",2929252,2950161,1
"11__2991033__2993473","11",2991033,2993473,1
"11__2972489__2999572","11",2972489,2999572,5
"11__2972489__3000467","11",2972489,3000467,1
"12__3029929__3031568","12",3029929,3031568,1
"16__3076252__3076414","16",3076252,3076414,2
"10__3160974__3162236","10",3160974,3162236,2
"10__3201106__3202522","10",3201106,3202522,2
"19__3205937__3206423","19",3205937,3206423,1
"19__3196181__3207249","19",3196181,3207249,1
"19__3381710__3382241","19",3381710,3382241,1
"19__3425104__3435205","19",3425104,3435205,1
"17__3483751__3495677","17",3483751,3495677,1
"19__3623686__3624160","19",3623686,3624160,4
"19__3660964__3661999","19",3660964,3661999,12
"1__3656797__3662745","1",3656797,3662745,3
"1__3698076__3701767","1",3698076,3701767,1
