"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:865535|866469","chr1",865535,866469,1,"1_1_0",64,0.03,"exon","ENSG00000187634,","+","SRR2048277.5336744,","1__865535__866469",1
"chr1:891303|892653","chr1",891303,892653,2,"2_2_0",25,0.138,"exon","ENSG00000188976,","-","SRR2048278.9746112,SRR2048278.17670751,","1__891303__892653",2
"chr1:1191425|1203372","chr1",1191425,1203372,5,"1_3_1",125,0.074,"exon","ENSG00000160087,","-","SRR2048277.3283747,SRR2048277.4016102,SRR2048277.13231512,SRR2048278.4921385,SRR2048278.11377363,","1__1191425__1203372",5
"chr1:1192372|1192690","chr1",1192372,1192690,10,"5_7_0",118,0.145,"exon","ENSG00000160087,","-","SRR2048277.2813524,SRR2048278.4465368,SRR2048278.12640305,SRR2048278.16039328,SRR2048277.8676128,SRR2048277.14277048,SRR2048277.15863240,SRR2048278.2314613,SRR2048278.14343652,SRR2048278.16492328,","1__1192372__1192690",10
"chr1:1197550|1198766","chr1",1197550,1198766,2,"2_0_1",74,0.051,"exon","ENSG00000160087,","-","SRR2048278.960405,SRR2048277.14944683,","1__1197550__1198766",2
"chr1:1198726|1203372","chr1",1198726,1203372,2,"1_2_1",107,0.036,"exon","ENSG00000160087,","-","SRR2048277.10761354,SRR2048278.5880363,","1__1198726__1203372",2
"chr1:1322615|1326245","chr1",1322615,1326245,5,"2_2_0",83,0.108,"exon","ENSG00000221978,","-","SRR2048278.1484120,SRR2048278.6675916,SRR2048278.18207581,SRR2048277.701023,SRR2048278.13704356,","1__1322615__1326245",5
"chr1:1424584|1426051","chr1",1424584,1426051,1,"1_1_0",80,0.024,"exon","ENSG00000160072,","+","SRR2048277.4135189,","1__1424584__1426051",1
"chr1:1496712|1500296","chr1",1496712,1500296,1,"1_1_0",275,0.007,"intron","ENSG00000160075,","-","SRR2048278.7699030,","1__1496712__1500296",1
"chr1:1599766|1601590","chr1",1599766,1601590,5,"2_0_5",48,0.172,"exon","ENSG00000189339,","-","SRR2048277.6514762,SRR2048278.13553961,SRR2048277.15550271,SRR2048278.12979302,SRR2048278.15850340,","1__1599766__1601590",5
"chr1:1599766|1671143","chr1",1599766,1671143,19,"6_13_0",30,0.559,"intergenic_region","n/a","-","SRR2048277.13674735,SRR2048278.2766694,SRR2048278.16342759,SRR2048278.17961107,SRR2048278.18169583,SRR2048277.405222,SRR2048277.2126653,SRR2048277.3919783,SRR2048277.9466071,SRR2048277.13262028,SRR2048277.14733974,SRR2048278.1022880,SRR2048278.3561460,SRR2048278.4308628,SRR2048278.5324812,SRR2048278.6099619,SRR2048278.10664154,SRR2048278.13966433,SRR2048278.17337998,","1__1599766__1671143",19
"chr1:1601103|1601590","chr1",1601103,1601590,1,"1_1_0",53,0.036,"exon","ENSG00000189339,","-","SRR2048278.18066731,","1__1601103__1601590",1
"chr1:1601537|1666274","chr1",1601537,1666274,2,"1_1_0",42,0.087,"intergenic_region","n/a","-","SRR2048278.8030650,SRR2048278.11743436,","1__1601537__1666274",2
