"index","chr","start","end","count"
"16__62902__113798","16",62902,113798,1
"18__163308__166819","18",163308,166819,1
"17__169211__171206","17",169211,171206,2
"18__196637__199316","18",196637,199316,1
"18__163308__213739","18",163308,213739,1
"16__223124__226810","16",223124,226810,1
"10__225934__267296","10",225934,267296,7
"19__325635__334542","19",325635,334542,1
"16__396148__397106","16",396148,397106,1
"10__412215__430086","10",412215,430086,1
"10__408430__430579","10",408430,430579,1
"12__459787__461490","12",459787,461490,1
"10__454866__518489","10",454866,518489,2
"17__526773__530556","17",526773,530556,1
"10__486811__532470","10",486811,532470,1
"10__518379__532470","10",518379,532470,1
"16__532525__539000","16",532525,539000,1
"16__521295__572481","16",521295,572481,1
"17__647661__651272","17",647661,651272,1
"18__662146__671451","18",662146,671451,1
"17__685406__685571","17",685406,685571,1
"16__722928__726896","16",722928,726896,1
"17__722679__729318","17",722679,729318,1
"16__679239__731603","16",679239,731603,1
"16__679239__733441","16",679239,733441,1
"18__743260__743415","18",743260,743415,1
"11__755879__760965","11",755879,760965,1
"16__732165__787889","16",732165,787889,1
"11__811681__811814","11",811681,811814,1
"11__836063__836153","11",836063,836153,1
"17__902019__902824","17",902019,902824,1
"17__915086__915225","17",915086,915225,1
"10__909683__931700","10",909683,931700,5
"17__953290__953874","17",953290,953874,1
"17__910405__960342","17",910405,960342,1
"12__987378__987527","12",987378,987527,1
"17__953290__995090","17",953290,995090,1
"17__986760__1003975","17",986760,1003975,1
"12__1003728__1006847","12",1003728,1006847,1
"19__1032391__1032695","19",1032391,1032695,8
"19__1041224__1090987","19",1041224,1090987,3
"10__1125951__1126416","10",1125951,1126416,4
"12__1136914__1137738","12",1136914,1137738,13
"10__1125951__1142186","10",1125951,1142186,1
"10__1130343__1151207","10",1130343,1151207,5
"10__1149542__1151207","10",1149542,1151207,2
"19__1147308__1154401","19",1147308,1154401,1
"10__1149542__1170964","10",1149542,1170964,1
"10__1170158__1170964","10",1170158,1170964,1
"1__1191425__1192510","1",1191425,1192510,1
"1__1192372__1192690","1",1192372,1192690,3
"12__1192330__1192746","12",1192330,1192746,1
"1__1226445__1226520","1",1226445,1226520,1
"12__1213916__1250953","12",1213916,1250953,2
"17__1264386__1265302","17",1264386,1265302,7
"1__1226634__1268186","1",1226634,1268186,1
"17__1257505__1268352","17",1257505,1268352,1
"19__1270927__1271035","19",1270927,1271035,1
"19__1271328__1271466","19",1271328,1271466,1
"12__1289706__1299218","12",1289706,1299218,1
"11__1307232__1317024","11",1307232,1317024,1
"16__1364021__1364097","16",1364021,1364097,1
"17__1383821__1384179","17",1383821,1384179,4
"19__1356323__1407801","19",1356323,1407801,2
"16__1411873__1411956","16",1411873,1411956,2
"16__1370175__1416396","16",1370175,1416396,1
"19__1418203__1418730","19",1418203,1418730,2
"16__1447179__1453345","16",1447179,1453345,1
"17__1437393__1456443","17",1437393,1456443,1
"17__1451590__1456443","17",1451590,1456443,1
"17__1437393__1461853","17",1437393,1461853,1
"17__1451590__1461853","17",1451590,1461853,2
"19__1510149__1510916","19",1510149,1510916,1
"1__1510355__1562379","1",1510355,1562379,1
"1__1601103__1601578","1",1601103,1601578,1
"19__1612206__1612432","19",1612206,1612432,1
"1__1572259__1635379","1",1572259,1635379,1
"16__1636131__1638025","16",1636131,1638025,1
"16__1675974__1682366","16",1675974,1682366,1
"16__1675974__1687908","16",1675974,1687908,1
"17__1703151__1704318","17",1703151,1704318,1
"16__1675974__1727909","16",1675974,1727909,1
"1__1735858__1737977","1",1735858,1737977,7
"1__1735858__1747301","1",1735858,1747301,1
"17__1747214__1747980","17",1747214,1747980,1
"17__1747214__1756483","17",1747214,1756483,2
"1__1735858__1756938","1",1735858,1756938,3
"1__1747195__1756938","1",1747195,1756938,8
"1__1735858__1770677","1",1735858,1770677,1
"1__1747195__1770677","1",1747195,1770677,1
"16__1793336__1798721","16",1793336,1798721,1
"1__1756836__1847174","1",1756836,1847174,1
"16__1840414__1873038","16",1840414,1873038,2
"16__1866894__1873038","16",1866894,1873038,1
"17__1985104__1989195","17",1985104,1989195,2
"19__1997343__2046467","19",1997343,2046467,1
"19__1993019__2051243","19",1993019,2051243,1
"16__2106645__2108874","16",2106645,2108874,1
"19__2111284__2111827","19",2111284,2111827,2
"19__2051095__2116745","19",2051095,2116745,1
"19__2076810__2116745","19",2076810,2116745,1
"17__2139786__2148013","17",2139786,2148013,1
"16__2103343__2152971","16",2103343,2152971,1
"16__2152815__2152971","16",2152815,2152971,1
"19__2185854__2191239","19",2185854,2191239,1
"16__2215880__2215937","16",2215880,2215937,2
"12__2224390__2229596","12",2224390,2229596,6
"1__2234417__2236024","1",2234417,2236024,2
"16__2229594__2264054","16",2229594,2264054,1
"19__2272734__2272819","19",2272734,2272819,1
"16__2264139__2314332","16",2264139,2314332,1
"17__2367502__2376958","17",2367502,2376958,2
"16__2489354__2493801","16",2489354,2493801,1
"16__2499829__2499916","16",2499829,2499916,1
"16__2503211__2555734","16",2503211,2555734,1
"17__2601190__2601884","17",2601190,2601884,2
"17__2598151__2603768","17",2598151,2603768,1
"16__2607704__2616454","16",2607704,2616454,1
"12__2595270__2622150","12",2595270,2622150,2
"18__2666156__2674144","18",2666156,2674144,2
"18__2694525__2700916","18",2694525,2700916,1
"16__2663961__2732801","16",2663961,2732801,2
"18__2738395__2739518","18",2738395,2739518,2
"19__2761458__2763755","19",2761458,2763755,1
"16__2821995__2822103","16",2821995,2822103,3
"16__2747907__2827128","16",2747907,2827128,1
"18__2802526__2892484","18",2802526,2892484,1
"18__2884962__2892484","18",2884962,2892484,2
"18__2890559__2892484","18",2890559,2892484,10
"12__2929252__2930958","12",2929252,2930958,1
"12__2973486__2973661","12",2973486,2973661,1
"12__2973486__2975687","12",2973486,2975687,1
"12__2975559__2977920","12",2975559,2977920,2
"11__2991033__2993473","11",2991033,2993473,1
"11__2972489__2999572","11",2972489,2999572,1
"12__3029929__3031568","12",3029929,3031568,1
"12__3046797__3047451","12",3046797,3047451,2
"16__3021516__3071690","16",3021516,3071690,1
"16__3076064__3076167","16",3076064,3076167,1
"16__3026665__3076782","16",3026665,3076782,1
"16__3027215__3076782","16",3027215,3076782,1
"12__3040203__3104158","12",3040203,3104158,1
"12__3103904__3131183","12",3103904,3131183,1
