"index","chr","start","end","count"
"16__160523__169254","16",160523,169254,1
"17__131559__177370","17",131559,177370,2
"18__163308__180339","18",163308,180339,1
"18__196637__199316","18",196637,199316,1
"18__178933__204692","18",178933,204692,1
"10__225934__226068","10",225934,226068,2
"11__224078__233215","11",224078,233215,1
"10__225934__255988","10",225934,255988,2
"16__249061__258187","16",249061,258187,5
"10__225934__267296","10",225934,267296,1
"10__225934__282855","10",225934,282855,1
"11__291976__292677","11",291976,292677,2
"10__225934__295028","10",225934,295028,2
"19__311845__313643","19",311845,313643,1
"16__396148__397106","16",396148,397106,7
"10__412215__430086","10",412215,430086,1
"12__464324__464415","12",464324,464415,1
"12__514677__527802","12",514677,527802,2
"12__520913__527802","12",520913,527802,4
"10__486811__532470","10",486811,532470,1
"10__518379__532470","10",518379,532470,4
"16__532525__539000","16",532525,539000,1
"12__514677__547720","12",514677,547720,1
"11__507113__559476","11",507113,559476,1
"16__553004__560800","16",553004,560800,4
"11__596923__598502","11",596923,598502,2
"11__551131__609720","11",551131,609720,1
"19__610259__614016","19",610259,614016,1
"18__670692__671451","18",670692,671451,6
"18__685921__691276","18",685921,691276,2
"18__683246__706578","18",683246,706578,2
"17__725597__727005","17",725597,727005,1
"17__722679__729318","17",722679,729318,1
"18__756557__756835","18",756557,756835,4
"19__756890__760039","19",756890,760039,4
"11__774008__775142","11",774008,775142,1
"16__727781__777614","16",727781,777614,1
"16__733685__777614","16",733685,777614,1
"19__756890__808762","19",756890,808762,1
"1__861302__871276","1",861302,871276,1
"1__871152__874792","1",871152,874792,5
"1__886507__886618","1",886507,886618,1
"10__882343__890995","10",882343,890995,1
"1__861302__906386","1",861302,906386,1
"1__865535__916037","1",865535,916037,1
"10__871005__931700","10",871005,931700,1
"10__875325__931700","10",875325,931700,1
"10__882343__931700","10",882343,931700,1
"10__909683__931700","10",909683,931700,3
"10__930387__931700","10",930387,931700,1
"12__936208__939326","12",936208,939326,1
"17__915928__953874","17",915928,953874,1
"1__935072__985175","1",935072,985175,1
"11__986785__988689","11",986785,988689,1
"11__992503__994245","11",992503,994245,1
"17__986760__1003975","17",986760,1003975,1
"16__1004357__1004666","16",1004357,1004666,2
"12__1003728__1006847","12",1003728,1006847,1
"19__964833__1014472","19",964833,1014472,1
"19__1032391__1032695","19",1032391,1032695,2
"16__1004357__1036979","16",1004357,1036979,1
"10__1044943__1051847","10",1044943,1051847,1
"10__1041869__1053068","10",1041869,1053068,1
"19__1122467__1122790","19",1122467,1122790,1
"10__1118056__1126416","10",1118056,1126416,1
"10__1118056__1132297","10",1118056,1132297,3
"12__1136914__1137738","12",1136914,1137738,22
"10__1118056__1142186","10",1118056,1142186,4
"10__1130343__1142186","10",1130343,1142186,6
"10__1130343__1151207","10",1130343,1151207,3
"10__1149542__1151207","10",1149542,1151207,3
"19__1147308__1154401","19",1147308,1154401,3
"10__1149542__1170964","10",1149542,1170964,1
"1__1192372__1192690","1",1192372,1192690,4
"1__1191425__1203372","1",1191425,1203372,2
"1__1192372__1203372","1",1192372,1203372,1
"12__1136914__1225199","12",1136914,1225199,1
"12__1192330__1225199","12",1192330,1225199,1
"12__1213916__1225199","12",1213916,1225199,1
"1__1248889__1250342","1",1248889,1250342,1
"12__1136914__1250953","12",1136914,1250953,3
"12__1192330__1250953","12",1192330,1250953,1
"12__1213916__1250953","12",1213916,1250953,1
"17__1264386__1265302","17",1264386,1265302,12
"19__1227592__1273171","19",1227592,1273171,1
"19__1366304__1373159","19",1366304,1373159,1
"1__1325610__1378262","1",1325610,1378262,1
"17__1381910__1387019","17",1381910,1387019,1
"19__1356323__1407801","19",1356323,1407801,1
"19__1418203__1421257","19",1418203,1421257,1
"1__1403764__1426051","1",1403764,1426051,1
"19__1417499__1432689","19",1417499,1432689,1
"17__1437393__1451681","17",1437393,1451681,3
"17__1437393__1456443","17",1437393,1456443,1
"17__1444860__1456443","17",1444860,1456443,1
"17__1451590__1456443","17",1451590,1456443,6
"17__1437393__1461853","17",1437393,1461853,5
"17__1456298__1461853","17",1456298,1461853,1
"17__1540003__1540356","17",1540003,1540356,1
"16__1498967__1550489","16",1498967,1550489,1
"12__1480999__1553916","12",1480999,1553916,1
"1__1571695__1634708","1",1571695,1634708,1
"1__1647785__1653150","1",1647785,1653150,1
"16__1675974__1682366","16",1675974,1682366,1
"16__1675974__1687908","16",1675974,1687908,2
"1__1693391__1696885","1",1693391,1696885,2
"16__1735440__1747861","16",1735440,1747861,1
"17__1746097__1747980","17",1746097,1747980,6
"16__1735440__1752073","16",1735440,1752073,1
"17__1746097__1756483","17",1746097,1756483,9
"17__1747214__1756483","17",1747214,1756483,9
"1__1716725__1756938","1",1716725,1756938,2
"1__1747195__1756938","1",1747195,1756938,5
"1__1735858__1770677","1",1735858,1770677,1
"1__1747195__1770677","1",1747195,1770677,6
"1__1756836__1770677","1",1756836,1770677,3
"17__1778955__1787238","17",1778955,1787238,1
"12__1863424__1863680","12",1863424,1863680,2
"16__1866894__1873038","16",1866894,1873038,3
"16__1837942__1878908","16",1837942,1878908,1
"16__1891821__1912117","16",1891821,1912117,2
"19__1918888__1979092","19",1918888,1979092,1
"19__1990003__1997462","19",1990003,1997462,1
"16__2120457__2124390","16",2120457,2124390,3
"16__2125800__2130378","16",2125800,2130378,1
"19__2137010__2138713","19",2137010,2138713,2
"19__2137726__2138713","19",2137726,2138713,1
"19__2180712__2194576","19",2180712,2194576,1
"17__2186919__2196271","17",2186919,2196271,1
"17__2195846__2196271","17",2195846,2196271,1
"1__2234417__2236024","1",2234417,2236024,1
"16__2221265__2294553","16",2221265,2294553,1
"1__2327223__2332374","1",2327223,2332374,2
"17__2341403__2376958","17",2341403,2376958,1
"17__2380980__2381179","17",2380980,2381179,6
"16__2570985__2614643","16",2570985,2614643,1
"16__2607704__2616454","16",2607704,2616454,1
"18__2732263__2740819","18",2732263,2740819,1
"18__2732263__2747645","18",2732263,2747645,1
"16__2663961__2749917","16",2663961,2749917,1
"16__2745936__2749917","16",2745936,2749917,1
"16__2745936__2752479","16",2745936,2752479,3
"18__2762103__2796519","18",2762103,2796519,2
"16__2747907__2809403","16",2747907,2809403,1
"19__2806915__2860472","19",2806915,2860472,1
"16__2811562__2867967","16",2811562,2867967,1
"16__2867802__2882285","16",2867802,2882285,1
"19__2850585__2901046","19",2850585,2901046,1
"12__2906304__2914587","12",2906304,2914587,1
"17__2929302__2930364","17",2929302,2930364,1
"12__2973486__2975687","12",2973486,2975687,3
"12__2975559__2977920","12",2975559,2977920,1
"11__2991033__2991164","11",2991033,2991164,3
"11__2991033__2993473","11",2991033,2993473,3
"11__2972489__2999572","11",2972489,2999572,1
"11__2997254__2999572","11",2997254,2999572,19
"19__3008867__3015758","19",3008867,3015758,1
"19__3110147__3115070","19",3110147,3115070,1
"10__3160974__3162236","10",3160974,3162236,2
"16__3074182__3165921","16",3074182,3165921,1
"18__3164276__3193956","18",3164276,3193956,1
"1__3425122__3425809","1",3425122,3425809,1
"19__3425104__3435205","19",3425104,3435205,4
"19__3425104__3456633","19",3425104,3456633,1
"17__3416706__3470281","17",3416706,3470281,1
"17__3486632__3489220","17",3486632,3489220,2
"17__3483751__3494410","17",3483751,3494410,1
"17__3493101__3494410","17",3493101,3494410,1
"17__3511721__3533640","17",3511721,3533640,4
"19__3538263__3551192","19",3538263,3551192,1
"19__3550982__3551192","19",3550982,3551192,4
"19__3623686__3624160","19",3623686,3624160,2
"1__3638585__3644781","1",3638585,3644781,1
