"X.chrom","start","end","name","n_frags","strand","n_weight","n_spanned","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category","flags","flag_counts","index","count"
"chr13",41507911,41508042,"unknown_circ_015768",1,"-",1,1,1,1,88,48,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_MATE","1","13__41507912__41508042",1
"chr8",97892025,98041722,"unknown_circ_008987",1,"+",2,2,2,2,100,50,"unknown",2,0,0,1,"GTAG","N/A","HUGE","SUPPORT_CLOSURE","1","8__97892026__98041722",1
"chr16",89816137,89825113,"unknown_circ_007334",1,"-",1,1,1,1,122,6,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","16__89816138__89825113",1
"chr9",133370333,133370354,"unknown_circ_001042",1,"+",1,1,1,1,40,48,"unknown",1,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_WARN","WARN_OUTSIDE_MATE","1","9__133370334__133370354",1
"chr6",24133674,35800980,"unknown_circ_011071",1,"+",1,1,1,1,30,26,"unknown",1,1,0,1,"GTAG","N/A","HUGE,WARN_EXT_1MM","SUPPORT_INSIDE_MATE","1","6__24133675__35800980",1
"chr6",3986918,3986973,"unknown_circ_012528",1,"-",1,1,1,1,138,38,"unknown",1,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_WARN","WARN_OUTSIDE_MATE","1","6__3986919__3986973",1
"chr10",101728871,101731891,"unknown_circ_020832",1,"-",1,1,1,1,64,72,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_MATE","1","10__101728872__101731891",1
"chr12",121877659,121883221,"unknown_circ_009471",1,"-",1,1,1,1,14,116,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_MATE","1","12__121877660__121883221",1
"chr11",100687445,100792335,"unknown_circ_022133",1,"+",1,1,1,1,32,96,"unknown",1,0,0,1,"GTAG","N/A","HUGE,WARN_ALWAYS_WARN","WARN_OTHER_CHROM_MATE","1","11__100687446__100792335",1
"chr2",24734416,118847182,"unknown_circ_002797",1,"+",0.5,1,1,0.5,2,32,"unknown",0.5,1,0,1,"GTAG","N/A","HUGE,WARN_ALWAYS_WARN,WARN_EXT_1MM","WARN_OTHER_CHROM_MATE","1","2__24734417__118847182",1
"chr14",68056651,68059435,"unknown_circ_016054",1,"-",2,2,2,2,40,16,"unknown",2,0,0,1,"GTAG","N/A","","SUPPORT_CLOSURE","1","14__68056652__68059435",1
"chr1",146739084,146740537,"unknown_circ_018478",1,"+",2,2,2,2,48,118,"unknown",2,0,0,1,"GTAG","N/A","","SUPPORT_CLOSURE","1","1__146739085__146740537",1
"chr3",14526953,14528396,"unknown_circ_008495",1,"+",1,1,1,1,72,54,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","SUPPORT_INSIDE_MATE","1","3__14526954__14528396",1
"chr5",109034136,109065214,"unknown_circ_020985",1,"+",1,1,1,1,66,66,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_MATE","1","5__109034137__109065214",1
"chr3",57657982,57667622,"unknown_circ_015321",1,"-",0.5,1,1,0.5,46,20,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_MATE,SUPPORT_INSIDE_SPLICE_JUNCTION","1,1","3__57657983__57667622",1
"chr7",55271882,101273022,"unknown_circ_021093",1,"-",1,1,1,1,86,2,"unknown",1,1,0,1,"GTAG","N/A","HUGE,WARN_EXT_1MM","SUPPORT_INSIDE_MATE","1","7__55271883__101273022",1
"chr1",222997197,223101912,"unknown_circ_019417",1,"+",2,2,2,2,102,10,"unknown",2,0,0,1,"GTAG","N/A","HUGE","SUPPORT_CLOSURE","1","1__222997198__223101912",1
