"index","count"
"1__100459093__100464971",1
"1__100515465__100535241",1
"1__101372408__101387397",1
"1__10177517__10195244",1
"1__10195046__10197263",1
"1__10321963__10328321",2
"1__10321963__10332364",1
"1__10327438__10328321",1
"1__107866904__107867544",2
"1__109427897__109444567",1
"1__109427897__109472597",1
"1__109486097__109505091",1
"1__109525231__109547337",2
"1__109544846__109554340",1
"1__109773500__109774408",1
"1__109878862__109888500",2
"1__109954499__109957985",1
"1__113098490__113159517",1
"1__113119608__113140708",2
"1__113196220__113197293",1
"1__113196220__113202401",1
"1__114214356__114216087",1
"1__114267381__114269196",1
"1__114267381__114281421",1
"1__114280732__114281421",2
"1__114440462__114444507",1
"1__115005726__115007010",1
"1__115266504__115282511",1
"1__116202262__116206889",1
"1__117944808__117948267",5
"1__117944808__117957453",25
"1__117944808__117963271",28
"1__117944808__117984947",14
"1__117948171__117963271",1
"1__118035769__118045592",1
"1__118424445__118463047",2
"1__118449128__118461358",1
"1__118454616__118461358",1
"1__1192372__1192690",1
"1__120529583__120548211",2
"1__12056213__12057478",1
"1__12335882__12338095",2
"1__12359259__12359441",2
"1__12359259__12368698",1
"1__12382593__12389975",1
"1__12460238__12476880",2
"1__14042036__14068652",2
"1__14057495__14068652",4
"1__14057495__14075982",1
"1__14099573__14109326",1
"1__14104913__14109326",3
"1__1424584__1426051",1
"1__144148790__144621656",2
"1__144149727__144813844",6
"1__144598512__144607061",2
"1__144617150__144621656",2
"1__144618082__144813844",3
"1__144994591__145021167",1
"1__145015860__145021167",2
"1__145227041__145227336",2
"1__145227041__145248894",5
"1__145227041__145273444",1
"1__145227041__145281704",2
"1__145295423__145299939",11
"1__145298155__145303982",4
"1__145323654__145366999",22
"1__145325952__145367822",1
"1__145362097__145366230",8
"1__145487304__145492375",1
"1__146399555__146411098",7
"1__146401671__146406601",2
"1__146403655__146408167",2
"1__146406390__146412208",5
"1__146724278__146728216",1
"1__146724278__146731572",2
"1__146727468__146731572",1
"1__146747017__146757164",1
"1__148008573__148009516",39
"1__148337318__148342542",1
"1__149936147__149937803",1
"1__150053424__150082742",1
"1__150202906__150204264",1
"1__150413399__150416853",1
"1__150415707__150418877",1
"1__150432536__150432793",1
"1__150686561__150692014",1
"1__150900180__150913904",1
"1__150902443__150913904",1
"1__150919362__150922001",1
"1__150933039__150934634",3
"1__151139410__151139890",1
"1__151196724__151205179",1
"1__151196724__151215043",1
"1__151209034__151209239",1
"1__151611364__151611595",1
"1__151611364__151641111",2
"1__153507678__153507836",1
"1__153637696__153641033",1
"1__154197560__154209087",1
"1__154221715__154224129",1
"1__155311727__155316260",1
"1__155385535__155385714",1
"1__155408118__155408859",1
"1__155490891__155491409",2
"1__155640111__155644887",1
"1__155640111__155650247",1
"1__155644801__155649303",1
"1__155644801__155650247",4
"1__155646339__155649303",1
"1__155695173__155695810",1
"1__155734791__155736500",1
"1__155740858__155743001",2
"1__155740858__155747611",1
"1__155823067__155823597",10
"1__155874102__155874595",3
"1__155893418__155895634",1
"1__156524027__156526485",1
"1__15964802__15976318",1
"1__1599766__1601590",2
"1__1601103__1601590",1
"1__160267133__160295442",1
"1__160281658__160302347",1
"1__16044388__16047883",1
"1__161130410__161133409",2
"1__161293404__161298287",1
"1__161771842__161790951",1
"1__162546567__162567648",1
"1__16464348__16464925",2
"1__165859441__165860559",2
"1__1666129__1671143",1
"1__167734820__167745403",3
"1__167921038__167944253",1
"1__167935867__167944253",1
"1__168007609__168037701",2
"1__168073715__168074132",1
"1__16905688__16910191",11
"1__16907240__16912193",16
"1__16907915__16913756",53
"1__169767998__169770112",1
"1__170688867__170699489",1
"1__171492360__171496983",1
"1__172520652__172526934",6
"1__172520652__172560211",7
"1__172525009__172539870",1
"1__172525009__172548407",1
"1__1735858__1737977",2
"1__1735858__1749314",2
"1__1735858__1756938",2
"1__1735858__1770677",1
"1__173743444__173744981",1
"1__173802514__173810111",1
"1__173807328__173810111",1
"1__174188263__174190302",2
"1__174244971__174363283",1
"1__1747195__1756938",3
"1__1747195__1770677",1
"1__1756836__1756938",1
"1__175956079__176015460",1
"1__176050288__176105683",1
"1__176054912__176118210",1
"1__176085760__176105683",1
"1__176104146__176118210",1
"1__176118142__176153828",1
"1__176132005__176153828",1
"1__178252699__178269253",1
"1__178425856__178436556",2
"1__179012850__179023773",2
"1__179081444__179084165",1
"1__179084013__179091002",2
"1__179087722__179089409",1
"1__179087722__179091002",2
"1__179089325__179091002",3
"1__179100446__179100616",1
"1__179100446__179102509",3
"1__17913955__17914974",1
"1__17928622__17934472",1
"1__179347772__179364337",1
"1__17975049__17983203",1
"1__179972309__179975702",1
"1__179984984__179991983",2
"1__179989084__179990144",1
"1__179989084__179993717",1
"1__180010273__180017840",1
"1__180366651__180382606",1
"1__180772524__180780624",1
"1__180953813__180962561",3
"1__183083666__183084772",3
"1__185129965__185137530",1
"1__185183639__185200840",2
"1__192990227__192998787",2
"1__192997215__192998439",1
"1__193038164__193046180",1
"1__193044950__193046180",2
"1__193202123__193205486",1
"1__19495929__19501527",1
"1__19495929__19519034",1
"1__19503086__19514034",3
"1__19595066__19597429",1
"1__196694251__196697652",1
"1__197564338__197684204",1
"1__197611841__197627499",1
"1__198201683__198262169",1
"1__198222170__198222310",1
"1__198247091__198266370",2
"1__200534197__200562897",1
"1__200539039__200544819",1
"1__200558345__200567549",1
"1__200561208__200567549",1
"1__20063865__20082259",1
"1__200729967__200784772",7
"1__200729967__200801973",1
"1__201681945__201687883",1
"1__201816407__201817722",3
"1__201821232__201826322",1
"1__201970504__201972589",3
"1__202397983__202400747",1
"1__202912886__202915738",1
"1__202920058__202923435",1
"1__203651870__203652526",2
"1__203667285__203696699",3
"1__203668588__203677232",2
"1__203676137__203677232",4
"1__203682293__203696699",1
"1__203786054__203787817",3
"1__203802919__203809502",1
"1__204091028__204092336",1
"1__205072985__205074296",4
"1__205130386__205133083",1
"1__205585606__205593019",11
"1__205693054__205698749",4
"1__205696828__205698749",1
"1__207930359__207943707",1
"1__207989274__207990759",1
"1__208383625__208391347",1
"1__210267667__210267938",1
"1__21071237__21107033",1
"1__21083659__21097566",1
"1__21083659__21103243",1
"1__21083659__21106404",1
"1__21083659__21107033",2
"1__21094077__21103243",1
"1__211256122__211280719",1
"1__211444574__211449760",1
"1__211469018__211477482",1
"1__211564958__211570173",1
"1__21167349__21212864",1
"1__211952260__211961069",1
"1__212148508__212156152",1
"1__212179981__212194554",1
"1__212216335__212220759",1
"1__212218002__212220759",1
"1__212236226__212238371",1
"1__21267984__21268823",1
"1__21276496__21329301",2
"1__21295967__21307720",3
"1__21295967__21329301",2
"1__213037067__213061936",2
"1__213251038__213290752",2
"1__213290659__213303232",3
"1__21329206__21415706",1
"1__213302870__213349835",3
"1__213341201__213349835",1
"1__21377359__21415706",1
"1__21377359__21437876",1
"1__21415631__21437876",1
"1__214585027__214625317",1
"1__214625148__214638300",1
"1__214787057__214795624",1
"1__215342542__215345526",1
"1__215342542__215368435",1
"1__21573714__21585332",1
"1__215747129__215753342",2
"1__215749244__215752480",3
"1__215759838__215768813",1
"1__21599192__21599404",3
"1__21599192__21605825",1
"1__21599192__21616649",4
"1__217783663__217787544",1
"1__22007301__22021714",2
"1__220174480__220180680",1
"1__220179448__220180680",1
"1__220789281__220809368",2
"1__22169263__22169931",2
"1__22169263__22173985",4
"1__22169263__22175524",8
"1__22169263__22178419",4
"1__22169263__22179325",7
"1__222860272__222876559",1
"1__222867131__222876559",1
"1__222897434__222898897",3
"1__223954069__223959941",2
"1__223985917__223992050",1
"1__223991876__223994649",1
"1__22404922__22413359",1
"1__224492438__224492868",1
"1__224868660__224872545",1
"1__225140372__225161855",2
"1__225140372__225195246",3
"1__225190485__225239497",1
"1__225451899__225477784",1
"1__225600156__225603034",1
"1__227149078__227153438",2
"1__227192695__227223308",2
"1__227216358__227223308",1
"1__227327277__227335260",1
"1__22816373__22818026",3
"1__229584873__229588390",1
"1__229606327__229606551",1
"1__229665946__229683448",1
"1__229677984__229683448",1
"1__229768016__229773994",1
"1__230798887__230810870",1
"1__231079552__231097049",1
"1__231090079__231097049",2
