"index","chr","start","end","count"
"1__865535__866469","1",865535,866469,35
"1__871152__874509","1",871152,874509,3
"1__871152__874840","1",871152,874840,7
"1__871152__877868","1",871152,877868,19
"1__981344__989931","1",981344,989931,71
"1__986833__987195","1",986833,987195,6
"1__1158624__1164326","1",1158624,1164326,1
"1__1192372__1192690","1",1192372,1192690,4
"1__1192372__1203372","1",1192372,1203372,10
"1__1198726__1203372","1",1198726,1203372,5
"1__1229782__1233313","1",1229782,1233313,1
"1__1417518__1454370","1",1417518,1454370,11
"1__1430865__1464711","1",1430865,1464711,4
"1__1451392__1463242","1",1451392,1463242,7
"1__1572259__1635585","1",1572259,1635585,12
"1__1720492__1722035","1",1720492,1722035,1
"1__1721834__1722035","1",1721834,1722035,2
"1__1721834__1724750","1",1721834,1724750,22
"1__1735858__1749314","1",1735858,1749314,2
"1__1735858__1756938","1",1735858,1756938,1
"1__1737914__1749314","1",1737914,1749314,5
"1__1737914__1770677","1",1737914,1770677,43
"1__1747195__1749314","1",1747195,1749314,5
"1__1747195__1756938","1",1747195,1756938,1
"1__2100957__2105455","1",2100957,2105455,1
"1__2234724__2236024","1",2234724,2236024,4
"1__2339891__2340297","1",2339891,2340297,7
"1__2441301__2452754","1",2441301,2452754,4
"1__2447001__2449703","1",2447001,2449703,3
"1__3761471__3761915","1",3761471,3761915,134
"1__5987709__5993389","1",5987709,5993389,19
"1__6007164__6012896","1",6007164,6012896,20
"1__6007164__6046387","1",6007164,6046387,7
"1__6012760__6046387","1",6012760,6046387,3
"1__6021854__6029319","1",6021854,6029319,20
"1__6021854__6038473","1",6021854,6038473,86
"1__6021854__6046387","1",6021854,6046387,3
"1__6027359__6029319","1",6027359,6029319,3
"1__6291962__6292179","1",6291962,6292179,22
"1__6586756__6604982","1",6586756,6604982,6
"1__6589054__6593501","1",6589054,6593501,6
"1__6589054__6601987","1",6589054,6601987,84
"1__6659107__6659512","1",6659107,6659512,6
"1__8425872__8601377","1",8425872,8601377,156
"1__8525985__8568734","1",8525985,8568734,1
"1__8525985__8674745","1",8525985,8674745,1
"1__8555123__8684439","1",8555123,8684439,9
"1__8568686__8674745","1",8568686,8674745,1
"1__8616534__8617582","1",8616534,8617582,63
"1__8616534__8674745","1",8616534,8674745,27
"1__8674620__8684439","1",8674620,8684439,23
"1__8922946__8925541","1",8922946,8925541,56
"1__8923294__8928116","1",8923294,8928116,4
"1__8923950__8925541","1",8923950,8925541,5
"1__8925344__8934976","1",8925344,8934976,3
"1__8926338__8927309","1",8926338,8927309,5
"1__8931950__8934976","1",8931950,8934976,10
"1__9931245__9938047","1",9931245,9938047,92
"1__10132086__10165802","1",10132086,10165802,7
"1__10471475__10473308","1",10471475,10473308,2
"1__11090233__11106790","1",11090233,11106790,8
"1__11130957__11137005","1",11130957,11137005,11
"1__11181303__11182183","1",11181303,11182183,2
"1__11205025__11303357","1",11205025,11303357,8
"1__11307876__11317222","1",11307876,11317222,1
"1__12009830__12023693","1",12009830,12023693,1
"1__12016974__12018704","1",12016974,12018704,5
"1__12030727__12033054","1",12030727,12033054,5
"1__12042027__12042171","1",12042027,12042171,44
"1__12049222__12052747","1",12049222,12052747,24
"1__12049222__12064670","1",12049222,12064670,10
"1__12061458__12062160","1",12061458,12062160,56
"1__12061458__12069783","1",12061458,12069783,114
"1__12378129__12382803","1",12378129,12382803,44
"1__12409221__12475274","1",12409221,12475274,1
"1__12632756__12639440","1",12632756,12639440,12
"1__15370485__15370655","1",15370485,15370655,2
"1__15382587__15386798","1",15382587,15386798,304
"1__15833394__15833570","1",15833394,15833570,541
"1__15844605__15844890","1",15844605,15844890,13
"1__15956820__15970145","1",15956820,15970145,5
"1__16046229__16056424","1",16046229,16056424,7
"1__16051812__16059024","1",16051812,16059024,1
"1__16464348__16464925","1",16464348,16464925,3
"1__16464770__16464925","1",16464770,16464925,74
"1__17742976__17749332","1",17742976,17749332,4
"1__17907048__17914140","1",17907048,17914140,27
"1__17907048__17930086","1",17907048,17930086,5
"1__17907048__17934472","1",17907048,17934472,153
"1__17907048__17949670","1",17907048,17949670,20
"1__17981131__17983203","1",17981131,17983203,1
"1__19215856__19216599","1",19215856,19216599,1
"1__19410998__19415471","1",19410998,19415471,25
"1__19431542__19439361","1",19431542,19439361,3
"1__19433331__19480433","1",19433331,19480433,1
"1__19455472__19511780","1",19455472,19511780,1
"1__19488321__19526248","1",19488321,19526248,35
"1__19497256__19505714","1",19497256,19505714,7
"1__19499358__19501527","1",19499358,19501527,32
"1__19499933__19524543","1",19499933,19524543,10
"1__19510305__19511780","1",19510305,19511780,4
"1__19644094__19644335","1",19644094,19644335,48
"1__20097801__20113610","1",20097801,20113610,1
"1__20979344__20982272","1",20979344,20982272,7
"1__21137231__21139732","1",21137231,21139732,4
"1__21180053__21191205","1",21180053,21191205,85
"1__21220010__21231464","1",21220010,21231464,7
"1__21220010__21268823","1",21220010,21268823,7
"1__21295967__21307720","1",21295967,21307720,89
"1__21295967__21437876","1",21295967,21437876,6
"1__21306827__21307720","1",21306827,21307720,11
"1__21306827__21329301","1",21306827,21329301,1
"1__21306827__21437876","1",21306827,21437876,2
"1__21329206__21415706","1",21329206,21415706,11
"1__21377359__21415706","1",21377359,21415706,2
"1__21377359__21437876","1",21377359,21437876,7
"1__21415631__21437876","1",21415631,21437876,11
"1__21553652__21554534","1",21553652,21554534,65
"1__21573714__21573856","1",21573714,21573856,2
"1__21599192__21599404","1",21599192,21599404,1
"1__21599192__21616649","1",21599192,21616649,3
"1__22188250__22205614","1",22188250,22205614,1
"1__22404922__22413359","1",22404922,22413359,32
"1__23356962__23377013","1",23356962,23377013,2
"1__23356962__23385660","1",23356962,23385660,44
"1__23376880__23385660","1",23376880,23385660,3
"1__23381562__23384058","1",23381562,23384058,128
"1__23381562__23399896","1",23381562,23399896,142
"1__24130890__24147083","1",24130890,24147083,1
"1__24495907__24507344","1",24495907,24507344,8
"1__25666965__25678184","1",25666965,25678184,14
"1__25678117__25679465","1",25678117,25679465,165
"1__26566253__26570809","1",26566253,26570809,1
"1__26581662__26582356","1",26581662,26582356,2
"1__26581662__26586293","1",26581662,26586293,3
"1__26584088__26584751","1",26584088,26584751,155
"1__26772807__26784396","1",26772807,26784396,3
"1__26774050__26786635","1",26774050,26786635,146
"1__26784282__26786635","1",26784282,26786635,2
"1__26887217__26888154","1",26887217,26888154,1
"1__27056142__27059283","1",27056142,27059283,19
"1__27087347__27089776","1",27087347,27089776,2
"1__27432376__27434356","1",27432376,27434356,5
"1__27621005__27624602","1",27621005,27624602,2
"1__28056743__28086138","1",28056743,28086138,1
"1__28233439__28233793","1",28233439,28233793,52
"1__28362055__28374937","1",28362055,28374937,12
"1__28599869__28601526","1",28599869,28601526,3
"1__28800066__28800663","1",28800066,28800663,60
"1__28800066__28807116","1",28800066,28807116,16
"1__29315868__29323831","1",29315868,29323831,40
"1__29362338__29365938","1",29362338,29365938,2
"1__29533274__29542648","1",29533274,29542648,1
"1__29533274__29543197","1",29533274,29543197,103
"1__29581787__29618538","1",29581787,29618538,16
"1__29586382__29586556","1",29586382,29586556,27
"1__31422980__31426828","1",31422980,31426828,2
"1__31437521__31453010","1",31437521,31453010,4
"1__31447498__31454252","1",31447498,31454252,7
"1__31452909__31454252","1",31452909,31454252,2
"1__31452909__31468067","1",31452909,31468067,1
"1__31465237__31479949","1",31465237,31479949,1
"1__31532051__31532424","1",31532051,31532424,2
"1__31764760__31766195","1",31764760,31766195,1
"1__31896540__31899670","1",31896540,31899670,1
"1__31901825__31902385","1",31901825,31902385,216
"1__32049062__32051086","1",32049062,32051086,3
"1__32050279__32051086","1",32050279,32051086,3
"1__32381496__32385259","1",32381496,32385259,5
"1__32495899__32498935","1",32495899,32498935,45
"1__32540552__32566163","1",32540552,32566163,9
"1__32622454__32623962","1",32622454,32623962,236
"1__32622947__32623962","1",32622947,32623962,26
"1__32627548__32628914","1",32627548,32628914,3
"1__32653555__32653725","1",32653555,32653725,47
"1__32653555__32655850","1",32653555,32655850,2
"1__32689635__32690076","1",32689635,32690076,7
"1__32691772__32692131","1",32691772,32692131,128
"1__32694100__32694809","1",32694100,32694809,136
"1__32792540__32793278","1",32792540,32793278,804
"1__33741701__33742195","1",33741701,33742195,1
"1__33836022__33841194","1",33836022,33841194,192
"1__35562918__35570370","1",35562918,35570370,17
"1__35846860__35847359","1",35846860,35847359,7
"1__35846860__35854683","1",35846860,35854683,1
"1__35846860__35871069","1",35846860,35871069,2
"1__35851043__35859340","1",35851043,35859340,173
"1__36096875__36102033","1",36096875,36102033,3
"1__36291527__36307351","1",36291527,36307351,22
"1__36291527__36316654","1",36291527,36316654,1
"1__36372536__36384024","1",36372536,36384024,32
"1__36432556__36439112","1",36432556,36439112,23
"1__36437625__36505585","1",36437625,36505585,30
"1__36475076__36492899","1",36475076,36492899,4
"1__36773371__36773564","1",36773371,36773564,13
"1__38047824__38053096","1",38047824,38053096,68
"1__38168924__38171239","1",38168924,38171239,161
"1__38331433__38343995","1",38331433,38343995,69
"1__38341278__38412006","1",38341278,38412006,29
"1__39752958__39753234","1",39752958,39753234,4
"1__39916724__39945681","1",39916724,39945681,94
"1__41463066__41466789","1",41463066,41466789,16
"1__41474466__41475926","1",41474466,41475926,1
"1__41536267__41541123","1",41536267,41541123,20
"1__41578955__41582682","1",41578955,41582682,86
"1__41578955__41608784","1",41578955,41608784,2
"1__42730786__42744343","1",42730786,42744343,8
"1__43825161__43825309","1",43825161,43825309,1
"1__43868848__43870221","1",43868848,43870221,1
"1__43895982__43898861","1",43895982,43898861,2
"1__44035261__44035449","1",44035261,44035449,50
"1__44085351__44085529","1",44085351,44085529,6
"1__44131367__44149475","1",44131367,44149475,1
"1__44257773__44303983","1",44257773,44303983,34
"1__44303891__44386600","1",44303891,44386600,1
"1__44386076__44386600","1",44386076,44386600,1
"1__44466439__44468318","1",44466439,44468318,5
"1__44713611__44804994","1",44713611,44804994,16
"1__44750507__44804994","1",44750507,44804994,19
"1__44750507__44818597","1",44750507,44818597,101
"1__44773982__44804994","1",44773982,44804994,4
"1__44773982__44818597","1",44773982,44818597,86
"1__44785300__44804994","1",44785300,44804994,13
"1__44804717__44804994","1",44804717,44804994,6
"1__44877653__44878394","1",44877653,44878394,3
"1__45088414__45092070","1",45088414,45092070,187
"1__45223228__45223812","1",45223228,45223812,37
"1__45504608__45506210","1",45504608,45506210,4
"1__46032241__46032692","1",46032241,46032692,9
"1__46095248__46108171","1",46095248,46108171,212
"1__46096154__46099319","1",46096154,46099319,6
"1__46105882__46120991","1",46105882,46120991,11
"1__46105882__46126897","1",46105882,46126897,3
"1__46124700__46126897","1",46124700,46126897,1
"1__46290105__46295253","1",46290105,46295253,2
"1__46463396__46468555","1",46463396,46468555,4
"1__46725636__46739888","1",46725636,46739888,5
"1__47030713__47037839","1",47030713,47037839,20
"1__47037089__47059952","1",47037089,47059952,32
"1__47735307__47737913","1",47735307,47737913,16
"1__47737748__47761520","1",47737748,47761520,2
"1__48821342__48825442","1",48821342,48825442,18
"1__51005264__51061888","1",51005264,51061888,10
"1__51032749__51061888","1",51032749,51061888,29
"1__51049324__51204626","1",51049324,51204626,471
"1__51121114__51171563","1",51121114,51171563,68
"1__51253672__51323669","1",51253672,51323669,3
"1__51860053__51875368","1",51860053,51875368,286
"1__51906019__51913807","1",51906019,51913807,1
"1__51926763__51929470","1",51926763,51929470,19
"1__52082546__52117713","1",52082546,52117713,161
"1__52231494__52238395","1",52231494,52238395,2
"1__52237742__52238395","1",52237742,52238395,1
"1__52293468__52299842","1",52293468,52299842,73
"1__52824922__52825206","1",52824922,52825206,1
"1__52849092__52851621","1",52849092,52851621,3
"1__52954581__52961187","1",52954581,52961187,3
"1__52954581__52962855","1",52954581,52962855,4
"1__53333211__53333449","1",53333211,53333449,36
"1__53343354__53347337","1",53343354,53347337,51
"1__53720789__53723136","1",53720789,53723136,6
"1__53727740__53736825","1",53727740,53736825,106
"1__53736700__53737018","1",53736700,53737018,9
"1__54266366__54298264","1",54266366,54298264,1
"1__55319710__55319907","1",55319710,55319907,12
"1__55319710__55340884","1",55319710,55340884,1
"1__55340766__55341720","1",55340766,55341720,4
"1__55537487__55541196","1",55537487,55541196,1
"1__55624551__55625358","1",55624551,55625358,9
"1__58971732__59002413","1",58971732,59002413,3
"1__59787208__59805741","1",59787208,59805741,3
"1__59787208__59922748","1",59787208,59922748,171
"1__61743192__61872399","1",61743192,61872399,9
"1__61743192__61892228","1",61743192,61892228,1
"1__61798184__61824946","1",61798184,61824946,5
"1__62261139__62288751","1",62261139,62288751,3
"1__62321702__62330305","1",62321702,62330305,1
"1__62713144__62734177","1",62713144,62734177,5
"1__62713144__62737261","1",62713144,62737261,1
"1__62728764__62737261","1",62728764,62737261,20
"1__62970301__62973729","1",62970301,62973729,1
"1__63042933__63052295","1",63042933,63052295,5
"1__63042933__63091072","1",63042933,63091072,4
"1__63836442__63877732","1",63836442,63877732,37
"1__64515363__64516388","1",64515363,64516388,7
"1__65278421__65280523","1",65278421,65280523,6
"1__65301781__65321381","1",65301781,65321381,16
"1__65305286__65321381","1",65305286,65321381,8
"1__70694105__70703235","1",70694105,70703235,1
"1__70766447__70779473","1",70766447,70779473,187
"1__70881639__70900860","1",70881639,70900860,25
"1__76253182__76255041","1",76253182,76255041,5
"1__76253182__76255742","1",76253182,76255742,1
"1__78187516__78211284","1",78187516,78211284,3
"1__78191307__78205102","1",78191307,78205102,45
"1__78211106__78211284","1",78211106,78211284,13
"1__78267016__78309092","1",78267016,78309092,19
"1__78432378__78433350","1",78432378,78433350,11
"1__89236035__89237562","1",89236035,89237562,102
"1__89236035__89251896","1",89236035,89251896,15
"1__91967211__91973954","1",91967211,91973954,3
"1__91973411__91973954","1",91973411,91973954,9
"1__92554255__92604987","1",92554255,92604987,5
"1__92728420__92737209","1",92728420,92737209,1
"1__92798948__92811471","1",92798948,92811471,31
"1__92846281__92846430","1",92846281,92846430,40
"1__93029199__93202184","1",93029199,93202184,5
