"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,1,"Un_gl000222__11699__12288",1
"chrUn_gl000222",11828,12288,2,"Un_gl000222__11828__12288",2
"chrUn_gl000241",17117,25602,1,"Un_gl000241__17117__25602",1
"chrUn_gl000220",112102,112173,9,"Un_gl000220__112102__112173",9
"chrUn_gl000220",115116,115399,1,"Un_gl000220__115116__115399",1
"chrUn_gl000220",116132,116218,1,"Un_gl000220__116132__116218",1
"chrUn_gl000220",115154,117049,1,"Un_gl000220__115154__117049",1
"chrUn_gl000220",113354,117587,1,"Un_gl000220__113354__117587",1
"chrUn_gl000220",117837,117933,1,"Un_gl000220__117837__117933",1
"chrUn_gl000220",95720,117964,2,"Un_gl000220__95720__117964",2
"chrUn_gl000220",117897,117964,13,"Un_gl000220__117897__117964",13
"chrUn_gl000220",117872,117983,1,"Un_gl000220__117872__117983",1
"chrUn_gl000220",117893,117983,1,"Un_gl000220__117893__117983",1
"chrUn_gl000220",117833,117991,1,"Un_gl000220__117833__117991",1
"chrUn_gl000220",117872,118022,1,"Un_gl000220__117872__118022",1
"chrUn_gl000220",117895,118042,2,"Un_gl000220__117895__118042",2
"chrUn_gl000220",117893,118048,5,"Un_gl000220__117893__118048",5
"chrUn_gl000220",117884,118093,2,"Un_gl000220__117884__118093",2
"chrUn_gl000220",117895,118093,5,"Un_gl000220__117895__118093",5
"chrUn_gl000220",117951,118093,2,"Un_gl000220__117951__118093",2
"chrUn_gl000220",117960,118093,6,"Un_gl000220__117960__118093",6
"chrUn_gl000220",117882,118097,1,"Un_gl000220__117882__118097",1
"chrUn_gl000220",117893,118097,10,"Un_gl000220__117893__118097",10
"chrUn_gl000220",117897,118097,4,"Un_gl000220__117897__118097",4
"chrUn_gl000220",117948,118097,1,"Un_gl000220__117948__118097",1
"chrUn_gl000220",117971,118097,2,"Un_gl000220__117971__118097",2
"chrUn_gl000220",117884,118103,1,"Un_gl000220__117884__118103",1
"chrUn_gl000220",117895,118103,3,"Un_gl000220__117895__118103",3
"chrUn_gl000220",117913,118103,1,"Un_gl000220__117913__118103",1
"chrUn_gl000220",117951,118103,2,"Un_gl000220__117951__118103",2
"chrUn_gl000220",117893,118115,8,"Un_gl000220__117893__118115",8
"chrUn_gl000220",117897,118115,2,"Un_gl000220__117897__118115",2
"chrUn_gl000220",117965,118115,2,"Un_gl000220__117965__118115",2
"chrUn_gl000220",117951,118124,1,"Un_gl000220__117951__118124",1
"chrUn_gl000220",117884,118233,1,"Un_gl000220__117884__118233",1
"chrUn_gl000220",117965,118291,1,"Un_gl000220__117965__118291",1
"chrUn_gl000220",117960,118304,1,"Un_gl000220__117960__118304",1
"chrUn_gl000220",118243,118304,2,"Un_gl000220__118243__118304",2
"chrUn_gl000220",118054,118355,1,"Un_gl000220__118054__118355",1
"chrUn_gl000220",118305,118371,5,"Un_gl000220__118305__118371",5
"chrUn_gl000220",118331,118375,3,"Un_gl000220__118331__118375",3
"chrUn_gl000220",118260,118410,1,"Un_gl000220__118260__118410",1
"chr18",120819,120895,2,"18__120819__120895",2
"chrUn_gl000220",121605,123082,1,"Un_gl000220__121605__123082",1
"chrUn_gl000216",154355,154420,1,"Un_gl000216__154355__154420",1
"chrUn_gl000220",115745,159715,1,"Un_gl000220__115745__159715",1
"chr17_ctg5_hap1",150600,161024,2,"17_ctg5_hap1__150600__161024",2
"chrUn_gl000220",117068,161038,1,"Un_gl000220__117068__161038",1
"chr7",189121,189342,1,"7__189121__189342",1
"chr18",196637,199316,1,"18__196637__199316",1
"chr18",196637,204692,1,"18__196637__204692",1
"chrX",228762,228948,1,"X__228762__228948",1
"chr16",249061,258187,1,"16__249061__258187",1
"chr10",225934,267296,5,"10__225934__267296",5
"chr11",308345,308428,1,"11__308345__308428",1
"chr11",309206,309273,4,"11__309206__309273",4
"chr19",325635,327256,1,"19__325635__327256",1
"chr5",344008,344079,1,"5__344008__344079",1
"chr16",347056,348251,2,"16__347056__348251",2
"chr5",353845,376831,4,"5__353845__376831",4
"chr4",337571,384347,2,"4__337571__384347",2
"chr8",381341,385707,3,"8__381341__385707",3
"chr16",354304,397106,1,"16__354304__397106",1
"chr16",364543,397106,1,"16__364543__397106",1
"chr16",396148,397106,1,"16__396148__397106",1
"chr20",398170,398574,1,"20__398170__398574",1
"chr5",420820,420894,1,"5__420820__420894",1
"chr17",421180,421699,1,"17__421180__421699",1
"chr10",408430,430579,1,"10__408430__430579",1
"chr5",353845,432639,1,"5__353845__432639",1
"chr4",437803,437886,1,"4__437803__437886",1
"chr16",450390,450496,1,"16__450390__450496",1
"chr16",450424,450509,1,"16__450424__450509",1
"chr11",489982,490041,1,"11__489982__490041",1
"chr2",496078,496163,1,"2__496078__496163",1
"chr10",505744,505998,1,"10__505744__505998",1
"chr10",454866,518489,1,"10__454866__518489",1
"chr17",526773,530556,1,"17__526773__530556",1
"chr10",530721,532470,2,"10__530721__532470",2
"chrY",528262,534501,1,"Y__528262__534501",1
"chr19",534614,534833,1,"19__534614__534833",1
"chr16",532525,546859,1,"16__532525__546859",1
"chr12",518534,547720,1,"12__518534__547720",1
"chr1",565214,565297,3,"1__565214__565297",3
"chr1",566186,566236,1,"1__566186__566236",1
"chr1",566592,566650,1,"1__566592__566650",1
"chr1",566592,566653,9,"1__566592__566653",9
"chr1",566599,566660,2,"1__566599__566660",2
"chr1",566592,566755,1,"1__566592__566755",1
"chr1",569276,569336,4,"1__569276__569336",4
"chr1",569379,569447,1,"1__569379__569447",1
"chr1",569276,569475,1,"1__569276__569475",1
"chr1",569908,569975,1,"1__569908__569975",1
"chr1",570190,570259,1,"1__570190__570259",1
"chr16",583946,586142,2,"16__583946__586142",2
"chr8",640898,642612,1,"8__640898__642612",1
"chr4",667123,667185,1,"4__667123__667185",1
"chr16",693308,693381,1,"16__693308__693381",1
"chr11",705382,705454,1,"11__705382__705454",1
"chr17",715977,716051,1,"17__715977__716051",1
"chr17_ctg5_hap1",693694,724155,2,"17_ctg5_hap1__693694__724155",2
"chr17",722679,729318,2,"17__722679__729318",2
"chr4",724419,738476,1,"4__724419__738476",1
"chr9",734748,740934,1,"9__734748__740934",1
"chr9",734748,742405,1,"9__734748__742405",1
"chr1",741179,745550,3,"1__741179__745550",3
"chr11",755879,760253,2,"11__755879__760253",2
"chr16",769330,769452,1,"16__769330__769452",1
"chr16",792250,792543,1,"16__792250__792543",1
"chr7",808496,825534,1,"7__808496__825534",1
"chr10",867305,867363,1,"10__867305__867363",1
"chr1",882849,882922,1,"1__882849__882922",1
"chr10",866740,890995,1,"10__866740__890995",1
"chr10",882343,890995,2,"10__882343__890995",2
"chr7",892470,893096,1,"7__892470__893096",1
"chr1",893137,893371,1,"1__893137__893371",1
"chr4",887165,898567,1,"4__887165__898567",1
"chr17",902019,902824,1,"17__902019__902824",1
"chr5",917579,917660,1,"5__917579__917660",1
"chr10",882343,931700,2,"10__882343__931700",2
"chr10",909683,931700,5,"10__909683__931700",5
"chr10",930387,931700,3,"10__930387__931700",3
"chr12",938228,939110,6,"12__938228__939110",6
"chr1",981344,981468,1,"1__981344__981468",1
"chr1",984739,984793,1,"1__984739__984793",1
"chr17",953290,1003975,1,"17__953290__1003975",1
"chr16",1004357,1004666,1,"16__1004357__1004666",1
"chr7",1040106,1049936,1,"7__1040106__1049936",1
"chr8",1070841,1070933,1,"8__1070841__1070933",1
"chr11",1119290,1119449,2,"11__1119290__1119449",2
"chr10",1125951,1126416,5,"10__1125951__1126416",5
"chr12",1136914,1137738,18,"12__1136914__1137738",18
"chr19",1144098,1144199,1,"19__1144098__1144199",1
"chr10",1139392,1151181,1,"10__1139392__1151181",1
"chr10",1130343,1151207,1,"10__1130343__1151207",1
"chr10",1149539,1151207,2,"10__1149539__1151207",2
"chr1",1158624,1159348,1,"1__1158624__1159348",1
"chr4",1162687,1162768,1,"4__1162687__1162768",1
"chr12",1192330,1192746,1,"12__1192330__1192746",1
"chr19",1218416,1219412,2,"19__1218416__1219412",2
"chr4",1221987,1235307,2,"4__1221987__1235307",2
"chr1",1250527,1250606,1,"1__1250527__1250606",1
"chr12",1213916,1250953,2,"12__1213916__1250953",2
"chr17",1257505,1265302,1,"17__1257505__1265302",1
"chr17",1264386,1265302,2,"17__1264386__1265302",2
"chr19",1270536,1270675,2,"19__1270536__1270675",2
"chr19",1270866,1272050,1,"19__1270866__1272050",1
"chr17",1268153,1273035,1,"17__1268153__1273035",1
"chr6",1287400,1287506,1,"6__1287400__1287506",1
"chr1",1309896,1309947,1,"1__1309896__1309947",1
"chr11",1307232,1317024,1,"11__1307232__1317024",1
"chr8",1322286,1322355,2,"8__1322286__1322355",2
"chr17",1325123,1325222,1,"17__1325123__1325222",1
"chr1",1322615,1326245,1,"1__1322615__1326245",1
"chr4",1331391,1331455,1,"4__1331391__1331455",1
"chr17",1340096,1340219,1,"17__1340096__1340219",1
"chr17",1340084,1340449,1,"17__1340084__1340449",1
"chr17",1374517,1374589,1,"17__1374517__1374589",1
"chr17",1376876,1376929,1,"17__1376876__1376929",1
"chrX",1387669,1387742,1,"X__1387669__1387742",1
"chr17",1411300,1411383,1,"17__1411300__1411383",1
"chr17",1451590,1451998,1,"17__1451590__1451998",1
"chrY",1458384,1458509,14,"Y__1458384__1458509",14
"chr17",1437393,1461853,1,"17__1437393__1461853",1
"chr12",1468760,1468831,1,"12__1468760__1468831",1
"chr7",1488306,1488373,1,"7__1488306__1488373",1
"chr1",1496712,1500296,1,"1__1496712__1500296",1
"chrX",1508384,1508509,19,"X__1508384__1508509",19
"chr19",1510149,1510916,1,"19__1510149__1510916",1
"chrX",1519881,1520051,1,"X__1519881__1520051",1
"chr7",1519953,1520513,1,"7__1519953__1520513",1
"chr7",1520471,1521124,1,"7__1520471__1521124",1
"chrX",1533636,1537184,1,"X__1533636__1537184",1
"chr17",1555038,1557201,1,"17__1555038__1557201",1
"chr17",1559942,1560028,1,"17__1559942__1560028",1
"chr7",1577520,1577606,1,"7__1577520__1577606",1
"chr17",1581812,1584348,1,"17__1581812__1584348",1
"chr17",1585161,1585216,1,"17__1585161__1585216",1
"chr17",1576375,1587876,1,"17__1576375__1587876",1
"chr6_ssto_hap7",1592239,1592732,1,"6_ssto_hap7__1592239__1592732",1
"chr19",1598051,1598132,1,"19__1598051__1598132",1
"chr17",1610633,1610753,1,"17__1610633__1610753",1
"chr17",1615000,1615103,1,"17__1615000__1615103",1
"chr17",1618614,1618791,1,"17__1618614__1618791",1
"chr4",1656705,1670632,1,"4__1656705__1670632",1
"chr16",1675974,1682366,2,"16__1675974__1682366",2
"chr17",1703151,1704318,1,"17__1703151__1704318",1
"chr4",1701342,1705381,1,"4__1701342__1705381",1
"chr2",1664653,1712568,1,"2__1664653__1712568",1
"chrX",1712337,1714425,2,"X__1712337__1714425",2
"chr1",1716818,1717078,1,"1__1716818__1717078",1
"chr16",1723255,1723327,1,"16__1723255__1723327",1
"chr1",1735858,1737977,1,"1__1735858__1737977",1
"chr6",1726650,1742820,1,"6__1726650__1742820",1
"chr17",1746097,1747980,4,"17__1746097__1747980",4
"chr1",1735858,1749314,2,"1__1735858__1749314",2
"chr12",1754960,1756341,1,"12__1754960__1756341",1
"chr17",1746097,1756483,2,"17__1746097__1756483",2
"chr1",1747225,1756904,2,"1__1747225__1756904",2
"chr1",1718761,1756921,2,"1__1718761__1756921",2
"chr1",1735858,1756938,2,"1__1735858__1756938",2
"chr1",1747195,1756938,5,"1__1747195__1756938",5
"chr1",1756836,1756938,1,"1__1756836__1756938",1
"chr1",1735858,1770677,1,"1__1735858__1770677",1
"chr1",1747195,1770677,1,"1__1747195__1770677",1
"chr11",1774259,1774356,2,"11__1774259__1774356",2
"chr11",1775033,1775110,2,"11__1775033__1775110",2
"chr11",1778607,1778709,1,"11__1778607__1778709",1
"chr17",1778955,1787238,1,"17__1778955__1787238",1
"chr17",1782287,1787238,1,"17__1782287__1787238",1
"chr4",1821083,1821145,1,"4__1821083__1821145",1
"chr8",1837045,1837098,2,"8__1837045__1837098",2
"chr6_dbb_hap3",1867338,1871370,1,"6_dbb_hap3__1867338__1871370",1
"chr7",1878520,1878648,1,"7__1878520__1878648",1
"chr7",1879220,1879402,1,"7__1879220__1879402",1
