"index","count"
"1__117944808__117948267",2
"1__1430865__1464711",2
"1__145355187__145359187",5
"1__1586823__1650894",2
"1__21599192__21616649",2
"1__217783663__217787544",2
"1__233334685__233388534",2
"1__23356962__23377013",2
"1__243708812__244006584",2
"1__243800913__244006584",2
"1__29481208__29481422",2
"1__32381496__32385259",2
"1__33290914__33295668",2
"1__35824526__35827390",2
"1__35846860__35854683",2
"1__44773982__44804994",2
"1__47745913__47748131",2
"1__70758071__70771973",2
"1__85331068__85331821",2
"10__103552596__103570071",2
"10__112356156__112358048",2
"10__128768966__128798571",2
"10__15858834__15889942",2
"10__29801664__29820217",2
"10__47207812__47210555",2
"10__5950888__5951257",2
"10__7405840__7423911",2
"11__130130751__130131824",5
"11__2972489__3000467",2
"11__2991033__3000467",2
"11__33307959__33309057",2
"11__46098305__46113774",2
"11__62651929__62651997",2
"11__85718585__85742653",4
"11__92085262__92088570",4
"12__120592774__120593523",2
"12__124130002__124137282",2
"12__19615444__19626289",2
"12__27867713__27877119",2
"12__49491349__49491888",3
"13__35615070__35619538",2
"13__52992127__53001354",2
"14__102659800__102661457",2
"14__20811283__20811436",2
"14__20811288__20811436",2
"14__20811306__20811436",2
"14__20811437__20811554",2
"14__21698478__21702388",3
"14__32559708__32563592",5
"14__32559708__32586493",4
"14__50053456__50329374",4
"14__50053483__50320482",2
"14__50053507__50329382",2
"14__50320424__50329510",2
"14__61262935__61285565",2
"14__99924616__99932150",4
"15__30053342__30065560",2
"15__57743698__57754090",2
"15__67524152__67529158",4
"15__70975097__70991999",2
"15__74963796__74967483",2
"15__83819967__83832827",2
"15__99250791__99251336",2
"16__21973781__21987564",2
"16__3900298__3901010",2
"16__47531310__47549512",2
"17__1268153__1273035",2
"17__20107646__20109225",2
"17__45695716__45696530",2
"17__47388674__47390207",2
"17__49340635__49346265",2
"17__79801034__79801968",2
"17__80755633__80772810",2
"18__19345733__19359646",4
"18__21644104__21649235",2
"18__76856476__76914555",2
"18__9931807__9937063",2
"19__21216262__21216990",2
"19__47919909__47920607",2
"2__106739426__106782539",2
"2__106761646__106782539",2
"2__106774514__106782539",2
"2__207144264__207162097",3
"2__215632206__215646233",2
"2__227771509__227779067",2
"2__234296903__234299129",2
"2__238933983__238944581",2
"2__24181171__24207701",2
"2__55209651__55214834",2
"2__61712903__61717911",2
"2__61749746__61761038",2
"20__30954187__30956926",2
"20__32207323__32211102",2
"20__61485368__61491660",2
"21__27327941__27328069",2
"21__30698380__30702014",2
"21__37711072__37717005",3
"22__25771780__25777544",3
"22__41349559__41363888",2
"22__42910112__42970824",2
"22__46085592__46114373",2
"3__124996570__125050082",2
"3__135979321__135980907",2
"3__138289160__138291774",2
"3__142455221__142467302",2
"3__149563798__149639014",2
"3__17051166__17056403",4
"3__196118684__196129890",2
"3__197592294__197602646",2
"3__33725851__33738425",2
"3__3819409__3830758",2
"3__47466975__47470160",2
"3__50098389__50099541",2
"3__56626998__56628056",5
"3__93714718__93722752",2
"4__1219148__1235307",2
"4__140037803__140060651",2
"4__144464662__144465125",3
"4__151719233__151738409",2
"4__187627717__187630999",2
"4__1902353__1941505",2
"4__20258295__20270504",2
"4__6995911__7002978",2
"4__77055328__77065626",2
"4__7870349__7873807",2
"4__87967318__87968746",2
"5__122881111__122893258",2
"5__127474289__127488497",2
"5__142779221__142780417",2
"5__167915607__167921655",2
"5__170818309__170819982",2
"5__179688684__179707608",2
"5__36953720__36976504",2
"5__49698120__49707217",2
"5__619105__620376",2
"5__68470704__68471364",2
"5__78734833__78752841",2
"6__13632602__13644961",2
"6__158870028__158873300",2
"6__17665470__17669777",2
"6__18256592__18258636",2
"6__4891947__4892613",2
"6__52935855__52941341",2
"6__7176888__7189555",2
"6__79752560__79770535",2
"7__135262544__135277940",2
"7__140055468__140058585",2
"7__155465561__155473602",4
"7__158580695__158591763",4
"7__27668990__27672060",2
"7__40027198__40041630",2
"7__43679048__43680248",2
"7__65751498__65751696",2
"7__99621042__99621930",5
"8__131370263__131374017",2
"8__142264088__142264728",3
"8__146015740__146015855",2
"8__6582391__6605349",2
"8__74585342__74601048",2
"9__131362359__131367756",2
"9__138773479__138774924",4
"9__33971649__33973235",2
"9__33996221__34017187",2
"9__4823548__4833228",2
"9__96233423__96261168",2
"X__130883334__130928494",2
