"Chr","Start","End","Chimeric.out.junction","index","count"
"chr9",10297,10338,1,"9__10297__10338",1
"chrUn_gl000222",11699,12288,1,"Un_gl000222__11699__12288",1
"chrUn_gl000242",10469,34218,2,"Un_gl000242__10469__34218",2
"chrUn_gl000212",40750,43780,2,"Un_gl000212__40750__43780",2
"chr1_gl000191_random",41406,44948,1,"1_gl000191_random__41406__44948",1
"chrUn_gl000212",47751,51333,1,"Un_gl000212__47751__51333",1
"chrUn_gl000214",51172,52945,1,"Un_gl000214__51172__52945",1
"chr17_gl000205_random",47825,53086,1,"17_gl000205_random__47825__53086",1
"chr16",131883,131939,1,"16__131883__131939",1
"chrUn_gl000225",120251,139438,1,"Un_gl000225__120251__139438",1
"chrUn_gl000220",139783,140628,2,"Un_gl000220__139783__140628",2
"chr7_gl000195_random",150405,156002,1,"7_gl000195_random__150405__156002",1
"chr16",160523,169254,1,"16__160523__169254",1
"chr9",162432,172172,3,"9__162432__172172",3
"chr17",172664,174352,1,"17__172664__174352",1
"chr18",163308,180339,1,"18__163308__180339",1
"chr18",196637,199316,3,"18__196637__199316",3
"chr18",178933,204692,1,"18__178933__204692",1
"chr18",196637,204692,2,"18__196637__204692",2
"chr10",225934,226068,1,"10__225934__226068",1
"chr5",224475,233760,1,"5__224475__233760",1
"chr5",254538,256570,1,"5__254538__256570",1
"chr16",249061,258187,3,"16__249061__258187",3
"chrY",256251,272325,1,"Y__256251__272325",1
"chrY",272140,272325,1,"Y__272140__272325",1
"chr16",304380,304680,1,"16__304380__304680",1
"chr11",308199,308386,1,"11__308199__308386",1
"chr19",311845,313643,2,"19__311845__313643",2
"chrX",306251,322325,1,"X__306251__322325",1
"chrX",322140,323067,1,"X__322140__323067",1
"chr19",325635,327989,2,"19__325635__327989",2
"chr16",347056,348251,1,"16__347056__348251",1
"chr16",354304,364683,6,"16__354304__364683",6
"chr5",353845,368059,1,"5__353845__368059",1
"chr5",311408,376831,2,"5__311408__376831",2
"chr5",353845,376831,1,"5__353845__376831",1
"chr16",364543,397106,1,"16__364543__397106",1
"chr16",396148,397106,3,"16__396148__397106",3
"chr10",410314,410961,1,"10__410314__410961",1
"chr5",413549,413604,1,"5__413549__413604",1
"chr16",418328,418560,2,"16__418328__418560",2
"chr20",422232,428718,1,"20__422232__428718",1
"chr12",394612,431733,1,"12__394612__431733",1
"chr5",420291,432639,1,"5__420291__432639",1
"chr12",459787,465703,2,"12__459787__465703",2
"chr10",454866,468973,1,"10__454866__468973",1
"chr11",460187,479152,1,"11__460187__479152",1
"chr12",514677,527802,2,"12__514677__527802",2
"chr12",518534,527802,1,"12__518534__527802",1
"chr10",518379,532470,6,"10__518379__532470",6
"chr16",532525,539000,1,"16__532525__539000",1
"chr7",540753,558705,1,"7__540753__558705",1
"chr17",556531,559193,1,"17__556531__559193",1
"chr16",553004,560800,2,"16__553004__560800",2
"chr6",553854,562845,1,"6__553854__562845",1
"chr6",532469,564929,1,"6__532469__564929",1
"chr1",569476,569579,1,"1__569476__569579",1
"chr5",619105,620376,19,"5__619105__620376",19
"chr5",619105,624694,5,"5__619105__624694",5
"chr6",629835,637861,14,"6__629835__637861",14
"chr5",619105,637933,1,"5__619105__637933",1
"chr5",619105,653306,1,"5__619105__653306",1
"chr5",619105,655699,2,"5__619105__655699",2
"chr5",647920,655699,3,"5__647920__655699",3
"chr11",678694,681089,1,"11__678694__681089",1
"chr17",673109,681901,1,"17__673109__681901",1
"chr18",685921,691276,2,"18__685921__691276",2
"chr18",685921,697355,1,"18__685921__697355",1
"chr7",716866,720363,1,"7__716866__720363",1
"chr17_ctg5_hap1",693694,724155,2,"17_ctg5_hap1__693694__724155",2
"chr12",723845,724226,1,"12__723845__724226",1
"chr1",741179,745550,1,"1__741179__745550",1
"chr9",734748,746202,1,"9__734748__746202",1
"chr7",716866,751164,5,"7__716866__751164",5
"chr17_ctg5_hap1",750725,752071,1,"17_ctg5_hap1__750725__752071",1
"chr19",756890,760039,2,"19__756890__760039",2
"chr16",792250,792543,2,"16__792250__792543",2
"chr7",810108,814799,2,"7__810108__814799",2
"chr7",819608,825286,1,"7__819608__825286",1
"chr1",871152,874792,1,"1__871152__874792",1
"chr7",872142,881767,1,"7__872142__881767",1
"chr7",872142,883157,1,"7__872142__883157",1
"chr10",875325,890995,2,"10__875325__890995",2
"chr10",882343,890995,10,"10__882343__890995",10
"chr4",882635,898562,1,"4__882635__898562",1
"chr7",888055,905704,1,"7__888055__905704",1
"chr5",894902,907308,1,"5__894902__907308",1
"chr5",904263,908576,1,"5__904263__908576",1
"chr7",908986,912199,1,"7__908986__912199",1
"chr7",893097,914109,1,"7__893097__914109",1
"chr5",893682,917266,1,"5__893682__917266",1
"chr5",907245,917266,1,"5__907245__917266",1
"chr12",911070,922980,1,"12__911070__922980",1
"chr10",871005,931700,1,"10__871005__931700",1
"chr10",882343,931700,1,"10__882343__931700",1
"chr10",888872,931700,1,"10__888872__931700",1
"chr10",909683,931700,3,"10__909683__931700",3
"chr10",930387,931700,2,"10__930387__931700",2
"chr10",882343,937291,1,"10__882343__937291",1
"chr12",922808,939326,1,"12__922808__939326",1
"chr12",936208,939326,1,"12__936208__939326",1
"chr10",909683,949456,2,"10__909683__949456",2
"chr1",957581,957842,2,"1__957581__957842",2
"chr12",974386,974478,1,"12__974386__974478",1
"chr17",970317,975994,1,"17__970317__975994",1
"chr11",986785,988689,1,"11__986785__988689",1
"chr12",992561,993409,2,"12__992561__993409",2
"chr17",953290,1003975,1,"17__953290__1003975",1
"chr12",1003728,1006847,1,"12__1003728__1006847",1
"chr5",1034350,1035588,1,"5__1034350__1035588",1
"chr5",1032267,1038837,1,"5__1032267__1038837",1
"chr7",1049586,1049779,1,"7__1049586__1049779",1
"chr10",1041869,1053068,1,"10__1041869__1053068",1
"chr5",1057586,1065593,1,"5__1057586__1065593",1
"chr10",1068503,1072760,1,"10__1068503__1072760",1
"chr4",1067387,1090627,2,"4__1067387__1090627",2
"chr5",1085347,1094363,2,"5__1085347__1094363",2
"chr10",1118056,1126416,2,"10__1118056__1126416",2
"chr10",1125951,1126416,6,"10__1125951__1126416",6
"chr10",1118056,1132297,2,"10__1118056__1132297",2
"chr12",1136914,1137738,14,"12__1136914__1137738",14
"chr10",1118056,1142186,2,"10__1118056__1142186",2
"chr10",1130343,1142186,4,"10__1130343__1142186",4
"chr17",1145232,1145485,1,"17__1145232__1145485",1
"chr12",1144726,1149125,2,"12__1144726__1149125",2
"chr10",1130343,1151207,1,"10__1130343__1151207",1
"chr10",1149539,1151207,1,"10__1149539__1151207",1
"chr10",1149542,1151207,1,"10__1149542__1151207",1
"chr19",1147308,1154401,1,"19__1147308__1154401",1
"chr17",1161854,1162853,1,"17__1161854__1162853",1
"chr19",1165699,1166016,1,"19__1165699__1166016",1
"chr17",1183608,1196207,1,"17__1183608__1196207",1
"chr17",1196818,1196927,2,"17__1196818__1196927",2
"chr1",1191425,1198766,1,"1__1191425__1198766",1
"chr1",1191425,1203372,4,"1__1191425__1203372",4
"chr1",1192372,1203372,1,"1__1192372__1203372",1
"chr5",1212418,1221971,1,"5__1212418__1221971",1
"chr12",1136914,1225199,1,"12__1136914__1225199",1
"chr12",1219358,1225199,2,"12__1219358__1225199",2
"chr4",1221987,1235307,1,"4__1221987__1235307",1
"chr4",1231971,1235307,1,"4__1231971__1235307",1
"chr12",1102544,1250953,2,"12__1102544__1250953",2
"chr12",1136914,1250953,1,"12__1136914__1250953",1
"chr12",1213916,1250953,1,"12__1213916__1250953",1
"chr17",1264386,1265302,2,"17__1264386__1265302",2
"chr6_qbl_hap6",1295633,1296708,1,"6_qbl_hap6__1295633__1296708",1
"chr12",1289784,1299104,1,"12__1289784__1299104",1
"chr12",1136914,1299218,4,"12__1136914__1299218",4
"chr12",1299025,1299218,1,"12__1299025__1299218",1
"chr20",1291444,1301079,3,"20__1291444__1301079",3
"chr6",1308818,1309888,1,"6__1308818__1309888",1
"chr1",1322615,1326245,2,"1__1322615__1326245",2
"chr19",1366304,1373159,1,"19__1366304__1373159",1
"chrY",1351571,1374420,1,"Y__1351571__1374420",1
"chr12",1399018,1399178,1,"12__1399018__1399178",1
"chr12",1399018,1404063,1,"12__1399018__1404063",1
"chrX",1404671,1409402,2,"X__1404671__1409402",2
"chr16",1416019,1417859,1,"16__1416019__1417859",1
"chr16",1414214,1420358,2,"16__1414214__1420358",2
"chr19",1417499,1421257,1,"19__1417499__1421257",1
"chr16",1414214,1421612,1,"16__1414214__1421612",1
"chr17",1431810,1431898,1,"17__1431810__1431898",1
"chr19",1416456,1432680,1,"19__1416456__1432680",1
"chr19",1417499,1432680,1,"19__1417499__1432680",1
"chr5",1432579,1443357,4,"5__1432579__1443357",4
