"index","chr","start","end","count"
"13__33261271__33271039","13",33261271,33271039,2
"13__33306238__33315286","13",33306238,33315286,1
"13__74387289__74420510","13",74387289,74420510,1
"13__77791975__77799689","13",77791975,77799689,1
"12__7088633__7088741","12",7088633,7088741,62
"12__46623347__46637097","12",46623347,46637097,1
"12__53856277__53862616","12",53856277,53862616,1
"12__111923517__111926584","12",111923517,111926584,1
"12__113753140__113754806","12",113753140,113754806,1
"12__120241010__120270668","12",120241010,120270668,3
"12__124911168__124922542","12",124911168,124922542,4
"12__125270903__125271049","12",125270903,125271049,1
"11__3752621__3756554","11",3752621,3756554,1
"11__9225207__9229179","11",9225207,9229179,1
"11__47648632__47652639","11",47648632,47652639,1
"11__47809734__47810163","11",47809734,47810163,6
"11__57261466__57263637","11",57261466,57263637,3
"11__61570273__61570398","11",61570273,61570398,3
"11__62363751__62364004","11",62363751,62364004,1
"11__65392396__65396174","11",65392396,65396174,1
"11__113723223__113725057","11",113723223,113725057,1
"11__125488268__125488456","11",125488268,125488456,7
"10__1130343__1151207","10",1130343,1151207,1
"10__1139392__1142186","10",1139392,1142186,1
"10__1149542__1151207","10",1149542,1151207,5
"10__17746969__17750950","10",17746969,17750950,2
"10__27453993__27454468","10",27453993,27454468,1
"10__74100547__74100928","10",74100547,74100928,1
"10__89527430__89536184","10",89527430,89536184,3
"10__96101430__96117088","10",96101430,96117088,1
"10__114724315__114799885","10",114724315,114799885,3
"10__120101239__120101439","10",120101239,120101439,4
"10__128795012__128797699","10",128795012,128797699,2
"17__1747872__1782993","17",1747872,1782993,3
"17__19445706__19452990","17",19445706,19452990,3
"17__35797839__35800763","17",35797839,35800763,15
"17__37579580__37580991","17",37579580,37580991,2
"17__41201138__41209152","17",41201138,41209152,1
"17__60601597__60613698","17",60601597,60613698,3
"17__64492319__64492401","17",64492319,64492401,1
"17__79254409__79258695","17",79254409,79258695,1
"16__11114050__11154879","16",11114050,11154879,1
"16__23428288__23446039","16",23428288,23446039,1
"16__23486225__23503121","16",23486225,23503121,1
"16__28146537__28157524","16",28146537,28157524,1
"16__30715385__30715636","16",30715385,30715636,3
"16__58577511__58621782","16",58577511,58621782,1
"16__68100220__68105011","16",68100220,68105011,22
"16__69170599__69177292","16",69170599,69177292,1
"16__69729039__69729282","16",69729039,69729282,9
"16__74339187__74340186","16",74339187,74340186,7
"16__84100094__84103643","16",84100094,84103643,1
"16__89998979__90002505","16",89998979,90002505,1
"15__41347445__41348904","15",41347445,41348904,1
"15__44907561__44912601","15",44907561,44912601,1
"15__50330965__50366382","15",50330965,50366382,3
"15__59455356__59517022","15",59455356,59517022,1
"15__59510090__59517022","15",59510090,59517022,2
"15__65782527__65790370","15",65782527,65790370,1
"15__86207794__86213061","15",86207794,86213061,1
"14__73614503__73614802","14",73614503,73614802,2
"14__93176017__93179216","14",93176017,93179216,1
"19__8973549__8987334","19",8973549,8987334,6
"19__34869839__34872424","19",34869839,34872424,3
"19__45528587__45528995","19",45528587,45528995,2
"19__57334121__57335882","19",57334121,57335882,2
"18__9588087__9595100","18",9588087,9595100,1
"18__10979533__11066221","18",10979533,11066221,1
"18__13681604__13682104","18",13681604,13682104,6
"18__21427428__21456371","18",21427428,21456371,3
"18__21757977__21759799","18",21757977,21759799,1
"18__33606863__33613800","18",33606863,33613800,1
"20__4864288__4865469","20",4864288,4865469,3
"20__6011931__6012016","20",6011931,6012016,2
"20__30732894__30734658","20",30732894,30734658,3
"20__33516236__33524826","20",33516236,33524826,1
"20__45008892__45012133","20",45008892,45012133,1
"20__45865070__45865260","20",45865070,45865260,5
"21__11047481__11049621","21",11047481,11049621,2
"21__45033711__45033828","21",45033711,45033828,11
"7__5327437__5334565","7",5327437,5334565,2
"7__16720926__16729531","7",16720926,16729531,1
"7__40117604__40118450","7",40117604,40118450,3
"7__75197503__75203206","7",75197503,75203206,1
"7__77214860__77227218","7",77214860,77227218,3
"7__100189290__100189525","7",100189290,100189525,1
"6__553854__564929","6",553854,564929,2
"6__17507400__17514185","6",17507400,17514185,3
"6__36020476__36044385","6",36020476,36044385,18
"6__42625762__42633250","6",42625762,42633250,1
"6__76344423__76373234","6",76344423,76373234,1
"6__145079065__145142154","6",145079065,145142154,1
"6__170033043__170052104","6",170033043,170052104,1
"5__76758920__76760634","5",76758920,76760634,1
"5__80366311__80404897","5",80366311,80404897,1
"5__122506460__122516017","5",122506460,122516017,1
"5__176938578__176942822","5",176938578,176942822,1
"5__176938578__176943448","5",176938578,176943448,1
"4__1696501__1698078","4",1696501,1698078,3
"4__39902046__39904080","4",39902046,39904080,3
"4__83795764__83796975","4",83795764,83796975,1
"4__103446669__103459113","4",103446669,103459113,4
"4__128851838__128854248","4",128851838,128854248,16
"4__169630179__169633074","4",169630179,169633074,1
"3__4490950__4494733","3",4490950,4494733,1
"3__8932073__8955404","3",8932073,8955404,1
"3__9724862__9726354","3",9724862,9726354,1
"3__11399892__11421526","3",11399892,11421526,1
"3__14485132__14489324","3",14485132,14489324,1
"3__42166912__42167106","3",42166912,42167106,1
"3__127774359__127775683","3",127774359,127775683,1
"3__136699308__136701192","3",136699308,136701192,1
"2__3196185__3218019","2",3196185,3218019,1
"2__74652544__74652882","2",74652544,74652882,27
"2__74746167__74747161","2",74746167,74747161,1
"2__99169249__99185131","2",99169249,99185131,1
"2__175945388__175976382","2",175945388,175976382,1
"2__203329532__203332412","2",203329532,203332412,1
"2__216279560__216284108","2",216279560,216284108,1
"1__8425872__8601377","1",8425872,8601377,2
"1__8555123__8617582","1",8555123,8617582,1
"1__8555123__8684439","1",8555123,8684439,1
"1__12042027__12042171","1",12042027,12042171,2
"1__16464770__16464925","1",16464770,16464925,2
"1__19644094__19644335","1",19644094,19644335,1
"1__21220010__21268823","1",21220010,21268823,1
"1__28233439__28233793","1",28233439,28233793,1
"1__51121114__51171563","1",51121114,51171563,3
"1__51926763__51929470","1",51926763,51929470,1
"1__65301781__65321381","1",65301781,65321381,1
"1__92798948__92811471","1",92798948,92811471,2
