"chr","start","end","count","index"
"chrM",231,383,2,"M__232__383"
"chrM",422,593,1,"M__423__593"
"chrM",1349,1560,1,"M__1350__1560"
"chrM",1700,1850,1,"M__1701__1850"
"chrM",2626,2685,1,"M__2627__2685"
"chrM",3598,3678,1,"M__3599__3678"
"chrM",4229,4329,1,"M__4230__4329"
"chrM",4835,5015,2,"M__4836__5015"
"chrM",5455,5552,1,"M__5456__5552"
"chrM",5896,6045,1,"M__5897__6045"
"chrM",6524,6603,1,"M__6525__6603"
"chrUn_gl000220",6989,7073,1,"Un_gl000220__6990__7073"
"chrM",7127,7200,2,"M__7128__7200"
"chrM",8927,9031,2,"M__8928__9031"
"chrM",8927,9190,1,"M__8928__9190"
"chrM",9122,9190,2,"M__9123__9190"
"chrM",9728,9860,1,"M__9729__9860"
"chrM",9811,9948,3,"M__9812__9948"
"chrM",10149,10257,1,"M__10150__10257"
"chrM",10091,10272,2,"M__10092__10272"
"chrM",10163,10314,1,"M__10164__10314"
"chrUn_gl000225",2868,10662,1,"Un_gl000225__2869__10662"
"chrM",10756,10930,1,"M__10757__10930"
"chrM",10878,11045,1,"M__10879__11045"
"chrM",10969,11045,1,"M__10970__11045"
"chrM",11204,11338,1,"M__11205__11338"
"chrM",11241,11409,1,"M__11242__11409"
"chrM",11451,11578,1,"M__11452__11578"
"chrM",11639,11810,1,"M__11640__11810"
"chrM",12064,12227,1,"M__12065__12227"
"chrUn_gl000222",11698,12288,25,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,89,"Un_gl000222__11828__12288"
"chrM",12360,12480,1,"M__12361__12480"
"chrM",12349,12505,1,"M__12350__12505"
"chrM",13352,13436,3,"M__13353__13436"
"chrM",13301,13438,1,"M__13302__13438"
"chrM",13297,13449,2,"M__13298__13449"
"chrM",13301,13449,1,"M__13302__13449"
"chrM",13384,13449,2,"M__13385__13449"
"chrM",13436,13487,2,"M__13437__13487"
"chrM",13418,13499,5,"M__13419__13499"
"chrM",13449,13640,1,"M__13450__13640"
"chrM",13530,13654,3,"M__13531__13654"
"chrM",13792,13855,4,"M__13793__13855"
"chrM",13743,13954,1,"M__13744__13954"
"chrM",13846,13990,1,"M__13847__13990"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13855,14024,1,"M__13856__14024"
"chrM",13939,14055,1,"M__13940__14055"
"chrM",13846,14067,1,"M__13847__14067"
"chrM",13935,14067,1,"M__13936__14067"
"chrM",14314,14377,1,"M__14315__14377"
"chrM",14329,14413,1,"M__14330__14413"
"chrM",14377,14443,1,"M__14378__14443"
"chrM",14363,14493,1,"M__14364__14493"
"chrM",14377,14493,2,"M__14378__14493"
"chrM",14912,14990,1,"M__14913__14990"
"chrM",14916,15026,1,"M__14917__15026"
"chrM",15224,15434,1,"M__15225__15434"
"chrM",15303,15446,1,"M__15304__15446"
"chrM",15382,15455,1,"M__15383__15455"
"chrM",15368,15494,2,"M__15369__15494"
"chrM",15382,15494,1,"M__15383__15494"
"chrM",15444,15569,1,"M__15445__15569"
"chr8_gl000196_random",6824,15889,1,"8_gl000196_random__6825__15889"
"chr8_gl000196_random",12891,15889,1,"8_gl000196_random__12892__15889"
"chrM",15801,16021,2,"M__15802__16021"
