"chr","start","end","count","index"
"chrM",611,779,1,"M__612__779"
"chrM",3598,3648,1,"M__3599__3648"
"chrM",4074,4168,1,"M__4075__4168"
"chrUn_gl000223",3448,4486,1,"Un_gl000223__3449__4486"
"chrM",6049,6111,1,"M__6050__6111"
"chrM",6271,6364,2,"M__6272__6364"
"chrM",6434,6603,1,"M__6435__6603"
"chrM",7906,7982,1,"M__7907__7982"
"chrM",8625,8685,1,"M__8626__8685"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",8693,8830,1,"M__8694__8830"
"chrM",8921,8998,1,"M__8922__8998"
"chrM",8927,9004,1,"M__8928__9004"
"chrM",8927,9089,1,"M__8928__9089"
"chrM",9093,9190,1,"M__9094__9190"
"chrM",9290,9470,1,"M__9291__9470"
"chrM",9424,9597,1,"M__9425__9597"
"chrM",9572,9641,9,"M__9573__9641"
"chr4_ctg9_hap1",9755,9860,1,"4_ctg9_hap1__9756__9860"
"chrM",10149,10257,3,"M__10150__10257"
"chrM",10545,10706,1,"M__10546__10706"
"chrM",10948,11041,1,"M__10949__11041"
"chrM",10969,11045,1,"M__10970__11045"
"chrUn_gl000222",11698,12288,4,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,6,"Un_gl000222__11828__12288"
"chrM",12399,12465,1,"M__12400__12465"
"chrM",12402,12465,1,"M__12403__12465"
"chrM",13306,13436,1,"M__13307__13436"
"chrM",13384,13449,6,"M__13385__13449"
"chrM",13449,13584,2,"M__13450__13584"
"chrM",13792,13855,1,"M__13793__13855"
"chrM",13846,13990,1,"M__13847__13990"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13852,14004,1,"M__13853__14004"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13999,14125,1,"M__14000__14125"
"chrM",14055,14377,1,"M__14056__14377"
"chrM",14314,14377,1,"M__14315__14377"
"chrM",14067,14413,1,"M__14068__14413"
"chrM",14329,14413,1,"M__14330__14413"
"chrM",14351,14434,1,"M__14352__14434"
"chrM",14377,14529,1,"M__14378__14529"
"chrM",15268,15335,1,"M__15269__15335"
"chrM",15517,15704,1,"M__15518__15704"
"chrUn_gl000222",16112,16194,2,"Un_gl000222__16113__16194"
"chr4_ctg9_hap1",15762,25950,1,"4_ctg9_hap1__15763__25950"
"chr1_gl000191_random",30931,31293,2,"1_gl000191_random__30932__31293"
"chr1_gl000191_random",30931,31306,1,"1_gl000191_random__30932__31306"
"chr4_ctg9_hap1",33211,34024,1,"4_ctg9_hap1__33212__34024"
"chr17_gl000205_random",34444,34569,1,"17_gl000205_random__34445__34569"
"chr7_gl000195_random",44366,44485,2,"7_gl000195_random__44367__44485"
"chr7_gl000195_random",44569,44700,1,"7_gl000195_random__44570__44700"
"chr4_ctg9_hap1",45549,45600,1,"4_ctg9_hap1__45550__45600"
"chrUn_gl000223",47487,47571,1,"Un_gl000223__47488__47571"
"chr1_gl000191_random",41682,48107,1,"1_gl000191_random__41683__48107"
"chrUn_gl000223",48075,48159,1,"Un_gl000223__48076__48159"
"chr1_gl000191_random",44808,48651,1,"1_gl000191_random__44809__48651"
"chr7_gl000195_random",46225,50132,2,"7_gl000195_random__46226__50132"
"chr16",103938,104022,1,"16__103939__104022"
"chr16",103938,105523,1,"16__103939__105523"
"chr18",116841,117304,1,"18__116842__117304"
"chr18",116841,118504,1,"18__116842__118504"
"chrUn_gl000220",122563,122627,1,"Un_gl000220__122564__122627"
"chr16",133161,133226,2,"16__133162__133226"
"chr5",139887,139946,1,"5__139888__139946"
"chr7_gl000195_random",142970,143045,1,"7_gl000195_random__142971__143045"
"chr17_ctg5_hap1",131904,143193,1,"17_ctg5_hap1__131905__143193"
"chr16",138696,143323,1,"16__138697__143323"
"chr16",142593,143323,1,"16__142594__143323"
"chrUn_gl000225",99045,144439,1,"Un_gl000225__99046__144439"
"chr16",148142,150507,3,"16__148143__150507"
"chr7_gl000195_random",140424,152034,1,"7_gl000195_random__140425__152034"
"chrY",150899,155473,1,"Y__150900__155473"
"chr7_gl000195_random",151954,156002,1,"7_gl000195_random__151955__156002"
"chrY",157314,158321,1,"Y__157315__158321"
"chrY",150833,159885,2,"Y__150834__159885"
"chrUn_gl000223",160378,160555,1,"Un_gl000223__160379__160555"
"chr8",162194,162263,1,"8__162195__162263"
"chrY",150833,166059,2,"Y__150834__166059"
"chr17_ctg5_hap1",167528,168155,3,"17_ctg5_hap1__167529__168155"
"chr16",162620,169254,1,"16__162621__169254"
"chr16",138696,170461,1,"16__138697__170461"
"chr17",169210,171206,1,"17__169211__171206"
"chr18",172112,172230,1,"18__172113__172230"
"chr6_apd_hap1",176480,176632,1,"6_apd_hap1__176481__176632"
"chr6_apd_hap1",177888,178015,1,"6_apd_hap1__177889__178015"
"chr18",163307,180339,1,"18__163308__180339"
"chr8",183109,183193,1,"8__183110__183193"
"chr18",163307,192900,2,"18__163308__192900"
"chr8",196062,196146,1,"8__196063__196146"
"chr18",192841,199316,2,"18__192842__199316"
"chr18",196636,199316,3,"18__196637__199316"
"chr18",197615,203190,1,"18__197616__203190"
"chrX",200833,209885,1,"X__200834__209885"
"chr11",212614,212745,1,"11__212615__212745"
"chr6_ssto_hap7",213125,213183,1,"6_ssto_hap7__213126__213183"
"chrX",200833,216059,2,"X__200834__216059"
"chr11",218831,218895,2,"11__218832__218895"
"chr11",218969,219041,3,"11__218970__219041"
"chr5",224574,224636,2,"5__224575__224636"
"chr5",223596,226162,1,"5__223597__226162"
"chr18",229954,230064,1,"18__229955__230064"
"chr11",224077,233118,1,"11__224078__233118"
"chr11",230451,234004,1,"11__230452__234004"
"chr5",225997,240591,1,"5__225998__240591"
"chr4",247348,248626,1,"4__247349__248626"
"chrY",249338,252666,1,"Y__249339__252666"
"chr11",252637,252804,1,"11__252638__252804"
"chr10",225933,255988,2,"10__225934__255988"
"chr5",254507,256570,1,"5__254508__256570"
"chr16",256002,256577,1,"16__256003__256577"
"chr16",242925,258187,2,"16__242926__258187"
"chr16",256002,258187,1,"16__256003__258187"
"chrY",249338,258428,3,"Y__249339__258428"
"chr16",262935,263057,1,"16__262936__263057"
"chr10",225933,267296,6,"10__225934__267296"
"chr10",255828,267296,1,"10__255829__267296"
"chr10",266576,267296,1,"10__266577__267296"
"chr16",249060,270746,1,"16__249061__270746"
"chrY",249338,272325,2,"Y__249339__272325"
"chrY",256250,272325,1,"Y__256251__272325"
"chrY",272139,273067,9,"Y__272140__273067"
"chr2",277547,277609,1,"2__277548__277609"
"chr2",277564,277626,1,"2__277565__277626"
"chr2",277933,278019,1,"2__277934__278019"
"chr11",291113,291245,1,"11__291114__291245"
"chr11",291245,291293,1,"11__291246__291293"
"chr10",225933,293406,1,"10__225934__293406"
"chr10",225933,295028,2,"10__225934__295028"
"chr11",295137,295220,1,"11__295138__295220"
"chrX",299338,302666,1,"X__299339__302666"
"chrX",299338,308428,3,"X__299339__308428"
"chrX",306250,308428,1,"X__306251__308428"
"chr11",309205,309273,2,"11__309206__309273"
"chr16",299547,310159,1,"16__299548__310159"
"chr19",311844,313643,1,"19__311845__313643"
"chr16",299547,313774,1,"16__299548__313774"
"chr5",306756,314711,1,"5__306757__314711"
"chrX",299338,322325,5,"X__299339__322325"
"chrX",322139,323067,3,"X__322140__323067"
"chrX",343181,345501,1,"X__343182__345501"
"chr18",346967,347039,1,"18__346968__347039"
"chr16",347055,348251,2,"16__347056__348251"
"chr6",349881,349951,1,"6__349882__349951"
"chr18",346294,357522,1,"18__346295__357522"
"chr16",354303,364683,4,"16__354304__364683"
"chr5",306716,376831,1,"5__306717__376831"
"chr5",353844,376831,2,"5__353845__376831"
"chr11",377068,377149,1,"11__377069__377149"
"chr11",380835,380976,1,"11__380836__380976"
"chr8",381340,385707,3,"8__381341__385707"
"chr10",387138,395394,1,"10__387139__395394"
"chr16",354303,397106,3,"16__354304__397106"
"chr16",396147,397106,3,"16__396148__397106"
"chr20",398169,398574,1,"20__398170__398574"
"chr18",410718,414329,1,"18__410719__414329"
"chr20",416937,417010,1,"20__416938__417010"
"chr12",417087,417171,1,"12__417088__417171"
"chr16",417534,417673,1,"16__417535__417673"
"chr16",418327,418560,4,"16__418328__418560"
"chr12",416111,419130,1,"12__416112__419130"
"chr16",420026,420113,2,"16__420027__420113"
"chr8",421973,422055,1,"8__421974__422055"
"chr16",424783,424849,1,"16__424784__424849"
"chr16",426249,426348,1,"16__426250__426348"
"chr20",428532,428718,1,"20__428533__428718"
"chr5",430512,430593,1,"5__430513__430593"
"chr19",434762,434828,2,"19__434763__434828"
"chr4",436290,436374,1,"4__436291__436374"
"chr4",436337,436421,1,"4__436338__436421"
"chr4",436962,437046,1,"4__436963__437046"
"chr4",436972,437056,1,"4__436973__437056"
"chr4",437644,437728,1,"4__437645__437728"
"chr19",438717,440932,1,"19__438718__440932"
"chr16",450216,450338,1,"16__450217__450338"
"chr5",458087,458140,1,"5__458088__458140"
"chr12",459786,459918,1,"12__459787__459918"
"chr12",459786,461490,1,"12__459787__461490"
"chr20",461791,461881,2,"20__461792__461881"
"chr5",462337,462422,1,"5__462338__462422"
"chr12",401924,463400,1,"12__401925__463400"
"chr20",464257,464362,1,"20__464258__464362"
"chr12",459786,465703,4,"12__459787__465703"
"chr10",465004,468973,1,"10__465005__468973"
"chr5",471146,471242,3,"5__471147__471242"
"chr20",467019,473008,1,"20__467020__473008"
"chr5",474171,474221,1,"5__474172__474221"
"chr5",474221,474825,1,"5__474222__474825"
"chr12",401924,475270,1,"12__401925__475270"
"chr12",459786,475270,2,"12__459787__475270"
"chr12",472128,475270,1,"12__472129__475270"
"chr5",478463,478967,1,"5__478464__478967"
"chr8",444493,481576,2,"8__444494__481576"
"chr8",478894,481576,5,"8__478895__481576"
"chr11",460186,489960,1,"11__460187__489960"
"chr12",493196,495140,1,"12__493197__495140"
"chr4",499506,501382,1,"4__499507__501382"
"chr4",499506,502759,1,"4__499507__502759"
"chr10",518378,524773,1,"10__518379__524773"
"chr12",514676,527802,1,"12__514677__527802"
"chr12",518533,527802,1,"12__518534__527802"
"chr12",531732,531816,1,"12__531733__531816"
"chr10",468763,532470,2,"10__468764__532470"
"chr10",486810,532470,1,"10__486811__532470"
"chr10",518378,532470,7,"10__518379__532470"
"chr10",530720,532470,5,"10__530721__532470"
"chr17",526772,534868,1,"17__526773__534868"
"chr17",534789,536081,2,"17__534790__536081"
"chr19",540011,540805,1,"19__540012__540805"
"chr7",541175,541308,1,"7__541176__541308"
"chr16",532524,546859,1,"16__532525__546859"
"chr12",520912,547720,2,"12__520913__547720"
"chr12",537934,547720,1,"12__537935__547720"
"chr12",539829,547720,1,"12__539830__547720"
"chr17",556530,559193,1,"17__556531__559193"
"chr17",526772,565135,1,"17__526773__565135"
"chr17",556530,565135,1,"17__556531__565135"
"chr1",566598,566660,2,"1__566599__566660"
"chr16",568961,569024,2,"16__568962__569024"
"chr1",569469,569546,1,"1__569470__569546"
"chr16",570130,570277,1,"16__570131__570277"
"chr6",532468,576882,2,"6__532469__576882"
"chr6",562783,576882,1,"6__562784__576882"
"chr11",581491,587464,1,"11__581492__587464"
"chr8",588540,588891,1,"8__588541__588891"
"chr6",592517,592574,1,"6__592518__592574"
"chr19",597868,598027,1,"19__597869__598027"
"chr11",587258,598502,1,"11__587259__598502"
"chr16",598199,599056,1,"16__598200__599056"
"chr16",601021,601070,1,"16__601022__601070"
"chr6",532468,610178,1,"6__532469__610178"
"chr11",610716,610995,1,"11__610717__610995"
"chr5",611111,611350,1,"5__611112__611350"
"chr11",611034,611672,1,"11__611035__611672"
"chr11",610995,611684,1,"11__610996__611684"
"chr17",600657,613853,1,"17__600658__613853"
"chr17",615349,616632,1,"17__615350__616632"
"chr6",617710,617769,2,"6__617711__617769"
"chr19",617776,617913,1,"19__617777__617913"
"chr5",619104,620376,46,"5__619105__620376"
"chr8",622056,622147,1,"8__622057__622147"
"chr19",622581,622727,1,"19__622582__622727"
"chr19",622841,622898,3,"19__622842__622898"
"chr8",622833,623002,1,"8__622834__623002"
"chr8",618597,624047,1,"8__618598__624047"
"chr5",619104,624694,2,"5__619105__624694"
"chr20",627389,627560,1,"20__627390__627560"
"chr20",628442,628546,1,"20__628443__628546"
"chr5",633885,633962,2,"5__633886__633962"
"chr5",619104,634062,1,"5__619105__634062"
"chr6",629834,637861,3,"6__629835__637861"
"chr5",620250,640621,1,"5__620251__640621"
"chr8",640897,642612,1,"8__640898__642612"
"chr8",640969,642612,1,"8__640970__642612"
"chr5",614584,644540,1,"5__614585__644540"
"chr7",618892,647089,1,"7__618893__647089"
"chr5",619104,648031,2,"5__619105__648031"
"chr19",648371,650296,1,"19__648372__650296"
"chr4",652291,652732,1,"4__652292__652732"
"chr17",647675,653149,1,"17__647676__653149"
"chr5",619104,653306,3,"5__619105__653306"
"chr5",619104,655699,2,"5__619105__655699"
"chr5",624585,655699,1,"5__624586__655699"
"chr19",660871,661039,1,"19__660872__661039"
"chr8",665891,665993,1,"8__665892__665993"
"chr18",666381,666466,1,"18__666382__666466"
"chr4",667091,667166,9,"4__667092__667166"
"chr4",667122,667185,2,"4__667123__667185"
"chr17_ctg5_hap1",667173,668715,1,"17_ctg5_hap1__667174__668715"
"chr18",659640,671451,1,"18__659641__671451"
"chr18",670691,671451,1,"18__670692__671451"
"chr12",672451,672553,2,"12__672452__672553"
"chr5",674269,674442,1,"5__674270__674442"
"chr11",653994,674568,2,"11__653995__674568"
"chr11",678024,678822,1,"11__678025__678822"
"chr17",673108,681901,1,"17__673109__681901"
"chr16",684515,684644,2,"16__684516__684644"
"chr17",685669,685735,1,"17__685670__685735"
"chr17",691493,691628,1,"17__691494__691628"
"chr16",692971,693040,1,"16__692972__693040"
"chr11",694852,694933,1,"11__694853__694933"
"chr11",694846,694944,1,"11__694847__694944"
"chr17",691204,695473,1,"17__691205__695473"
"chr17_ctg5_hap1",693693,705913,1,"17_ctg5_hap1__693694__705913"
"chr17",706921,708455,1,"17__706922__708455"
"chr16",709085,712331,1,"16__709086__712331"
"chr9",676889,713464,1,"9__676890__713464"
"chr9",710803,713464,1,"9__710804__713464"
"chr16",722083,722566,1,"16__722084__722566"
"chr17_ctg5_hap1",693693,724155,3,"17_ctg5_hap1__693694__724155"
"chr4",728014,728134,1,"4__728015__728134"
"chr17",722678,729318,1,"17__722679__729318"
"chr17",725596,729318,1,"17__725597__729318"
"chr4",724418,731310,1,"4__724419__731310"
"chr16",731694,731758,2,"16__731695__731758"
"chr16",732209,732281,1,"16__732210__732281"
"chr9",732489,732617,1,"9__732490__732617"
"chr16",732490,732617,2,"16__732491__732617"
"chr16",734839,734902,1,"16__734840__734902"
"chr19",726137,736078,1,"19__726138__736078"
"chr9",738284,744589,1,"9__738285__744589"
"chr1",741178,745550,3,"1__741179__745550"
"chr6",744851,748051,1,"6__744852__748051"
"chr7",720319,751016,1,"7__720320__751016"
"chr7",716865,751164,2,"7__716866__751164"
"chr18",724312,756835,1,"18__724313__756835"
"chr11",755878,760253,1,"11__755879__760253"
"chr11",760182,760253,4,"11__760183__760253"
"chr11",763895,764327,1,"11__763896__764327"
"chr7",762390,764501,1,"7__762391__764501"
"chr16",765393,765487,1,"16__765394__765487"
"chr17_ctg5_hap1",763078,767605,1,"17_ctg5_hap1__763079__767605"
"chr5",765957,769045,1,"5__765958__769045"
"chr4",773181,773318,1,"4__773182__773318"
"chr4",778825,778909,1,"4__778826__778909"
"chr11",783529,784121,1,"11__783530__784121"
"chr16",792249,792543,1,"16__792250__792543"
"chr19",803918,803978,1,"19__803919__803978"
"chr19",804115,804172,1,"19__804116__804172"
"chr19",804083,804208,1,"19__804084__804208"
"chr7",793946,814799,1,"7__793947__814799"
"chr7",810107,814799,3,"7__810108__814799"
"chr11",821175,821245,1,"11__821176__821245"
"chr7",810107,829160,1,"7__810108__829160"
"chr16",835381,835457,1,"16__835382__835457"
"chr16",836842,836917,1,"16__836843__836917"
"chr5",825278,837595,1,"5__825279__837595"
"chr16",838705,838756,1,"16__838706__838756"
"chr11",838742,838804,1,"11__838743__838804"
"chr5",846578,846696,1,"5__846579__846696"
"chr16",845684,847751,2,"16__845685__847751"
"chr11",850129,850225,1,"11__850130__850225"
"chr19",860708,860762,1,"19__860709__860762"
"chr19",861874,861949,1,"19__861875__861949"
"chr1",863118,863184,1,"1__863119__863184"
"chr12",863334,863490,1,"12__863335__863490"
"chr11",865569,865753,1,"11__865570__865753"
"chr19",865755,865817,1,"19__865756__865817"
"chr19",868415,868499,1,"19__868416__868499"
"chr11",868835,868893,1,"11__868836__868893"
"chr1",871164,871251,4,"1__871165__871251"
"chr4",871253,871332,1,"4__871254__871332"
"chr4",873793,873849,1,"4__873794__873849"
"chr1",874436,874509,1,"1__874437__874509"
"chr1",871151,874792,1,"1__871152__874792"
"chr4",853393,877874,1,"4__853394__877874"
"chr1",878452,878546,1,"1__878453__878546"
