"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,27,"Un_gl000222__11699__12288",27
"chrUn_gl000222",11828,12288,70,"Un_gl000222__11828__12288",70
"chr8_gl000196_random",12892,15889,3,"8_gl000196_random__12892__15889",3
"chr9",15172,15908,1,"9__15172__15908",1
"chrUn_gl000235",19359,19553,1,"Un_gl000235__19359__19553",1
"chrUn_gl000222",11828,21600,1,"Un_gl000222__11828__21600",1
"chr8_gl000196_random",12892,22894,2,"8_gl000196_random__12892__22894",2
"chr9",24851,25395,1,"9__24851__25395",1
"chrUn_gl000241",24640,25602,1,"Un_gl000241__24640__25602",1
"chr8_gl000196_random",12892,27060,2,"8_gl000196_random__12892__27060",2
"chr1_gl000191_random",30764,30969,1,"1_gl000191_random__30764__30969",1
"chr1_gl000191_random",32908,33211,1,"1_gl000191_random__32908__33211",1
"chr1_gl000191_random",41406,41845,2,"1_gl000191_random__41406__41845",2
"chrUn_gl000225",32200,50917,1,"Un_gl000225__32200__50917",1
"chr4",59323,60046,1,"4__59323__60046",1
"chrUn_gl000223",48976,64979,1,"Un_gl000223__48976__64979",1
"chr16",66916,67427,1,"16__66916__67427",1
"chr17_gl000205_random",69882,70026,1,"17_gl000205_random__69882__70026",1
"chr7_gl000195_random",70492,74180,1,"7_gl000195_random__70492__74180",1
"chr9_gl000198_random",78701,78822,1,"9_gl000198_random__78701__78822",1
"chr12",82208,82317,1,"12__82208__82317",1
"chr12",88016,88232,1,"12__88016__88232",1
"chr16",93693,93849,1,"16__93693__93849",1
"chr16",88210,93975,4,"16__88210__93975",4
"chr17_gl000205_random",94889,94994,1,"17_gl000205_random__94889__94994",1
"chrUn_gl000223",93754,95473,1,"Un_gl000223__93754__95473",1
"chr3",95659,95855,1,"3__95659__95855",1
"chr17_ctg5_hap1",95216,98585,1,"17_ctg5_hap1__95216__98585",1
"chr17",100459,100606,1,"17__100459__100606",1
"chrUn_gl000214",105913,106030,1,"Un_gl000214__105913__106030",1
"chr16",109521,109729,1,"16__109521__109729",1
"chrUn_gl000225",21517,111180,1,"Un_gl000225__21517__111180",1
"chrUn_gl000220",115018,115211,1,"Un_gl000220__115018__115211",1
"chrUn_gl000220",115822,116108,1,"Un_gl000220__115822__116108",1
"chrUn_gl000220",117255,117797,1,"Un_gl000220__117255__117797",1
"chrUn_gl000220",117895,117986,2,"Un_gl000220__117895__117986",2
"chrUn_gl000220",117908,118042,1,"Un_gl000220__117908__118042",1
"chrUn_gl000220",117908,118044,1,"Un_gl000220__117908__118044",1
"chrUn_gl000220",117893,118048,1,"Un_gl000220__117893__118048",1
"chrUn_gl000220",117897,118097,1,"Un_gl000220__117897__118097",1
"chrUn_gl000220",117965,118097,1,"Un_gl000220__117965__118097",1
"chrUn_gl000220",117895,118103,2,"Un_gl000220__117895__118103",2
"chrUn_gl000220",117893,118115,2,"Un_gl000220__117893__118115",2
"chrUn_gl000220",117965,118115,1,"Un_gl000220__117965__118115",1
"chrUn_gl000220",118018,118124,9,"Un_gl000220__118018__118124",9
"chrUn_gl000220",117897,118126,3,"Un_gl000220__117897__118126",3
"chrUn_gl000220",117948,118126,2,"Un_gl000220__117948__118126",2
"chrUn_gl000220",117997,118126,1,"Un_gl000220__117997__118126",1
"chrUn_gl000220",117897,118410,1,"Un_gl000220__117897__118410",1
"chrUn_gl000220",118083,118410,3,"Un_gl000220__118083__118410",3
"chrUn_gl000220",120597,120712,1,"Un_gl000220__120597__120712",1
"chrUn_gl000220",122899,123042,1,"Un_gl000220__122899__123042",1
"chrUn_gl000220",121605,123082,3,"Un_gl000220__121605__123082",3
"chrUn_gl000220",122991,123082,1,"Un_gl000220__122991__123082",1
"chr7_gl000195_random",125006,125159,1,"7_gl000195_random__125006__125159",1
"chr17_gl000205_random",138554,138735,1,"17_gl000205_random__138554__138735",1
"chr17_ctg5_hap1",137894,143193,2,"17_ctg5_hap1__137894__143193",2
"chr16",138697,143323,1,"16__138697__143323",1
"chr16",142594,143323,7,"16__142594__143323",7
"chr5",139598,145035,2,"5__139598__145035",2
"chr17_ctg5_hap1",143048,146702,2,"17_ctg5_hap1__143048__146702",2
"chrUn_gl000225",148134,148255,1,"Un_gl000225__148134__148255",1
"chr16",148143,150507,6,"16__148143__150507",6
"chr7_gl000195_random",152744,152847,1,"7_gl000195_random__152744__152847",1
"chrUn_gl000220",157519,157771,1,"Un_gl000220__157519__157771",1
"chrY",150834,158321,1,"Y__150834__158321",1
"chrY",158177,158665,1,"Y__158177__158665",1
"chr4",158906,159102,1,"4__158906__159102",1
"chrUn_gl000220",115050,159193,1,"Un_gl000220__115050__159193",1
"chrUn_gl000220",115602,159761,1,"Un_gl000220__115602__159761",1
"chrY",150834,159885,2,"Y__150834__159885",2
"chrUn_gl000220",113712,160156,1,"Un_gl000220__113712__160156",1
"chrUn_gl000223",157907,160555,2,"Un_gl000223__157907__160555",2
