"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chrY",249338,258428,"circular_RNA/1",0,"-",249338,249338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrY:245252-249338|chrY:258428-272139","Y__249339__258428",1
"chrY",256250,272325,"circular_RNA/2",0,"-",256250,256250,"0,0,0",6,"157,87,75,103,104,186","0,658,1185,1718,2074,15889",2,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3,2","chrY:252666-256250|chrY:272325-297102","Y__256251__272325",2
"chrY",272139,272325,"circular_RNA/1",0,"-",272139,272139,"0,0,0",1,"186","0",1,"circRNA","PPP2R3B","NM_013239","2","chrY:258428-272139|chrY:272325-297102","Y__272140__272325",1
"chrY",1351570,1374420,"circular_RNA/1",0,"+",1351570,1351570,"0,0,0",10,"102,143,124,130,173,134,30,136,97,82","0,3100,5841,6081,7659,11650,12749,17813,21245,22768",1,"circRNA","CSF2RA","NM_001161531","3,4,5,6,7,8,9,10,11,12","chrY:1343735-1351570|chrY:1374420-1374520","Y__1351571__1374420",1
"chrY",2111063,2293345,"circular_RNA/1",0,"-",2111063,2111063,"0,0,0",5,"208,208,102,69,108","0,23717,48479,165722,182174",1,"circRNA","DHRSX","NM_145177","6,5,4,3,2","chrY:2089270-2111063|chrY:2293345-2368857","Y__2111064__2293345",1
"chrY",2134780,2159644,"circular_RNA/1",0,"-",2134780,2134780,"0,0,0",2,"208,102","0,24762",1,"circRNA","DHRSX","NM_145177","5,4","chrY:2111271-2134780|chrY:2159644-2276785","Y__2134781__2159644",1
"chrY",2276785,2293345,"circular_RNA/1",0,"-",2276785,2276785,"0,0,0",2,"69,108","0,16452",1,"circRNA","DHRSX","NM_145177","3,2","chrY:2159644-2276785|chrY:2293345-2368857","Y__2276786__2293345",1
"chrX",299338,322325,"circular_RNA/1",0,"-",299338,299338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrX:295252-299338|chrX:322325-347102","X__299339__322325",1
"chrX",306250,322325,"circular_RNA/2",0,"-",306250,306250,"0,0,0",6,"157,87,75,103,104,186","0,658,1185,1718,2074,15889",2,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3,2","chrX:302666-306250|chrX:322325-347102","X__306251__322325",2
"chrX",1404670,1409402,"circular_RNA/2",0,"+",1404670,1404670,"0,0,0",4,"143,124,130,173","0,2741,2981,4559",2,"circRNA","CSF2RA","NM_001161531","4,5,6,7","chrX:1401672-1404670|chrX:1409402-1413220","X__1404671__1409402",2
"chrX",10031484,10035530,"circular_RNA/1",0,"+",10031484,10031484,"0,0,0",2,"110,204","0,3842",1,"circRNA","WWC3","NM_015691","2,3","chrX:9983898-10031484|chrX:10035530-10046838","X__10031485__10035530",1
