"chr","start","end","count","index"
"chrUn_gl000220",1650,1738,2,"Un_gl000220__1651__1738"
"chrM",2878,3123,1,"M__2879__3123"
"chrM",3598,3678,1,"M__3599__3678"
"chrM",4107,4168,1,"M__4108__4168"
"chrM",4664,4748,1,"M__4665__4748"
"chrM",6042,6101,1,"M__6043__6101"
"chrM",7906,7967,2,"M__7907__7967"
"chrM",7906,7982,1,"M__7907__7982"
"chrM",8625,8685,7,"M__8626__8685"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",8927,9031,1,"M__8928__9031"
"chrM",9031,9190,1,"M__9032__9190"
"chrM",9408,9522,1,"M__9409__9522"
"chr4_ctg9_hap1",9755,9818,1,"4_ctg9_hap1__9756__9818"
"chr9",10296,10338,2,"9__10297__10338"
"chrUn_gl000222",11698,12288,1,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,1,"Un_gl000222__11828__12288"
"chrM",12402,12465,2,"M__12403__12465"
"chrM",13306,13384,1,"M__13307__13384"
"chrM",13306,13436,1,"M__13307__13436"
"chrM",13352,13436,1,"M__13353__13436"
"chrM",13384,13449,1,"M__13385__13449"
"chrM",13418,13499,2,"M__13419__13499"
"chrM",13449,13640,1,"M__13450__13640"
"chrM",13846,13999,2,"M__13847__13999"
"chrM",13855,13999,2,"M__13856__13999"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13855,14024,1,"M__13856__14024"
"chrM",14044,14125,1,"M__14045__14125"
"chrM",14335,14413,1,"M__14336__14413"
"chrM",14963,15050,1,"M__14964__15050"
"chrM",14621,15073,1,"M__14622__15073"
"chrM",15368,15491,1,"M__15369__15491"
"chr8_gl000196_random",12891,22894,5,"8_gl000196_random__12892__22894"
"chr8_gl000196_random",15784,22894,1,"8_gl000196_random__15785__22894"
"chrUn_gl000242",12780,34218,1,"Un_gl000242__12781__34218"
"chr2",40621,40693,1,"2__40622__40693"
"chr1_gl000191_random",41405,41845,1,"1_gl000191_random__41406__41845"
"chrUn_gl000212",40749,43780,1,"Un_gl000212__40750__43780"
"chr7_gl000195_random",44222,44369,1,"7_gl000195_random__44223__44369"
"chr1_gl000191_random",41682,48651,1,"1_gl000191_random__41683__48651"
"chr5",56731,56808,1,"5__56732__56808"
"chr6_dbb_hap3",29557,73995,1,"6_dbb_hap3__29558__73995"
"chr4_gl000194_random",80405,80464,1,"4_gl000194_random__80406__80464"
"chr16",89571,89763,2,"16__89572__89763"
"chrUn_gl000220",117907,118034,1,"Un_gl000220__117908__118034"
"chrUn_gl000220",117871,118097,1,"Un_gl000220__117872__118097"
"chrUn_gl000220",118409,118543,1,"Un_gl000220__118410__118543"
"chrUn_gl000220",118694,118765,2,"Un_gl000220__118695__118765"
"chr16",148142,150507,1,"16__148143__150507"
"chrY",150833,159885,2,"Y__150834__159885"
"chrUn_gl000223",160378,163228,1,"Un_gl000223__160379__163228"
"chrY",150833,166059,1,"Y__150834__166059"
"chr17_ctg5_hap1",167528,168155,2,"17_ctg5_hap1__167529__168155"
"chr16",167299,180590,1,"16__167300__180590"
"chr18",163307,182504,1,"18__163308__182504"
"chr4",193559,193627,1,"4__193560__193627"
"chr18",196636,203190,1,"18__196637__203190"
"chr18",196636,204692,1,"18__196637__204692"
"chr4",194869,205674,1,"4__194870__205674"
"chrX",200833,209885,1,"X__200834__209885"
"chr11",212928,212981,1,"11__212929__212981"
"chr11",224077,233215,1,"11__224078__233215"
"chr16",239227,243014,1,"16__239228__243014"
"chr4",247348,248626,2,"4__247349__248626"
"chrY",249338,252666,2,"Y__249339__252666"
"chr2",247537,253115,1,"2__247538__253115"
"chr10",225933,255988,3,"10__225934__255988"
"chr16",249060,258187,2,"16__249061__258187"
"chrY",249338,258428,3,"Y__249339__258428"
"chrY",256250,258428,2,"Y__256251__258428"
"chr16",249060,258663,1,"16__249061__258663"
"chr16",258076,258663,1,"16__258077__258663"
"chr5",266902,267054,1,"5__266903__267054"
"chr10",225933,267296,13,"10__225934__267296"
"chrY",249338,272325,3,"Y__249339__272325"
"chrY",256250,272325,1,"Y__256251__272325"
"chrY",249338,273067,1,"Y__249339__273067"
"chrY",272139,273067,2,"Y__272140__273067"
"chr10",225933,295028,3,"10__225934__295028"
"chrX",299338,302131,2,"X__299339__302131"
"chr19",307799,307863,2,"19__307800__307863"
"chr10",305924,309598,1,"10__305925__309598"
"chr6",304627,311962,1,"6__304628__311962"
"chr5",264437,314711,1,"5__264438__314711"
"chr9",311953,317128,1,"9__311954__317128"
"chr10",291840,319439,1,"10__291841__319439"
"chrX",306250,322325,2,"X__306251__322325"
"chrX",322139,323067,3,"X__322140__323067"
"chr19",325634,327989,1,"19__325635__327989"
"chr19",326506,327989,1,"19__326507__327989"
"chr19",325634,336173,1,"19__325635__336173"
"chr18",346883,346973,1,"18__346884__346973"
"chr16",347055,348251,1,"16__347056__348251"
"chr16",354303,364683,10,"16__354304__364683"
"chr6_cox_hap2",393846,395466,1,"6_cox_hap2__393847__395466"
"chr16",354303,397106,3,"16__354304__397106"
"chr20",398169,398574,1,"20__398170__398574"
"chr12",402029,402098,1,"12__402030__402098"
"chr20",409149,409233,1,"20__409150__409233"
"chr12",417087,417171,1,"12__417088__417171"
"chr16",418327,418560,1,"16__418328__418560"
"chr10",412214,430086,1,"10__412215__430086"
"chr4",429558,431300,2,"4__429559__431300"
"chr4",429558,432421,1,"4__429559__432421"
"chr5",422843,434269,1,"5__422844__434269"
"chr4",436962,437046,1,"4__436963__437046"
"chr12",438000,443588,1,"12__438001__443588"
"chr16",450382,450457,1,"16__450383__450457"
"chr12",459786,461490,4,"12__459787__461490"
"chr12",459786,463400,3,"12__459787__463400"
"chr12",459786,465703,4,"12__459787__465703"
"chr12",401924,475270,2,"12__401925__475270"
"chr8",478894,481576,5,"8__478895__481576"
"chr10",454865,486936,1,"10__454866__486936"
"chr12",493196,501005,2,"12__493197__501005"
"chr4",499506,502759,1,"4__499507__502759"
"chr17",503184,505136,1,"17__503185__505136"
"chr4",501193,509974,1,"4__501194__509974"
"chr10",459852,518489,1,"10__459853__518489"
"chr4",517247,527770,2,"4__517248__527770"
"chr12",518533,527802,1,"12__518534__527802"
"chr17",526772,530556,2,"17__526773__530556"
"chr10",518378,532470,4,"10__518379__532470"
"chr10",530720,532470,4,"10__530721__532470"
"chr17",455111,534868,1,"17__455112__534868"
"chr17",505034,534868,2,"17__505035__534868"
"chr16",532524,539000,2,"16__532525__539000"
"chr12",542339,542638,2,"12__542340__542638"
"chr12",514676,547720,3,"12__514677__547720"
"chr12",537934,547720,2,"12__537935__547720"
"chr17",556530,559193,1,"17__556531__559193"
"chr1",565166,565226,1,"1__565167__565226"
"chr1",566591,566650,2,"1__566592__566650"
"chr1",570189,570259,2,"1__570190__570259"
"chr6",532468,576882,3,"6__532469__576882"
"chr16",583945,586142,2,"16__583946__586142"
"chr11",581491,587464,2,"11__581492__587464"
"chr8",585667,590834,1,"8__585668__590834"
"chr11",581491,592674,1,"11__581492__592674"
"chr9",593608,594080,3,"9__593609__594080"
"chr11",587258,597570,2,"11__587259__597570"
"chr11",596922,598502,1,"11__596923__598502"
"chr17",556530,602620,1,"17__556531__602620"
"chr11",608941,608992,1,"11__608942__608992"
"chr11",609478,609549,1,"11__609479__609549"
"chr5",616654,616727,1,"5__616655__616727"
"chr6",610097,619543,1,"6__610098__619543"
"chr5",619104,620376,41,"5__619105__620376"
"chr8",618597,624047,2,"8__618598__624047"
"chr5",619104,624694,4,"5__619105__624694"
"chr6",629834,637861,14,"6__629835__637861"
"chr6",632940,637861,2,"6__632941__637861"
"chr5",637824,637933,1,"5__637825__637933"
"chr8",640969,642612,1,"8__640970__642612"
"chr5",625970,644540,1,"5__625971__644540"
"chr5",635486,644540,1,"5__635487__644540"
"chr5",619104,648031,2,"5__619105__648031"
"chr5",624585,648031,1,"5__624586__648031"
"chr18",598499,650007,1,"18__598500__650007"
"chr19",652232,652293,1,"19__652233__652293"
"chr5",619104,653306,1,"5__619105__653306"
"chr5",635486,653306,1,"5__635487__653306"
"chr5",619104,653311,2,"5__619105__653311"
"chr5",614584,655699,2,"5__614585__655699"
"chr5",619104,655699,6,"5__619105__655699"
"chr5",647919,655699,2,"5__647920__655699"
"chr6",637700,657250,2,"6__637701__657250"
"chr8",640969,666007,2,"8__640970__666007"
"chr16",667207,668260,1,"16__667208__668260"
"chr18",670484,670558,1,"18__670485__670558"
"chr16",667207,676121,1,"16__667208__676121"
"chr5",677864,678179,1,"5__677865__678179"
"chr18",691067,691276,1,"18__691068__691276"
"chr18",691067,691304,1,"18__691068__691304"
"chr18",683245,694334,1,"18__683246__694334"
"chr17_ctg5_hap1",668633,705913,2,"17_ctg5_hap1__668634__705913"
"chr17_ctg5_hap1",693693,705913,1,"17_ctg5_hap1__693694__705913"
"chr17",716031,716083,1,"17__716032__716083"
"chr17_ctg5_hap1",693693,724155,3,"17_ctg5_hap1__693694__724155"
"chr17_ctg5_hap1",705811,724155,1,"17_ctg5_hap1__705812__724155"
"chr17",725596,727005,1,"17__725597__727005"
"chr17",706921,729318,1,"17__706922__729318"
"chr17",722678,732340,2,"17__722679__732340"
"chr16",732076,732682,1,"16__732077__732682"
"chr19",726137,736078,3,"19__726138__736078"
"chr17_ctg5_hap1",693693,740072,1,"17_ctg5_hap1__693694__740072"
"chr7",716865,751164,9,"7__716866__751164"
"chr18",747919,751646,2,"18__747920__751646"
"chr1",757560,757734,1,"1__757561__757734"
"chr7",750965,762662,1,"7__750966__762662"
"chr7",762390,764501,1,"7__762391__764501"
"chr16",769300,769396,1,"16__769301__769396"
"chr7",770233,770297,1,"7__770234__770297"
"chr4",771004,771065,1,"4__771005__771065"
"chr16",792249,792543,7,"16__792250__792543"
"chr11",795520,795587,2,"11__795521__795587"
"chr11",800984,802090,2,"11__800985__802090"
"chr19",808685,808748,3,"19__808686__808748"
"chr7",810107,814799,1,"7__810108__814799"
"chr5",814875,825366,1,"5__814876__825366"
"chr11",835105,835212,1,"11__835106__835212"
"chr16",835381,835457,1,"16__835382__835457"
"chr11",836062,836153,1,"11__836063__836153"
"chr5",814875,837595,1,"5__814876__837595"
"chr5",819639,837595,1,"5__819640__837595"
"chr1",856940,857040,1,"1__856941__857040"
"chr1",865534,866469,1,"1__865535__866469"
"chr1",871164,871251,2,"1__871165__871251"
"chr4",843679,873486,2,"4__843680__873486"
"chr4",864498,877874,1,"4__864499__877874"
"chr5",860658,881297,1,"5__860659__881297"
"chr5",882481,882598,1,"5__882482__882598"
