"index","chr","start","end","count"
"1__24738__24891","1",24738,24891,3
"19__66346__66499","19",66346,66499,5
"12__78786__78939","12",78786,78939,1
"18__116842__118504","18",116842,118504,4
"16__148143__150507","16",148143,150507,1
"16__162621__162774","16",162621,162774,4
"17__169211__171206","17",169211,171206,6
"17__169211__177370","17",169211,177370,596
"17__131559__183725","17",131559,183725,1
"18__196637__199316","18",196637,199316,1
"11__209271__210000","11",209271,210000,1
"11__403078__404135","11",403078,404135,17
"11__407817__410027","11",407817,410027,6
"16__424005__424151","16",424005,424151,25
"16__424005__424399","16",424005,424399,1
"19__418923__440932","19",418923,440932,7
"19__438718__440932","19",438718,440932,3
"16__449379__449739","16",449379,449739,248
"10__410314__468973","10",410314,468973,2
"10__486811__486936","10",486811,486936,105
"16__532525__546859","16",532525,546859,2
"19__579500__582582","19",579500,582582,1
"16__667208__668260","16",667208,668260,1
"18__670692__671451","18",670692,671451,25
"18__697240__706578","18",697240,706578,2
"16__702467__708344","16",702467,708344,17
"16__718353__718569","16",718353,718569,7
"11__710422__720746","11",710422,720746,9
"16__721860__722002","16",721860,722002,18
"16__727459__727559","16",727459,727559,6
"17__722679__729318","17",722679,729318,1
"19__804292__804939","19",804292,804939,1
"19__804829__804939","19",804829,804939,4
"19__803561__805569","19",803561,805569,1
"11__836251__836843","11",836251,836843,30
"16__837077__837477","16",837077,837477,1
"1__865535__866469","1",865535,866469,68
"1__871152__871276","1",871152,871276,6
"1__871152__874792","1",871152,874792,3
"1__871152__877868","1",871152,877868,13
"19__879937__881714","19",879937,881714,3
"1__891303__891393","1",891303,891393,1
"10__909683__910210","10",909683,910210,1
"12__922808__939326","12",922808,939326,1
"19__932418__968503","19",932418,968503,38
"19__964833__968503","19",964833,968503,3
"12__939169__971436","12",939169,971436,42
"1__981777__987195","1",981777,987195,1
"1__986833__987195","1",986833,987195,7
"1__981344__989931","1",981344,989931,176
"12__987378__990955","12",987378,990955,10
"19__1011366__1011498","19",1011366,1011498,2
"19__1011579__1011662","19",1011579,1011662,2
"19__1011891__1011991","19",1011891,1011991,1
"12__1025510__1025986","12",1025510,1025986,2
"19__1031070__1032695","19",1031070,1032695,3
"12__1034616__1042242","12",1034616,1042242,1
"19__1089471__1089961","19",1089471,1089961,176
"19__1090907__1091906","19",1090907,1091906,21
"19__1090907__1094077","19",1090907,1094077,4
"19__1119010__1119620","19",1119010,1119620,141
