"index","count"
"1__100459093__100464971",3
"1__100515465__100535241",7
"1__101372408__101387397",5
"1__10177517__10195244",1
"1__10195046__10197263",2
"1__10321963__10332364",1
"1__10327438__10328321",3
"1__107866904__107867544",8
"1__109773500__109774408",8
"1__113196220__113197293",3
"1__113196220__113202401",25
"1__114214356__114216087",6
"1__114267381__114269196",2
"1__114280732__114281421",4
"1__114440462__114444507",2
"1__115005726__115007010",2
"1__116202262__116206889",1
"1__117944808__117948267",2
"1__117944808__117957453",13
"1__118424445__118463047",1
"1__118449128__118461358",6
"1__118454616__118461358",21
"1__1192372__1192690",40
"1__12335882__12338095",1
"1__12359259__12368698",10
"1__12382593__12389975",1
"1__12460238__12476880",4
"1__14042036__14068652",5
"1__14057495__14068652",1
"1__14057495__14075982",2
"1__1424584__1426051",8
"1__144149727__144813844",2
"1__144598512__144607061",5
"1__144617150__144621656",1
"1__144618082__144813844",2
"1__144994591__145021167",40
"1__145015860__145021167",9
"1__145227041__145227336",13
"1__145227041__145248894",19
"1__145227041__145281704",9
"1__145295423__145299939",1
"1__145298155__145303982",3
"1__145323654__145366999",146
"1__145325952__145367822",2
"1__145362097__145366230",16
"1__145487304__145492375",3
"1__146401671__146406601",5
"1__146724278__146731572",53
"1__146727468__146731572",2
"1__148008573__148009516",21
"1__149936147__149937803",6
"1__150202906__150204264",11
"1__150413399__150416853",1
"1__150432536__150432793",3
"1__150900180__150913904",1
"1__150902443__150913904",10
"1__150919362__150922001",2
"1__150933039__150934634",11
"1__151139410__151139890",7
"1__151196724__151205179",6
"1__151209034__151209239",11
"1__151611364__151611595",13
"1__151611364__151641111",3
"1__153637696__153641033",21
"1__154221715__154224129",1
"1__155385535__155385714",9
"1__155408118__155408859",18
"1__155640111__155644887",4
"1__155640111__155650247",2
"1__155644801__155649303",42
"1__155644801__155650247",10
"1__155646339__155649303",14
"1__155695173__155695810",80
"1__155734791__155736500",12
"1__155740858__155743001",4
"1__155823067__155823597",75
"1__155874102__155874595",6
"1__155893418__155895634",1
"1__15964802__15976318",6
"1__1599766__1601590",21
"1__1601103__1601590",2
"1__160281658__160302347",1
"1__16044388__16047883",24
"1__161293404__161298287",3
"1__161771842__161790951",1
"1__162546567__162567648",3
"1__16464348__16464925",10
"1__165859441__165860559",50
"1__1666129__1671143",24
"1__167734820__167745403",20
"1__167921038__167944253",2
"1__167935867__167944253",8
"1__168073715__168074132",9
"1__16905688__16910191",3
"1__16907240__16912193",3
"1__16907915__16913756",5
"1__170688867__170699489",13
"1__171492360__171496983",3
"1__172520652__172526934",4
"1__1735858__1737977",78
"1__1735858__1749314",52
"1__1735858__1756938",16
"1__1735858__1770677",4
"1__173743444__173744981",1
"1__173807328__173810111",1
"1__174244971__174363283",1
"1__1747195__1756938",58
"1__1747195__1770677",40
"1__176050288__176105683",8
"1__176085760__176105683",8
"1__176104146__176118210",1
"1__176118142__176153828",5
"1__176132005__176153828",5
"1__178252699__178269253",10
"1__178425856__178436556",1
"1__179012850__179023773",15
"1__179084013__179091002",1
"1__179087722__179089409",7
"1__179087722__179091002",13
"1__179089325__179091002",46
"1__179100446__179100616",11
"1__179100446__179102509",87
"1__17928622__17934472",1
"1__179972309__179975702",28
"1__180010273__180017840",2
"1__180366651__180382606",14
"1__180772524__180780624",1
"1__180953813__180962561",60
"1__183083666__183084772",35
"1__185183639__185200840",2
"1__193202123__193205486",4
"1__197611841__197627499",9
"1__198247091__198266370",30
"1__200539039__200544819",1
"1__20063865__20082259",2
"1__201681945__201687883",12
"1__201816407__201817722",10
"1__201970504__201972589",12
"1__202397983__202400747",4
"1__202920058__202923435",1
"1__203651870__203652526",2
"1__203676137__203677232",141
"1__203786054__203787817",5
"1__203802919__203809502",4
"1__205072985__205074296",4
"1__205130386__205133083",1
"1__205585606__205593019",2
"1__205693054__205698749",22
"1__205696828__205698749",10
"1__207989274__207990759",23
"1__208383625__208391347",9
"1__21083659__21097566",4
"1__21083659__21103243",2
"1__21083659__21106404",1
"1__21167349__21212864",1
"1__212216335__212220759",1
"1__212218002__212220759",10
"1__212236226__212238371",3
"1__21295967__21307720",6
"1__21295967__21329301",8
"1__213251038__213290752",47
"1__213290659__213303232",12
"1__21329206__21415706",1
"1__213302870__213349835",17
"1__213341201__213349835",38
"1__21377359__21415706",47
"1__21377359__21437876",15
"1__21415631__21437876",33
"1__215342542__215345526",35
"1__215342542__215368435",5
"1__21573714__21585332",2
"1__215749244__215752480",10
"1__215759838__215768813",17
"1__21599192__21599404",25
"1__21599192__21605825",6
"1__21599192__21616649",74
"1__217783663__217787544",12
"1__22007301__22021714",5
"1__220179448__220180680",3
"1__22169263__22169931",5
"1__22169263__22173985",1
"1__22169263__22175524",4
"1__22169263__22178419",3
"1__22169263__22179325",5
"1__222860272__222876559",7
"1__222897434__222898897",14
"1__223991876__223994649",6
"1__22404922__22413359",4
"1__224492438__224492868",1
"1__224868660__224872545",2
"1__225600156__225603034",6
"1__227149078__227153438",6
"1__227216358__227223308",2
"1__227327277__227335260",8
"1__22816373__22818026",11
"1__229606327__229606551",1
"1__229665946__229683448",1
"1__229677984__229683448",2
"1__230798887__230810870",2
"1__231079552__231097049",5
"1__231090079__231097049",17
"1__231506308__231509845",9
"1__231672959__231678357",37
"1__23189530__23191705",4
"1__231930988__231954263",6
"1__233225807__233297109",2
"1__233334685__233344435",21
"1__233334685__233372726",15
"1__233334685__233388534",2
"1__233353645__233363117",10
"1__23356962__23370979",13
"1__23356962__23377013",72
"1__23356962__23385660",5
"1__235416045__235424067",2
"1__235582788__235597595",5
"1__235634164__235658138",3
"1__235643370__235658138",22
"1__235850249__235860572",1
"1__237023133__237026854",1
"1__240370099__240374535",4
"1__240421245__240458183",8
"1__240421245__240497529",6
"1__240421245__240519208",18
"1__240421245__240555862",3
"1__240458122__240497529",3
"1__240458122__240555862",1
"1__240492376__240519208",5
"1__240492376__240555862",4
"1__241031887__241033419",9
"1__241031887__241100006",1
"1__241094017__241100006",18
"1__24140680__24147083",6
"1__243349561__243388623",7
"1__243362362__243388623",11
"1__243579004__243589860",2
"1__243708812__243736350",22
"1__245530136__245530669",1
"1__245765879__245809582",1
"1__246490503__246518396",4
"1__247322308__247323115",74
"1__24840804__24841057",19
"1__25666965__25678184",7
"1__26581662__26582356",6
"1__26772807__26774151",81
"1__27269151__27269556",22
"1__28059114__28060694",2
"1__28075579__28081841",4
"1__28116073__28128326",2
"1__28362055__28384605",7
"1__28897688__28898412",2
"1__29481208__29481422",149
"1__29481208__29487029",1
"1__31465237__31468067",68
"1__31465237__31479949",10
"1__31810022__31811895",23
"1__31810022__31821821",26
"1__32381496__32385259",64
"1__32495899__32498935",9
"1__32495899__32504220",1
"1__32495899__32510991",1
"1__32502511__32504220",44
"1__32502511__32505174",16
"1__32502511__32510991",3
"1__32560385__32566163",19
"1__32620189__32625132",1
"1__32653555__32653725",5
"1__33133826__33135164",5
"1__33133826__33138502",4
"1__33413823__33415375",50
"1__33760538__33760906",44
"1__3431114__3440810",4
"1__36213508__36214205",6
"1__36282483__36292436",3
"1__36636572__36639079",10
