"chr","start","end","count","index"
"chrM",764,875,1,"M__765__875"
"chrM",779,879,2,"M__780__879"
"chrM",779,921,1,"M__780__921"
"chrM",798,937,1,"M__799__937"
"chrM",819,937,1,"M__820__937"
"chrM",696,961,1,"M__697__961"
"chrM",738,961,1,"M__739__961"
"chrM",754,961,1,"M__755__961"
"chrM",767,961,1,"M__768__961"
"chrM",787,961,2,"M__788__961"
"chrM",804,961,5,"M__805__961"
"chrM",844,961,1,"M__845__961"
"chrM",810,974,1,"M__811__974"
"chrM",844,974,1,"M__845__974"
"chrM",899,985,4,"M__900__985"
"chrM",908,985,5,"M__909__985"
"chrM",910,985,2,"M__911__985"
"chrM",917,985,2,"M__918__985"
"chrM",985,1044,1,"M__986__1044"
"chrM",804,1157,1,"M__805__1157"
"chrM",1107,1164,19,"M__1108__1164"
"chrM",1107,1193,1,"M__1108__1193"
"chrM",1050,1195,1,"M__1051__1195"
"chrM",1085,1235,5,"M__1086__1235"
"chrM",1107,1235,3,"M__1108__1235"
"chrM",1125,1235,7,"M__1126__1235"
"chrM",1155,1235,4,"M__1156__1235"
"chrM",1085,1243,4,"M__1086__1243"
"chrM",1090,1243,9,"M__1091__1243"
"chrM",1107,1243,1,"M__1108__1243"
"chrM",1090,1245,1,"M__1091__1245"
"chrM",1081,1308,3,"M__1082__1308"
"chrM",1324,1406,1,"M__1325__1406"
"chrM",1290,1413,1,"M__1291__1413"
"chrM",1329,1413,9,"M__1330__1413"
"chrM",1290,1420,1,"M__1291__1420"
"chrM",1335,1420,3,"M__1336__1420"
"chrM",1349,1420,27,"M__1350__1420"
"chrM",1322,1443,1,"M__1323__1443"
"chrM",721,1490,2,"M__722__1490"
"chrM",953,1490,1,"M__954__1490"
"chrM",932,1560,1,"M__933__1560"
"chrM",1603,1673,4,"M__1604__1673"
"chrM",1619,1673,2,"M__1620__1673"
"chrM",1628,1700,1,"M__1629__1700"
"chrM",1679,1766,2,"M__1680__1766"
"chrM",1691,1766,29,"M__1692__1766"
"chrM",1700,1766,8,"M__1701__1766"
"chrM",1716,1766,3,"M__1717__1766"
"chrM",1679,1834,293,"M__1680__1834"
"chrM",1691,1834,1,"M__1692__1834"
"chrM",1695,1841,1,"M__1696__1841"
"chrM",1705,1841,1,"M__1706__1841"
"chrM",1691,1847,1,"M__1692__1847"
"chrM",1700,1847,41,"M__1701__1847"
"chrM",1766,1847,2,"M__1767__1847"
"chrM",1787,1847,1,"M__1788__1847"
"chrM",1691,1896,75,"M__1692__1896"
"chrM",1727,1896,2,"M__1728__1896"
"chrM",1716,1920,1,"M__1717__1920"
"chrM",1708,1924,2,"M__1709__1924"
"chrM",1847,1924,1,"M__1848__1924"
"chrM",1896,1983,1,"M__1897__1983"
"chrM",1691,1998,1,"M__1692__1998"
"chrM",1727,1998,7,"M__1728__1998"
"chrM",1903,1998,2,"M__1904__1998"
"chrM",1912,1998,19,"M__1913__1998"
"chrM",1924,1998,1,"M__1925__1998"
"chrM",738,2080,22,"M__739__2080"
"chrM",1481,2080,1,"M__1482__2080"
"chrM",1989,2083,2,"M__1990__2083"
"chrM",1983,2141,37,"M__1984__2141"
"chrM",1793,2171,1,"M__1794__2171"
"chrM",2125,2222,1,"M__2126__2222"
"chrM",2063,2226,2,"M__2064__2226"
"chrM",2068,2226,1,"M__2069__2226"
"chrM",1235,2256,2,"M__1236__2256"
"chrM",2217,2277,7,"M__2218__2277"
"chrM",2166,2285,2,"M__2167__2285"
"chrM",2191,2285,1,"M__2192__2285"
"chrM",2217,2285,13,"M__2218__2285"
"chrM",2226,2285,161,"M__2227__2285"
"chrM",2242,2285,2,"M__2243__2285"
"chrM",2226,2296,20,"M__2227__2296"
"chrM",2226,2360,1,"M__2227__2360"
"chrM",2219,2387,2,"M__2220__2387"
"chrM",2226,2387,9,"M__2227__2387"
"chrM",2254,2416,1,"M__2255__2416"
"chrM",2273,2416,8,"M__2274__2416"
"chrM",2316,2416,1,"M__2317__2416"
"chrM",2263,2420,1,"M__2264__2420"
"chrM",2211,2422,37,"M__2212__2422"
"chrM",2254,2442,1,"M__2255__2442"
"chrM",2261,2442,1,"M__2262__2442"
"chrM",849,2455,1,"M__850__2455"
"chrM",1799,2455,1,"M__1800__2455"
"chrM",2149,2455,1,"M__2150__2455"
"chrM",2203,2455,1,"M__2204__2455"
"chrM",2351,2455,72,"M__2352__2455"
"chrM",2359,2475,3,"M__2360__2475"
"chrM",2421,2495,2,"M__2422__2495"
"chrM",2435,2515,1,"M__2436__2515"
"chrM",1006,2552,1,"M__1007__2552"
"chrM",2437,2561,1,"M__2438__2561"
"chrM",2472,2575,2,"M__2473__2575"
"chrM",2428,2580,1,"M__2429__2580"
"chrM",2437,2594,1,"M__2438__2594"
"chrM",2455,2594,3,"M__2456__2594"
"chrM",2472,2594,1,"M__2473__2594"
"chrM",2515,2658,1,"M__2516__2658"
"chrM",2485,2660,1,"M__2486__2660"
"chrM",2377,2685,3,"M__2378__2685"
"chrM",2626,2685,8,"M__2627__2685"
"chrM",2579,2729,1,"M__2580__2729"
"chrM",1679,2763,1,"M__1680__2763"
"chrM",2226,2763,2,"M__2227__2763"
"chrM",2644,2763,1,"M__2645__2763"
"chrM",2622,2778,2,"M__2623__2778"
"chrM",2647,2778,3,"M__2648__2778"
"chrM",2714,2778,11,"M__2715__2778"
"chrM",2226,2781,1,"M__2227__2781"
"chrM",2626,2781,1,"M__2627__2781"
"chrM",1691,2795,8,"M__1692__2795"
"chrM",1713,2795,2,"M__1714__2795"
"chrM",1716,2795,2,"M__1717__2795"
"chrM",1727,2795,1,"M__1728__2795"
"chrM",1766,2795,2,"M__1767__2795"
"chrM",2242,2795,2,"M__2243__2795"
"chrM",2626,2795,51,"M__2627__2795"
"chrM",2685,2795,9,"M__2686__2795"
"chrM",2626,2823,1,"M__2627__2823"
"chrM",2728,2823,28,"M__2729__2823"
"chrM",1998,2841,3,"M__1999__2841"
"chrM",2398,2841,1,"M__2399__2841"
"chrM",2433,2841,1,"M__2434__2841"
"chrM",2515,2841,1,"M__2516__2841"
"chrM",2710,2841,1,"M__2711__2841"
"chrM",2712,2841,4,"M__2713__2841"
"chrM",2728,2841,3,"M__2729__2841"
"chrM",2763,2841,2,"M__2764__2841"
"chrM",2768,2841,2,"M__2769__2841"
"chrM",2795,2841,1,"M__2796__2841"
"chrM",2699,2850,1,"M__2700__2850"
"chrM",2763,2857,1,"M__2764__2857"
"chrM",2823,2882,17,"M__2824__2882"
"chrM",2823,2885,1,"M__2824__2885"
"chrM",2763,2930,2,"M__2764__2930"
"chrM",2823,2987,66,"M__2824__2987"
"chrM",2841,2987,1,"M__2842__2987"
"chrM",2913,2987,1,"M__2914__2987"
"chrM",2925,3033,1,"M__2926__3033"
"chrM",2977,3033,6,"M__2978__3033"
"chrM",2778,3055,5,"M__2779__3055"
"chrM",2913,3067,1,"M__2914__3067"
"chrM",2987,3067,2,"M__2988__3067"
"chrM",2977,3083,1,"M__2978__3083"
"chrM",717,3092,1,"M__718__3092"
"chrM",3021,3092,2,"M__3022__3092"
"chrM",2987,3117,3,"M__2988__3117"
"chrM",3006,3117,1,"M__3007__3117"
"chrM",2913,3121,1,"M__2914__3121"
"chrM",3108,3187,1,"M__3109__3187"
"chrM",3062,3192,3,"M__3063__3192"
"chrM",3079,3192,3,"M__3080__3192"
"chrM",3056,3196,1,"M__3057__3196"
"chrM",3138,3226,1,"M__3139__3226"
"chrM",3092,3230,2,"M__3093__3230"
"chrM",1716,3514,1,"M__1717__3514"
"chrM",3322,3598,1,"M__3323__3598"
"chrM",1716,3604,2,"M__1717__3604"
"chrM",3501,3630,5,"M__3502__3630"
"chrM",3598,3648,3,"M__3599__3648"
"chrM",3598,3655,1,"M__3599__3655"
"chrM",3598,3678,19,"M__3599__3678"
"chrM",3598,3726,1,"M__3599__3726"
"chrM",3598,3742,4,"M__3599__3742"
"chrM",3604,3742,1,"M__3605__3742"
