"index","count"
"1__10032076__10041228",1
"1__100515465__100535241",2
"1__100588766__100591498",1
"1__10155519__10165802",3
"1__10327438__10328321",1
"1__104108057__104118162",4
"1__108686165__108728576",1
"1__108697605__108728576",1
"1__108724563__108728576",5
"1__109200073__109202584",2
"1__114280732__114281421",2
"1__115005726__115007010",2
"1__117944808__117948267",20
"1__117944808__117957453",20
"1__117944808__117963271",48
"1__117944808__117984947",16
"1__117944808__118009049",3
"1__118003111__118009049",1
"1__118003111__118045592",1
"1__1191425__1198766",1
"1__1192372__1192690",1
"1__12359259__12368698",1
"1__144148790__144621656",8
"1__144598512__144620094",1
"1__144617150__144621656",2
"1__144618082__144813844",1
"1__145295423__145299939",5
"1__145298155__145303982",6
"1__145323654__145366999",34
"1__145328375__145366999",3
"1__145646115__145663367",1
"1__145646115__145687091",1
"1__146399555__146411098",1
"1__146403655__146408167",2
"1__146724278__146731572",2
"1__150795670__150799093",1
"1__150933039__150934634",1
"1__150997087__150998149",2
"1__151150477__151156969",1
"1__151196724__151199876",1
"1__151288049__151288985",2
"1__151611364__151611595",2
"1__151611364__151630903",1
"1__151611364__151641111",5
"1__151611364__151655921",1
"1__151630711__151641111",1
"1__153637696__153641033",1
"1__153723571__153730239",2
"1__153735204__153737539",1
"1__154145384__154145677",4
"1__154184796__154186422",1
"1__154197560__154209087",2
"1__154213989__154218851",1
"1__154231453__154232505",1
"1__155235651__155236686",2
"1__155365250__155385714",1
"1__155408118__155408859",2
"1__155644801__155649303",4
"1__155646339__155649303",1
"1__155695173__155695810",5
"1__155740858__155743001",1
"1__155823067__155823597",10
"1__155891166__155891709",3
"1__155896467__155896947",2
"1__156303338__156304709",6
"1__15860732__15863309",1
"1__15964802__15978390",1
"1__160293221__160302347",3
"1__161293404__161298287",1
"1__161293404__161310445",1
"1__161748034__161753886",3
"1__161821512__161833102",1
"1__165859441__165860559",4
"1__167921038__167944253",1
"1__167935867__167944253",13
"1__16891302__16893846",1
"1__16905688__16910191",5
"1__16907240__16912193",2
"1__16907915__16913756",19
"1__169199956__169256646",3
"1__1693391__1696885",1
"1__171491316__171492661",1
"1__171537386__171544267",1
"1__172520652__172526934",1
"1__172520652__172548407",1
"1__1747195__1770677",4
"1__176050288__176085817",1
"1__176050288__176105683",1
"1__176104146__176133027",1
"1__176118142__176153828",6
"1__176132005__176133027",1
"1__176132005__176145143",1
"1__178745817__178754742",1
"1__17907048__17914974",5
"1__179087722__179091002",1
"1__179089325__179091002",1
"1__179100446__179102509",4
"1__179306972__179310445",1
"1__179311249__179312770",2
"1__180366651__180382606",9
"1__180366651__180399397",2
"1__180366651__180464660",1
"1__180793889__180794480",3
"1__180953813__180962561",12
"1__186359843__186360923",1
"1__186862143__186880521",2
"1__193172925__193181607",2
"1__193202123__193205486",2
"1__197611841__197627499",1
"1__197684161__197704926",2
"1__198201683__198222310",1
"1__198247091__198266370",3
"1__200729967__200784772",2
"1__201681945__201687883",1
"1__203786054__203787817",4
"1__204437998__204439014",2
"1__205585606__205593019",25
"1__205693054__205698749",8
"1__207930359__207933069",2
"1__207989274__207990759",1
"1__21071237__21107033",2
"1__21083659__21107033",3
"1__21091870__21107033",1
"1__211526581__211527809",1
"1__211952260__211966532",5
"1__212218002__212220759",3
"1__21231376__21268823",1
"1__21295967__21307720",2
"1__21295967__21377487",1
"1__213037067__213046160",1
"1__213037067__213058738",3
"1__213251038__213290752",4
"1__213251038__213303232",2
"1__213290659__213303232",4
"1__21329206__21415706",2
"1__21329206__21437876",1
"1__213341201__213349835",2
"1__21377359__21415706",16
"1__21377359__21437876",9
"1__21415631__21437876",4
"1__215749244__215752480",3
"1__217783663__217787544",1
"1__21943799__21946543",1
"1__22007301__22021714",1
"1__220179448__220180680",1
"1__220330612__220332763",1
"1__220386229__220387321",9
"1__220752696__220754460",1
"1__22169263__22175524",3
"1__222860272__222876559",2
"1__222897434__222898897",1
"1__223946972__223959941",1
"1__223991876__223994649",3
"1__22404922__22413359",8
"1__225140372__225156576",6
"1__225140372__225161855",11
"1__225140372__225195246",13
"1__225140372__225211567",1
"1__225355641__225373127",4
"1__225355641__225393881",1
"1__225742608__225755116",4
"1__227192695__227204751",1
"1__227327277__227400920",1
"1__228412160__228437941",1
"1__228412160__228452092",1
"1__229596358__229601266",1
"1__229625702__229634053",1
"1__229675203__229678118",2
"1__230798887__230800333",1
"1__230798887__230810870",2
"1__231079552__231097049",1
"1__231090079__231097049",5
"1__231506308__231509845",3
"1__231665001__231678357",1
"1__231672959__231678357",9
"1__233482188__233490757",1
"1__233482188__233498039",2
"1__23356962__23377013",3
"1__23356962__23385660",3
"1__23397718__23398690",1
"1__234573021__234608557",1
"1__234586174__234608557",5
"1__235582788__235590554",1
"1__235600637__235602237",1
"1__235628953__235658138",1
"1__235634164__235658138",2
"1__235643370__235658138",7
"1__235647638__235658138",1
"1__236969444__236979843",1
"1__24112165__24112913",1
"1__243349081__243388623",1
"1__243362362__243388623",1
"1__243385026__243388623",1
"1__243858893__244006584",1
"1__245165423__245180628",2
"1__246078832__246093239",1
"1__246490503__246493839",1
"1__246490503__246498776",9
"1__246754814__246755243",5
"1__246890194__246903603",8
"1__246890194__246907427",8
"1__246899277__246903603",4
"1__246899277__246907427",3
"1__247322308__247323115",9
"1__247471777__247473758",1
"1__26584088__26586293",5
"1__26772807__26774151",4
"1__27269151__27269556",5
"1__28116073__28120143",1
"1__28362055__28374937",1
"1__28362055__28384605",3
"1__29319842__29323831",1
"1__29359605__29424447",1
"1__29481208__29481422",8
"1__31465237__31468067",11
"1__31810022__31811895",4
"1__32375639__32377427",2
"1__32381496__32385259",14
"1__32502511__32504220",2
"1__32502511__32505174",2
"1__33099246__33100393",2
"1__33133826__33138502",1
"1__33413823__33415375",4
"1__33478808__33480195",1
"1__33760538__33760906",4
"1__35790961__35827390",1
"1__35824526__35827390",5
"1__35846860__35854683",3
"1__36636572__36639079",2
"1__40654727__40668286",6
"1__40733458__40737707",3
"1__41463066__41468848",1
"1__41536267__41541123",7
"1__41578955__41582682",7
"1__41578955__41608784",2
"1__41578955__41627104",1
"1__42730786__42744343",7
"1__44386076__44386600",2
"1__44773982__44785416",2
"1__44773982__44804994",4
"1__44877653__44878394",11
"1__45223228__45223812",8
"1__45553553__45553909",1
"1__46032241__46032692",8
"1__47148972__47157609",1
"1__47745913__47748131",1
"1__47761437__47765824",1
"1__50956260__51061888",1
"1__51001041__51061888",2
"1__51005264__51061888",2
"1__51032749__51061888",5
"1__51253672__51267349",2
"1__51868107__51874004",3
"1__52237742__52238395",3
"1__52959283__52975384",5
"1__53343354__53347337",1
"1__58971732__59002413",5
"1__59787208__59812070",2
"1__59805630__59812070",2
"1__6007164__6046387",1
"1__6021854__6046387",1
"1__62907159__62907970",5
"1__63282246__63286880",1
"1__63944435__63974241",4
"1__65234339__65255197",2
"1__65243306__65255197",1
"1__65830318__65831879",12
"1__6592028__6592820",2
"1__6727769__6741097",2
"1__67356837__67371058",2
"1__67885692__67890906",1
"1__70639148__70654956",1
"1__70758071__70771973",2
"1__70758071__70781249",7
"1__70766447__70779473",1
"1__76211491__76216231",1
"1__76253182__76257256",1
"1__78097520__78107340",1
"1__78183552__78184326",2
"1__78183552__78191447",1
"1__78267016__78280916",5
"1__7837220__7838229",11
"1__7895822__7897209",3
"1__84644860__84680000",1
"1__85121515__85136991",1
"1__8555123__8601377",1
"1__85816098__85824530",3
"1__8601273__8674745",2
"1__89206671__89206971",2
"1__89236035__89251896",1
"1__89250322__89251896",1
"1__92327028__92327201",4
"1__92798948__92811471",3
"1__92798948__92846430",9
"1__93070864__93073284",3
"1__93070864__93091491",1
"1__93070864__93170301",1
"1__93142715__93170301",1
"1__93677658__93683426",1
"1__94032836__94033408",1
"1__94107860__94140497",2
"1__94669486__94671239",2
"1__94953098__94956803",2
"10__102683732__102685776",2
"10__102697159__102698493",1
"10__103699620__103717489",2
"10__103916776__103917971",5
"10__104018686__104019873",3
"10__105165742__105166547",1
"10__105197772__105198565",14
"10__105371338__105420872",11
"10__105382227__105420872",4
"10__105750433__105752891",1
"10__105767935__105778666",1
"10__1125951__1126416",2
"10__112723883__112745523",6
"10__1130343__1142186",1
"10__1130343__1151207",1
"10__114220283__114224416",2
"10__114286846__114298089",3
"10__115636280__115644139",1
"10__116730127__116734144",4
"10__11789348__11797607",2
"10__11893996__11894214",1
"10__12039671__12046726",2
"10__12039671__12056183",3
"10__12123471__12133683",4
"10__12123471__12143180",3
